"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Barre","9,050","7","0","2","2","3","257","37","207","13","0"
"Barre Town","8,146","1","0","0","0","1","74","14","56","4","0"
"Bellows Falls","2,957","9","0","0","1","8","56","16","36","4","1"
"Bennington","15,297","34","0","6","0","28","535","88","404","43","2"
"Berlin","2,875","2","0","0","0","2","31","0","30","1","0"
"Bradford","819","0","0","0","0","0","16","1","14","1","0"
"Brandon","3,926","7","1","1","0","5","83","28","49","6","1"
"Brattleboro","11,706","26","1","4","2","19","351","47","293","11","4"
"Burlington","38,153","135","0","22","18","95","1,673","359","1,268","46","4"
"Castleton","4,384","1","0","0","0","1","7","1","6","0","0"
"Chester","3,092","3","0","1","0","2","50","25","25","0","0"
"Colchester","17,201","26","0","6","5","15","648","101","530","17","2"
"Dover","1,448","1","0","0","0","1","197","11","183","3","0"
"Essex","19,350","17","0","5","3","9","414","75","328","11","2"
"Fair Haven","2,963","2","0","0","0","2","65","13","47","5","2"
"Hardwick","3,271","3","0","1","0","2","74","16","56","2","0"
"Hartford","10,892","11","1","1","2","7","127","25","96","6","2"
"Hinesburg","4,552","3","0","1","2","0","79","21","56","2","0"
"Ludlow","2,736","1","0","0","1","0","64","12","52","0","0"
"Lyndonville","1,238","0","0","0","0","0","3","3","0","0","0"
"Manchester","4,366","2","0","0","0","2","134","20","107","7","0"
"Middlebury","8,194","5","0","2","0","3","269","26","241","2","2"
"Milton","10,469","21","0","5","0","16","239","34","197","8","1"
"Montpelier","7,944","15","0","2","1","12","343","59","273","11","1"
"Morristown","5,606","9","0","1","0","8","116","15","98","3","0"
"Newport","5,329","3","0","2","0","1","123","22","100","1","0"
"Northfield","5,813","7","0","0","0","7","105","24","78","3","0"
"Norwich","3,551","1","0","1","0","0","35","12","23","0","0"
"Randolph","5,124","4","0","0","0","4","58","6","49","3","0"
"Richmond","4,128","0","0","0","0","0","9","2","6","1","1"
"Rutland","19,626","37","1","2","10","24","821","115","683","23","3"
"Shelburne","7,071","4","0","0","1","3","103","20","81","2","0"
"South Burlington","17,333","20","0","9","2","9","631","27","572","32","1"
"Springfield","8,752","20","0","2","3","15","261","60","192","9","0"
"St. Albans","7,374","33","0","0","1","32","499","46","444","9","0"
"St. Johnsbury","7,553","4","0","0","2","2","91","17","70","4","2"
"Stowe","4,822","2","0","1","0","1","243","34","206","3","0"
"Swanton","6,508","2","0","0","0","2","91","28","61","2","0"
"Thetford","2,836","0","0","0","0","0","3","2","1","0","0"
"Vergennes","2,747","0","0","0","0","0","62","5","56","1","0"
"Waterbury","5,290","1","0","0","0","1","36","3","32","1","0"
"Weathersfield","2,868","0","0","0","0","0","39","10","28","1","0"
"Williston","8,363","13","0","5","1","7","308","13","288","7","0"
"Wilmington","2,358","3","0","1","0","2","67","25","40","2","0"
"Windsor","3,687","5","0","0","0","5","29","10","18","1","0"
"Winhall","786","0","0","0","0","0","74","5","66","3","1"
"Winooski","6,284","20","0","0","3","17","279","52","216","11","0"
"Woodstock","3,174","0","0","0","0","0","74","7","38","29","0"
