"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Abingdon","7,953","14","0","3","0","11","371","22","332","17","0"
"Alexandria","137,812","370","7","18","162","183","3,280","364","2,557","359","4"
"Altavista","3,379","11","0","3","1","7","129","12","109","8","0"
"Amherst","2,221","2","0","0","1","1","27","1","24","2","0"
"Appalachia","1,751","5","0","0","1","4","47","15","28","4","0"
"Ashland","7,111","19","0","2","8","9","288","22","247","19","1"
"Bedford","6,216","10","0","5","1","4","132","19","101","12","0"
"Berryville","3,216","3","0","1","0","2","68","1","61","6","0"
"Big Stone Gap","5,689","7","0","1","2","4","164","33","124","7","1"
"Blacksburg","39,250","63","0","8","10","45","656","120","520","16","5"
"Blackstone","3,526","11","0","3","1","7","133","11","112","10","1"
"Bluefield","5,213","12","0","0","1","11","179","19","156","4","0"
"Boykins","611","0","0","0","0","0","5","1","4","0","0"
"Bridgewater","5,431","1","0","0","0","1","20","6","14","0","0"
"Bristol","17,484","77","0","11","17","49","764","122","604","38","5"
"Broadway","3,016","1","0","1","0","0","11","3","7","1","0"
"Buena Vista","6,456","7","0","2","0","5","69","0","67","2","1"
"Burkeville","470","3","0","0","0","3","18","0","16","2","0"
"Cape Charles","1,530","5","0","0","2","3","19","9","10","0","0"
"Cedar Bluff","1,064","1","0","0","0","1","11","1","10","0","0"
"Charlottesville","40,265","273","3","26","93","151","1,938","278","1,524","136","10"
"Chase City","2,343","4","0","1","0","3","63","12","43","8","0"
"Chatham","1,278","0","0","0","0","0","14","6","7","1","0"
"Chesapeake","223,093","979","12","78","326","563","7,216","1,251","5,476","489","27"
"Chilhowie","1,771","0","0","0","0","0","37","5","31","1","1"
"Chincoteague","4,379","5","0","1","1","3","101","27","68","6","0"
"Christiansburg","17,983","53","0","1","7","45","762","111","622","29","3"
"Clarksville","1,269","0","0","0","0","0","26","1","25","0","0"
"Clifton Forge","4,008","6","0","0","1","5","84","22","61","1","2"
"Clinchco","408","0","0","0","0","0","0","0","0","0","0"
"Clintwood","1,513","4","0","0","0","4","56","12","42","2","0"
"Colonial Beach","3,733","7","1","0","3","3","40","6","30","4","0"
"Colonial Heights","17,747","47","0","2","23","22","731","42","641","48","14"
"Courtland","1,259","0","0","0","0","0","0","0","0","0","0"
"Covington","6,027","13","0","4","1","8","166","28","130","8","3"
"Crewe","2,266","16","0","0","5","11","98","19","74","5","0"
"Culpeper","13,574","52","0","5","15","32","424","38","364","22","4"
"Damascus","1,086","3","0","0","1","2","41","2","35","4","0"
"Danville","45,114","204","5","9","98","92","2,437","550","1,775","112","19"
"Dayton","1,347","1","0","1","0","0","17","3","12","2","0"
"Dublin","2,206","5","0","0","2","3","50","5","43","2","1"
"Dumfries","4,795","16","0","0","6","10","167","40","108","19","1"
"Edinburg","877","0","0","0","0","0","3","0","3","0","0"
"Elkton","2,597","2","0","0","1","1","25","6","19","0","0"
"Emporia","5,607","66","1","1","16","48","370","72","282","16","1"
"Exmore","1,381","6","0","0","5","1","40","8","31","1","0"
"Fairfax City","22,484","39","1","9","11","18","616","52","522","42","5"
"Falls Church","10,831","32","0","2","16","14","347","31","290","26","2"
"Farmville","6,908","8","0","4","1","3","97","14","79","4","1"
"Franklin","8,856","35","1","1","6","27","399","80","285","34","2"
"Fredericksburg","21,521","150","3","14","40","93","1,103","99","932","72","9"
"Fries","557","0","0","0","0","0","0","0","0","0","0"
"Front Royal","14,700","38","0","10","9","19","373","33","313","27","1"
"Galax","6,643","20","1","2","0","17","299","25","260","14","2"
"Gate City","2,081","1","0","1","0","0","45","5","40","0","0"
"Glade Spring","1,544","1","0","0","1","0","10","3","7","0","0"
"Glasgow","1,011","1","0","0","0","1","2","0","2","0","0"
"Glen Lyn","167","0","0","0","0","0","7","1","6","0","0"
"Gordonsville","1,684","1","0","1","0","0","28","9","19","0","1"
"Gretna","1,204","2","0","0","1","1","20","8","11","1","0"
"Grottoes","2,178","5","0","0","0","5","39","20","17","2","0"
"Grundy","975","0","0","0","0","0","5","0","5","0","0"
"Halifax","1,272","2","0","0","0","2","16","2","13","1","1"
"Hampton","144,490","522","6","52","251","213","4,923","764","3,658","501","34"
"Harrisonburg","40,869","150","0","11","37","102","1,240","250","874","116","5"
"Haymarket","1,290","0","0","0","0","0","2","0","2","0","0"
"Haysi","179","1","0","0","0","1","1","0","1","0","0"
"Herndon","21,892","46","1","4","11","30","430","18","396","16","1"
"Hillsville","2,691","11","0","3","1","7","75","16","53","6","0"
"Honaker","909","1","0","0","0","1","12","6","6","0","0"
"Hurt","1,226","0","0","0","0","0","12","3","8","1","0"
"Independence","901","0","0","0","0","0","8","2","4","2","0"
"Jonesville","981","1","0","0","0","1","15","2","13","0","0"
"Kenbridge","1,315","3","0","1","0","2","15","3","11","1","0"
"Kilmarnock","1,195","2","0","0","1","1","9","0","9","0","0"
"La Crosse","595","2","0","0","0","2","15","8","5","2","0"
"Lawrenceville","1,139","7","0","3","1","3","26","6","20","0","0"
"Lebanon","3,185","2","0","0","1","1","105","7","92","6","1"
"Leesburg","38,931","70","0","13","21","36","797","60","689","48","4"
"Lexington","6,711","6","0","0","1","5","93","15","74","4","0"
"Louisa","1,557","8","1","2","0","5","42","11","28","3","0"
"Luray","4,879","6","0","1","0","5","133","19","111","3","2"
"Lynchburg","67,932","332","1","23","81","227","2,381","465","1,754","162","17"
"Manassas","36,735","197","2","16","58","121","1,132","178","838","116","8"
"Manassas Park","11,816","27","1","8","6","12","236","21","177","38","2"
"Marion","6,100","41","0","1","1","39","192","27","159","6","0"
