"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Albany","1,119","4","0","0","0","4","33","3","29","1","0"
"Algoma","3,228","2","0","2","0","0","82","5","73","4","0"
"Altoona","6,377","3","0","2","0","1","152","22","117","13","0"
"Amery","2,846","7","0","0","0","7","40","6","32","2","0"
"Antigo","8,225","7","0","0","0","7","604","101","492","11","0"
"Appleton","70,169","146","0","26","23","97","2,379","413","1,883","83","8"
"Arcadia","2,329","1","0","0","0","1","44","7","35","2","0"
"Ashland","8,147","25","0","1","2","22","374","48","307","19","2"
"Ashwaubenon","17,033","10","1","2","0","7","933","66","839","28","1"
"Bangor","1,343","2","0","1","1","0","15","4","11","0","0"
"Baraboo","11,015","40","0","2","1","37","390","28","347","15","0"
"Barron","3,145","6","0","2","2","2","51","10","30","11","0"
"Bayfield","579","1","0","0","0","1","20","4","16","0","0"
"Bayside","4,216","1","0","0","1","0","23","1","22","0","0"
"Beaver Dam","15,551","8","0","1","3","4","493","53","437","3","0"
"Belleville","2,246","3","0","1","0","2","43","3","40","0","0"
"Beloit","36,424","151","2","12","63","74","1,719","283","1,327","109","14"
"Beloit Town","7,475","7","0","1","2","4","163","30","124","9","2"
"Berlin","5,197","4","0","0","0","4","193","23","164","6","1"
"Black River Falls","3,456","6","0","2","0","4","138","14","118","6","0"
"Blair","1,276","2","0","0","0","2","33","9","22","2","1"
"Bloomer","3,378","1","0","0","0","1","63","4","56","3","0"
"Bloomfield","5,990","4","0","3","0","1","100","16","82","2","0"
"Boscobel","3,185","10","0","0","0","10","52","10","42","0","0"
"Brillion","2,857","2","0","1","0","1","35","4","29","2","0"
"Brodhead","3,089","3","0","1","0","2","63","7","56","0","0"
"Brookfield","39,738","29","0","2","16","11","1,190","112","1,063","15","2"
"Brookfield Township","6,243","13","0","0","2","11","173","23","144","6","0"
"Brown Deer","11,507","25","0","1","9","15","462","46","386","30","0"
"Burlington","10,599","3","0","0","1","2","328","34","285","9","0"
"Burlington Town","6,552","4","0","0","0","4","69","10","55","4","1"
"Butler","1,806","6","0","0","0","6","60","13","44","3","1"
"Caledonia","25,682","28","0","0","23","5","299","51","226","22","0"
"Campbellsport","1,929","0","0","0","0","0","39","4","35","0","0"
"Campbell Township","4,437","5","0","0","0","5","51","9","40","2","0"
"Cedarburg","11,216","5","0","0","0","5","154","5","148","1","0"
"Chenequa","590","0","0","0","0","0","5","1","4","0","0"
"Chetek","2,177","2","0","0","0","2","49","20","26","3","0"
"Chilton","3,635","1","0","1","0","0","63","9","50","4","0"
"Chippewa Falls","13,158","18","0","2","2","14","243","36","201","6","2"
"Cleveland","1,401","3","0","1","0","2","8","1","7","0","1"
"Clinton","2,261","2","0","0","1","1","55","5","48","2","2"
"Clintonville","4,435","16","0","1","0","15","178","16","157","5","1"
"Colby-Abbotsford","3,649","3","0","0","0","3","82","5","72","5","0"
"Columbus","5,068","2","0","0","0","2","112","6","106","0","0"
"Combined Locks","3,121","2","0","0","0","2","19","4","15","0","0"
"Cornell","1,424","4","0","0","0","4","34","2","32","0","0"
"Cottage Grove","5,530","4","0","1","0","3","150","32","113","5","0"
"Crandon","1,880","10","6","0","0","4","60","15","42","3","0"
"Cross Plains","3,541","2","0","0","1","1","52","10","41","1","0"
"Cuba City","2,052","3","0","1","0","2","58","9","49","0","2"
"Cudahy","17,998","68","0","9","28","31","589","115","447","27","4"
"Cumberland","2,299","0","0","0","0","0","24","1","18","5","0"
"Dane","952","0","0","0","0","0","0","0","0","0","0"
"Darien","1,609","2","0","0","0","2","38","5","32","1","0"
"Darlington","2,328","9","0","0","0","9","32","3","27","2","0"
"DeForest","8,845","7","0","1","0","6","167","26","137","4","0"
"Delafield","6,975","14","0","0","2","12","125","12","111","2","0"
"Delavan","8,450","21","5","1","1","14","366","27","326","13","0"
"Delavan Town","4,906","17","0","0","0","17","117","23","89","5","0"
