"City","Population","Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson1"
"Ansonia","18,547","26","1","3","12","10","347","43","268","36","2"
"Avon","17,522","4","0","1","0","3","135","7","125","3","0"
"Berlin","20,515","21","0","2","9","10","479","82","366","31","3"
"Bethel","18,566","4","0","0","3","1","167","30","128","9","0"
"Bloomfield","20,833","32","0","4","12","16","553","77","423","53","1"
"Branford","29,020","45","0","13","9","23","806","77","670","59","1"
"Bridgeport","136,327","1,638","20","58","737","823","6,174","1,269","3,768","1,137","61"
"Bristol","60,994","236","1","27","51","157","1,462","348","1,027","87","0"
"Brookfield","16,504","6","0","1","4","1","167","27","131","9","0"
"Canton","10,251","3","0","0","1","2","126","16","105","5","0"
"Cheshire","28,864","7","0","0","2","5","293","50","232","11","0"
"Clinton","13,636","17","0","7","2","8","369","16","344","9","2"
"Coventry","12,278","12","0","1","0","11","137","33","98","6","0"
"Cromwell","13,631","17","2","0","3","12","315","29","265","21","1"
"Danbury","79,753","109","1","15","41","52","1,626","275","1,237","114","3"
"Darien","20,322","7","0","0","4","3","207","37","164","6","0"
"Derby","12,438","21","0","6","8","7","344","61","256","27","2"
"East Hampton","12,756","8","0","2","0","6","151","39","103","9","0"
"East Hartford","48,586","222","1","22","88","111","1,611","361","1,069","181","9"
"East Haven","28,686","50","0","4","22","24","819","121","590","108","3"
"Easton","7,374","1","0","0","0","1","29","6","23","0","0"
"East Windsor","10,717","17","0","3","7","7","400","43","329","28","2"
"Enfield","44,982","51","2","0","23","26","1,030","162","814","54","4"
"Fairfield","57,568","39","2","5","12","20","1,081","152","881","48","0"
"Farmington","25,262","10","0","0","7","3","681","71","577","33","4"
"Glastonbury","33,323","21","1","3","4","13","308","73","229","6","0"
"Granby","11,323","6","0","2","1","3","133","18","111","4","2"
"Greenwich","61,953","15","2","2","5","6","481","83","362","36","0"
"Groton","9,345","21","0","4","2","15","189","45","139","5","1"
"Groton Long Point","680","1","0","0","0","1","8","2","5","1","0"
"Groton Town","32,617","29","3","5","10","11","593","147","429","17","3"
"Guilford","22,491","30","0","5","3","22","382","59","309","14","0"
"Hamden","57,803","107","0","5","73","29","1,477","165","1,192","120","2"
"Hartford","124,610","1,503","31","61","629","782","6,374","1,000","4,048","1,326","97"
"Madison","18,901","5","0","1","3","1","218","53","156","9","2"
"Manchester","55,993","140","0","6","30","104","2,045","268","1,684","93","14"
"Meriden","59,345","172","2","10","72","88","2,043","409","1,473","161","4"
"Middlebury","7,356","2","0","0","0","2","63","12","47","4","0"
"Middletown","48,048","78","1","4","52","21","1,644","220","1,329","95","4"
"Milford","55,837","68","0","6","28","34","1,988","152","1,753","83","4"
"Monroe","19,415","17","0","1","3","13","184","42","135","7","0"
"Naugatuck","32,046","33","1","10","9","13","605","74","494","37","1"
"New Britain","70,553","278","1","11","146","120","3,514","788","2,096","630","3"
"New Canaan","19,946","4","0","1","1","2","150","15","132","3","0"
"Newington","29,653","24","1","5","15","3","847","88","694","65","2"
"New London","25,891","199","1","15","22","161","952","165","712","75","8"
"New Milford","28,601","12","0","4","1","7","306","73","212","21","0"
"Newtown","27,007","2","0","1","1","0","248","41","202","5","1"
"North Branford","14,468","14","0","3","2","9","214","37","164","13","1"
"North Haven","24,119","13","0","0","9","4","613","88","483","42","1"
"Norwalk","83,503","415","2","12","125","276","1,915","284","1,426","205","4"
"Norwich","36,471","178","1","28","49","100","944","272","610","62","19"
"Old Saybrook","10,559","4","0","0","1","3","217","24","187","6","0"
"Orange","13,887","4","0","0","3","1","473","45","420","8","0"
"Plainfield","15,552","13","0","1","2","10","130","36","77","17","1"
"Plainville","17,190","17","0","0","11","6","637","83","515","39","1"
"Plymouth","12,055","14","0","2","5","7","289","40","241","8","4"
"Portland","9,638","6","0","1","3","2","92","27","62","3","0"
"Putnam","9,329","24","0","7","3","14","183","27","146","10","2"
"Redding","8,909","0","0","0","0","0","51","7","44","0","0"
"Ridgefield","23,893","3","0","0","1","2","83","16","67","0","4"
"Rocky Hill","18,910","7","0","4","3","0","261","25","220","16","0"
"Seymour","16,338","35","0","13","4","18","222","31","174","17","0"
"Shelton","40,243","19","0","3","7","9","563","116","395","52","1"
"Simsbury","23,709","4","0","2","1","1","227","31","191","5","1"
"Southington","42,434","17","0","7","5","5","932","238","645","49","12"
"South Windsor","26,131","14","0","3","7","4","430","53","358","19","0"
"Stamford","118,597","390","5","27","172","186","2,131","325","1,590","216","8"
"Stonington","18,394","7","1","0","1","5","329","19","307","3","0"
"Stratford","48,891","144","2","4","59","79","1,548","208","1,159","181","20"
"Suffield","15,303","9","0","1","2","6","124","46","70","8","0"
"Thomaston","7,854","2","0","0","1","1","126","17","91","18","2"
"Torrington","35,478","54","1","11","11","31","734","156","540","38","7"
"Trumbull","34,807","21","0","0","15","6","742","61","637","44","0"
"Vernon","29,815","27","0","5","10","12","331","68","235","28","1"
"Wallingford","44,880","23","0","6","4","13","802","131","636","35","2"
"Waterbury","107,157","384","5","19","170","190","5,658","651","4,575","432","0"
"Waterford","18,788","58","0","4","6","48","496","50","432","14","1"
"Watertown","22,182","49","0","4","4","41","353","62","282","9","1"
"West Hartford","60,411","104","0","4","62","38","1,640","254","1,211","175","3"
"West Haven","52,714","383","0","0","60","323","1,587","235","1,166","186","6"
"Weston","10,217","1","0","0","0","1","72","8","63","1","2"
"Westport","26,596","28","0","2","4","22","435","72","348","15","3"
"Wethersfield","25,718","36","0","4","19","13","485","63","384","38","2"
"Willimantic","16,267","57","0","6","31","20","524","116","365","43","1"
"Wilton","17,720","3","0","0","2","1","109","19","89","1","1"
"Winchester","10,758","15","0","3","2","10","251","76","167","8","2"
"Windsor","28,813","24","1","6","13","4","610","59","489","62","3"
"Windsor Locks","12,544","16","0","5","7","4","202","30","162","10","0"
"Wolcott","16,557","2","0","0","1","1","258","47","188","23","2"
"Woodbridge","9,227","4","0","0","3","1","111","12","96","3","0"
