"City","Population","Violent
crime","Murder and 
nonnegligent 
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson1"
"Bethany Beach","958","2","0","0","0","2","142","13","129","0","1"
"Blades","1,017","1","0","0","0","1","3","2","1","0","0"
"Bridgeville","1,620","12","0","0","3","9","99","22","76","1","0"
"Camden","2,574","15","0","4","3","8","181","13","163","5","0"
"Cheswold","472","2","0","0","1","1","33","12","20","1","0"
"Clayton","1,480","8","0","1","1","6","42","6","32","4","0"
"Dagsboro","574","2","0","1","0","1","17","3","14","0","0"
"Delaware City","1,523","3","0","0","1","2","34","10","20","4","0"
"Delmar","1,517","3","0","0","2","1","66","14","48","4","0"
"Dewey Beach","316","13","0","0","2","11","78","9","67","2","1"
"Dover","36,291","298","4","19","81","194","2,016","186","1,705","125","13"
"Ellendale","352","0","0","0","0","0","0","0","0","0","0"
"Elsmere","5,701","39","1","2","11","25","219","46","150","23","0"
"Felton","876","1","0","0","0","1","7","3","4","0","0"
"Fenwick Island","363","0","0","0","0","0","18","3","14","1","0"
"Georgetown","5,196","64","0","8","29","27","272","70","191","11","0"
"Greenwood","902","2","0","0","1","1","8","1","7","0","0"
"Harrington","3,326","38","0","3","6","29","162","54","102","6","0"
"Laurel","3,891","68","0","2","24","42","216","51","157","8","1"
"Lewes","3,101","5","0","0","1","4","99","28","70","1","0"
"Middletown","12,006","87","0","3","26","58","388","79","288","21","2"
"Milford","8,472","107","0","6","41","60","576","94","447","35","3"
"Millsboro","2,560","10","0","1","0","9","183","39","144","0","1"
"Milton","1,823","10","0","3","1","6","83","45","38","0","0"
"Newark","30,115","172","0","9","57","106","1,157","192","888","77","11"
"New Castle","4,972","24","0","2","5","17","190","21","152","17","0"
"Newport","1,108","11","0","0","2","9","47","4","39","4","0"
"Ocean View","1,124","2","0","0","0","2","36","16","20","0","0"
"Rehoboth Beach","1,577","13","0","2","5","6","215","38","173","4","0"
"Seaford","7,231","76","0","4","31","41","385","82","297","6","0"
"Selbyville","1,783","7","0","0","2","5","128","45","79","4","0"
"Smyrna","8,581","73","0","8","15","50","288","57","221","10","0"
"South Bethany","522","0","0","0","0","0","23","6","17","0","0"
"Wilmington","72,888","1,410","26","27","573","784","3,806","834","2,333","639","3"
"Wyoming","1,392","5","0","0","2","3","14","2","11","1","0"
