"City","Population","Violent
crime","Murder and 
nonnegligent 
manslaughter","Forcible 
rape","Robbery","Aggravated 
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Alachua","9,398","43","0","1","6","36","359","96","247","16","0"
"Altamonte Springs","39,672","190","1","12","68","109","1,847","272","1,438","137","3"
"Altha","516","0","0","0","0","0","4","3","1","0","0"
"Apalachicola","2,197","4","0","0","0","4","52","16","35","1","0"
"Apopka","38,368","348","3","9","151","185","1,783","508","1,156","119","14"
"Arcadia","6,875","76","0","3","21","52","254","88","150","16","0"
"Astatula","1,815","1","0","0","0","1","12","6","6","0","0"
"Atlantic Beach","13,106","65","0","3","24","38","473","131","313","29","3"
"Atlantis","2,062","5","0","0","1","4","25","13","8","4","0"
"Auburndale","14,179","93","0","6","37","50","930","247","635","48","2"
"Aventura","29,683","68","0","2","41","25","2,295","105","2,114","76","0"
"Bal Harbour Village","3,083","4","0","0","0","4","58","5","51","2","0"
"Bartow","16,762","160","0","10","39","111","1,326","308","967","51","4"
"Bay Harbor Islands","4,893","4","0","0","0","4","86","40","38","8","0"
"Belleair","4,055","4","1","1","0","2","68","20","43","5","0"
"Belleair Beach","1,575","0","0","0","0","0","32","5","26","1","0"
"Belleair Bluffs","2,147","3","0","0","2","1","54","11","39","4","0"
"Belle Glade","16,494","415","8","12","84","311","1,362","416","850","96","10"
"Belleview","4,446","21","0","1","7","13","275","95","172","8","0"
"Biscayne Park","2,922","16","0","0","5","11","60","21","35","4","0"
"Blountstown","2,429","9","0","0","2","7","50","9","40","1","0"
"Boca Raton","84,630","210","1","15","74","120","3,254","564","2,505","185","1"
"Bonifay","2,749","4","0","2","1","1","28","8","19","1","0"
"Bowling Green","2,930","5","0","0","1","4","74","23","46","5","0"
"Boynton Beach","68,033","709","2","6","205","496","3,667","869","2,526","272","5"
"Bradenton","53,244","483","2","12","160","309","2,371","553","1,652","166","10"
"Bradenton Beach","1,534","7","0","0","1","6","56","10","45","1","0"
"Brooksville","7,898","72","2","4","14","52","369","77","269","23","2"
"Bunnell","1,879","44","0","0","12","32","105","30","51","24","0"
"Bushnell","2,223","16","0","2","2","12","153","28","119","6","0"
"Cape Coral","163,403","363","7","31","93","232","5,061","1,353","3,485","223","13"
"Carrabelle","1,233","9","0","1","0","8","46","16","20","10","0"
"Casselberry","24,527","145","1","3","36","105","1,076","219","784","73","7"
"Cedar Key","985","1","0","0","0","1","21","7","9","5","1"
"Center Hill","1,025","1","0","0","0","1","4","4","0","0","0"
"Chattahoochee","4,077","13","0","0","1","12","45","16","25","4","0"
"Chiefland","2,081","31","0","0","1","30","96","28","67","1","0"
"Chipley","3,697","18","0","3","2","13","79","25","50","4","0"
"Clearwater","104,986","991","11","38","318","624","4,785","856","3,678","251","21"
"Clermont","13,220","136","0","9","23","104","762","211","506","45","7"
"Clewiston","7,167","84","0","2","23","59","350","127","196","27","1"
"Cocoa","16,327","493","2","15","100","376","1,423","507","837","79","5"
"Cocoa Beach","11,817","105","1","4","20","80","868","128","705","35","1"
"Coconut Creek","50,511","104","1","10","30","63","1,432","249","1,085","98","1"
"Cooper City","29,060","95","0","2","16","77","722","123","569","30","9"
"Coral Gables","41,502","116","0","2","55","59","2,192","379","1,693","120","0"
"Coral Springs","126,222","312","4","2","99","207","2,950","549","2,178","223","5"
"Crescent City","1,800","9","0","0","3","6","59","26","31","2","0"
"Crestview","19,865","102","0","16","22","64","683","43","600","40","1"
"Cross City","1,812","13","0","1","5","7","97","32","63","2","0"
"Crystal River","3,509","20","0","1","4","15","218","47","159","12","0"
"Cutler Bay","28,760","202","0","14","68","120","1,900","332","1,407","161","0"
"Dade City","7,102","102","1","2","15","84","423","132","277","14","4"
"Dania","28,052","341","1","10","128","202","1,685","404","1,121","160","6"
"Davenport","2,188","4","0","0","2","2","77","50","24","3","0"
"Davie","90,268","394","2","27","129","236","3,420","586","2,508","326","15"
"Daytona Beach","63,642","995","8","30","362","595","4,644","1,051","3,131","462","10"
"Daytona Beach Shores","5,130","24","0","1","1","22","232","119","103","10","0"
"Deerfield Beach","73,665","524","0","14","139","371","2,691","576","1,899","216","5"
"De Funiak Springs","4,905","90","0","6","7","77","121","44","72","5","5"
"Deland","27,343","232","3","4","62","163","1,525","400","1,023","102","4"
"Delray Beach","63,795","676","2","23","208","443","3,527","763","2,541","223","9"
"Doral","22,898","111","0","9","22","80","2,730","287","2,196","247","2"
"Dunedin","35,844","125","1","14","26","84","1,163","223","893","47","3"
"Dunnellon","1,986","16","0","2","1","13","105","32","73","0","0"
"Eatonville","2,343","62","2","7","14","39","142","48","73","21","1"
"Edgewater","21,743","45","0","5","4","36","698","216","448","34","9"
"Edgewood","2,077","3","0","0","2","1","108","27","72","9","0"
"El Portal","2,290","9","0","0","0","9","50","19","29","2","0"
"Eustis","19,139","81","0","8","22","51","618","136","431","51","0"
"Fellsmere","4,710","13","0","0","6","7","91","47","35","9","0"
"Fernandina Beach","11,505","46","0","4","17","25","458","87","362","9","0"
"Flagler Beach","3,276","15","0","1","5","9","137","26","101","10","0"
"Florida City","9,730","269","1","1","78","189","1,144","230","857","57","8"
