"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Aberdeen","1,750","0","0","0","0","0","8","2","6","0","0"
"American Falls","4,080","11","0","2","1","8","104","9","92","3","1"
"Bellevue","2,207","10","0","0","0","10","43","15","26","2","0"
"Blackfoot","10,917","27","0","11","1","15","394","39","338","17","3"
"Boise","203,770","551","1","81","64","405","5,896","1,105","4,576","215","48"
"Bonners Ferry","2,636","3","0","1","0","2","38","6","30","2","0"
"Buhl","4,044","8","0","1","0","7","117","24","87","6","0"
"Caldwell","41,766","165","0","26","12","127","1,416","259","1,059","98","13"
"Cascade","1,003","1","0","0","0","1","3","0","3","0","0"
"Challis","869","6","0","2","0","4","21","1","20","0","0"
"Chubbuck","11,800","42","0","5","3","34","570","44","513","13","2"
"Cottonwood","1,034","5","0","0","0","5","8","4","4","0","0"
"Emmett","6,428","15","0","3","0","12","192","42","143","7","2"
"Filer","2,050","1","0","1","0","0","6","0","4","2","0"
"Fruitland","4,709","12","0","1","0","11","99","21","70","8","0"
"Garden City","11,676","31","0","5","3","23","405","107","272","26","7"
"Gooding","3,186","12","0","2","0","10","65","14","48","3","1"
"Grangeville","3,076","5","0","1","0","4","111","22","85","4","0"
"Hagerman","770","0","0","0","0","0","8","2","4","2","0"
"Hailey","8,058","32","0","3","0","29","120","53","54","13","0"
"Heyburn","2,665","3","0","0","0","3","29","9","16","4","0"
"Idaho Falls","53,566","219","1","30","12","176","1,669","306","1,282","81","6"
"Jerome","8,923","28","2","1","4","21","197","44","140","13","1"
"Kamiah","1,085","1","0","0","0","1","27","7","18","2","1"
"Kellogg","2,205","2","0","1","0","1","70","12","53","5","1"
"Ketchum","3,263","10","0","2","0","8","109","23","80","6","1"
"Kimberly","3,065","7","0","0","0","7","45","16","28","1","0"
"Lewiston","31,911","45","1","9","7","28","1,059","237","774","48","1"
"McCall","2,663","16","0","10","0","6","149","36","110","3","0"
"Meridian","69,466","108","1","7","13","87","1,146","266","843","37","12"
"Montpelier","2,323","3","0","1","0","2","65","8","57","0","0"
"Moscow","23,470","20","0","4","4","12","588","61","512","15","0"
"Mountain Home","12,328","43","0","2","5","36","382","43","328","11","5"
"Nampa","83,007","274","0","64","20","190","2,378","502","1,714","162","22"
"Orofino","3,052","20","0","1","1","18","99","38","55","6","4"
"Osburn","1,376","2","0","1","0","1","8","2","6","0","0"
"Parma","1,838","6","0","0","0","6","31","3","28","0","0"
"Payette","7,679","12","0","2","1","9","160","34","120","6","1"
"Pinehurst","1,544","0","0","0","0","0","16","1","11","4","0"
"Pocatello","54,946","185","1","37","11","136","1,654","260","1,328","66","11"
"Ponderay","704","4","0","0","1","3","82","8","73","1","1"
"Post Falls","26,473","79","0","13","4","62","591","95","464","32","4"
"Preston","4,980","3","0","0","0","3","84","12","72","0","3"
"Priest River","1,928","5","0","0","1","4","36","9","24","3","0"
"Rathdrum","6,876","10","0","1","0","9","137","19","106","12","1"
"Rexburg","29,177","8","0","0","0","8","229","42","176","11","1"
"Rigby","3,351","7","0","2","0","5","95","21","72","2","0"
"Rupert","5,010","12","0","3","0","9","98","17","76","5","0"
"Salmon","2,945","5","0","1","1","3","27","14","13","0","0"
"Sandpoint","8,402","13","0","1","0","12","237","48","181","8","0"
"Shelley","4,187","5","0","1","0","4","52","2","45","5","0"
"Soda Springs","3,065","4","0","0","1","3","35","5","28","2","0"
"Spirit Lake","1,744","8","0","0","0","8","34","13","18","3","1"
"St. Anthony","3,410","3","0","1","0","2","33","6","27","0","0"
"St. Maries","2,619","16","0","3","0","13","33","7","24","2","0"
"Sun Valley","1,450","4","0","1","1","2","28","9","18","1","0"
"Twin Falls","42,417","137","1","26","11","99","1,567","277","1,212","78","14"
"Weiser","5,318","10","0","0","1","9","102","29","65","8","0"
"Wendell","2,425","8","0","1","0","7","37","13","23","1","1"
"Wilder","1,431","1","0","0","0","1","26","3","23","0","0"
