"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Albion","2,328","0","0","0","0","0","0","0","0","0","0"
"Alexandria","5,839","5","0","2","1","2","242","34","205","3","1"
"Anderson","57,019","199","3","29","97","70","2,893","569","2,073","251","20"
"Angola","7,951","8","0","0","3","5","463","31","420","12","5"
"Auburn","12,926","10","0","4","2","4","416","48","356","12","1"
"Aurora","4,072","34","0","2","1","31","90","17","70","3","0"
"Bargersville","2,730","4","0","0","0","4","0","0","0","0","0"
"Batesville","6,420","6","0","0","0","6","95","20","75","0","1"
"Bedford","13,458","30","1","6","5","18","559","72","466","21","3"
"Beech Grove","14,191","34","0","4","22","8","523","107","342","74","0"
"Berne","4,243","0","0","0","0","0","55","9","44","2","1"
"Bloomington","72,337","268","3","31","43","191","2,782","635","1,997","150","24"
"Bluffton","9,333","2","0","1","1","0","285","58","220","7","0"
"Boonville","6,713","0","0","0","0","0","181","5","167","9","0"
"Brazil","8,212","77","0","0","2","75","278","54","211","13","2"
"Bremen","4,659","1","0","0","0","1","73","21","46","6","0"
"Brownsburg","20,122","28","0","1","3","24","335","45","268","22","1"
"Burns Harbor","1,122","2","0","0","0","2","43","8","32","3","0"
"Carmel","65,982","23","0","3","5","15","970","134","788","48","2"
"Cedar Lake","10,817","10","0","3","3","4","314","55","231","28","2"
"Charlestown","7,252","4","0","1","1","2","313","74","232","7","0"
"Chesterfield","2,738","4","0","0","1","3","58","8","49","1","0"
"Chesterton","12,830","11","0","2","5","4","352","60","284","8","2"
"Clarks Hill","689","1","0","0","0","1","5","3","1","1","1"
"Clinton","4,817","13","0","2","1","10","97","30","59","8","3"
"Columbia City","8,307","9","0","2","1","6","166","25","128","13","0"
"Columbus","39,889","46","1","5","13","27","1,978","177","1,695","106","2"
"Corydon","2,755","0","0","0","0","0","39","9","23","7","0"
"Crawfordsville","15,061","29","0","3","9","17","770","139","606","25","2"
"Crown Point","24,479","10","0","2","6","2","643","48","545","50","5"
"Culver","1,494","1","0","0","0","1","21","7","14","0","0"
"Danville","8,229","7","0","0","0","7","117","15","91","11","0"
"Decatur","9,484","8","0","0","2","6","88","12","67","9",""
"Dyer","15,924","10","0","2","6","2","376","24","335","17","1"
"East Chicago","29,890","300","17","7","162","114","1,889","407","1,272","210","5"
"Elkhart","52,654","210","7","33","161","9","3,567","906","2,464","197","31"
"Elwood","8,968","6","1","0","4","1","670","188","455","27","0"
"Evansville","115,639","462","5","65","124","268","5,433","1,104","4,083","246","96"
"Fairmount","2,711","7","0","0","0","7","77","14","60","3","0"
"Fishers","70,594","26","0","4","12","10","936","89","804","43","1"
"Fort Wayne","251,194","816","25","96","479","216","10,314","2,410","7,238","666","96"
"Franklin","23,088","91","0","11","5","75","1,086","106","962","18","1"
"Gary","95,699","890","49","51","254","536","4,148","1,406","1,766","976",""
"Gas City","5,662","5","0","0","0","5","173","29","137","7","0"
"Georgetown","3,034","2","0","0","1","1","21","4","16","1","0"
"Goshen","32,152","45","0","13","21","11","1,282","196","1,048","38","17"
"Greendale","4,370","14","0","0","2","12","68","30","35","3","0"
"Greenfield","18,872","12","0","2","6","4","339","48","275","16","3"
"Greenwood","47,770","189","0","5","15","169","1,831","106","1,623","102","10"
"Griffith","16,216","39","2","5","13","19","728","119","560","49","1"
"Hagerstown","1,628","1","0","0","0","1","42","17","23","2","0"
"Hammond","76,498","671","13","37","232","389","3,921","1,020","2,399","502","56"
"Hartford City","6,281","10","0","2","3","5","212","63","139","10","0"
"Highland","22,608","36","0","3","20","13","899","108","736","55","0"
"Hobart","28,139","75","1","5","24","45","1,463","186","1,167","110","6"
"Huntington","16,537","30","0","8","2","20","400","63","321","16","5"
"Indianapolis","808,329","9,735","114","475","4,023","5,123","49,177","14,267","28,466","6,444","367"
"Jasper","14,039","7","0","0","1","6","182","23","152","7","0"
"Kokomo","45,779","217","3","19","59","136","2,684","519","2,078","87","5"
"Lafayette","63,990","325","3","24","53","245","3,000","610","2,191","199","16"
"La Porte","21,031","47","0","10","17","20","1,476","226","1,192","58","10"
"Ligonier","4,517","2","0","0","0","2","66","13","46","7","0"
"Logansport","18,626","20","0","7","8","5","904","139","731","34","2"
"Lowell","8,386","3","0","0","1","2","142","14","123","5","0"
"Marion","30,127","78","1","14","49","14","1,565","326","1,115","124","23"
"Martinsville","11,717","19","0","2","6","11","928","84","811","33","0"
"Merrillville","32,353","50","4","0","24","22","961","121","733","107","5"
"Michigan City","31,726","123","5","8","64","46","1,770","315","1,315","140","11"
"Mishawaka","49,756","189","0","16","75","98","3,482","500","2,776","206","18"
"Monticello","5,245","3","0","0","2","1","202","28","169","5","1"
"Mooresville","11,788","10","0","0","4","6","355","41","278","36","0"
"Muncie","65,084","349","0","30","78","241","2,627","494","2,003","130","43"
"Munster","22,217","7","0","0","6","1","529","56","445","28","0"
"Nappanee","7,164","1","0","0","1","0","195","11","178","6","1"
"New Albany","36,934","125","0","7","39","79","2,244","351","1,755","138","29"
"New Castle","18,229","18","0","6","11","1","1,572","344","1,160","68","4"
"New Haven","13,735","13","0","3","5","5","372","72","263","37","0"
"New Whiteland","5,851","13","0","0","0","13","112","8","103","1","0"
"Noblesville","43,333","56","0","18","11","27","986","176","771","39","5"
"North Liberty","1,339","2","0","0","0","2","8","1","6","1","0"
"North Manchester","5,836","17","0","4","3","10","148","23","124","1","0"
"North Vernon","6,294","10","0","0","2","8","269","44","219","6","0"
"Oakland City","2,521","3","0","0","1","2","67","15","51","1","0"
"Plainfield2","26,769","63","0","10","7","46","945","95","783","67","1"
"Plymouth","11,126","9","0","5","1","3","456","60","377","19","2"
"Portage","36,887","173","1","6","10","156","1,462","248","1,148","66","2"
"Portland","6,163","8","1","0","0","7","311","31","275","5","1"
"Richmond","36,738","153","0","16","42","95","1,706","433","1,088","185","58"
"Rushville","6,090","6","0","0","0","6","182","34","144","4","0"
"Salem","6,535","5","0","0","0","5","19","7","12","0","0"
"Schererville","29,320","19","0","3","8","8","864","80","729","55","0"
"Scottsburg","5,939","40","0","2","4","34","363","78","279","6","0"
"Seymour","19,269","95","0","4","5","86","1,283","132","1,076","75","5"
"South Bend","103,561","819","15","73","409","322","6,965","2,284","4,179","502","75"
"South Whitley","1,859","0","0","0","0","0","15","3","12","0","0"
"Speedway","12,527","59","1","2","47","9","584","81","456","47","0"
