"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Addis","3,590","13","0","0","0","13","5","0","5","0","0"
"Amite","4,322","90","0","0","7","83","424","100","299","25","7"
"Baker","13,550","24","1","0","2","21","500","105","379","16","4"
"Basile","2,390","8","0","1","0","7","14","6","8","0","1"
"Baton Rouge","226,920","2,690","67","65","1,032","1,526","12,468","3,783","7,711","974","225"
"Bernice","1,635","17","0","0","3","14","8","2","6","0","0"
"Blanchard","2,590","0","0","0","0","0","51","15","32","4","0"
"Bogalusa","12,607","147","5","13","40","89","789","281","457","51","4"
"Bossier City","62,500","1,173","6","24","104","1,039","2,704","431","2,095","178","2"
"Breaux Bridge","8,059","18","0","0","1","17","26","9","13","4",""
"Brusly","2,151","0","0","0","0","0","0","0","0","0","0"
"Clinton","1,878","31","0","1","1","29","49","19","29","1","0"
"Coushatta","2,095","13","0","1","2","10","46","8","38","0","0"
"Covington","9,553","38","1","1","7","29","265","61","195","9","1"
"Cullen","1,379","14","0","2","1","11","12","4","7","1","0"
"Denham Springs","10,269","71","0","10","35","26","893","286","601","6","0"
"De Quincy","3,214","9","0","1","0","8","89","18","69","2","0"
"De Ridder","10,134","51","0","2","1","48","210","70","139","1",""
"Elton","1,232","3","0","1","0","2","28","6","22","0",""
"Farmerville","3,637","45","0","0","7","38","160","41","116","3","1"
"Franklin","7,694","98","0","2","11","85","477","62","413","2",""
"Franklinton","3,719","55","2","2","8","43","263","49","209","5","0"
"French Settlement","1,071","4","0","0","0","4","20","1","19","0","0"
"Golden Meadow","2,122","9","0","0","0","9","7","2","2","3","0"
"Gonzales","9,252","35","1","1","4","29","247","7","226","14","0"
"Gramercy","6,798","32","1","0","1","30","144","17","118","9","0"
"Gretna","15,821","194","5","9","42","138","704","144","463","97","0"
"Hammond","19,825","431","0","15","73","343","2,488","1,000","1,319","169","0"
"Harahan","8,976","16","1","1","2","12","138","26","105","7","5"
"Houma","32,592","286","0","11","80","195","1,458","302","1,082","74","16"
"Iowa","2,599","10","0","0","3","7","119","25","86","8","1"
"Jennings","10,496","60","3","5","6","46","322","78","230","14","6"
"Kenner","64,597","376","7","20","129","220","2,623","528","1,848","247","26"
"Kentwood","2,259","0","0","0","0","0","180","45","134","1","0"
"Lafayette","113,770","1,276","10","73","307","886","6,766","1,421","4,839","506","34"
"Lake Providence","4,232","44","1","0","2","41","31","9","22","0","0"
"Mamou","3,438","43","0","3","2","38","128","19","103","6","2"
"Mandeville","12,047","32","0","1","3","28","347","52","283","12","1"
"Mansfield","5,395","61","0","1","1","59","224","40","177","7","0"
"Many","2,741","6","0","0","0","6","34","7","25","2","0"
"Marksville","5,676","64","1","0","4","59","413","105","296","12",""
"Minden","13,019","23","0","2","6","15","208","50","148","10","0"
"Monroe","50,988","493","11","21","141","320","4,360","1,219","3,010","131","0"
"Moreauville","927","4","0","0","0","4","12","3","9","0","0"
"Morgan City","11,626","79","1","7","17","54","523","87","418","18","0"
"New Orleans","281,440","2,869","179","65","1,085","1,540","14,880","4,591","7,081","3,208",""
"Olla","1,345","2","1","0","0","1","35","8","25","2","0"
"Pearl River","2,220","21","0","2","2","17","113","25","82","6","0"
"Pineville","14,725","42","0","4","7","31","827","217","569","41","0"
"Plaquemine","6,688","75","2","1","2","70","376","47","315","14","0"
"Pollock","381","6","0","0","1","5","11","5","6","0","0"
"Ponchatoula","6,482","95","0","3","14","78","531","177","325","29","0"
"Port Allen","5,034","23","0","2","3","18","184","50","121","13","0"
"Ruston","21,056","158","1","14","36","107","1,135","289","806","40","1"
"Shreveport","199,434","1,897","27","105","474","1,291","10,553","2,512","7,182","859","94"
"Slidell","27,379","129","0","11","23","95","1,799","230","1,492","77","0"
"Sterlington","1,341","5","0","1","0","4","23","8","15","0","0"
"Stonewall","1,913","2","0","0","0","2","12","5","6","1","3"
"Tallulah","7,539","66","0","4","8","54","262","105","152","5","3"
"Thibodaux","14,126","98","2","3","19","74","595","107","476","12","0"
"Tickfaw","694","0","0","0","0","0","30","2","24","4","0"
"Vinton","3,140","12","1","1","1","9","107","20","86","1","0"
"Westlake","4,565","15","0","1","4","10","141","32","94","15","0"
"West Monroe","12,916","79","0","2","7","70","1,057","196","816","45","2"
"Westwego","9,711","36","0","0","3","33","237","60","161","16","0"
"Zachary","14,445","48","0","0","7","41","198","19","162","17","0"
