"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Adrian","21,241","96","2","31","13","50","776","149","601","26","3"
"Algonac","4,571","9","0","1","1","7","43","8","31","4","0"
"Allegan","4,849","63","0","7","0","56","61","7","52","2","1"
"Alma","9,144","10","0","6","0","4","112","44","66","2","1"
"Almont","2,785","11","0","1","0","10","89","14","72","3","0"
"Alpena","10,395","43","1","9","1","32","336","70","247","19","4"
"Ann Arbor","115,148","295","0","32","66","197","3,121","622","2,353","146","13"
"Armada","1,662","0","0","0","0","0","14","0","14","0","0"
"Auburn Hills","20,952","66","0","15","19","32","1,056","123","877","56","6"
"Bad Axe","3,076","1","0","0","1","0","147","10","136","1","6"
"Bangor","1,839","10","0","0","0","10","70","9","59","2","1"
"Bath Township","11,846","10","0","0","3","7","102","32","67","3","1"
"Battle Creek","61,405","702","4","62","118","518","3,449","1,056","2,245","148","16"
"Bay City","33,703","198","3","30","35","130","1,120","328","725","67","8"
"Beaverton","1,073","7","0","0","0","7","25","6","17","2","0"
"Belding","5,727","24","0","12","0","12","290","37","242","11","1"
"Belleville","3,593","9","0","0","3","6","104","7","95","2","0"
"Benton Harbor","10,677","120","0","9","20","91","250","84","140","26","5"
"Benton Township","15,136","146","0","17","34","95","1,379","238","1,072","69","8"
"Berkley","14,770","10","0","1","3","6","181","26","140","15","3"
"Berrien Springs-Oronoko Township","9,436","10","0","2","2","6","220","24","185","11","1"
"Beverly Hills","9,856","7","0","0","4","3","123","17","102","4","0"
"Big Rapids","10,565","22","0","5","3","14","392","57","325","10","5"
"Birch Run","1,648","4","0","0","1","3","109","9","97","3","0"
"Birmingham","19,010","21","0","1","7","13","415","70","326","19","15"
"Blissfield","3,202","1","0","0","0","1","49","5","43","1","0"
"Bloomfield Hills","3,770","2","0","1","1","0","44","10","30","4","1"
"Bloomfield Township","40,866","28","0","4","11","13","646","139","476","31","1"
"Bridgeport Township","10,855","56","1","6","11","38","329","105","208","16","3"
"Bridgman","2,396","1","0","0","0","1","60","6","52","2","0"
"Brighton","7,237","25","0","7","3","15","210","22","175","13","0"
"Brown City","1,265","0","0","0","0","0","23","0","20","3","0"
"Buchanan","4,343","21","0","8","2","11","203","20","178","5","0"
"Buena Vista Township","9,374","129","0","13","25","91","500","227","243","30","9"
"Burton","30,303","151","1","13","52","85","1,416","326","980","110","12"
"Cadillac","10,351","53","0","10","1","42","480","76","391","13","2"
"Calumet","792","0","0","0","0","0","28","4","20","4","0"
"Cambridge Township","5,928","0","0","0","0","0","4","0","4","0","0"
"Canton Township","84,506","120","0","14","27","79","1,546","256","1,167","123","11"
"Capac","2,179","4","0","1","0","3","61","17","41","3","0"
"Caro2","4,044","2","0","1","0","1","31","5","26","0","0"
"Carrollton Township","5,973","18","0","1","3","14","178","48","123","7","1"
"Caseville","842","1","0","0","0","1","36","5","29","2","0"
"Cassopolis","1,856","6","0","0","1","5","20","3","17","0","0"
"Cedar Springs","3,280","6","0","2","0","4","102","18","79","5","0"
"Center Line","8,127","24","0","0","8","16","218","47","128","43","0"
"Central Lake","974","0","0","0","0","0","11","1","10","0","0"
"Charlevoix","2,654","8","0","4","0","4","82","12","69","1","1"
"Charlotte","9,045","28","0","10","2","16","286","41","236","9","2"
"Chelsea","5,095","8","0","2","0","6","109","15","92","2","1"
"Chesaning","2,345","8","0","1","0","7","37","10","25","2","0"
"Chesterfield Township","45,492","183","1","8","15","159","1,270","204","974","92","15"
"Chikaming Township","3,643","1","0","0","0","1","62","11","49","2","0"
"Chocolay Township","6,017","0","0","0","0","0","47","3","44","0","2"
"Clare","3,125","9","0","2","0","7","165","20","143","2","1"
"Clarkston","913","1","0","0","0","1","7","1","6","0","0"
"Clawson","12,213","14","0","1","6","7","115","12","93","10","1"
"Clayton Township","7,830","4","0","1","0","3","73","27","45","1","0"
"Clay Township","9,564","8","0","4","2","2","169","39","109","21","0"
"Clinton","2,428","3","0","0","0","3","43","6","35","2","1"
"Clinton Township","96,315","328","2","31","71","224","2,494","599","1,582","313","25"
"Clio","2,534","13","0","3","5","5","85","15","66","4","4"
"Coldwater","10,640","36","1","12","5","18","451","43","390","18","4"
"Coleman","1,127","9","0","1","0","8","50","4","43","3","0"
"Coloma Township","6,533","4","0","1","0","3","190","62","125","3","1"
"Columbia Township","7,656","4","0","2","0","2","213","52","150","11","8"
"Corunna","3,314","7","0","2","2","3","93","16","71","6","0"
"Covert Township","3,064","23","0","5","0","18","80","26","46","8","0"
"Davison","5,176","3","0","1","1","1","118","13","101","4","0"
"Davison Township","18,745","28","0","4","2","22","264","73","174","17","3"
"Dearborn","87,482","385","0","25","155","205","4,350","614","2,905","831","24"
"Dearborn Heights","52,538","208","1","13","62","132","1,396","376","726","294","14"
"Decatur","1,835","15","0","3","1","11","173","25","144","4","2"
"Denton Township","5,499","6","0","2","0","4","109","20","86","3","1"
"Detroit","905,783","17,428","306","330","6,115","10,677","53,095","17,818","18,836","16,441","691"
"Dewitt","4,394","6","0","0","0","6","46","6","39","1","0"
"Dewitt Township","13,222","22","0","2","5","15","129","27","93","9","1"
"Douglas","2,166","4","0","2","0","2","82","12","65","5","1"
"Dryden Township","4,655","7","0","1","0","6","51","11","37","3","0"
"Durand","3,773","4","0","2","0","2","92","17","72","3","1"
"East Grand Rapids","10,406","3","0","1","0","2","161","42","116","3","0"
"East Jordan","2,236","3","0","1","0","2","75","2","73","0","0"
"East Lansing2","46,215","188","0","17","27","144","1,038","270","718","50","28"
"Eastpointe","32,464","212","0","17","58","137","1,137","213","538","386","14"
"East Tawas","2,738","9","0","1","1","7","133","14","117","2","0"
"Eaton Rapids","5,295","18","0","2","0","16","141","12","127","2","2"
"Eau Claire","618","0","0","0","0","0","14","2","12","0","0"
"Elk Rapids","1,688","2","0","2","0","0","60","10","49","1","0"
"Elkton","759","0","0","0","0","0","19","4","15","0","0"
"Erie Township","4,707","2","0","0","0","2","50","11","35","4","0"
"Escanaba","12,198","34","0","7","2","25","740","125","598","17","2"
"Essexville","3,478","7","0","0","2","5","98","20","76","2","2"
"Farmington","9,826","16","1","2","5","8","185","29","135","21","2"
"Farmington Hills","78,602","144","0","17","24","103","1,621","341","1,118","162","10"
"Fenton","11,938","18","0","6","1","11","280","48","215","17","1"
"Ferndale","21,056","88","1","4","34","49","739","156","442","141","2"
"Flat Rock","9,016","27","0","2","2","23","193","55","125","13","1"
"Flint","113,462","2,297","32","103","686","1,476","6,889","3,273","2,707","909","145"
"Flushing","7,879","7","0","3","1","3","109","20","79","10","0"
"Flushing Township","10,240","8","0","4","0","4","120","27","83","10","1"
"Forsyth Township","4,880","12","0","2","1","9","35","5","26","4","2"
"Fowlerville","3,092","14","0","1","1","12","112","6","101","5","0"
"Frankenmuth","4,687","8","1","0","0","7","75","6","69","0","0"
"Frankfort","1,460","0","0","0","0","0","38","8","30","0","1"
"Franklin","2,935","2","0","0","2","0","38","5","33","0","0"
"Fraser","14,919","35","0","5","4","26","620","222","362","36","2"
"Fremont","4,216","8","0","4","0","4","182","19","162","1","2"
"Fruitport2","1,075","15","0","2","7","6","566","47","511","8","0"
"Garden City","27,036","103","1","9","28","65","715","174","461","80","3"
"Gaylord","3,658","13","0","5","1","7","216","33","180","3","2"
"Genesee Township","23,362","94","0","14","18","62","479","157","267","55","14"
"Gerrish Township","3,125","1","0","1","0","0","36","5","31","0","0"
"Gibraltar","5,028","17","0","3","0","14","91","5","73","13","2"
"Gladstone","5,109","5","0","2","0","3","79","11","67","1","0"
"Gladwin","2,923","21","0","1","0","20","133","19","114","0","0"
"Grand Blanc","7,595","25","0","5","5","15","170","35","123","12","2"
"Grand Haven","10,486","47","0","10","6","31","314","37","274","3","0"
"Grand Ledge","7,735","4","0","1","1","2","162","20","136","6","0"
"Grand Rapids","193,096","1,981","15","81","767","1,118","9,209","2,286","6,470","453","97"
"Grandville","16,828","35","0","1","5","29","891","108","760","23","1"
"Grayling","1,837","1","0","0","0","1","72","5","66","1","0"
"Green Oak Township","17,964","16","0","1","1","14","265","42","206","17","1"
"Greenville","8,183","21","0","7","2","12","457","62","388","7","2"
"Grosse Pointe","5,057","5","0","0","4","1","109","4","88","17","0"
"Grosse Pointe Farms","8,699","14","0","1","4","9","163","12","119","32","0"
"Grosse Pointe Park","11,099","17","0","0","7","10","305","32","204","69","0"
"Grosse Pointe Shores","2,532","0","0","0","0","0","5","0","5","0","0"
"Grosse Pointe Woods","15,313","19","0","0","0","19","285","34","219","32","1"
"Hamburg Township","21,893","12","0","2","1","9","196","39","149","8","0"
"Hampton Township","9,704","11","0","3","0","8","449","57","379","13","0"
"Hamtramck","20,722","372","1","7","146","218","1,369","446","480","443","15"
"Hancock","4,129","5","0","1","0","4","70","13","50","7","0"
"Harbor Beach","1,621","0","0","0","0","0","43","10","33","0","0"
"Harbor Springs","1,543","0","0","0","0","0","32","0","31","1","0"
"Harper Woods","12,708","147","0","7","74","66","1,339","134","923","282","4"
"Hart","1,923","3","0","0","1","2","127","25","100","2","0"
"Hastings","6,915","23","1","8","0","14","277","36","231","10","1"
"Hazel Park","18,016","63","0","5","20","38","701","153","338","210","6"
"Hillsdale","7,841","10","0","2","4","4","160","22","138","0","0"
"Holland","33,874","135","1","30","23","81","1,207","186","989","32","5"
"Holly","6,342","23","0","3","0","20","159","38","116","5","0"
"Houghton","6,910","12","0","1","0","11","132","10","119","3","1"
"Howell","9,830","32","0","3","1","28","320","54","250","16","1"
"Hudson","2,328","4","0","2","0","2","83","8","73","2","1"
"Huntington Woods","5,806","3","0","0","2","1","46","8","37","1","1"
"Huron Township","15,731","32","0","8","1","23","313","88","201","24","1"
"Imlay City","3,725","11","0","0","0","11","88","9","77","2","0"
"Inkster","26,899","439","2","33","118","286","1,035","434","411","190","21"
"Ionia","12,689","15","0","10","0","5","238","33","198","7","0"
"Iron Mountain2","7,776","0","0","0","0","0","3","0","3","0","0"
"Iron River","3,007","7","0","1","1","5","82","18","63","1","0"
"Ishpeming","6,449","7","0","2","1","4","144","20","120","4","0"
"Ishpeming Township","3,606","1","0","1","0","0","24","6","18","0","0"
"Ithaca","3,024","0","0","0","0","0","71","3","68","0","0"
"Jackson","33,755","323","2","62","57","202","1,893","408","1,392","93","13"
"Jonesville","2,248","2","0","1","0","1","89","13","75","1","2"
"Kalamazoo","72,110","742","1","60","221","460","4,244","1,170","2,806","268","44"
"Kalkaska","2,182","5","1","0","0","4","110","15","94","1","0"
"Keego Harbor","2,852","7","0","0","0","7","36","9","27","0","0"
"Kentwood","47,573","280","0","28","68","184","1,716","335","1,308","73","7"
