"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson2"
"Albany","2,132","","0","","0","1","10","1","8","1","0"
"Albert Lea","17,447","","0","","7","22","367","41","313","13","1"
"Alexandria","11,373","","0","","1","13","455","41","407","7","1"
"Annandale","3,126","","0","","0","5","116","8","103","5","0"
"Anoka","17,161","","1","","9","17","830","112","684","34","3"
"Appleton","3,121","","0","","0","4","31","5","24","2","0"
"Apple Valley","50,619","","0","","22","40","1,477","161","1,281","35","5"
"Arden Hills","9,920","","0","","2","3","142","23","104","15","2"
"Austin","22,875","","0","","8","27","865","129","703","33","3"
"Avon","1,320","","0","","0","1","38","19","19","0","0"
"Babbitt","1,579","","0","","0","0","0","0","0","0","0"
"Baxter","8,464","","0","","0","8","299","21","276","2","1"
"Bayport","3,254","","0","","0","0","51","12","35","4","0"
"Becker","4,308","","0","","0","1","3","0","3","0","0"
"Belgrade","710","","0","","0","0","0","0","0","0","0"
"Belle Plaine","5,146","","0","","1","3","92","11","79","2","1"
"Bemidji","13,574","","0","","3","35","1,004","77","894","33","2"
"Benson","3,045","","0","","1","3","61","15","43","3","0"
"Big Lake","10,135","","0","","0","12","249","29","212","8","2"
"Biwabik","959","","0","","0","1","12","5","7","0","0"
"Blackduck","766","","0","","0","0","31","2","29","0","0"
"Blaine","56,808","","1","","7","39","2,353","227","2,053","73","10"
"Bloomington","80,996","","1","","51","60","3,213","255","2,798","160","12"
"Blue Earth","3,263","","0","","0","8","46","12","32","2","1"
"Brainerd","13,733","","1","","3","45","613","98","489","26","4"
"Breckenridge","3,225","","0","","0","2","68","17","50","1","0"
"Brooklyn Center","27,289","","2","","92","85","2,038","287","1,598","153","18"
"Brooklyn Park","71,891","","1","","118","154","3,059","606","2,241","212","20"
"Browns Valley","604","","0","","0","4","17","4","12","1","0"
"Brownton","785","","0","","0","1","5","4","1","0","0"
"Buffalo","14,614","","0","","0","10","372","28","332","12","3"
"Burnsville","58,974","","0","","34","20","2,076","266","1,736","74","4"
"Caledonia","2,848","","0","","0","3","59","8","49","2","0"
"Cambridge","7,907","","0","","2","5","421","33","371","17","0"
"Cannon Falls","4,053","","0","","3","4","157","14","138","5","2"
"Centennial Lakes","11,261","","0","","2","7","213","16","193","4","0"
"Champlin","23,785","","0","","4","9","518","74","427","17","1"
"Chaska","24,847","","1","","3","15","352","34","309","9","7"
"Chisholm","4,571","","0","","1","5","179","55","121","3","0"
"Cloquet","11,369","","0","","1","17","509","50","427","32","0"
"Cold Spring","3,788","","0","","0","6","74","10","63","1","0"
"Columbia Heights","17,894","","2","","37","32","890","158","646","86","10"
"Coon Rapids","61,776","","0","","33","69","2,899","208","2,592","99","14"
"Corcoran","5,762","","0","","0","1","80","12","62","6","1"
"Cottage Grove","33,396","","0","","4","14","723","92","604","27","4"
"Crookston","7,668","","0","","1","6","29","11","15","3","2"
"Crosby","2,218","","0","","0","2","94","5","81","8","1"
"Crystal","21,503","","0","","18","20","779","149","596","34","7"
"Dawson","1,355","","0","","0","0","8","2","5","1","0"
"Dayton","4,675","","0","","0","2","44","13","26","5","0"
"Deephaven-Woodland","4,204","","0","","0","2","38","4","34","0","0"
"Detroit Lakes","8,094","","0","","1","12","308","35","260","13","1"
"Dilworth","3,674","","0","","0","3","96","1","94","1","0"
"Duluth","84,171","","2","","128","195","4,211","520","3,524","167","18"
"Eagan","63,754","","0","","21","27","1,627","190","1,398","39","3"
"Eagle Lake","2,202","","0","","0","1","13","4","7","2","0"
"East Grand Forks","7,768","","0","","1","7","225","32","183","10","1"
"Eden Prairie","62,516","","0","","10","33","1,333","138","1,166","29","8"
"Elk River","23,659","","0","","4","14","810","91","694","25","9"
"Elmore","657","","0","","0","4","6","2","4","0","0"
"Ely","3,487","","0","","0","3","70","12","54","4","1"
"Eveleth","3,561","","0","","2","11","128","27","94","7","0"
"Fairmont","10,173","","0","","1","10","348","29","315","4","0"
"Falcon Heights","5,465","","0","","0","1","122","24","91","7","0"
"Faribault","22,082","","0","","2","44","678","122","518","38","11"
"Farmington","19,634","","0","","1","6","232","49","177","6","2"
"Fergus Falls","13,699","","0","","1","31","423","81","332","10","3"
"Floodwood","490","","0","","0","0","14","2","12","0","0"
"Forest Lake","17,965","","0","","2","7","587","69","465","53","1"
"Fridley","25,746","","1","","38","48","1,517","151","1,261","105","11"
"Gilbert","1,743","","0","","0","1","34","10","23","1","0"
"Glencoe","5,602","","0","","1","5","130","8","120","2","0"
"Glenwood","2,525","","0","","0","4","27","6","20","1","0"
"Golden Valley","19,969","","0","","18","19","586","124","440","22","3"
"Goodview","3,460","","0","","1","5","46","12","28","6","0"
"Grand Rapids","8,715","","0","","0","10","317","29","271","17","1"
"Granite Falls","2,869","","0","","0","4","41","3","33","5","0"
"Hallock","1,007","","0","","0","0","0","0","0","0","0"
"Hastings","22,125","","1","","5","12","670","90","552","28","6"
"Hermantown","9,435","","1","","0","5","307","43","250","14","1"
"Hibbing","16,155","","1","","0","6","165","54","106","5","0"
"Hilltop","734","","0","","2","8","73","10","52","11","0"
"Hokah","567","","0","","0","0","15","3","12","0","0"
"Hopkins","16,756","","1","","25","22","517","117","357","43","1"
"Houston","969","","0","","0","1","19","1","15","3","0"
"Hoyt Lakes","1,947","","0","","0","0","1","0","1","0","0"
"Hutchinson","14,023","","0","","4","12","415","41","364","10","7"
"International Falls","5,964","","0","","0","8","180","39","131","10","0"
"Inver Grove Heights","34,007","","0","","10","17","797","137","588","72","8"
"Jackson","3,333","","0","","1","8","68","14","50","4","1"
"Janesville","2,227","","0","","0","0","22","8","14","0","0"
"Jordan","5,647","","0","","0","4","96","8","85","3","0"
"Kasson","5,649","","0","","0","1","36","4","26","6","0"
"Kimball","713","","0","","0","3","9","1","6","2","0"
"Lake City","5,327","","0","","0","3","116","14","94","8","0"
"Lake Crystal","2,629","","0","","0","3","63","7","55","1","1"
"Lakefield","1,631","","0","","1","2","10","2","8","0","0"
"Lakes Area","8,349","","0","","1","10","183","23","149","11","4"
"Lakeville","55,600","","1","","6","20","1,039","120","899","20","4"
