"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Aberdeen","6,025","30","0","2","9","19","135","42","84","9","0"
"Ackerman","1,504","2","1","0","0","1","4","0","3","1","0"
"Amory","7,219","17","0","2","11","4","293","55","231","7","1"
"Batesville","7,815","40","0","7","11","22","529","133","376","20","0"
"Bay St. Louis","8,200","10","0","3","4","3","322","59","242","21","2"
"Booneville","8,532","10","0","3","1","6","291","69","222","0","2"
"Brandon","21,151","10","0","4","3","3","240","60","169","11","5"
"Brookhaven","9,997","27","0","0","23","4","342","38","296","8","0"
"Byhalia","1,300","7","1","0","0","6","60","15","41","4","0"
"Canton","12,469","66","1","13","16","36","481","235","225","21","0"
"Charleston","1,884","31","1","0","21","9","87","26","61","0","0"
"Clarksdale","18,029","139","5","14","56","64","998","495","432","71","9"
"Cleveland","12,292","74","0","0","33","41","942","159","771","12","10"
"Clinton","26,564","33","0","9","16","8","501","144","305","52","2"
"Collins","2,746","9","0","1","2","6","175","25","139","11","0"
"Columbus","23,802","97","1","16","45","35","966","199","725","42","7"
"Drew","2,174","26","0","5","3","18","77","54","22","1",""
"Edwards","1,302","1","0","0","0","1","7","5","1","1","0"
"Florence","3,520","0","0","0","0","0","18","7","6","5","1"
"Flowood","7,156","36","0","4","6","26","521","123","383","15","0"
"Fulton","4,067","2","0","0","2","0","83","14","64","5","0"
"Greenville","35,573","91","7","9","51","24","2,112","910","1,154","48","37"
"Greenwood","15,886","118","2","8","43","65","1,149","454","636","59","0"
"Grenada","14,664","83","0","4","38","41","698","204","465","29","1"
"Gulfport","65,704","221","8","20","122","71","3,997","946","2,824","227","19"
"Heidelberg","802","0","0","0","0","0","44","8","32","4","0"
"Hernando","11,694","14","0","5","2","7","290","62","214","14","0"
"Hollandale","2,942","6","0","0","2","4","60","25","34","1","1"
"Holly Springs","8,037","88","1","2","19","66","309","132","151","26","0"
"Horn Lake","24,692","36","3","1","23","9","784","124","598","62","5"
"Iuka","2,933","15","1","0","1","13","83","23","52","8","0"
"Jackson","174,734","1,652","63","136","942","511","13,035","4,334","6,990","1,711","81"
"Kosciusko","7,362","19","1","7","5","6","197","68","129","0","0"
"Laurel","18,415","101","4","3","51","43","1,015","269","683","63","5"
"Leakesville","1,023","0","0","0","0","0","0","0","0","0","0"
"Leland","4,783","13","0","0","3","10","145","70","74","1","0"
"Lexington","1,856","2","0","0","0","2","16","11","4","1","0"
"Long Beach","17,528","9","0","1","3","5","272","43","209","20","0"
"Louisville","6,633","15","0","1","9","5","76","66","10","0","0"
"Lucedale","3,065","18","0","0","2","16","120","26","80","14","0"
"Madison","17,858","18","0","5","0","13","202","13","183","6","0"
"Magnolia","2,091","6","0","0","0","6","44","19","21","4","0"
"McComb","13,587","56","3","2","27","24","653","150","466","37","0"
"Meridian","38,123","207","7","30","86","84","1,921","732","1,066","123","16"
"Morton","3,436","12","0","1","4","7","40","21","15","4","1"
"Natchez","16,433","52","2","5","16","29","795","238","533","24","1"
"New Albany","8,106","10","0","0","7","3","95","33","52","10","0"
"Newton","3,680","4","0","0","1","3","26","8","16","2","1"
"Ocean Springs2","17,247","26","0","3","12","11","","","519","26","3"
"Olive Branch","32,060","79","0","13","28","38","1,394","262","1,063","69","6"
"Oxford","15,334","17","0","7","5","5","458","98","335","25","0"
"Pascagoula","23,139","96","0","13","61","22","1,417","301","990","126","7"
"Pass Christian","7,008","5","0","1","0","4","159","32","119","8","2"
"Petal","10,717","9","1","2","1","5","98","58","34","6","4"
"Picayune","11,733","34","1","1","13","19","359","56","273","30","2"
"Poplarville","2,993","14","0","0","2","12","68","24","42","2","0"
"Port Gibson","1,647","7","0","2","1","4","22","4","18","0","0"
"Purvis","2,653","0","0","0","0","0","0","0","0","0","0"
"Raymond","1,675","2","0","0","1","1","10","4","6","0","0"
"Ridgeland","21,645","38","0","0","17","21","835","93","694","48","0"
"Ripley","5,682","4","0","1","1","2","112","38","61","13","0"
"Senatobia","7,197","7","0","0","4","3","259","81","173","5","0"
"Shelby","2,593","8","0","1","3","4","26","21","3","2","1"
"Southaven","44,570","84","6","5","37","36","1,927","212","1,603","112","2"
"Starkville","24,099","41","1","2","10","28","608","184","405","19","1"
"Summit","1,633","2","0","0","2","0","47","14","32","1","0"
"Vicksburg","25,345","248","7","25","55","161","1,743","374","1,266","103","11"
"Waveland","7,212","11","0","0","2","9","392","65","300","27","0"
"Waynesboro","5,649","21","1","0","13","7","112","65","43","4","0"
"West Point","11,281","36","0","6","9","21","376","101","274","1","0"
"Wiggins","4,872","22","0","3","2","17","256","82","171","3","0"
"Winona","4,579","10","0","1","6","3","21","3","16","2","0"
