"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Adrian","1,894","5","0","0","0","5","26","6","19","1","1"
"Advance","1,219","0","0","0","0","0","18","6","10","2","0"
"Alton","638","2","0","1","0","1","3","2","1","0","0"
"Anderson","1,930","6","0","1","0","5","58","19","32","7","0"
"Appleton City","1,279","5","0","0","0","5","30","17","13","0","1"
"Arbyrd","489","0","0","0","0","0","3","3","0","0","0"
"Archie","994","1","0","0","0","1","25","3","21","1","0"
"Arnold","20,669","50","2","1","6","41","1,252","57","1,169","26","0"
"Ash Grove","1,549","4","0","0","0","4","23","5","17","1","0"
"Ashland","2,200","6","0","0","0","6","48","5","37","6","0"
"Aurora","7,493","52","0","3","2","47","485","100","362","23","2"
"Auxvasse","999","1","0","0","0","1","29","6","21","2","1"
"Ava","3,110","16","0","0","0","16","214","46","161","7","0"
"Ballwin","29,978","20","2","3","1","14","283","42","234","7","0"
"Bates City","268","1","0","1","0","0","12","0","11","1","1"
"Battlefield","4,496","2","0","2","0","0","67","18","49","0","0"
"Bella Villa","636","4","0","0","1","3","4","3","0","1","0"
"Belle","1,385","1","0","0","0","1","4","1","2","1","0"
"Bellefontaine Neighbors","10,163","72","0","4","16","52","456","162","203","91","1"
"Bellerive","254","0","0","0","0","0","4","2","2","0","0"
"Bellflower","392","3","0","0","0","3","6","3","3","0","0"
"Bel-Nor","1,481","5","0","0","4","1","38","11","22","5","0"
"Bel-Ridge","2,895","55","2","1","10","42","179","72","79","28","2"
"Belton","24,771","48","0","4","11","33","612","122","431","59","4"
"Berkeley","9,367","116","2","6","35","73","765","320","300","145","5"
"Bernie","1,800","3","0","1","0","2","35","8","26","1","0"
"Bethany","3,072","3","0","0","0","3","98","27","66","5","0"
"Beverly Hills","558","0","0","0","0","0","0","0","0","0","0"
"Billings","1,113","3","0","0","0","3","36","3","33","0","0"
"Birch Tree","623","3","0","0","0","3","4","2","1","1","1"
"Birmingham","219","0","0","0","0","0","4","3","0","1","0"
"Bismarck","1,543","1","0","1","0","0","4","4","0","0","0"
"Bland","563","6","0","0","1","5","14","6","8","0","0"
"Bloomfield","1,879","3","0","0","0","3","28","6","21","1","0"
"Blue Springs","55,913","126","1","17","34","74","1,933","378","1,394","161","7"
"Bolivar2","11,129","","0","6","3","","325","55","265","5","0"
"Bonne Terre","7,369","14","0","0","1","13","74","13","48","13","0"
"Boonville","8,830","12","0","0","1","11","267","20","243","4","3"
"Bowling Green","5,260","6","0","3","0","3","142","19","122","1","0"
"Branson","7,572","132","0","8","8","116","1,046","119","905","22","2"
"Branson West","547","4","0","0","0","4","33","3","30","0","0"
"Breckenridge Hills","4,478","45","0","5","8","32","240","64","150","26","3"
"Brentwood","7,170","2","1","0","1","0","322","36","274","12","0"
"Bridgeton","15,030","82","0","3","33","46","1,056","103","879","74","15"
"Brookfield","4,311","6","0","1","0","5","80","28","48","4","1"
"Bucklin","474","2","0","0","0","2","7","5","2","0","0"
"Buckner","2,792","5","0","1","0","4","134","11","119","4","1"
"Buffalo","3,338","7","0","0","2","5","138","29","105","4","0"
"Butler","4,276","4","0","0","1","3","163","16","138","9","1"
"Butterfield Village","422","0","0","0","0","0","0","0","0","0","0"
"Cabool","2,134","1","0","0","1","0","39","12","26","1","0"
"California","4,172","13","0","0","7","6","81","19","57","5","1"
"Calverton Park","1,274","5","0","0","3","2","33","13","16","4","0"
"Camden Point","545","0","0","0","0","0","1","1","0","0","0"
"Camdenton","3,450","22","0","2","0","20","145","18","125","2","2"
"Cameron","9,064","8","0","0","0","8","165","31","131","3","4"
"Campbell","1,806","0","0","0","0","0","44","11","33","0","0"
"Canton","2,471","11","0","3","0","8","81","23","58","0","1"
"Cape Girardeau","37,374","177","3","18","56","100","2,234","338","1,868","28","25"
"Cardwell","722","4","0","1","0","3","9","1","8","0","0"
"Carl Junction","7,440","8","0","1","0","7","145","26","118","1","1"
"Carterville","1,969","13","0","0","0","13","12","3","7","2","0"
"Carthage","13,824","35","0","6","4","25","446","100","333","13","2"
"Caruthersville","6,177","65","0","7","8","50","230","75","147","8","0"
"Cassville","3,275","9","0","0","0","9","150","21","123","6","0"
"Center","642","1","0","0","0","1","16","8","8","0","0"
"Centralia","3,664","4","0","1","0","3","85","22","59","4","0"
"Chaffee","2,942","15","0","1","0","14","76","10","65","1","0"
"Charlack","1,344","7","0","0","2","5","91","14","71","6","0"
"Charleston","5,256","28","0","0","3","25","135","38","94","3","1"
"Chesterfield","46,200","45","1","2","8","34","1,007","124","863","20","0"
"Clarkton","1,232","4","0","1","0","3","21","9","9","3","3"
"Claycomo","1,303","6","0","1","1","4","28","9","17","2","1"
"Clayton","16,094","24","0","1","6","17","321","30","263","28","1"
"Cleveland","690","1","0","0","1","0","6","2","3","1","0"
"Clever","1,470","3","0","0","0","3","3","1","2","0","1"
"Clinton","9,445","27","0","2","4","21","354","74","264","16","1"
"Cole Camp","1,149","2","0","0","0","2","12","4","8","0","0"
"Columbia","101,033","392","5","19","138","230","3,951","836","2,968","147","10"
"Concordia","2,367","4","0","1","1","2","72","13","56","3","1"
"Conway","787","0","0","0","0","0","8","1","6","1","0"
"Cool Valley","1,004","4","0","0","0","4","99","24","66","9","0"
"Cooter","419","2","0","0","0","2","1","0","0","1","0"
"Cottleville","2,919","9","0","0","0","9","31","1","30","0","0"
"Country Club Hills","1,279","5","0","1","2","2","67","26","31","10","0"
"Country Club Village","1,936","0","0","0","0","0","11","4","7","0","0"
"Crane","1,427","10","0","0","0","10","23","8","13","2","0"
"Crestwood","11,426","17","1","0","3","13","577","25","543","9","0"
"Creve Coeur","16,956","17","1","1","4","11","355","47","291","17","0"
"Crocker","992","6","0","0","0","6","23","8","12","3","1"
"Crystal City","4,585","9","0","3","0","6","107","10","91","6","1"
"Cuba","3,600","6","0","0","0","6","240","32","202","6","0"
"Deepwater","496","0","0","0","0","0","19","1","17","1","2"
"Dellwood","4,891","25","0","1","6","18","151","75","62","14","0"
"Delta","543","0","0","0","0","0","0","0","0","0","0"
"Desloge","5,190","28","0","4","4","20","236","21","210","5","0"
"De Soto","6,509","28","1","1","2","24","258","32","215","11","1"
"Des Peres","8,616","6","0","0","6","0","433","23","409","1","1"
"Dexter","7,723","15","0","1","0","14","234","47","179","8","2"
"Diamond","899","0","0","0","0","0","0","0","0","0","0"
"Dixon","1,528","2","0","0","0","2","68","10","55","3","0"
"Doniphan","1,890","4","0","0","0","4","135","31","102","2","0"
"Doolittle","665","0","0","0","0","0","16","5","10","1","1"
"Drexel","1,095","1","0","0","0","1","40","9","30","1","0"
"Duenweg","1,249","1","0","0","0","1","74","11","57","6","0"
"Duquesne","1,741","9","0","2","1","6","30","13","15","2","0"
"East Prairie","3,112","17","0","0","1","16","106","12","91","3","1"
"Edgerton","550","1","0","0","0","1","2","1","1","0","1"
"Edina","1,123","0","0","0","0","0","2","0","2","0","0"
"Edmundson","781","9","0","0","3","6","86","18","33","35","0"
"Eldon","4,976","15","0","2","0","13","209","36","163","10","2"
"El Dorado Springs","3,724","18","0","2","0","16","141","36","102","3","0"
"Ellington","991","4","0","1","0","3","32","15","16","1","0"
"Ellisville","9,249","10","0","2","1","7","128","15","97","16","0"
"Ellsinore","364","0","0","0","0","0","0","0","0","0","0"
