"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Alliance","7,963","30","1","0","6","23","154","14","131","9","2"
"Ashland","2,587","1","0","0","0","1","12","6","6","0","0"
"Auburn","3,241","2","0","0","1","1","78","12","62","4","0"
"Aurora","4,180","4","0","2","0","2","33","13","18","2","1"
"Bayard","1,119","1","0","0","0","1","16","6","9","1","0"
"Beatrice","12,913","55","0","24","2","29","561","93","447","21","8"
"Bellevue","48,894","77","0","14","11","52","1,374","192","1,095","87","11"
"Blair","7,914","9","0","4","0","5","96","7","80","9","1"
"Bridgeport","1,443","0","0","0","0","0","18","3","15","0","0"
"Broken Bow","3,115","6","0","1","0","5","41","2","35","4","1"
"Central City","2,729","3","0","3","0","0","59","8","48","3","1"
"Chadron","5,473","14","1","5","1","7","174","35","120","19","1"
"Columbus","21,438","23","0","4","2","17","550","114","414","22","2"
"Cozad","4,264","6","0","2","0","4","66","8","55","3","0"
"Crete","6,292","28","0","3","2","23","224","52","163","9","0"
"David City","2,470","3","0","0","0","3","39","7","32","0","0"
"Emerson","821","1","0","0","0","1","0","0","0","0","0"
"Falls City","3,976","1","0","0","0","1","72","18","53","1","0"
"Fremont","25,362","53","0","20","5","28","980","228","717","35","3"
"Gering","7,633","4","0","0","0","4","183","35","137","11","0"
"Gordon","1,504","16","0","4","0","12","56","7","48","1","0"
"Gothenburg","3,710","0","0","0","0","0","53","3","49","1","0"
"Grand Island","45,022","188","2","17","24","145","2,217","326","1,787","104","12"
"Hastings","25,428","48","1","10","7","30","986","154","805","27","8"
"Holdrege","5,116","7","0","2","3","2","111","9","101","1","0"
"Imperial","1,774","0","0","0","0","0","4","1","3","0","0"
"Kearney","30,472","65","1","15","5","44","845","129","678","38","6"
"La Vista","17,103","10","0","4","0","6","290","51","224","15","2"
"Lexington","10,172","26","2","5","4","15","405","51","331","23","0"
"Lincoln","251,550","1,282","4","113","213","952","10,168","1,569","8,251","348",""
"Lyons","850","1","0","1","0","0","6","1","5","0","0"
"Madison","2,183","0","0","0","0","0","35","5","27","3","2"
"Milford","2,014","2","0","1","0","1","26","9","17","0","0"
"Minden","2,840","3","0","2","1","0","67","9","58","0","0"
"Nebraska City","7,049","8","0","3","0","5","192","39","148","5","1"
"Norfolk","23,096","34","0","16","5","13","764","97","643","24","4"
"Ogallala","4,474","5","1","2","1","1","183","18","160","5","3"
"Omaha","437,238","2,648","44","180","949","1,475","18,792","3,175","12,892","2,725",""
"O'Neill","3,293","0","0","0","0","0","11","2","8","1","0"
"Ord","2,041","1","0","0","0","1","7","4","3","0","0"
"Papillion","22,833","14","1","2","1","10","367","22","331","14","4"
"Plainview","1,197","2","0","0","0","2","9","1","7","1","0"
"Ralston","6,087","8","0","0","1","7","181","37","134","10","1"
"Scottsbluff","14,667","55","1","10","6","38","850","145","678","27","9"
"Seward","6,759","4","0","2","0","2","98","11","83","4","1"
"Sidney","6,492","5","0","2","0","3","129","15","111","3","0"
"South Sioux City","12,005","15","0","1","1","13","233","17","194","22","2"
"St. Paul","2,205","0","0","0","0","0","1","0","1","0","0"
"Superior","1,793","1","0","1","0","0","8","7","1","0","0"
"Valentine","2,619","9","0","0","1","8","63","10","50","3","0"
"Valley","1,864","3","0","0","1","2","39","11","25","3","1"
"Wahoo","4,000","4","0","1","0","3","48","7","39","2","0"
"Wayne","5,257","6","0","5","0","1","107","25","81","1","0"
"West Point","3,340","2","0","1","0","1","30","8","22","0","0"
"Wilber","1,734","0","0","0","0","0","9","0","9","0","0"
"Wymore","1,597","4","0","1","0","3","34","9","25","0","0"
"York","7,884","3","0","1","0","2","219","27","187","5","0"
