"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Alamogordo","35,660","112","3","15","8","86","983","136","815","32","6"
"Albuquerque","527,464","4,718","38","370","1,350","2,960","31,994","6,224","21,098","4,672","132"
"Angel Fire","1,127","0","0","0","0","0","41","25","16","0","0"
"Artesia","10,460","26","0","10","0","16","582","303","253","26","0"
"Aztec","6,851","34","0","13","3","18","203","47","133","23","11"
"Bayard","2,358","10","0","0","0","10","28","5","23","0","1"
"Belen","7,159","59","4","3","9","43","480","175","247","58","6"
"Bernalillo","7,179","155","3","2","16","134","275","103","139","33","2"
"Bloomfield2","7,181","44","1","11","2","30","156","65","81","10","2"
"Bosque Farms","4,010","5","0","0","0","5","58","18","32","8","0"
"Carlsbad","24,966","194","2","30","10","152","1,111","265","801","45","14"
"Carrizozo","1,028","3","0","0","1","2","21","6","15","0","0"
"Clayton","2,054","2","0","0","0","2","69","36","33","0","0"
"Clovis","33,263","272","3","29","52","188","2,226","613","1,506","107","32"
"Corrales","7,930","5","0","0","0","5","95","46","46","3","2"
"Deming","15,430","26","0","1","8","17","419","163","231","25","0"
"Dexter","1,245","1","0","0","0","1","23","7","16","0","0"
"Espanola","9,530","224","0","2","20","202","669","281","346","42","5"
"Estancia","1,522","5","0","0","0","5","31","3","28","0","0"
"Eunice","2,668","7","0","0","1","6","78","35","40","3","2"
"Farmington3","42,956","","3","91","38","","1,689","781","772","136","17"
"Gallup","18,642","294","1","24","34","235","1,436","238","1,096","102","1"
"Grants","8,883","62","0","4","13","45","285","149","116","20","0"
"Hatch","1,642","8","0","1","1","6","15","1","12","2","0"
"Hobbs","29,751","283","1","23","35","224","1,515","364","1,070","81","8"
"Jal","2,072","0","0","0","0","0","20","10","10","0","0"
"Las Cruces","91,982","491","4","37","78","372","4,419","869","3,312","238","7"
"Las Vegas","13,419","126","2","7","11","106","487","167","298","22","9"
"Lordsburg","2,598","3","0","0","0","3","1","1","0","0","0"
"Los Alamos","18,541","69","1","10","1","57","228","36","188","4","7"
"Los Lunas3","12,395","","0","4","11","","613","84","448","81",""
"Lovington","9,843","44","1","3","1","39","374","199","167","8","0"
"Milan","2,586","13","0","1","1","11","84","26","53","5","0"
"Moriarty","1,758","3","0","0","0","3","70","24","40","6","0"
"Portales","12,107","86","1","6","5","74","433","121","290","22","0"
"Raton3","6,500","","0","1","1","","","","127","12","3"
"Red River","485","1","0","0","0","1","16","10","5","1","0"
"Rio Rancho","79,647","233","1","23","35","174","2,028","393","1,400","235","15"
"Roswell","45,619","381","7","31","42","301","2,843","779","1,931","133","19"
"Ruidoso","9,031","29","1","3","7","18","287","141","135","11","2"
"Ruidoso Downs","2,656","18","0","1","1","16","106","30","73","3","0"
"Santa Fe","74,496","331","10","29","76","216","3,647","1,778","1,675","194","19"
"Santa Rosa","2,508","61","0","0","1","60","56","19","34","3","0"
"Silver City","9,915","84","1","5","5","73","574","174","372","28","0"
"Sunland Park","14,341","39","0","3","3","33","246","74","143","29","0"
"Taos","5,332","58","1","7","6","44","448","125","300","23","0"
"Tatum","726","0","0","0","0","0","18","7","11","0","0"
"Texico","1,032","3","1","1","0","1","11","6","5","0","0"
"Truth or Consequences","6,617","30","0","1","1","28","276","72","190","14","0"
"Tucumcari","5,030","64","0","4","2","58","217","69","139","9","0"
"Tularosa","2,850","12","0","1","1","10","55","34","20","1","0"
