"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Achille","531","1","0","0","0","1","24","8","14","2","2"
"Ada","16,599","143","1","15","9","118","882","153","685","44","6"
"Altus","19,097","62","0","7","23","32","686","247","427","12","5"
"Alva","4,677","13","1","0","1","11","206","34","152","20","1"
"Anadarko","6,301","40","0","1","4","35","343","108","217","18","21"
"Antlers","2,477","21","0","2","1","18","70","24","42","4","2"
"Apache","1,538","4","0","1","0","3","26","4","18","4","1"
"Ardmore","24,738","267","1","14","28","224","1,404","335","1,012","57","2"
"Arkoma","2,181","13","0","2","2","9","19","6","11","2","0"
"Atoka","3,081","5","0","0","1","4","132","34","94","4","3"
"Beaver","1,389","2","0","1","0","1","11","4","6","1","0"
"Beggs","1,364","5","0","1","1","3","40","20","19","1","1"
"Bethany","19,522","91","0","9","36","46","713","218","427","68","1"
"Bixby","21,114","22","0","5","3","14","285","71","198","16","1"
"Blackwell","7,117","25","0","2","0","23","143","39","98","6","1"
"Blanchard","6,616","5","0","1","0","4","108","30","59","19","1"
"Boise City","1,211","5","0","0","0","5","8","3","5","0","0"
"Boley","1,087","0","0","0","0","0","3","3","0","0","0"
"Bristow","4,388","19","0","1","2","16","150","35","99","16","1"
"Broken Arrow","92,075","190","4","16","36","134","2,162","476","1,515","171","31"
"Broken Bow","4,137","34","1","5","3","25","223","82","116","25","7"
"Caddo","983","5","0","0","0","5","2","0","2","0","0"
"Calera","1,820","13","0","3","0","10","32","11","20","1","0"
"Carnegie","1,544","9","0","1","0","8","17","9","7","1","1"
"Catoosa","6,724","56","2","3","6","45","152","52","79","21","0"
"Chandler","2,835","8","0","1","2","5","100","23","74","3","0"
"Checotah","3,474","3","0","0","0","3","99","3","87","9","2"
"Chelsea","2,237","6","0","1","0","5","22","10","10","2","1"
"Cherokee","1,415","1","0","1","0","0","27","10","14","3","0"
"Chickasha","17,218","134","1","5","11","117","778","218","494","66","14"
"Choctaw","11,337","3","0","0","0","3","179","54","115","10","0"
"Chouteau","2,008","7","0","2","0","5","63","14","44","5","0"
"Claremore","17,491","47","1","11","7","28","544","124","390","30","0"
"Clayton","725","3","0","0","0","3","9","4","5","0","0"
"Cleveland","3,151","6","0","1","1","4","70","15","50","5","0"
"Clinton","8,638","38","0","2","6","30","209","31","171","7","1"
"Coalgate","1,858","0","0","0","0","0","7","0","7","0","0"
"Colbert","1,117","1","1","0","0","0","29","13","13","3","0"
"Collinsville","4,821","5","0","2","0","3","77","35","39","3","2"
"Comanche","1,517","2","0","0","1","1","50","20","29","1","1"
"Coweta","9,043","23","0","1","3","19","199","39","144","16","1"
"Crescent","1,372","3","0","0","0","3","23","8","15","0","0"
"Cushing","9,631","16","0","2","1","13","223","56","147","20","0"
"Davenport","877","2","0","0","0","2","8","3","5","0","0"
"Davis","2,616","10","0","3","0","7","79","15","58","6","0"
"Del City","22,052","159","2","16","47","94","1,346","441","824","81","18"
"Dewey","3,321","15","0","6","1","8","118","19","97","2","2"
"Drumright","2,878","4","0","1","0","3","54","14","37","3","0"
"Duncan","22,535","44","1","3","6","34","993","189","768","36","2"
"Durant","16,432","58","0","11","7","40","836","269","508","59","3"
"Edmond","79,529","80","0","15","22","43","1,781","345","1,369","67","10"
"Elk City","11,180","18","2","2","0","14","230","39","181","10","0"
"El Reno","16,295","77","0","8","11","58","567","213","330","24","5"
"Enid","47,017","212","0","26","35","151","2,289","610","1,575","104","3"
"Eufaula","2,771","7","0","0","0","7","101","28","67","6","0"
"Fairfax","1,464","3","0","0","0","3","16","6","8","2","0"
"Fairview","2,534","12","0","1","1","10","110","42","67","1","0"
"Fort Gibson","4,367","9","0","3","1","5","66","16","46","4","0"
"Frederick","3,929","23","0","1","0","22","76","32","40","4","0"
"Geary","1,216","4","0","0","1","3","49","19","23","7","0"
"Glenpool","9,697","15","0","3","3","9","182","35","133","14","3"
"Goodwell","1,134","1","0","1","0","0","8","4","4","0","0"
"Grandfield","956","0","0","0","0","0","15","5","9","1","0"
"Grove","6,374","8","0","0","0","8","132","26","104","2","0"
"Guthrie","11,195","18","0","1","1","16","243","51","182","10","1"
"Guymon","10,580","28","1","3","3","21","282","79","197","6","2"
"Harrah","5,200","14","0","0","1","13","96","31","63","2","0"
"Hartshorne","2,055","5","0","1","0","4","59","17","32","10","3"
"Haskell","1,781","0","0","0","0","0","4","2","2","0","0"
"Healdton","2,761","5","1","0","0","4","41","17","19","5","1"
"Henryetta","6,043","21","0","2","1","18","129","46","63","20","3"
"Hinton","2,134","3","0","1","1","1","21","12","6","3","0"
"Hobart","3,613","11","0","2","0","9","63","19","43","1","1"
"Holdenville","5,453","25","2","0","0","23","118","30","80","8","4"
"Hollis","1,922","4","0","0","2","2","62","28","32","2","1"
"Hominy","3,651","4","0","0","0","4","19","4","13","2","1"
"Hooker","1,698","1","0","0","0","1","17","8","8","1","0"
"Hugo","5,431","19","1","1","2","15","165","40","120","5","0"
"Hulbert","535","1","0","0","0","1","8","2","5","1","0"
"Hydro","1,008","13","0","0","0","13","13","4","8","1","0"
"Idabel","6,841","41","3","2","7","29","226","61","149","16","3"
"Jay","3,084","8","0","1","0","7","46","16","29","1","0"
"Jenks","15,703","13","1","2","4","6","279","56","207","16","2"
"Jones","2,712","2","0","0","0","2","28","5","21","2","0"
"Kiefer","1,545","5","0","0","0","5","10","3","5","2","1"
"Kingfisher","4,516","5","0","2","0","3","86","24","56","6","0"
"Kingston","1,591","3","0","1","0","2","19","4","11","4","0"
"Kiowa","700","3","0","0","0","3","21","4","15","2","0"
"Konawa","1,387","0","0","0","0","0","5","1","4","0","0"
"Krebs","2,118","2","0","0","0","2","37","16","18","3","2"
"Lawton","91,459","1,001","6","78","201","716","4,248","1,445","2,574","229","45"
"Lexington","2,102","2","0","2","0","0","47","9","37","1","0"
"Lindsay","2,899","2","0","0","0","2","67","21","46","0","0"
"Locust Grove","1,584","5","0","2","1","2","61","22","36","3","2"
"Lone Grove","5,281","10","0","1","1","8","115","24","87","4","1"
"Luther","1,116","6","0","2","0","4","12","3","9","0","0"
"Madill","3,790","7","1","0","0","6","130","35","91","4","4"
"Mangum","2,689","10","0","1","1","8","103","21","82","0","7"
"Mannford","2,845","3","0","2","0","1","21","8","10","3","0"
"Marietta","2,540","8","0","1","0","7","65","14","48","3","0"
"Marlow","4,580","12","0","4","1","7","136","30","105","1","1"
"Maysville","1,293","1","0","0","0","1","18","3","14","1","0"
"McAlester","18,291","50","1","4","9","36","890","171","685","34","4"
"McLoud","4,178","7","0","0","0","7","51","17","32","2","2"
"Meeker","981","4","0","0","2","2","34","10","24","0","0"
"Miami","13,321","59","0","13","5","41","666","121","516","29","12"
"Midwest City","56,168","252","3","26","64","159","2,462","598","1,724","140","9"
"Minco","1,795","0","0","0","0","0","3","3","0","0","0"
"Moore","52,494","93","1","16","23","53","2,077","485","1,431","161","16"
"Mooreland","1,242","0","0","0","0","0","31","10","21","0","0"
"Morris","1,310","3","0","0","1","2","12","5","6","1","0"
"Mountain View","785","1","0","0","0","1","4","2","2","0","0"
"Muldrow","3,176","9","0","1","0","8","58","21","36","1","0"
