"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Albany","48,075","65","0","11","29","25","1,803","157","1,532","114","9"
"Amity","1,482","0","0","0","0","0","28","7","20","1","0"
"Ashland","21,535","29","0","11","6","12","713","98","599","16","6"
"Astoria","9,891","27","0","2","8","17","437","77","331","29","6"
"Aumsville","3,440","7","0","0","0","7","90","30","56","4","1"
"Aurora","1,042","2","0","0","0","2","16","5","11","0","0"
"Baker City","9,355","12","0","0","1","11","105","31","69","5","0"
"Bandon","2,837","2","0","1","0","1","74","11","63","0","0"
"Banks","1,630","2","0","0","1","1","38","5","30","3","0"
"Beaverton","92,198","200","0","24","41","135","2,072","296","1,566","210","21"
"Bend","77,898","139","0","25","35","79","2,513","471","1,914","128","22"
"Black Butte","0","0","0","0","0","0","7","3","4","0","0"
"Boardman","2,947","11","0","0","1","10","64","11","49","4","0"
"Burns","2,639","2","0","0","0","2","92","22","66","4","0"
"Canby","15,985","15","0","1","3","11","404","50","342","12","3"
"Cannon Beach","1,742","1","0","0","1","0","27","8","19","0","0"
"Carlton","1,591","0","0","0","0","0","33","13","19","1","0"
"Central Point","16,966","7","0","1","2","4","343","35","297","11","3"
"Clatskanie","1,635","4","0","1","0","3","26","8","16","2","0"
"Coburg","1,028","1","0","0","1","0","23","7","15","1","1"
"Condon","643","0","0","0","0","0","1","0","1","0","0"
"Coos Bay","15,818","34","0","8","9","17","708","130","525","53","6"
"Coquille","4,159","1","0","1","0","0","32","13","18","1","2"
"Cornelius","11,589","23","0","1","8","14","269","52","191","26","4"
"Corvallis","51,343","60","0","11","15","34","1,341","200","1,073","68","11"
"Cottage Grove","9,118","11","0","1","5","5","476","77","360","39","13"
"Creswell","5,113","28","0","4","1","23","137","31","83","23","2"
"Dallas","15,892","18","0","3","1","14","308","37","253","18","25"
"Eagle Point","8,714","8","0","2","1","5","153","28","122","3","1"
"Elgin","1,651","0","0","0","0","0","44","5","38","1","0"
"Enterprise","1,698","1","0","0","0","1","38","7","31","0","0"
"Estacada","2,446","4","0","0","3","1","74","21","48","5","0"
"Eugene","150,297","496","2","60","223","211","9,821","1,704","6,814","1,303","76"
"Florence","8,469","11","0","3","7","1","295","41","242","12","2"
"Forest Grove","20,743","22","0","2","5","15","665","79","552","34","0"
"Gaston","801","1","0","0","0","1","12","5","7","0","0"
"Gearhart","1,134","0","0","0","0","0","14","4","10","0","0"
"Gervais","2,470","10","0","0","2","8","53","13","33","7","0"
"Gladstone","12,080","27","0","7","5","15","366","51","294","21","2"
"Gold Beach","1,841","2","0","0","0","2","38","8","29","1","0"
"Grants Pass","33,673","58","0","8","28","22","1,837","256","1,460","121","7"
"Gresham","100,935","495","6","72","156","261","3,889","703","2,502","684","47"
"Hermiston","15,186","49","0","2","11","36","711","123","540","48","3"
"Hillsboro","94,373","162","0","36","62","64","2,536","293","2,079","164","16"
"Hines","1,392","1","0","0","0","1","12","2","10","0","0"
"Hood River","6,822","9","0","1","2","6","219","34","172","13","2"
"Hubbard","2,789","2","0","0","1","1","32","3","25","4","0"
"Independence","9,579","13","0","2","1","10","210","29","174","7","1"
"Jacksonville","2,178","0","0","0","0","0","30","4","26","0","0"
"John Day","1,486","2","1","1","0","0","23","4","17","2","0"
"Junction City","5,434","0","0","0","0","0","116","17","93","6","1"
"Keizer","35,698","64","0","5","10","49","942","136","724","82","9"
"King City","2,418","2","0","0","2","0","62","8","49","5","1"
"Klamath Falls","19,676","82","0","17","26","39","579","121","422","36","8"
"La Grande","12,524","17","1","2","2","12","406","52","329","25","7"
"Lake Oswego","36,864","26","1","4","3","18","520","98","406","16","10"
"Lakeview","2,330","22","0","0","0","22","71","27","43","1","0"
"Lebanon","15,068","24","0","2","8","14","807","160","603","44","6"
"Lincoln City","8,018","39","0","5","7","27","426","64","352","10","5"
"Madras","5,433","16","2","1","2","11","341","106","216","19","7"
"Malin","630","1","0","0","0","1","1","1","0","0","0"
"Manzanita","630","0","0","0","0","0","13","5","8","0","0"
"McMinnville","31,470","74","0","15","10","49","879","104","731","44","15"
"Medford","73,019","282","0","44","41","197","2,882","300","2,453","129","36"
"Milton-Freewater","6,318","11","0","0","1","10","179","48","119","12","3"
"Milwaukie","20,684","26","1","7","5","13","621","110","442","69","1"
"Molalla","7,304","9","0","2","1","6","261","31","208","22","2"
"Monmouth","9,709","19","0","3","2","14","223","57","156","10","2"
"Mount Angel","3,468","9","0","0","1","8","69","20","44","5","2"
"Myrtle Creek","3,528","1","0","0","0","1","67","2","64","1","1"
"Newberg-Dundee","25,878","22","1","4","5","12","523","39","447","37","15"
"Newport","9,896","38","0","8","6","24","526","87","412","27","2"
"North Bend","9,690","12","0","0","6","6","363","72","279","12","4"
"North Plains","1,838","0","0","0","0","0","17","2","12","3","0"
"Oakridge","3,165","1","1","0","0","0","71","22","48","1","1"
"Ontario","11,092","132","0","4","4","124","759","130","605","24","10"
"Oregon City","31,683","61","0","11","22","28","900","111","734","55","10"
"Pendleton","16,490","96","1","18","21","56","778","127","616","35","0"
"Philomath","4,504","15","0","2","1","12","89","19","60","10","1"
"Phoenix","4,319","5","0","1","1","3","130","16","109","5","0"
"Pilot Rock","1,491","1","0","0","0","1","16","6","7","3","0"
"Portland","553,023","3,445","26","250","1,132","2,037","29,243","4,307","21,597","3,339","303"
"Prineville","10,307","13","0","0","0","13","344","41","293","10","6"
"Redmond","25,092","58","0","9","10","39","1,221","196","961","64","14"
"Reedsport","4,274","3","0","1","0","2","104","11","87","6","0"
"Rockaway Beach","1,394","0","0","0","0","0","59","39","17","3","0"
"Rogue River","1,946","3","0","0","2","1","69","9","56","4","0"
"Roseburg","21,009","35","0","10","13","12","825","74","720","31","10"
"Salem","153,831","572","9","58","136","369","7,173","1,094","5,428","651","40"
"Sandy","9,127","13","0","6","2","5","259","41","196","22","0"
"Scappoose","6,377","4","0","0","3","1","150","16","126","8","0"
"Seaside","6,262","19","0","3","6","10","495","81","398","16","7"
"Shady Cove","2,296","2","0","0","1","1","45","9","34","2","0"
"Sherwood","18,023","5","0","2","2","1","181","29","145","7","5"
"Silverton","9,682","6","1","0","1","4","171","33","131","7","1"
"Springfield","57,081","245","1","14","41","189","3,858","506","2,843","509","39"
"Stayton","7,377","28","0","4","1","23","374","78","282","14","13"
"St. Helens","12,655","14","0","3","4","7","336","53","255","28","7"
"Sunriver","0","5","0","1","0","4","79","10","67","2","0"
"Sutherlin","7,266","8","0","4","0","4","189","35","145","9","1"
"Sweet Home","8,869","7","0","0","2","5","353","89","257","7","0"
"Talent","6,222","3","0","2","1","0","119","20","96","3","0"
"The Dalles","11,913","25","1","7","4","13","542","80","438","24","3"
"Tigard","50,536","91","0","6","51","34","1,651","227","1,341","83","9"
"Tillamook","4,502","4","0","0","1","3","234","25","198","11","1"
"Toledo","3,318","5","0","0","2","3","145","28","107","10","0"
"Troutdale","15,571","25","1","3","6","15","576","96","426","54","12"
"Tualatin","26,758","48","0","9","8","31","751","100","613","38","1"
"Turner","1,741","7","0","0","2","5","50","6","39","5","1"
"Umatilla","6,504","5","0","1","0","4","125","14","102","9","2"
"Veneta","4,326","40","0","3","3","34","222","76","120","26","3"
"Vernonia","2,281","1","0","0","0","1","37","12","23","2","4"
"Warrenton","4,503","1","1","0","0","0","171","27","139","5","1"
"West Linn","25,299","3","1","2","0","0","277","30","239","8","2"
"Weston","698","0","0","0","0","0","15","5","10","0","0"
"Wilsonville","19,462","21","0","8","6","7","541","49","461","31","3"
"Winston","4,776","9","0","3","3","3","145","29","105","11","2"
"Woodburn","22,365","78","6","7","20","45","795","131","589","75","9"
"Yamhill","868","0","0","0","0","0","16","3","13","0","0"
