"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Abington Township","53,937","67","0","0","34","33","1,582","121","1,412","49","3"
"Adamstown","1,473","1","0","0","1","0","42","5","34","3","0"
"Adams Township, Butler County","9,296","7","0","1","0","6","76","9","64","3","0"
"Adams Township, Cambria County","6,065","0","0","0","0","0","46","4","41","1","0"
"Akron","4,020","2","0","2","0","0","39","4","35","0","2"
"Alburtis","2,448","6","0","0","1","5","28","8","19","1","0"
"Aldan","4,245","8","0","0","2","6","105","10","88","7","0"
"Aliquippa","10,659","49","0","0","14","35","235","48","155","32","0"
"Allegheny Township, Blair County","6,903","27","0","1","2","24","155","27","124","4","1"
"Allegheny Township, Westmoreland County","8,182","14","1","0","1","12","111","16","91","4","0"
"Allentown","107,335","805","16","33","497","259","5,653","1,423","3,738","492","27"
"Altoona","46,236","183","2","13","67","101","1,218","369","793","56","13"
"Ambler","6,192","13","0","0","6","7","123","15","101","7","2"
"Ambridge","7,006","67","0","2","24","41","284","56","210","18","8"
"Amity Township","11,874","12","0","4","2","6","158","31","117","10","2"
"Annville Township","4,745","0","0","0","0","0","71","7","64","0","1"
"Archbald","6,488","4","1","0","0","3","4","2","2","0","1"
"Arnold","5,210","26","0","3","18","5","94","40","37","17","1"
"Ashland","3,103","1","0","0","1","0","94","14","76","4","0"
"Ashley","2,672","1","0","0","0","1","21","0","14","7","0"
"Ashville","260","0","0","0","0","0","0","0","0","0","0"
"Aspinwall","2,699","1","0","0","1","0","39","7","30","2","0"
"Aston Township","16,864","21","0","1","5","15","286","37","232","17","2"
"Atglen","1,370","6","0","4","0","2","8","1","7","0","0"
"Athens","3,217","8","0","3","0","5","103","5","97","1","1"
"Athens Township","5,018","10","0","3","1","6","155","9","144","2","0"
"Auburn","800","5","0","0","0","5","7","1","5","1","0"
"Avalon","4,804","8","0","0","4","4","62","14","43","5","0"
"Avoca","2,666","4","0","1","0","3","39","18","21","0","0"
"Avondale","1,087","0","0","0","0","0","1","0","1","0","0"
"Avonmore Boro","761","0","0","0","0","0","0","0","0","0","0"
"Baldwin Borough","18,430","16","0","1","5","10","138","20","104","14","0"
"Baldwin Township","2,034","6","0","0","0","6","27","4","21","2","0"
"Bally","1,100","0","0","0","0","0","0","0","0","0","0"
"Bangor","5,257","4","0","0","0","4","118","9","99","10","0"
"Barrett Township","4,293","19","0","2","0","17","51","16","34","1","0"
"Beaver","4,364","4","0","1","1","2","123","15","104","4","0"
"Beaver Falls","9,024","95","4","3","26","62","443","57","359","27","1"
"Beaver Meadows","952","1","0","0","0","1","8","3","5","0","0"
"Bedford","2,996","4","0","1","0","3","30","4","25","1","0"
"Bedminster Township","6,228","8","0","1","0","7","57","3","54","0","0"
"Bell Acres","1,372","1","0","0","0","1","3","0","1","2","0"
"Bellefonte","6,166","2","0","0","0","2","69","20","47","2","0"
"Bellevue","7,968","30","0","3","12","15","190","33","140","17","2"
"Bellwood","1,872","2","0","0","1","1","20","3","17","0","1"
"Ben Avon","1,744","0","0","0","0","0","5","1","3","1","0"
"Ben Avon Heights","353","0","0","0","0","0","0","0","0","0","0"
"Bendersville","603","1","0","0","0","1","5","0","5","0","0"
"Bensalem Township","58,400","102","2","7","44","49","2,492","310","1,984","198","43"
"Berks-Lehigh Regional","28,644","17","1","0","3","13","348","35","291","22","0"
"Berlin","2,085","6","0","2","1","3","22","3","19","0","0"
"Bern Township","7,180","11","0","0","0","11","66","8","52","6","1"
"Bernville","883","0","0","0","0","0","3","1","1","1","0"
"Berwick","10,199","25","0","7","4","14","399","73","320","6","2"
"Bessemer","1,099","0","0","0","0","0","11","2","9","0","0"
"Bethel Park","31,477","27","0","4","0","23","279","33","229","17","1"
"Bethel Township, Armstrong County","1,203","0","0","0","0","0","0","0","0","0","0"
"Bethel Township, Berks County","4,539","1","0","0","1","0","48","5","42","1","0"
"Bethlehem","72,537","225","0","12","107","106","2,422","399","1,885","138","5"
"Bethlehem Township","23,807","21","1","3","4","13","608","65","526","17","2"
"Biglerville","1,150","1","0","0","0","1","21","2","18","1","0"
"Birdsboro","5,193","6","0","0","1","5","81","15","63","3","2"
"Birmingham Township","4,256","1","0","0","0","1","25","3","19","3","0"
"Blacklick Township","2,059","0","0","0","0","0","1","0","1","0","0"
"Blair Township","4,734","6","0","1","0","5","66","13","51","2","0"
"Blairsville","3,383","12","0","4","2","6","89","19","66","4","0"
"Blakely","6,765","3","0","1","0","2","81","18","60","3","2"
"Blawnox","1,436","3","0","0","0","3","2","1","1","0","0"
"Bloomsburg Town","12,601","19","0","2","4","13","247","40","200","7","1"
"Blythe Township","903","0","0","0","0","0","0","0","0","0","0"
"Bolivar","464","0","0","0","0","0","0","0","0","0","0"
"Boyertown","3,941","3","0","0","2","1","114","15","85","14","3"
"Brackenridge","3,222","11","0","2","1","8","131","23","104","4","0"
"Braddock Hills","1,826","2","0","0","1","1","62","6","47","9","0"
"Bradford","8,368","50","0","4","3","43","337","32","292","13","1"
"Bradford Township","4,768","12","0","2","0","10","38","6","31","1","0"
"Brandywine Regional","10,069","26","0","7","1","18","98","5","90","3","0"
"Brecknock Township, Berks County","4,926","7","0","0","0","7","36","6","27","3","0"
"Briar Creek Township","3,069","2","0","0","0","2","20","5","15","0","0"
"Bridgeport","4,371","15","1","0","3","11","142","29","104","9","0"
"Bridgeville","4,868","1","0","0","0","1","71","16","51","4","0"
"Bridgewater","877","7","0","0","1","6","39","6","30","3","0"
"Brighton Township","7,903","10","0","0","0","10","46","3","43","0","0"
"Bristol Township","53,748","150","1","9","82","58","1,895","288","1,405","202","16"
"Brockway","2,052","2","0","1","0","1","16","2","14","0","0"
"Brookville","3,984","6","2","1","1","2","91","2","88","1","0"
"Brownsville","2,631","5","0","0","0","5","61","11","45","5","0"
"Bryn Athyn","1,309","0","0","0","0","0","15","0","15","0","0"
"Buckingham Township","19,437","6","0","1","0","5","143","31","110","2","0"
"Buffalo Township","7,261","10","0","1","0","9","61","24","36","1","0"
"Bushkill Township","8,179","11","0","0","0","11","65","8","51","6","0"
"Butler","13,921","125","0","0","29","96","743","143","600","0","5"
"Butler Township, Butler County","16,554","38","0","3","8","27","370","44","318","8","2"
"Butler Township, Luzerne County","9,278","34","0","1","2","31","122","33","83","6","0"
"Butler Township, Schuylkill County","6,142","7","0","2","0","5","32","13","17","2","0"
"Caernarvon Township, Berks County","3,461","2","0","0","1","1","99","13","83","3","0"
"California","6,597","11","0","0","1","10","127","23","102","2","1"
"Caln Township","12,148","57","0","3","12","42","423","35","374","14","3"
"Cambria Township","6,327","6","2","0","1","3","107","10","95","2","0"
"Cambridge Springs","2,240","3","1","0","0","2","22","0","22","0","1"
"Camp Hill","7,384","9","0","2","1","6","109","2","106","1","1"
"Canonsburg","8,711","43","0","1","5","37","226","37","181","8","0"
"Carbondale","9,228","24","0","1","4","19","151","28","116","7","1"
"Carlisle","18,427","75","0","7","49","19","647","82","548","17","5"
"Carnegie","7,926","29","0","3","15","11","187","19","162","6","2"
"Carrolltown","959","0","0","0","0","0","29","2","27","0","0"
"Carroll Township, Washington County","5,455","11","0","0","0","11","62","10","47","5","0"
"Carroll Township, York County","5,811","2","0","1","0","1","128","21","103","4","0"
"Carroll Valley","3,542","1","0","0","0","1","51","4","47","0","0"
"Castle Shannon","8,016","16","0","1","0","15","147","21","117","9","0"
"Catasauqua","6,567","21","0","1","0","20","172","23","144","5","0"
"Catawissa","1,535","2","0","0","0","2","51","2","49","0","0"
"Cecil Township","10,367","8","0","0","2","6","21","12","9","0","0"
"Center Township","11,680","25","0","2","8","15","403","44","353","6","0"
"Centerville","3,200","1","0","0","1","0","16","5","11","0","0"
"Central Berks Regional","7,468","15","0","1","8","6","184","34","127","23","0"
