"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Barrington","16,272","2","0","1","0","1","219","36","181","2","3"
"Bristol","22,387","12","0","1","2","9","450","61","368","21","4"
"Burrillville","16,465","9","0","1","1","7","159","31","119","9","2"
"Central Falls","18,667","109","3","18","23","65","493","121","266","106","5"
"Charlestown","8,087","8","0","2","0","6","119","30","88","1","1"
"Coventry","34,342","27","0","5","3","19","644","121","501","22","12"
"Cranston","79,987","136","1","16","55","64","2,184","331","1,605","248","8"
"Cumberland","34,359","31","1","5","10","15","506","99","359","48","7"
"East Greenwich","13,294","5","0","1","3","1","199","35","156","8","2"
"East Providence","48,413","70","0","10","16","44","782","136","587","59","13"
"Foster","4,505","1","0","0","0","1","48","24","24","0","0"
"Glocester","10,528","7","0","0","0","7","64","15","45","4","2"
"Hopkinton","7,961","6","0","4","0","2","109","23","81","5","2"
"Jamestown","5,458","2","0","0","0","2","87","10","72","5","0"
"Johnston","28,515","27","0","6","4","17","626","94","469","63","5"
"Lincoln","22,075","34","0","4","7","23","470","55","380","35","1"
"Little Compton","3,500","3","0","0","1","2","60","23","37","0","0"
"Middletown","16,004","13","0","5","2","6","361","56","294","11","1"
"Narragansett","16,399","13","1","2","1","9","320","63","246","11","1"
"Newport","25,030","121","0","16","20","85","1,091","229","828","34","6"
"New Shoreham","1,014","0","0","0","0","0","85","3","77","5","0"
"North Kingstown","26,547","24","0","4","4","16","490","115","346","29","5"
"North Providence","32,689","45","0","5","9","31","478","132","291","55","4"
"North Smithfield","11,292","5","0","0","0","5","191","31","141","19","2"
"Pawtucket","71,712","268","3","25","109","131","2,498","653","1,477","368","19"
"Portsmouth","16,879","16","0","5","0","11","290","55","228","7","5"
"Providence","170,965","1,162","12","44","498","608","9,063","1,875","5,701","1,487","31"
"Richmond","7,652","3","0","0","1","2","123","20","100","3","0"
"Scituate","10,853","1","0","0","0","1","126","20","98","8","1"
"Smithfield","21,198","9","1","3","0","5","289","33","243","13","4"
"South Kingstown","29,218","22","0","2","8","12","355","72","273","10","2"
"Tiverton","14,935","9","0","1","0","8","352","85","245","22","0"
"Warren","10,965","15","0","4","1","10","227","35","176","16","2"
"Warwick","84,326","83","0","19","21","43","2,737","300","2,291","146","21"
"Westerly","23,276","27","0","5","4","18","531","79","425","27","3"
"West Greenwich","6,527","1","0","0","0","1","97","17","76","4","3"
"West Warwick","29,029","57","3","13","12","29","675","122","504","49","8"
"Woonsocket","43,301","181","2","28","58","93","1,394","368","902","124","12"
