"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Ansted","1,579","1","0","0","0","1","3","0","3","0","0"
"Barboursville","3,402","19","0","0","8","11","386","33","351","2","3"
"Bethlehem","2,492","0","0","0","0","0","11","1","10","0","0"
"Bluefield","11,018","36","0","5","12","19","242","84","145","13","4"
"Bridgeport","7,825","10","0","0","2","8","278","28","241","9","2"
"Buckhannon","5,477","11","0","1","1","9","50","7","41","2","1"
"Cameron","1,080","1","0","0","0","1","0","0","0","0","0"
"Chapmanville","1,107","4","0","0","2","2","48","8","35","5","0"
"Charleston","50,132","592","3","21","125","443","2,997","608","2,177","212","34"
"Charles Town","4,283","10","0","2","1","7","118","27","85","6","0"
"Clarksburg","16,294","83","1","9","13","60","889","197","650","42","12"
"Dunbar","7,641","28","0","5","7","16","195","55","112","28","2"
"Elkins","6,986","30","0","0","4","26","232","47","179","6","7"
"Fairmont","19,075","52","0","0","9","43","403","120","258","25","12"
"Fayetteville","2,647","0","0","0","0","0","81","9","70","2","0"
"Follansbee","2,839","5","0","0","1","4","44","13","26","5","0"
"Glen Dale","1,402","0","0","0","0","0","40","7","32","1","1"
"Grafton","5,291","0","0","0","0","0","20","5","13","2","0"
"Granville","810","4","0","0","1","3","86","9","75","2","0"
"Hurricane","6,255","11","0","1","0","10","209","15","172","22","1"
"Kenova","3,258","20","1","2","10","7","203","40","145","18","0"
"Keyser","5,242","11","0","3","2","6","151","34","114","3","3"
"Lewisburg","3,528","1","0","0","0","1","39","4","35","0","1"
"Logan","1,491","17","0","0","2","15","300","38","255","7","1"
"Martinsburg","16,649","109","0","5","34","70","1,130","109","974","47","10"
"Montgomery","1,919","2","0","0","1","1","62","5","57","0","0"
"Moorefield","2,465","8","0","0","0","8","68","18","46","4","2"
"Moundsville","9,145","25","0","0","4","21","352","69","266","17","6"
"Nitro","6,773","4","0","0","3","1","182","28","149","5","2"
"Oceana","1,403","6","1","0","0","5","90","6","80","4","0"
"Philippi","2,764","4","1","0","0","3","43","3","38","2","0"
"Point Pleasant","4,401","14","0","0","7","7","215","48","155","12","0"
"Princeton","6,217","49","1","4","11","33","472","67","386","19","1"
"Ranson","4,570","18","0","0","4","14","40","8","28","4","0"
"Ravenswood","3,948","1","0","0","0","1","29","8","21","0","0"
"Ripley","3,246","6","0","1","0","5","64","10","51","3","0"
"Shinnston","2,222","2","0","0","0","2","55","9","46","0","0"
"South Charleston","12,371","46","2","1","18","25","631","108","484","39","5"
"Spencer","2,171","3","0","0","0","3","53","4","48","1","0"
"St. Albans","10,967","42","0","0","10","32","434","95","301","38","1"
"Summersville","3,316","7","0","1","1","5","78","8","67","3","0"
"Vienna","10,583","9","1","0","0","8","367","29","332","6","1"
"Weirton","18,660","23","0","0","7","16","243","43","180","20","2"
"Wellsburg","2,580","2","0","0","1","1","48","18","26","4","1"
"Weston","4,221","2","1","0","0","1","10","0","10","0","1"
"West Union","781","0","0","0","0","0","9","3","6","0","0"
"Wheeling","28,838","141","1","16","37","87","875","186","632","57","3"
"White Sulphur Springs","2,286","0","0","0","0","0","1","0","1","0","0"
"Williamson","3,074","15","0","2","0","13","46","9","32","5","0"
"Williamstown","2,972","1","0","1","0","0","28","3","25","0","0"
