"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Afton","1,774","0","0","0","0","0","14","1","13","0","0"
"Basin","1,234","3","0","0","0","3","27","3","24","0","0"
"Buffalo","4,690","27","0","0","0","27","107","11","92","4","0"
"Casper","53,430","159","1","30","19","109","2,289","368","1,805","116","31"
"Cheyenne","55,931","122","2","24","25","71","2,565","284","2,171","110","16"
"Cody","9,225","28","0","16","3","9","295","57","233","5","3"
"Diamondville","649","1","0","0","0","1","15","5","10","0","0"
"Douglas","5,722","6","0","0","1","5","211","22","187","2","2"
"Evanston","11,492","14","2","1","5","6","367","49","297","21","1"
"Evansville","2,338","11","0","0","1","10","93","10","81","2","1"
"Gillette","25,678","37","0","7","1","29","856","106","706","44","14"
"Glenrock","2,387","4","0","0","0","4","27","4","20","3","0"
"Green River","12,113","88","0","1","1","86","315","46","250","19","3"
"Greybull","1,728","7","0","0","0","7","18","7","10","1","0"
"Guernsey","1,082","2","0","0","0","2","10","4","6","0","0"
"Hanna","861","1","0","0","0","1","3","3","0","0","0"
"Jackson","9,753","44","0","11","1","32","415","57","354","4","0"
"Kemmerer","2,401","9","0","0","0","9","41","5","35","1","0"
"Lander","7,158","12","0","3","1","8","246","23","211","12","1"
"Laramie","27,260","29","0","5","2","22","811","112","663","36","4"
"Lovell","2,246","29","0","1","0","28","53","15","37","1","0"
"Lusk","1,327","1","0","0","0","1","31","7","19","5","0"
"Mills","3,169","7","0","0","0","7","113","11","96","6","0"
"Moorcroft","858","3","1","1","0","1","41","20","20","1","0"
"Newcastle","3,334","12","0","0","0","12","135","20","108","7","0"
"Pine Bluffs","1,140","5","0","0","0","5","27","8","18","1","1"
"Powell","5,370","20","0","5","2","13","192","27","158","7","2"
"Rawlins","8,651","27","0","3","1","23","284","37","237","10","2"
"Riverton","9,907","33","1","10","3","19","460","31","414","15","5"
"Rock Springs","19,800","119","0","6","6","107","751","92","601","58","1"
"Saratoga","1,739","3","0","1","0","2","11","1","9","1","0"
"Sheridan","16,827","27","0","5","5","17","474","73","386","15","3"
"Sundance","1,211","1","0","1","0","0","28","6","22","0","0"
"Thermopolis","2,897","16","0","2","0","14","58","9","47","2","0"
"Torrington","5,396","11","0","3","0","8","158","25","131","2","0"
"Wheatland","3,327","4","0","2","0","2","99","12","82","5","2"
"Worland","4,901","16","0","0","0","16","38","10","27","1","0"
