"City","Population","Violent 
crime","Murder and
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Anchorage","283,300","2,488","14","282","534","1,658","10,316","1,613","7,835","868","111"
"Bethel","6,584","52","1","8","3","40","161","50","43","68","3"
"Bristol Bay Borough","933","7","0","0","2","5","43","11","18","14","1"
"Cordova","2,219","19","0","0","0","19","18","1","11","6","0"
"Craig","1,150","13","0","0","0","13","25","2","23","0","0"
"Dillingham","2,465","35","0","12","1","22","54","2","39","13","0"
"Fairbanks","35,735","268","0","59","46","163","1,395","191","1,113","91","11"
"Haines","2,273","10","0","0","0","10","48","18","29","1","0"
"Homer","5,921","54","0","0","0","54","178","20","149","9","1"
"Houston","2,298","5","0","1","0","4","27","8","14","5","0"
"Juneau","31,024","141","0","25","18","98","1,446","266","1,142","38","5"
"Kenai","7,836","32","0","1","2","29","324","42","267","15","2"
"Ketchikan","7,215","30","0","8","3","19","473","54","395","24","2"
"Kodiak","6,212","31","0","2","2","27","204","32","139","33","1"
"Kotzebue","3,187","17","0","9","0","8","55","9","36","10","1"
"North Pole","2,299","13","0","2","1","10","92","12","75","5","0"
"North Slope Borough","6,581","73","1","11","1","60","94","23","63","8","4"
"Palmer","8,706","27","0","3","0","24","249","48","195","6","1"
"Petersburg","2,784","28","0","0","0","28","110","9","100","1","0"
"Seward","3,161","7","0","0","1","6","103","7","91","5","0"
"Sitka","8,896","18","0","7","2","9","269","18","229","22","1"
"Skagway","895","1","0","0","0","1","24","8","16","0","0"
"Soldotna","4,461","20","0","3","1","16","263","15","244","4","1"
"St. Paul","405","0","0","0","0","0","1","0","1","0","0"
"Unalaska","3,462","12","0","1","0","11","51","11","36","4","0"
"Valdez","3,758","19","0","1","0","18","103","8","86","9","0"
"Wasilla","10,980","75","0","3","8","64","416","49","341","26","0"
"Wrangell","1,958","3","0","0","0","3","56","6","47","3","0"
