"City","Population","Violent 
crime","Murder and 
nonnegligent 
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Apache Junction","32,869","104","0","8","15","81","1,200","296","780","124","11"
"Avondale","88,773","351","5","23","111","212","4,389","1,012","2,831","546","18"
"Bisbee","5,965","66","0","0","0","66","208","32","176","0","0"
"Buckeye","56,780","69","1","6","15","47","1,268","361","794","113","3"
"Bullhead City","41,721","65","1","1","27","36","1,577","324","1,166","87","10"
"Camp Verde","11,012","23","0","1","0","22","243","47","178","18","3"
"Casa Grande","43,254","254","4","6","60","184","2,806","677","1,901","228","19"
"Chandler","256,091","740","5","46","205","484","7,458","1,376","5,599","483","62"
"Clarkdale","4,374","9","0","0","0","9","54","24","28","2","0"
"Clifton","2,438","8","0","0","0","8","48","25","19","4","0"
"Colorado City","4,934","3","0","0","0","3","14","4","10","0","0"
"Coolidge","10,540","61","2","3","10","46","548","136","365","47","12"
"Cottonwood","11,664","42","0","1","4","37","375","45","312","18","4"
"Douglas","17,622","41","0","5","8","28","593","81","457","55","0"
"Eagar","4,541","8","0","0","0","8","81","19","57","5","0"
"El Mirage","28,196","87","0","4","24","59","919","226","621","72","12"
"Eloy","13,049","106","0","21","15","70","590","217","328","45","19"
"Flagstaff","61,072","282","4","43","53","182","3,118","303","2,725","90","17"
"Florence","21,229","28","0","1","4","23","266","72","174","20","0"
"Fredonia","1,135","1","0","0","0","1","6","2","4","0","0"
"Gilbert","231,799","194","4","22","59","109","4,571","1,010","3,337","224","28"
"Glendale","255,080","1,147","18","54","420","655","12,489","2,551","8,214","1,724","82"
"Goodyear","67,390","134","0","14","28","92","2,079","952","842","285","18"
"Holbrook","5,094","4","1","0","3","0","381","106","254","21","0"
"Huachuca City","1,988","4","0","0","0","4","35","9","20","6","1"
"Jerome","356","2","0","0","0","2","31","10","21","0","0"
"Kingman","28,700","90","3","10","12","65","1,799","347","1,348","104","5"
"Lake Havasu City","58,406","106","3","19","12","72","1,362","323","955","84","5"
"Mammoth","2,682","6","0","0","0","6","38","15","20","3","1"
"Marana","38,028","46","0","4","22","20","1,011","141","781","89","7"
"Maricopa","52,200","52","0","9","4","39","896","195","638","63","1"
"Mesa","470,833","2,000","14","123","611","1,252","16,079","3,076","11,700","1,303","85"
"Miami","1,762","27","0","3","1","23","71","30","38","3","5"
"Nogales","19,433","69","0","1","8","60","720","139","456","125","0"
"Oro Valley","44,854","21","0","2","3","16","691","122","536","33","4"
"Paradise Valley","15,141","14","0","1","7","6","327","227","85","15","0"
"Parker","3,180","22","0","0","3","19","244","57","168","19","1"
"Peoria","164,366","321","8","53","89","171","4,872","1,120","3,303","449","8"
"Phoenix","1,597,397","8,730","122","522","3,757","4,329","65,617","16,281","39,643","9,693","436"
"Pima","2,173","7","0","1","0","6","78","26","47","5","0"
"Pinetop-Lakeside","4,654","26","1","0","1","24","226","62","158","6","3"
"Prescott","43,748","147","2","8","27","110","1,238","266","941","31","8"
"Prescott Valley","40,539","127","0","7","10","110","692","159","509","24","4"
"Quartzsite","3,497","1","0","0","0","1","71","1","67","3","1"
"Safford1","9,894","","0","2","4","","569","167","382","20","5"
"Sahuarita","28,201","14","0","2","2","10","333","53","257","23","1"
"Scottsdale","239,115","410","10","19","129","252","6,798","1,337","5,155","306","31"
"Sedona","11,759","27","0","6","1","20","246","65","177","4","2"
"Show Low","12,929","99","3","4","1","91","451","131","305","15","2"
"Sierra Vista","43,956","111","1","13","23","74","1,397","174","1,159","64","8"
"Snowflake-Taylor","10,084","39","0","0","1","38","186","58","109","19","2"
"Somerton","13,041","19","1","0","2","16","208","43","135","30","4"
"South Tucson","6,071","178","2","8","83","85","921","116","736","69","0"
"Springerville","1,994","12","0","1","0","11","34","5","28","1","0"
"Surprise","104,692","111","1","9","37","64","2,405","532","1,706","167","24"
"Tempe","177,486","922","2","66","306","548","8,986","1,478","6,692","816","68"
"Thatcher","5,122","0","0","0","0","0","105","19","85","1","0"
"Tolleson","7,498","47","0","5","10","32","808","210","535","63","1"
"Tombstone","1,573","12","0","2","0","10","76","20","50","6","0"
"Tucson1","547,981","3,560","35","204","1,246","2,075","","5,062","","3,564","225"
"Wellton","1,916","1","0","0","1","0","20","6","11","3","0"
"Wickenburg","6,707","17","0","4","0","13","156","33","102","21","0"
"Willcox","3,807","9","0","0","1","8","222","40","174","8","1"
"Williams","3,361","20","0","1","1","18","140","25","114","1","1"
"Winslow","9,903","103","1","3","17","82","619","73","525","21","2"
"Youngtown","5,177","11","1","0","2","8","101","28","55","18","1"
"Yuma","91,433","570","2","24","86","458","3,471","1,082","2,075","314","32"
