"City","Population","Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson"
"Alma","5,219","11","0","1","0","10","218","65","146","7","0"
"Arkadelphia","11,158","42","0","4","8","30","429","153","259","17","3"
"Arkansas City","510","0","0","0","0","0","14","4","10","0","0"
"Ashdown","4,405","7","0","2","1","4","170","38","120","12","0"
"Ash Flat","1,106","2","0","1","0","1","30","16","14","0","0"
"Atkins","2,968","1","0","1","0","0","66","25","39","2","0"
"Augusta","2,210","8","0","0","1","7","40","5","35","0","2"
"Austin","2,054","1","0","0","0","1","19","9","8","2","0"
"Bald Knob","3,443","9","0","1","0","8","108","41","59","8","1"
"Barling","4,507","14","0","0","1","13","74","14","53","7","0"
"Bay","2,055","1","0","1","0","0","24","15","9","0","0"
"Bearden","977","5","1","0","0","4","30","16","13","1","0"
"Beebe","7,096","58","3","6","1","48","310","135","155","20","1"
"Bella Vista","27,167","16","0","4","0","12","208","121","81","6","2"
"Benton","30,276","86","0","11","15","60","1,276","212","988","76","2"
"Bentonville","37,816","44","0","6","4","34","724","89","618","17","4"
"Berryville","5,335","19","1","3","4","11","305","116","182","7","0"
"Blytheville","15,889","178","6","20","44","108","1,329","476","788","65","9"
"Booneville","4,083","19","0","1","1","17","167","39","125","3","1"
"Bryant","15,573","57","0","13","8","36","758","179","552","27","1"
"Bull Shoals","2,155","8","0","0","0","8","30","13","17","0","2"
"Cabot","24,766","81","0","12","6","63","810","329","461","20","0"
"Caddo Valley","649","0","0","0","0","0","22","8","14","0","0"
"Camden","11,349","82","1","10","19","52","613","158","434","21","1"
"Cammack Village","776","2","0","1","0","1","9","8","1","0","0"
"Carlisle","2,420","1","0","0","0","1","67","28","34","5","0"
"Cave City","2,057","2","1","0","0","1","35","6","27","2","0"
"Cave Springs","1,782","2","0","0","0","2","22","3","19","0","0"
"Centerton","9,911","11","0","6","0","5","81","35","45","1","0"
"Charleston","3,035","3","0","1","0","2","14","3","11","0","0"
"Cherokee Village","4,792","5","0","2","0","3","151","45","100","6","1"
"Clarksville","8,679","11","0","5","0","6","374","61","305","8","0"
"Clinton","2,482","2","0","1","0","1","87","10","73","4","0"
"Conway","59,343","269","2","28","57","182","2,575","444","1,999","132","4"
"Corning","3,270","7","0","1","1","5","55","30","20","5","2"
"Cotter","1,098","1","0","0","0","1","35","15","19","1","0"
"Crossett","5,459","23","0","4","2","17","252","70","177","5","2"
"Danville","2,486","5","0","1","0","4","18","11","6","1","0"
"Dardanelle","4,458","22","0","1","1","20","236","117","113","6","2"
"Decatur","1,990","5","0","0","0","5","35","18","16","1","0"
"De Queen","5,970","18","0","1","0","17","263","96","158","9","0"
