"City","Population","Violent 
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated 
assault","Property
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson"
"Alamosa","8,781","32","2","6","2","22","496","65","418","13","5"
"Arvada","107,943","190","2","30","36","122","2,696","402","2,057","237","17"
"Aspen","5,897","24","0","4","1","19","306","53","248","5","0"
"Ault","1,444","4","0","0","0","4","31","17","14","0","0"
"Aurora","324,014","1,524","22","216","553","733","10,037","2,051","6,820","1,166","96"
"Avon","6,691","8","0","2","1","5","194","37","151","6","0"
"Basalt","3,304","1","0","0","1","0","93","17","73","3","0"
"Bayfield","2,079","1","0","0","1","0","11","4","5","2","0"
"Berthoud","5,477","5","0","0","1","4","65","16","44","5","3"
"Black Hawk","104","4","0","0","0","4","148","2","143","3","0"
"Boulder","100,035","245","5","32","51","157","2,776","564","2,093","119","41"
"Bow Mar","808","0","0","0","0","0","12","9","3","0","0"
"Breckenridge","3,493","2","0","0","0","2","330","44","283","3","0"
"Brighton","32,770","87","0","11","15","61","1,156","171","900","85","19"
"Broomfield","56,991","42","3","5","11","23","1,115","112","946","57","13"
"Brush","5,356","4","0","0","3","1","57","18","37","2","0"
"Buena Vista","2,127","1","0","0","0","1","16","2","13","1","0"
"Burlington","3,900","7","0","0","0","7","86","16","67","3","0"
"Campo","125","0","0","0","0","0","1","0","1","0","0"
"Canon City","15,925","82","0","33","4","45","461","57","390","14","1"
"Castle Rock","48,287","21","0","3","2","16","455","95","339","21","2"
"Cedaredge","2,300","3","0","1","1","1","43","8","30","5","0"
"Centennial","99,385","148","1","21","23","103","1,401","269","1,053","79","19"
"Center","2,389","5","0","0","0","5","29","9","19","1","1"
"Central City","572","1","0","0","0","1","34","1","29","4","0"
"Cherry Hills Village","6,397","1","1","0","0","0","73","26","47","0","0"
"Colorado Springs","401,626","1,968","15","344","525","1,084","14,723","3,305","10,357","1,061","101"
"Columbine Valley","1,341","0","0","0","0","0","15","8","7","0","0"
"Commerce City","45,914","126","1","21","17","87","1,243","255","814","174","6"
"Cortez","8,680","28","1","0","5","22","388","16","360","12","2"
"Craig","9,250","29","0","4","0","25","294","62","225","7","2"
"Crested Butte","1,665","0","0","0","0","0","25","0","23","2","0"
"Cripple Creek","1,001","7","0","0","3","4","58","10","47","1","2"
"Dacono","4,179","10","0","0","1","9","46","19","24","3","0"
"De Beque","528","1","0","0","0","1","25","3","20","2","0"
"Del Norte","1,576","0","0","0","0","0","22","9","11","2","0"
"Delta","9,162","44","0","13","2","29","387","70","304","13","5"
"Denver","604,680","3,493","39","343","946","2,165","20,879","4,763","12,628","3,488","136"
"Dillon","809","2","0","0","0","2","50","4","44","2","0"
"Durango","16,644","161","0","4","13","144","753","92","620","41","3"
"Eagle","6,349","12","0","0","0","12","79","14","63","2","0"
"Eaton","4,415","2","0","0","0","2","12","2","9","1","0"
"Edgewater","5,101","20","1","2","9","8","415","53","338","24","3"
"Elizabeth","1,434","1","0","1","0","0","34","11","23","0","3"
"Englewood","32,750","210","3","16","28","163","1,881","226","1,425","230","14"
"Erie","18,195","6","0","0","2","4","147","23","114","10","2"
"Estes Park","6,539","7","0","1","0","6","70","6","63","1","1"
"Evans","20,145","40","1","3","4","32","420","110","274","36","20"
"Federal Heights","11,695","57","0","10","8","39","616","91","456","69","0"
"Firestone","9,408","10","2","3","1","4","213","46","151","16","1"
"Florence","3,618","12","0","3","0","9","88","11","74","3","1"
"Fort Collins","138,487","535","2","87","68","378","4,586","752","3,604","230","17"
"Fort Lupton","7,668","20","0","0","1","19","192","24","160","8","4"
"Fort Morgan","10,485","25","0","2","7","16","264","43","208","13","1"
"Fountain","20,205","20","1","10","6","3","532","106","394","32","2"
"Fowler","1,082","0","0","0","0","0","15","0","13","2","0"
"Fraser/Winter Park","1,809","20","0","0","0","20","66","13","49","4","0"
"Frederick","9,190","8","0","1","1","6","108","36","67","5","0"
"Frisco","2,727","1","0","1","0","0","57","9","46","2","3"
"Fruita","7,501","15","0","6","3","6","281","60","213","8","1"
"Glendale","4,830","54","0","4","14","36","338","26","278","34","1"
"Glenwood Springs","9,198","47","0","3","4","40","532","59","459","14","1"
"Golden","17,334","42","1","2","2","37","452","66","366","20","5"
"Granby","1,658","8","0","0","0","8","51","4","47","0","0"
"Grand Junction","50,195","230","0","39","49","142","2,638","377","2,120","141","22"
"Greeley","93,070","441","3","40","69","329","3,130","585","2,373","172","35"
"Green Mountain Falls","806","10","0","0","0","10","20","9","7","4","0"
"Greenwood Village","14,552","34","4","0","9","21","584","95","450","39","6"
"Gunnison","5,468","26","0","2","2","22","434","39","384","11","1"
"Haxtun","963","1","0","0","0","1","4","0","4","0","0"
"Hayden","1,573","4","0","1","0","3","30","9","20","1","0"
"Holyoke","2,220","2","0","0","0","2","30","3","24","3","0"
"Hotchkiss","1,093","6","0","5","0","1","30","4","26","0","1"
"Idaho Springs","1,715","7","0","0","0","7","54","12","38","4","2"
"Ignacio","761","4","0","3","0","1","4","1","2","1","0"
"Johnstown","10,116","8","0","1","1","6","129","27","93","9","10"
"Kersey","1,467","3","0","1","1","1","36","9","23","4","0"
"Kiowa","596","6","0","0","1","5","19","11","8","0","0"
"Kremmling","1,523","8","0","0","0","8","16","3","12","1","0"
"Lafayette","25,267","50","1","8","10","31","428","80","328","20","4"
"La Junta","6,992","24","0","4","1","19","266","69","189","8","5"
"Lakeside","19","1","0","0","0","1","10","0","10","0","0"
"Lakewood","140,618","689","5","84","171","429","6,314","901","4,788","625","22"
"La Salle","2,001","5","0","1","0","4","35","10","21","4","0"
"Las Animas","2,305","4","0","0","1","3","35","4","28","3","0"
"La Veta","878","0","0","0","0","0","0","0","0","0","0"
"Leadville","2,736","8","0","0","1","7","52","9","40","3","0"
"Limon","1,719","5","0","2","0","3","10","0","9","1","0"
"Littleton","40,815","63","0","5","18","40","1,249","215","933","101","4"
"Lone Tree","9,668","10","0","1","6","3","522","31","466","25","1"
"Longmont","87,611","330","1","16","44","269","2,388","415","1,844","129","40"
"Louisville","19,147","16","0","0","4","12","262","60","196","6","3"
"Loveland","67,324","147","4","14","30","99","1,985","318","1,601","66","38"
"Mancos","1,278","9","0","0","0","9","20","6","10","4","0"
"Manitou Springs","5,182","22","0","2","1","19","188","17","162","9","2"
"Meeker","2,405","25","0","0","0","25","33","10","23","0","2"
"Milliken","6,670","4","0","2","0","2","60","14","41","5","1"
"Minturn","1,198","0","0","0","0","0","13","4","9","0","0"
"Monte Vista","3,950","20","0","0","0","20","96","25","71","0","0"
"Montrose","18,651","65","1","4","8","52","893","119","756","18","4"
"Monument","2,673","9","0","0","2","7","131","18","109","4","1"
"Morrison","413","0","0","0","0","0","1","0","1","0","0"
"Mountain View","515","0","0","0","0","0","8","3","5","0","0"
"Mount Crested Butte","864","6","0","1","0","5","39","6","30","3","0"
"Nederland","1,366","1","0","0","0","1","22","0","22","0","0"
"New Castle","4,065","7","0","1","0","6","70","14","52","4","1"
"Northglenn","33,849","108","2","24","10","72","1,306","191","943","172","9"
"Olathe","1,758","2","0","1","0","1","22","2","17","3","0"
"Ouray","946","1","0","0","0","1","25","4","21","0","0"
"Pagosa Springs","1,762","11","0","1","0","10","88","11","72","5","0"
"Paonia","1,645","4","0","0","0","4","50","8","39","3","0"
"Parachute","1,326","3","0","1","0","2","27","9","16","2","1"
"Parker","46,676","39","0","10","7","22","529","91","410","28","10"
"Platteville","2,664","4","0","1","0","3","40","10","26","4","0"
"Pueblo","105,271","897","13","31","165","688","3,392","1,311","1,736","345","44"
"Rangely","2,143","4","1","0","0","3","21","0","15","6","0"
"Rocky Ford","3,916","8","0","0","2","6","88","46","38","4","1"
"Salida","5,375","4","0","0","0","4","196","25","164","7","3"
"Sheridan","5,398","20","1","2","6","11","319","33","237","49","3"
"Silt","2,791","2","0","1","0","1","56","12","43","1","0"
"Silverthorne","4,074","8","0","3","0","5","143","7","132","4","1"
"Snowmass Village","1,923","2","0","0","0","2","61","2","59","0","0"
"Springfield","1,265","16","0","1","0","15","0","0","0","0","0"
"Steamboat Springs","9,560","32","2","7","2","21","396","59","315","22","1"
"Sterling","12,800","49","0","5","1","43","335","74","249","12","6"
"Telluride","2,377","6","0","0","1","5","107","14","87","6","0"
"Thornton","117,415","296","1","66","61","168","3,832","683","2,729","420","17"
"Trinidad","9,125","32","2","3","5","22","220","56","154","10","3"
"Vail","4,783","20","1","4","1","14","370","36","324","10","0"
"Victor","402","1","0","0","0","1","2","0","2","0","0"
"Walsh","629","0","0","0","0","0","4","1","3","0","0"
"Westminster","107,705","240","2","27","42","169","3,446","481","2,511","454","10"
"Wheat Ridge","30,683","152","1","18","32","101","1,222","217","890","115","6"
"Wiggins","956","0","0","0","0","0","2","1","0","1","0"
"Windsor","19,217","9","0","1","3","5","318","68","236","14","10"
"Woodland Park","6,490","8","0","1","2","5","89","19","69","1","1"
"Wray","2,100","0","0","0","0","0","6","0","6","0","0"
"Yuma","3,261","1","0","1","0","0","28","2","25","1","0"
