"City","Population","Violent
crime","Murder and 
nonnegligent 
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor 
vehicle 
theft","Arson"
"Bethany Beach","971","4","0","3","0","1","158","8","150","0","0"
"Blades","1,166","6","0","0","0","6","11","4","7","0","0"
"Bridgeville","1,645","4","0","1","0","3","72","7","64","1","0"
"Camden","2,621","21","0","1","7","13","299","15","281","3","0"
"Cheswold","479","4","0","1","0","3","15","6","9","0","0"
"Clayton","1,501","9","0","3","0","6","41","10","29","2","0"
"Dagsboro","585","2","0","0","1","1","24","7","17","0","0"
"Delaware City","1,523","5","0","1","1","3","29","11","17","1","1"
"Delmar","1,528","12","0","1","6","5","54","9","44","1","1"
"Dewey Beach","320","22","0","2","3","17","69","15","51","3","0"
"Dover","36,571","288","2","21","69","196","1,916","158","1,669","89","16"
"Ellendale","357","1","0","0","0","1","1","0","1","0","0"
"Elsmere","5,676","34","0","0","10","24","164","40","104","20","0"
"Felton","916","2","0","0","0","2","7","2","5","0","0"
"Fenwick Island","369","0","0","0","0","0","17","8","8","1","0"
"Georgetown","5,277","58","0","9","19","30","258","71","174","13","0"
"Greenwood","914","1","0","0","1","0","21","2","17","2","0"
"Harrington","3,466","40","0","2","7","31","232","101","125","6","0"
"Laurel","4,009","59","0","4","19","36","209","68","139","2","1"
"Lewes","3,150","9","0","0","0","9","90","22","64","4","0"
"Middletown","13,093","74","0","9","22","43","420","68","341","11","0"
"Milford","8,704","121","1","15","31","74","649","110","524","15","0"
"Millsboro","2,724","31","0","4","6","21","135","27","105","3","0"
"Milton","1,848","12","0","2","3","7","95","45","44","6","1"
"Newark","29,983","125","1","7","47","70","958","163","755","40","9"
"New Castle","4,976","24","0","3","5","16","226","34","181","11","0"
"Newport","1,104","16","0","1","1","14","56","25","28","3","0"
"Ocean View","1,149","2","0","0","0","2","39","18","21","0","1"
"Rehoboth Beach","1,597","21","0","0","3","18","209","25","179","5","0"
"Seaford","7,310","73","0","5","26","42","426","76","341","9","0"
"Selbyville","1,871","11","0","0","5","6","100","26","68","6","0"
"Smyrna","8,981","54","0","5","13","36","291","66","216","9","0"
"South Bethany","530","0","0","0","0","0","28","15","13","0","0"
"Wilmington","72,580","1,342","17","39","524","762","3,631","856","2,259","516","8"
"Wyoming","1,443","3","0","1","1","1","28","13","15","0","0"
