"City","Population","Violent
crime","Murder and 
nonnegligent 
manslaughter","Forcible 
rape","Robbery","Aggravated 
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Alachua","9,669","55","0","1","16","38","346","89","244","13","1"
"Altamonte Springs","39,797","184","1","18","43","122","1,551","294","1,158","99","7"
"Altha","521","1","0","0","0","1","7","1","6","0","0"
"Apalachicola","2,197","4","0","0","0","4","37","9","25","3","0"
"Apopka","39,308","263","1","10","84","168","1,527","353","1,097","77","7"
"Arcadia","6,788","105","0","4","23","78","310","95","202","13","1"
"Astatula","1,887","3","0","0","0","3","3","1","2","0","1"
"Atlantic Beach","13,124","83","0","5","14","64","449","88","344","17","0"
"Atlantis","2,074","7","0","0","1","6","8","3","5","0","0"
"Auburndale","14,619","92","1","9","30","52","786","238","524","24","2"
"Aventura","29,743","68","0","3","31","34","2,127","138","1,931","58","5"
"Avon Park","9,090","75","0","4","23","48","491","155","309","27","2"
"Bal Harbour Village","3,099","2","0","0","0","2","68","5","61","2","0"
"Bartow","17,069","140","0","8","37","95","1,149","305","813","31","1"
"Bay Harbor Islands","4,912","5","0","1","1","3","70","23","40","7","1"
"Belleair","4,073","2","0","0","2","0","103","21","79","3","3"
"Belleair Beach","1,581","0","0","0","0","0","47","14","33","0","0"
"Belleair Bluffs","2,155","5","0","0","3","2","65","12","51","2","0"
"Belle Glade","16,642","415","3","10","116","286","1,476","420","974","82","7"
"Belle Isle","6,553","10","0","3","0","7","125","50","66","9","0"
"Belleview","4,538","20","0","3","3","14","237","68","165","4","1"
"Biscayne Park","2,930","9","0","0","3","6","65","27","34","4","0"
"Blountstown","2,517","4","0","0","0","4","29","4","25","0","0"
"Boca Raton","85,956","217","2","24","78","113","3,087","554","2,375","158","3"
"Bonifay","2,772","4","0","2","1","1","22","15","6","1","0"
"Bowling Green","2,958","15","0","1","2","12","73","17","47","9","0"
"Boynton Beach","69,211","648","2","8","182","456","3,607","837","2,610","160","4"
"Bradenton","53,951","422","4","12","136","270","2,292","537","1,605","150","3"
"Bradenton Beach","1,560","3","0","1","0","2","108","17","89","2","0"
"Brooksville","8,375","57","1","3","11","42","350","70","265","15","1"
"Bunnell","3,281","63","0","0","9","54","151","35","97","19","0"
"Bushnell","2,301","6","0","2","0","4","128","29","93","6","0"
"Cape Coral","164,344","332","3","16","92","221","4,233","1,267","2,792","174","10"
"Carrabelle","1,222","7","0","0","0","7","23","14","8","1","0"
"Casselberry","24,782","156","2","12","42","100","1,086","195","817","74","1"
"Cedar Key","999","0","0","0","0","0","16","3","13","0","0"
"Center Hill","1,124","0","0","0","0","0","20","5","12","3","0"
