"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Aberdeen","1,740","2","0","0","1","1","9","4","4","1","0"
"American Falls","4,067","6","0","1","0","5","113","20","92","1","0"
"Bellevue","2,200","9","0","0","0","9","34","15","18","1","1"
"Blackfoot","11,072","36","1","5","1","29","383","54","312","17","3"
"Boise","206,437","538","7","70","62","399","5,757","1,046","4,537","174","55"
"Bonners Ferry","2,592","3","0","0","0","3","43","15","27","1","1"
"Buhl","4,088","15","0","5","0","10","99","23","68","8","0"
"Caldwell","44,391","167","2","14","13","138","1,125","201","838","86","7"
"Cascade","989","2","0","0","1","1","7","5","2","0","2"
"Challis","895","2","0","1","0","1","5","2","2","1","0"
"Chubbuck","12,087","32","0","1","2","29","507","27","467","13","0"
"Coeur d'Alene","44,406","286","1","41","32","212","1,737","348","1,284","105","24"
"Cottonwood","1,053","5","0","0","0","5","8","3","5","0","0"
"Emmett","6,437","38","0","13","0","25","112","21","87","4","2"
"Filer","2,189","2","0","0","0","2","14","2","11","1","0"
"Fruitland","4,836","15","0","2","1","12","76","28","42","6","0"
"Garden City","11,833","58","1","10","4","43","388","115","259","14","4"
"Gooding","3,180","3","0","0","0","3","34","6","28","0","1"
"Grangeville","3,099","4","0","1","0","3","98","30","65","3","1"
"Hagerman","795","0","0","0","0","0","1","0","0","1","0"
"Hailey","8,081","21","0","1","0","20","69","30","37","2","1"
"Heyburn","2,674","3","0","1","0","2","28","12","13","3","0"
"Homedale","2,464","2","0","0","0","2","57","13","44","0","0"
"Idaho Falls","54,702","202","2","25","16","159","1,624","283","1,263","78","8"
"Jerome","9,280","25","0","2","1","22","256","41","188","27","2"
"Kamiah","1,081","7","0","0","0","7","23","5","16","2","0"
"Kellogg","2,208","3","0","1","0","2","51","9","37","5","1"
"Ketchum","3,302","5","0","0","0","5","66","12","52","2","0"
"Kimberly","3,213","6","0","2","0","4","60","13","40","7","1"
"Lewiston","31,864","46","1","16","5","24","1,192","216","917","59","2"
"McCall","2,656","12","0","5","0","7","122","23","98","1","1"
"Meridian","71,581","115","0","21","14","80","1,011","227","764","20","8"
"Montpelier","2,313","8","0","2","0","6","62","9","50","3","0"
"Moscow","24,604","25","1","12","1","11","549","79","452","18","2"
"Mountain Home","12,482","38","0","10","1","27","336","47","281","8","2"
"Nampa","83,875","274","0","39","21","214","1,996","470","1,423","103","15"
"Orofino","3,024","9","0","0","0","9","100","40","55","5","2"
"Osburn","1,373","0","0","0","0","0","23","8","13","2","0"
"Parma","1,881","0","0","0","0","0","33","13","18","2","0"
"Payette","7,682","25","0","1","1","23","229","72","151","6","2"
"Pinehurst","1,582","0","0","0","0","0","16","6","8","2","0"
"Pocatello","55,272","170","1","29","11","129","1,622","260","1,296","66","11"
"Ponderay","702","0","0","0","0","0","50","7","42","1","0"
"Post Falls","27,603","58","1","13","7","37","685","109","542","34","6"
"Preston","5,101","2","0","0","0","2","67","9","57","1","1"
"Priest River","1,930","6","0","1","0","5","45","15","26","4","1"
"Rathdrum","7,086","9","0","3","0","6","150","38","101","11","0"
"Rexburg","30,020","5","0","0","0","5","232","28","201","3","0"
"Rigby","3,438","14","0","0","0","14","112","10","97","5","0"
"Rupert","5,025","16","0","3","0","13","136","18","109","9","0"
"Salmon","2,975","11","0","0","1","10","36","10","23","3","0"
"Sandpoint","8,519","14","0","3","3","8","209","59","143","7","2"
"Shelley","4,304","1","0","0","0","1","78","7","70","1","0"
"Soda Springs","3,040","2","0","0","0","2","28","7","21","0","0"
"Spirit Lake","1,772","4","0","0","0","4","27","5","20","2","0"
"St. Anthony","3,409","7","0","1","0","6","56","0","54","2","0"
"St. Maries","2,642","9","0","1","0","8","30","7","18","5","1"
"Sun Valley","1,470","3","0","0","0","3","18","3","15","0","0"
"Twin Falls","43,095","153","0","24","5","124","1,374","230","1,102","42","12"
"Weiser","5,275","1","0","1","0","0","103","52","38","13","1"
"Wendell","2,423","6","0","1","1","4","25","8","15","2","0"
"Wilder","1,474","4","0","0","0","4","20","4","15","1","1"
