"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Addison","36,968","","4","","15","29","799","126","624","49","0"
"Arcola","2,776","","0","","0","5","7","0","6","1","0"
"Arlington Heights","73,061","","2","","14","38","1,265","171","1,070","24","5"
"Aurora","175,135","","5","","138","531","4,222","755","3,272","195","21"
"Aviston","1,784","","0","","0","0","7","3","4","0","0"
"Bartlett","42,856","","0","","8","9","486","53","422","11","0"
"Belgium","460","","0","","0","0","5","1","3","1","0"
"Bellwood","18,810","","4","","42","68","389","124","224","41","6"
"Berkeley","4,878","","0","","1","7","130","28","98","4","0"
"Bloomington","73,897","","2","","54","291","1,891","431","1,382","78","19"
"Blue Island","22,203","","0","","60","57","819","281","431","107","3"
"Broadview","7,558","","2","","23","16","368","77","251","40","0"
"Burbank","27,529","","0","","18","40","658","100","532","26","2"
"Calumet Park","7,924","","2","","55","19","424","70","309","45","2"
"Cambridge","2,084","","0","","0","0","11","1","9","1","0"
"Carlyle","3,375","","0","","1","2","66","9","56","1","0"
"Catlin","2,111","","0","","0","1","18","6","12","0","0"
"Chester","7,775","","0","","0","17","68","25","40","3","0"
"Chicago","2,848,431","","458","","15,877","15,727","120,407","26,494","78,444","15,469","610"
"Cortland","4,489","","0","","0","3","43","6","33","4","2"
"Country Club Hills","16,783","","5","","24","26","638","145","475","18","4"
"Countryside","5,766","","1","","4","11","299","18","266","15","0"
"Danville","32,076","","4","","108","219","2,211","791","1,338","82","12"
"Decatur","75,651","","3","","149","415","3,079","1,344","1,580","155","39"
"Deerfield","19,797","","0","","1","4","190","24","164","2","0"
"Deer Park","3,373","","0","","0","1","66","8","56","2","0"
"De Kalb","46,253","","0","","39","77","1,419","213","1,171","35","7"
"Dixon","14,931","","1","","1","13","569","64","495","10","0"
"East Hazel Crest","1,528","","0","","4","4","101","37","58","6","0"
"East Peoria","22,769","","0","","9","71","703","258","431","14","2"
"Effingham","12,498","","0","","2","30","362","48","305","9","2"
"Elgin","107,686","","3","","79","167","2,244","445","1,683","116","13"
"Fairmount","624","","0","","0","0","0","0","0","0","0"
"Fithian","550","","0","","0","0","0","0","0","0","0"
"Flora","4,742","","0","","0","9","106","4","99","3","0"
"Flossmoor","9,305","","0","","4","4","141","37","101","3","0"
"Freeport","24,424","","0","","15","40","1,156","324","817","15","4"
