"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Adel","4,553","9","0","1","0","8","101","21","77","3","1"
"Albia","3,537","11","0","0","0","11","47","16","28","3","0"
"Algona","5,285","14","0","0","0","14","36","7","29","0","0"
"Altoona","14,297","22","0","2","6","14","417","59","342","16","1"
"Ames","57,173","177","0","23","15","139","1,613","279","1,285","49","3"
"Anamosa","5,764","6","0","0","0","6","162","26","131","5","1"
"Ankeny","44,339","46","0","13","10","23","694","101","580","13","26"
"Atlantic","6,726","6","0","2","0","4","170","21","139","10","0"
"Audubon","2,082","0","0","0","0","0","36","9","25","2","0"
"Bettendorf","32,734","37","0","4","7","26","599","107","470","22","4"
"Boone","12,592","47","0","3","0","44","214","71","130","13","4"
"Burlington","25,172","170","1","10","25","134","985","287","652","46","15"
"Camanche","4,288","1","0","0","0","1","49","7","35","7","0"
"Carlisle","3,708","5","0","2","0","3","61","28","30","3","0"
"Carroll","9,974","6","0","2","0","4","158","23","125","10","0"
"Cedar Falls","38,271","131","0","21","9","101","653","111","519","23","7"
"Cedar Rapids","128,779","403","1","43","107","252","5,588","1,279","4,068","241","12"
"Centerville","5,393","22","0","4","0","18","280","82","182","16","3"
"Chariton","4,401","21","0","0","1","20","147","53","89","5","0"
"Charles City","7,435","10","1","0","1","8","139","33","105","1","4"
"Cherokee","4,629","28","0","0","0","28","66","17","47","2","0"
"Clarinda","5,474","10","0","2","0","8","152","46","97","9","1"
"Clarion","2,692","4","0","1","0","3","58","13","44","1","1"
"Clinton","26,266","162","2","14","20","126","1,073","236","781","56","17"
"Clive","15,522","29","0","4","3","22","439","66","363","10","4"
"Coralville","18,884","35","0","4","13","18","583","66","500","17","4"
"Council Bluffs","59,669","527","2","66","97","362","4,405","818","3,129","458","45"
"Cresco","3,712","2","0","1","0","1","93","26","62","5","2"
"Creston","7,597","22","0","1","2","19","260","42","206","12","2"
"Davenport","101,116","739","3","47","221","468","5,155","1,097","3,866","192","22"
"Decorah","7,877","8","0","0","0","8","115","13","99","3","0"
"Denison","7,167","8","0","0","1","7","87","12","72","3","0"
"Des Moines1","196,794","1,067","6","153","244","664","8,688","1,830","6,146","712","55"
"De Witt","5,286","9","0","0","0","9","86","32","49","5","1"
"Dubuque","57,192","294","2","15","17","260","1,883","483","1,323","77","32"
"Dyersville","4,222","1","0","0","0","1","44","11","33","0","0"
"Eagle Grove","3,269","8","0","1","0","7","55","20","33","2","1"
"Eldora","2,703","6","0","1","0","5","34","11","20","3","0"
"Eldridge","4,962","5","0","0","1","4","65","21","40","4","0"
"Emmetsburg","3,586","4","0","1","0","3","15","2","13","0","0"
"Estherville","6,255","15","0","0","0","15","100","29","71","0","0"
"Evansdale","5,121","14","0","1","2","11","112","46","58","8","1"
"Fairfield","9,177","13","0","4","0","9","280","63","206","11","3"
"Forest City","4,066","6","0","0","0","6","28","17","11","0","0"
"Fort Dodge","25,058","197","3","0","37","157","1,298","351","862","85","13"
"Fort Madison","10,818","69","1","12","1","55","348","83","249","16","5"
"Glenwood","5,675","9","0","2","0","7","85","28","52","5","2"
"Grinnell","9,174","20","0","3","0","17","278","101","175","2","0"
"Grundy Center","2,510","2","0","0","0","2","10","0","9","1","0"
"Hampton","4,126","2","0","0","0","2","22","4","18","0","0"
"Hawarden","2,396","2","0","0","0","2","28","9","15","4","0"
"Humboldt","4,170","1","0","0","0","1","56","22","32","2","0"
"Independence","6,125","8","0","0","2","6","135","28","96","11","2"
"Indianola","14,500","25","0","7","1","17","340","37","288","15","5"
"Iowa City","68,427","245","1","24","50","170","1,549","280","1,192","77","4"
"Iowa Falls","4,940","4","0","0","0","4","122","15","104","3","1"
"Jefferson","4,095","2","0","0","0","2","33","17","15","1","0"
"Johnston","16,725","9","0","3","2","4","202","34","161","7","0"
"Le Mars","9,114","10","0","4","0","6","200","31","159","10","2"
"Manchester","4,834","31","0","3","0","28","59","17","35","7","2"
"Maquoketa","5,882","17","0","4","1","12","205","63","137","5","0"
"Marion","33,590","52","0","8","10","34","560","138","394","28","6"
"Marshalltown","25,833","126","0","1","6","119","1,256","318","867","71","11"
"Mason City","27,142","37","0","12","4","21","1,135","203","896","36","4"
"Monticello","3,652","3","0","0","0","3","56","13","37","6","0"
"Mount Pleasant","8,780","29","0","1","1","27","224","55","157","12","3"
"Mount Vernon","4,196","5","0","1","1","3","64","4","59","1","0"
"Muscatine","22,480","131","0","23","3","105","598","103","468","27","2"
"Newton","14,981","18","0","0","2","16","450","97","329","24","2"
"North Liberty","12,569","31","0","3","3","25","87","29","49","9","0"
"Norwalk","9,048","8","0","2","0","6","95","11","81","3","1"
"Oelwein","6,019","17","0","2","0","15","146","44","95","7","1"
"Ogden","1,968","5","0","0","0","5","28","9","19","0","0"
"Osage","3,424","3","0","0","0","3","39","7","30","2","0"
"Osceola","4,708","5","0","0","1","4","121","30","86","5","1"
"Oskaloosa","11,077","24","0","6","2","16","284","56","211","17","1"
"Ottumwa","24,276","158","0","8","7","143","1,003","210","747","46","12"
"Pella","10,238","23","0","0","1","22","126","16","106","4","2"
"Perry","9,809","42","0","0","0","42","178","27","148","3","2"
"Pleasant Hill","8,873","16","0","3","2","11","129","58","59","12","0"
"Polk City","3,314","2","0","0","0","2","31","13","17","1","0"
"Prairie City","1,444","0","0","0","0","0","16","11","5","0","0"
"Red Oak","5,627","7","0","1","0","6","173","61","108","4","2"
"Sergeant Bluff","4,093","7","0","0","0","7","38","5","32","1","2"
"Sheldon","4,740","8","0","0","0","8","81","35","43","3","0"
"Shenandoah","4,884","4","0","0","0","4","98","12","81","5","3"
"Sioux City","82,573","342","3","25","43","271","2,833","625","2,037","171","19"
"Spencer","10,949","2","0","0","2","0","294","91","202","1","2"
"Spirit Lake","4,742","1","0","0","0","1","113","10","103","0","1"
"State Center","1,340","0","0","0","0","0","14","1","13","0","1"
"Storm Lake","9,542","33","0","2","1","30","304","62","236","6","8"
"Story City","3,406","5","0","1","0","4","41","10","29","2","0"
"Tipton","2,997","2","0","2","0","0","35","4","28","3","0"
"Urbandale","39,518","48","0","7","7","34","809","143","639","27","3"
"Vinton","5,078","6","0","1","0","5","73","17","55","1","1"
"Washington","7,276","42","0","4","1","37","113","55","54","4","1"
"Waterloo","66,436","599","2","30","140","427","2,694","787","1,761","146","29"
"Waukee","13,558","18","0","2","0","16","239","107","130","2","1"
"Waverly","9,334","101","0","3","0","98","161","23","130","8","2"
"Webster City","7,672","37","0","2","3","32","233","55","167","11","2"
"West Burlington","3,298","10","0","0","1","9","162","12","150","0","0"
"West Des Moines","56,400","73","0","18","6","49","1,772","196","1,536","40","9"
"West Liberty","3,685","2","0","0","0","2","62","19","39","4","0"
"West Union","2,416","4","0","0","0","4","40","25","13","2","0"
"Williamsburg","2,831","3","0","0","0","3","22","4","16","2","0"
"Windsor Heights","4,616","16","0","1","3","12","229","20","200","9","0"
"Winterset","4,825","5","1","1","0","3","102","13","89","0","0"
