"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Albany","2,321","0","0","0","0","0","8","1","7","0","0"
"Alexandria","8,605","9","0","1","4","4","219","28","183","8","1"
"Anchorage","3,417","1","0","0","0","1","34","9","25","0","0"
"Ashland","21,276","81","0","16","35","30","1,389","424","921","44","4"
"Auburn","1,506","1","0","1","0","0","23","7","16","0","1"
"Audubon Park","1,676","5","0","0","5","0","85","16","59","10","0"
"Barbourville","3,614","4","0","2","1","1","34","4","25","5","0"
"Bardstown","11,292","23","0","6","7","10","329","83","233","13","1"
"Bardwell","772","0","0","0","0","0","3","2","1","0","0"
"Beattyville","1,113","0","0","0","0","0","4","2","2","0","0"
"Beaver Dam","3,144","3","0","0","0","3","15","1","10","4","2"
"Bellevue","5,788","14","0","2","7","5","361","37","306","18","0"
"Benham","524","1","0","1","0","0","2","1","1","0","0"
"Benton","4,370","2","0","0","2","0","128","26","100","2","0"
"Berea","14,825","17","1","4","8","4","433","115","305","13","1"
"Bowling Green","55,754","230","3","51","72","104","3,088","543","2,400","145","2"
"Bradfordsville","324","0","0","0","0","0","0","0","0","0","0"
"Brandenburg","2,196","0","0","0","0","0","61","13","48","0","0"
"Brownsville","1,049","1","0","0","0","1","6","2","4","0","0"
"Burnside","697","1","0","0","1","0","35","13","19","3","0"
"Cadiz","2,592","4","0","1","0","3","78","14","62","2","1"
"Calhoun","783","0","0","0","0","0","0","0","0","0","0"
"Calvert City","2,769","0","0","0","0","0","54","17","35","2","0"
"Campbellsville","11,072","20","0","2","9","9","298","80","204","14","1"
"Catlettsburg","1,928","8","0","2","4","2","115","18","96","1","1"
"Cave City","2,014","3","0","2","0","1","42","20","21","1","0"
"Central City","5,678","5","0","1","1","3","66","9","52","5","0"
"Clarkson","843","0","0","0","0","0","15","9","6","0","0"
"Clay City","1,364","2","0","0","1","1","26","8","18","0","0"
"Clinton","1,321","2","0","0","0","2","7","6","1","0","0"
"Cloverport","1,232","0","0","0","0","0","2","2","0","0","0"
"Coal Run Village","625","0","0","0","0","0","8","1","7","0","0"
"Cold Spring","6,072","6","0","1","4","1","151","13","136","2","0"
"Columbia","4,296","1","0","0","1","0","10","3","6","1","0"
"Corbin","8,376","20","1","2","9","8","363","70","283","10","8"
"Covington","43,215","354","1","39","180","134","2,267","624","1,464","179","31"
"Cumberland","2,327","2","0","1","1","0","16","12","2","2","0"
"Cynthiana","6,277","15","0","1","5","9","358","85","263","10","0"
"Danville","15,530","40","0","5","13","22","557","136","408","13","5"
"Dawson Springs","2,895","3","0","0","1","2","39","19","19","1","0"
"Dayton","5,400","18","1","1","7","9","175","49","123","3","1"
"Dry Ridge","2,245","1","0","0","1","0","10","3","5","2","0"
"Earlington","1,563","1","0","0","1","0","7","1","6","0","0"
"Eddyville","2,423","0","0","0","0","0","46","6","39","1","0"
"Edgewood","8,858","4","0","1","2","1","142","22","113","7","0"
"Edmonton","1,650","0","0","0","0","0","10","5","5","0","0"
"Elizabethtown","24,321","52","1","5","25","21","1,058","152","878","28","6"
"Elkton","1,981","1","0","0","0","1","25","7","13","5","1"
"Elsmere","7,908","11","0","5","5","1","122","40","75","7","1"
"Eminence","2,213","4","0","1","0","3","21","9","9","3","0"
"Erlanger","21,299","27","0","8","13","6","502","102","376","24","2"
"Evarts","1,019","6","1","1","1","3","15","7","8","0","1"
"Falmouth","2,058","4","0","1","0","3","88","20","65","3","0"
"Ferguson","943","0","0","0","0","0","1","1","0","0","0"
"Flatwoods","7,663","8","0","0","5","3","135","64","66","5","0"
"Flemingsburg","2,682","1","0","0","0","1","66","21","39","6","0"
"Florence","28,232","207","0","8","46","153","1,478","134","1,278","66","9"
"Fort Mitchell","7,507","3","0","1","1","1","180","24","147","9","0"
"Fort Thomas","15,089","3","0","0","1","2","204","44","149","11","0"
"Fort Wright","5,425","14","0","1","11","2","340","39","292","9","1"
"Frankfort","27,272","82","0","7","29","46","999","186","753","60","4"
"Franklin","7,981","14","0","3","4","7","355","74","261","20","1"
"Fulton","2,406","7","0","3","2","2","91","27","60","4","0"
"Gamaliel","426","0","0","0","0","0","1","1","0","0","0"
"Georgetown","21,962","111","0","3","12","96","974","124","814","36","0"
"Glasgow","14,440","27","0","7","5","15","305","80","216","9","11"
"Graymoor-Devondale","3,215","1","0","0","1","0","95","32","55","8","0"
"Grayson","3,996","8","0","0","6","2","80","20","57","3","2"
"Greensburg","2,416","1","0","0","0","1","29","11","17","1","0"
"Greenup","1,184","0","0","0","0","0","1","0","1","0","0"
"Greenville","4,218","4","0","1","0","3","12","8","4","0","0"
"Guthrie","1,453","3","0","1","0","2","13","5","6","2","0"
"Hardinsburg","2,443","2","0","0","0","2","13","3","9","1","0"
"Harlan","1,843","6","0","1","2","3","57","8","46","3","1"
"Harrodsburg","8,195","19","1","7","5","6","130","51","68","11","1"
"Hartford","2,677","1","0","0","0","1","15","6","8","1","1"
"Hazard","4,789","15","0","4","5","6","269","37","221","11","4"
"Henderson","27,984","49","1","10","23","15","1,046","174","838","34","2"
"Heritage Creek","1,831","0","0","0","0","0","7","7","0","0","0"
"Highland Heights Southgate","8,948","57","0","2","3","52","130","26","98","6","0"
"Hillview","7,630","13","0","1","4","8","219","54","149","16","2"
"Hodgenville","2,762","0","0","0","0","0","24","11","13","0","0"
"Hopkinsville","32,294","103","2","16","43","42","1,292","388","849","55","10"
"Horse Cave","2,334","0","0","0","0","0","7","4","3","0","0"
"Independence","22,572","23","0","7","5","11","311","85","210","16","3"
"Indian Hills","3,552","0","0","0","0","0","35","12","22","1","0"
"Inez","431","1","0","0","0","1","2","0","2","0","0"
"Irvine","2,648","7","0","1","2","4","60","24","35","1","0"
"Irvington","1,417","2","0","0","0","2","5","2","3","0","0"
"Jackson","2,387","2","0","0","1","1","43","13","29","1","0"
"Jamestown","1,750","0","0","0","0","0","18","10","7","1","0"
"Jeffersontown","26,199","64","0","11","35","18","635","122","464","49","0"
"Jenkins","2,228","1","0","0","1","0","9","1","7","1","0"
"Junction City","2,212","0","0","0","0","0","3","0","2","1","0"
"La Grange","6,354","13","1","4","4","4","173","23","141","9","0"
"Lakeside Park-Crestview Hills","6,470","1","0","0","1","0","165","21","141","3","0"
"Lancaster","4,473","7","0","0","1","6","110","32","76","2","1"
"Lawrenceburg","10,071","11","0","1","1","9","79","19","55","5","0"
"Lebanon","5,993","17","1","2","2","12","178","85","86","7","1"
"Leitchfield","6,572","13","0","3","1","9","163","47","108","8","0"
"Lewisburg","913","0","0","0","0","0","10","2","8","0","0"
"Lexington","296,406","1,760","13","107","578","1,062","10,124","2,427","7,154","543","29"
"Liberty","1,898","2","0","0","0","2","15","6","7","2","0"
"London","8,020","9","0","1","2","6","400","52","328","20","0"
"Louisa","2,096","6","0","1","3","2","60","18","41","1","0"
"Louisville Metro","631,260","3,769","62","230","1,570","1,907","26,907","7,085","18,094","1,728","239"
"Ludlow","4,856","5","0","1","3","1","175","51","114","10","0"
"Lynch","812","1","0","1","0","0","3","1","2","0","0"
"Lynnview","1,044","3","0","0","2","1","7","3","4","0","0"
"Madisonville","19,083","69","1","19","13","36","593","150","419","24","0"
"Manchester","1,939","2","0","0","1","1","55","11","37","7","0"
"Marion","3,091","5","0","1","0","4","52","12","37","3","1"
"Mayfield","10,167","28","0","4","4","20","272","76","184","12","2"
"Maysville","9,277","15","0","4","6","5","484","144","329","11","1"
"Meadow Vale","859","0","0","0","0","0","12","2","9","1","0"
"Middlesboro","9,881","24","0","4","10","10","572","74","496","2","1"
"Monticello","6,182","7","0","1","4","2","160","54","100","6","2"
"Morehead","7,718","13","0","1","9","3","218","36","175","7","1"
"Morganfield","3,274","3","0","0","0","3","113","20","89","4","0"
"Morgantown","2,566","2","0","1","0","1","9","3","5","1","0"
"Mortons Gap","935","0","0","0","0","0","0","0","0","0","0"
"Mount Sterling","7,026","27","1","0","5","21","451","86","355","10","0"
"Mount Vernon","2,612","8","0","0","4","4","38","14","22","2","0"
"Mount Washington","12,414","6","0","1","1","4","188","62","109","17","1"
"Munfordville","1,616","9","0","8","0","1","17","6","10","1","0"
"Murray","16,709","26","0","9","7","10","636","174","434","28","0"
"New Castle","908","0","0","0","0","0","0","0","0","0","0"
"Nicholasville","27,162","65","0","6","28","31","1,259","253","967","39","6"
"Nortonville","1,231","0","0","0","0","0","8","2","6","0","0"
"Oak Grove","9,480","32","0","5","21","6","349","163","163","23","1"
"Olive Hill","1,820","0","0","0","0","0","30","6","21","3","0"
"Owensboro","55,651","119","1","36","34","48","2,340","417","1,841","82","3"
