"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Ashland","1,441","0","0","0","0","0","8","6","1","1","0"
"Auburn","23,176","33","0","7","13","13","849","134","694","21","4"
"Augusta","18,252","53","0","11","12","30","1,071","167","872","32","6"
"Baileyville","1,540","3","0","1","0","2","46","8","35","3","0"
"Bangor","31,789","65","1","10","35","19","2,210","284","1,884","42","1"
"Bar Harbor","5,163","1","0","0","0","1","29","9","19","1","0"
"Bath","8,847","8","0","5","3","0","296","33","255","8","6"
"Belfast","6,754","9","0","6","2","1","200","45","146","9","0"
"Berwick","7,681","8","0","3","2","3","117","23","87","7","7"
"Bethel","2,687","2","1","0","0","1","96","10","84","2","0"
"Biddeford","21,479","57","2","11","20","24","1,030","156","856","18","12"
"Boothbay Harbor","2,242","2","0","0","0","2","92","8","82","2","0"
"Brewer","9,041","9","0","0","6","3","365","36","324","5","0"
"Bridgton","5,507","2","0","0","0","2","76","17","58","1","1"
"Brownville","1,292","5","0","0","0","5","49","11","38","0","0"
"Brunswick","21,781","24","0","6","6","12","450","69","377","4","1"
"Bucksport","4,892","12","0","0","0","12","102","27","73","2","1"
"Buxton","8,138","2","0","0","0","2","63","14","46","3","0"
"Calais","3,157","27","0","0","0","27","178","17","161","0","0"
"Camden","5,216","6","0","2","2","2","96","21","72","3","2"
"Cape Elizabeth","8,769","1","0","0","0","1","75","10","63","2","0"
"Caribou","8,070","5","0","0","1","4","140","18","117","5","1"
"Carrabassett Valley","479","0","0","0","0","0","71","3","65","3","0"
"Clinton","3,312","2","0","2","0","0","51","20","30","1","0"
"Cumberland","7,639","4","0","3","0","1","36","13","21","2","0"
"Damariscotta","1,900","5","0","4","0","1","43","9","34","0","0"
"Dexter","3,666","5","0","1","1","3","177","50","124","3","0"
"Dixfield","2,532","2","0","1","0","1","44","14","30","0","0"
"Dover-Foxcroft","4,221","10","0","3","0","7","115","18","93","4","1"
"East Millinocket","3,157","1","0","0","0","1","16","4","12","0","0"
"Eastport","1,525","0","0","0","0","0","14","6","8","0","0"
"Eliot","6,339","3","0","2","0","1","54","18","34","2","0"
"Ellsworth","7,177","3","0","1","0","2","315","39","263","13","0"
"Fairfield","6,718","7","0","3","1","3","194","42","145","7","2"
"Falmouth","10,768","3","0","0","2","1","168","32","131","5","0"
"Farmington","7,561","11","0","5","1","5","256","18","234","4","0"
"Fort Fairfield","3,437","6","0","0","0","6","38","6","31","1","0"
"Fort Kent","4,177","6","0","0","0","6","23","1","22","0","0"
"Freeport","8,239","4","0","1","0","3","121","17","104","0","0"
"Fryeburg","3,363","13","0","0","0","13","38","18","17","3","0"
"Gardiner","6,090","10","0","5","3","2","128","26","102","0","3"
"Gorham","15,725","12","1","4","1","6","226","94","126","6","3"
"Gouldsboro","1,999","0","0","0","0","0","13","8","4","1","0"
"Greenville","1,722","2","0","0","0","2","66","24","41","1","0"
"Hallowell","2,434","0","0","0","0","0","52","20","31","1","1"
"Hampden","6,984","1","0","1","0","0","94","15","77","2","0"
"Holden","3,006","1","0","0","0","1","55","20","34","1","1"
"Houlton","6,109","5","0","1","1","3","184","34","144","6","0"
"Jay","4,749","2","0","1","0","1","84","20","58","6","0"
"Kennebunk","11,551","3","0","1","1","1","149","42","104","3","1"
"Kennebunkport","4,012","2","0","2","0","0","57","8","49","0","0"
"Kittery","10,524","3","0","2","0","1","171","15","149","7","1"
"Lewiston","35,074","93","0","21","38","34","1,106","216","865","25","6"
"Limestone","2,252","2","1","0","0","1","28","5","22","1","0"
"Lincoln","5,263","6","0","2","2","2","209","62","144","3","1"
"Lincolnville","2,202","1","0","0","0","1","17","6","11","0","0"
"Lisbon","9,343","5","0","3","2","0","104","17","82","5","0"
"Livermore Falls","3,124","3","0","1","0","2","53","13","37","3","1"
"Machias","2,112","4","0","2","0","2","30","12","18","0","0"
"Madawaska","4,315","1","0","0","0","1","40","2","38","0","0"
"Madison","4,575","4","0","2","0","2","127","26","99","2","0"
"Mechanic Falls","3,242","0","0","0","0","0","34","3","31","0","0"
"Mexico","2,856","5","0","2","1","2","121","28","91","2","0"
"Milbridge","1,312","0","0","0","0","0","6","2","4","0","0"
"Millinocket","4,871","3","0","1","2","0","102","33","61","8","0"
"Milo","2,313","17","0","0","0","17","61","25","32","4","1"
"Monmouth","3,862","1","1","0","0","0","70","21","45","4","1"
"Mount Desert","2,169","0","0","0","0","0","25","7","18","0","0"
"Newport","3,114","4","1","0","0","3","114","17","96","1","0"
"North Berwick","4,891","0","0","0","0","0","35","7","27","1","1"
"Norway","4,779","7","0","2","0","5","92","12","75","5","0"
"Oakland","6,209","7","0","3","3","1","152","30","117","5","0"
"Ogunquit","1,266","2","0","0","0","2","39","11","28","0","0"
"Old Orchard Beach","9,451","19","1","7","6","5","322","58","252","12","4"
"Old Town","7,689","5","0","1","3","1","207","35","170","2","3"
"Orono","9,708","2","0","0","2","0","179","20","155","4","1"
"Oxford","3,922","3","0","2","0","1","147","24","121","2","0"
"Paris","4,980","2","0","1","1","0","81","17","61","3","0"
"Phippsburg","2,167","0","0","0","0","0","23","10","11","2","0"
"Pittsfield","4,217","2","0","1","0","1","74","11","58","5","0"
"Portland","62,382","234","4","27","120","83","2,806","546","2,153","107","21"
"Presque Isle","8,996","6","0","4","0","2","372","66","304","2","2"
"Rangeley","1,188","1","0","1","0","0","25","11","13","1","0"
"Richmond","3,429","0","0","0","0","0","24","9","12","3","0"
"Rockland","7,417","4","0","2","0","2","420","31","382","7","0"
"Rockport","3,553","0","0","0","0","0","34","8","25","1","0"
"Rumford","6,293","11","2","7","1","1","189","39","144","6","1"
"Sabattus","4,666","1","0","0","0","1","54","28","25","1","0"
"Saco","18,262","25","1","11","7","6","524","92","413","19","3"
"Sanford","21,183","59","0","20","14","25","687","132","523","32","5"
"Scarborough","19,281","9","0","0","7","2","358","49","296","13","3"
"Searsport","2,577","4","0","0","0","4","60","12","42","6","0"
"Skowhegan","8,664","19","1","10","2","6","327","57","265","5","3"
"South Berwick","7,205","0","0","0","0","0","67","15","50","2","0"
"South Portland","23,852","62","0","3","13","46","1,062","96","929","37","2"
"Southwest Harbor","1,939","0","0","0","0","0","73","13","59","1","0"
"Swan's Island","300","0","0","0","0","0","0","0","0","0","0"
"Thomaston","3,646","0","0","0","0","0","55","7","43","5","1"
"Topsham","9,909","0","0","0","0","0","203","29","165","9","0"
"Van Buren","2,463","2","0","0","1","1","13","6","3","4","0"
"Veazie","1,908","1","0","0","1","0","36","9","27","0","0"
"Waldoboro","5,015","7","1","1","1","4","112","24","84","4","2"
"Washburn","1,571","0","0","0","0","0","32","7","25","0","0"
"Waterville","16,063","26","0","10","3","13","758","90","660","8","9"
"Wells","9,944","11","1","3","1","6","153","28","119","6","1"
"Westbrook","16,579","33","1","8","13","11","635","100","510","25","5"
"Wilton","4,176","20","0","9","0","11","139","42","92","5","0"
"Windham","16,927","10","0","5","1","4","453","80","364","9","1"
"Winslow","7,856","12","0","9","1","2","135","28","101","6","0"
"Winter Harbor","960","0","0","0","0","0","2","0","2","0","0"
"Winthrop","6,451","2","0","1","0","1","77","29","43","5","1"
"Wiscasset","3,768","0","0","0","0","0","59","16","41","2","1"
"Yarmouth","8,069","2","0","1","1","0","100","28","70","2","1"
"York","14,195","6","0","1","2","3","224","30","192","2","1"
