"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Aberdeen","14,003","89","1","7","36","45","567","64","471","32","1"
"Annapolis","36,586","243","4","9","82","148","980","199","702","79","3"
"Baltimore","638,755","9,664","238","158","3,707","5,561","29,163","7,798","16,741","4,624","347"
"Baltimore City Sheriff","","0","0","0","0","0","0","0","0","0","0"
"Bel Air","9,824","63","0","3","11","49","457","42","406","9","2"
"Berlin","4,111","16","0","0","3","13","116","24","92","0","0"
"Berwyn Heights","2,929","8","0","0","7","1","91","22","60","9","0"
"Bladensburg","7,557","89","1","2","48","38","486","101","262","123","0"
"Boonsboro","3,463","0","0","0","0","0","24","8","16","0","0"
"Bowie","52,577","124","0","4","65","55","1,102","254","742","106","3"
"Brunswick","5,262","17","0","0","1","16","99","23","70","6","1"
"Cambridge","11,840","128","0","10","25","93","500","113","374","13","4"
"Capitol Heights","4,094","15","0","0","6","9","38","8","14","16","0"
"Centreville","3,681","2","0","0","1","1","50","9","41","0","0"
"Chestertown","4,915","42","0","0","9","33","159","47","105","7","2"
"Cheverly","6,365","34","2","0","19","13","196","64","96","36","0"
"Chevy Chase Village","2,116","0","0","0","0","0","103","5","95","3","0"
"Colmar Manor","1,256","11","0","0","6","5","37","4","28","5","0"
"Cottage City","1,120","10","0","0","5","5","72","21","45","6","0"
"Crisfield","2,751","11","0","0","2","9","79","13","63","3","0"
"Cumberland","20,372","202","1","15","20","166","1,318","380","916","22","12"
"Delmar","3,576","18","0","1","4","13","83","24","58","1","1"
"Denton","4,147","20","0","2","5","13","240","64","173","3","2"
"District Heights","6,026","32","1","0","11","20","183","39","106","38","0"
"Easton","15,030","61","0","3","22","36","587","109","473","5","1"
"Edmonston","1,328","8","0","0","4","4","47","4","35","8","0"
"Elkton","15,202","371","1","7","90","273","1,270","250","942","78","7"
"Fairmount Heights","1,493","1","0","0","1","0","5","1","3","1","0"
"Federalsburg","2,627","26","0","3","6","17","137","31","100","6","0"
"Forest Heights","2,550","9","0","0","5","4","42","26","10","6","0"
"Frederick","59,936","514","1","18","150","345","1,786","299","1,386","101","16"
"Frostburg","7,669","15","0","0","3","12","191","51","133","7","0"
"Fruitland","4,511","44","0","1","9","34","250","29","218","3","0"
"Glenarden","6,304","18","0","0","8","10","119","33","72","14","4"
"Greenbelt","21,087","202","0","8","127","67","1,199","212","822","165","0"
"Greensboro","2,043","9","0","0","1","8","70","16","47","7","2"
"Hagerstown","40,062","191","0","3","73","115","1,398","239","1,041","118","17"
"Hampstead","5,501","7","0","0","0","7","97","10","85","2","1"
"Hancock","1,743","17","2","1","0","14","41","5","32","4","1"
"Havre de Grace","13,289","78","0","4","16","58","350","50","285","15","2"
"Hurlock","2,069","6","0","0","1","5","83","23","57","3","0"
"Hyattsville","15,346","126","0","0","86","40","1,517","142","1,249","126","0"
"Landover Hills","1,512","5","0","0","1","4","20","6","13","1","0"
"La Plata","9,170","34","0","0","6","28","326","30","279","17","0"
"Laurel","22,463","169","1","1","74","93","1,161","171","771","219","5"
"Lonaconing","1,117","0","0","0","0","0","3","0","3","0","2"
"Luke","72","0","0","0","0","0","0","0","0","0","0"
"Manchester","3,567","3","0","0","0","3","37","10","26","1","0"
"Morningside","1,305","9","0","1","1","7","33","10","16","7","0"
"Mount Rainier","8,303","79","0","1","69","9","312","57","181","74","2"
"New Carrollton","12,445","60","1","3","39","17","441","87","301","53","0"
"North East","2,872","14","0","0","5","9","171","24","134","13","5"
"Oakland","1,832","0","0","0","0","0","57","12","45","0","0"
"Ocean City","7,026","88","0","2","23","63","1,295","213","1,052","30","1"
"Oxford","699","1","0","0","0","1","2","1","1","0","0"
"Perryville","3,816","10","0","2","2","6","225","34","186","5","3"
"Pocomoke City","3,854","28","0","1","7","20","216","45","169","2","0"
"Port Deposit","704","0","0","0","0","0","11","1","9","1","0"
"Preston","685","1","0","0","0","1","9","3","6","0","0"
"Princess Anne","3,104","41","1","4","17","19","202","84","117","1","2"
"Ridgely","1,536","29","0","1","3","25","88","31","55","2","2"
"Rising Sun","1,815","3","0","0","0","3","67","8","59","0","1"
"Riverdale Park","6,413","58","0","0","36","22","247","55","124","68","0"
"Rock Hall","1,496","0","0","0","0","0","29","6","23","0","0"
"Salisbury","28,800","643","2","20","198","423","2,609","727","1,778","104","20"
"Seat Pleasant","4,822","35","1","0","15","19","159","38","95","26","0"
"Smithsburg","3,002","2","0","0","0","2","9","5","4","0","0"
"Snow Hill","2,305","7","0","0","1","6","51","17","34","0","1"
"St. Michaels","1,054","2","0","0","0","2","56","6","48","2","0"
"Sykesville","4,444","3","0","0","1","2","56","8","43","5","4"
"Takoma Park","17,741","104","0","5","54","45","659","112","470","77","5"
"Taneytown","5,455","2","0","0","0","2","113","15","97","1","2"
"Thurmont","6,082","9","0","1","1","7","75","15","55","5","0"
"Trappe","1,136","0","0","0","0","0","11","0","9","2","0"
"University Park","2,278","6","0","0","4","2","74","17","53","4","0"
"Upper Marlboro","658","2","0","0","1","1","31","6","19","6","0"
"Westernport","1,929","2","0","1","0","1","26","9","16","1","1"
"Westminster","17,787","123","0","0","11","112","743","93","633","17","9"
