"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Adrian","21,295","124","0","32","16","76","683","150","505","28","3"
"Adrian Township","7,422","0","0","0","0","0","14","2","12","0","0"
"Albion","9,100","66","2","5","13","46","339","102","226","11","4"
"Algonac","4,532","8","0","0","1","7","36","11","24","1","0"
"Allegan","4,826","69","0","7","0","62","100","14","81","5","0"
"Allen Park","25,658","45","0","2","13","30","664","119","452","93","8"
"Alma","9,215","23","0","13","1","9","84","35","48","1","4"
"Almont","2,737","11","0","1","0","10","109","25","80","4","2"
"Alpena","10,378","59","2","12","2","43","348","65","277","6","5"
"Ann Arbor","114,367","270","1","29","63","177","2,950","609","2,216","125","14"
"Argentine Township","7,099","22","0","1","0","21","64","28","34","2","1"
"Armada","1,661","2","0","0","1","1","11","2","8","1","0"
"Auburn","2,034","0","0","0","0","0","19","0","19","0","0"
"Auburn Hills","21,021","75","0","3","16","56","872","98","726","48","5"
"Bad Axe","3,029","3","0","1","1","1","157","15","139","3","0"
"Bangor","1,828","3","0","0","0","3","95","14","80","1","1"
"Barry Township","3,537","0","0","0","0","0","12","4","8","0","0"
"Bath Township","11,886","5","0","0","2","3","132","38","91","3","1"
"Battle Creek","61,139","636","8","53","137","438","3,263","1,166","1,964","133","26"
"Bay City","33,572","218","2","33","43","140","1,067","294","733","40","11"
"Beaverton","1,054","1","0","1","0","0","21","1","19","1","0"
"Belding","5,672","30","0","9","1","20","303","52","245","6","0"
"Bellaire","1,118","1","0","0","0","1","17","2","15","0","0"
"Belleville","3,510","5","0","0","2","3","118","27","86","5","1"
"Benton Harbor","10,760","135","0","8","15","112","247","109","127","11","4"
"Benton Township","15,043","164","0","17","46","101","1,315","206","1,054","55","3"
"Berkley","14,708","13","0","1","1","11","233","30","186","17","2"
"Berrien Springs-Oronoko Township","9,534","16","0","8","1","7","258","39","212","7","4"
"Beverly Hills","9,805","3","0","0","2","1","127","17","106","4","0"
"Big Rapids","10,194","28","0","7","6","15","360","80","273","7","3"
"Birch Run","1,636","4","0","2","0","2","108","5","99","4","0"
"Birmingham","18,895","18","0","1","4","13","390","70","300","20","1"
"Blackman Township","24,512","50","2","11","17","20","660","73","564","23","2"
"Blissfield","3,164","0","0","0","0","0","102","8","91","3","0"
"Bloomfield Hills","3,755","3","0","1","0","2","61","13","42","6","0"
"Bloomfield Township","40,699","29","0","3","11","15","638","118","487","33","1"
"Boyne City","3,103","5","0","1","1","3","129","17","110","2","0"
"Breckenridge","1,278","0","0","0","0","0","24","5","18","1","0"
"Bridgeport Township","10,727","62","0","5","7","50","351","141","189","21","2"
"Bridgman","2,396","4","0","2","0","2","80","15","62","3","0"
"Brighton","7,256","8","0","2","0","6","165","17","147","1","5"
"Bronson","2,258","4","0","0","0","4","64","15","48","1","0"
"Brown City","1,243","1","0","1","0","0","23","5","18","0","0"
"Brownstown Township","29,045","62","1","12","12","37","549","172","321","56","5"
"Buchanan","4,320","29","0","9","1","19","182","26","150","6","1"
"Buena Vista Township","9,253","93","0","4","20","69","499","253","205","41","12"
"Burr Oak","745","0","0","0","0","0","16","4","12","0","0"
"Burton","29,788","145","2","18","51","74","1,607","389","1,132","86","5"
"Cadillac","10,271","54","0","8","7","39","589","104","475","10","2"
"Calumet","795","1","0","0","0","1","28","7","20","1","0"
"Cambridge Township","5,865","0","0","0","0","0","5","1","4","0","0"
"Camp Grayling","","0","0","0","0","0","0","0","0","0","0"
"Canton Township","82,634","138","1","21","26","90","1,506","294","1,120","92","9"
"Capac","2,089","1","0","0","0","1","34","8","25","1","0"
"Carleton","2,572","6","0","1","0","5","44","7","34","3","5"
"Caro","3,994","18","0","5","2","11","214","26","186","2","1"
"Carrollton Township","5,904","15","0","1","2","12","183","79","99","5","0"
"Caseville","829","2","0","1","0","1","33","3","30","0","0"
"Cassopolis","1,924","1","0","0","0","1","13","0","12","1","0"
"Cedar Springs","3,259","12","0","4","2","6","106","16","87","3","0"
"Center Line","8,093","37","0","4","12","21","245","23","173","49","1"
"Central Lake","962","0","0","0","0","0","12","0","11","1","0"
"Charlevoix","2,622","3","0","1","0","2","82","12","70","0","1"
"Charlotte","8,996","26","0","11","1","14","272","26","234","12","2"
"Cheboygan","4,904","4","0","2","0","2","170","24","146","0","0"
"Chelsea","5,075","7","0","3","1","3","98","26","70","2","1"
"Chesaning","2,324","3","0","0","0","3","25","7","18","0","0"
"Chesterfield Township","45,432","139","2","10","13","114","1,302","218","1,022","62","7"
"Chikaming Township","3,653","3","0","1","0","2","72","23","49","0","0"
"Chocolay Township","6,040","0","0","0","0","0","43","2","40","1","0"
"Clare","3,080","2","0","0","1","1","122","12","108","2","0"
"Clarkston","908","0","0","0","0","0","7","0","7","0","0"
"Clawson","12,097","10","0","1","4","5","113","20","83","10","2"
"Clayton Township","7,750","7","0","1","1","5","94","39","55","0","0"
"Clay Township","9,458","10","0","4","2","4","133","38","94","1","0"
"Clinton","2,400","3","0","2","0","1","40","11","28","1","0"
"Clinton Township","95,956","277","1","24","50","202","2,303","518","1,553","232","15"
"Clio","2,490","11","0","1","0","10","77","13","64","0","0"
