"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Albert Lea","17,279","","1","","4","24","386","33","335","18","0"
"Alexandria","11,409","","0","","4","13","332","24","297","11","0"
"Annandale","3,150","","0","","0","2","126","9","114","3","0"
"Anoka","17,203","","0","","12","21","745","103","609","33","6"
"Appleton","3,011","","0","","0","3","55","16","37","2","0"
"Apple Valley","50,480","","1","","14","17","1,313","180","1,107","26","8"
"Aurora","1,735","","0","","0","0","0","0","0","0","0"
"Austin","22,721","","0","","6","31","812","137","645","30","2"
"Avon","1,324","","0","","0","2","12","2","9","1","0"
"Babbitt","1,578","","0","","0","0","0","0","0","0","0"
"Baxter","8,625","","0","","0","4","344","8","334","2","0"
"Bayport","3,305","","0","","0","1","54","8","43","3","0"
"Becker","4,381","","0","","0","0","1","0","1","0","0"
"Belgrade","710","","0","","0","0","0","0","0","0","0"
"Belle Plaine","7,067","","0","","0","8","112","18","88","6","3"
"Bemidji","13,694","","0","","8","58","1,001","80","893","28","2"
"Benson","3,014","","0","","0","4","51","5","41","5","1"
"Big Lake","10,282","","0","","1","6","196","19","175","2","1"
"Biwabik","976","","0","","0","0","0","0","0","0","0"
"Blackduck","768","","0","","0","1","16","3","12","1","0"
"Blaine","56,228","","1","","20","26","2,108","228","1,788","92","11"
"Bloomington","80,864","","2","","49","66","3,235","277","2,846","112","14"
"Blue Earth","3,209","","0","","0","1","56","8","47","1","0"
"Brainerd","13,694","","0","","4","41","519","83","419","17","4"
"Breckenridge","3,159","","0","","0","0","59","15","42","2","0"
"Brooklyn Center","27,217","","0","","75","70","1,704","258","1,314","132","4"
"Brooklyn Park","71,740","","0","","109","147","2,885","571","2,134","180","11"
"Browns Valley","594","","0","","0","0","0","0","0","0","0"
"Brownton","782","","0","","0","1","4","2","2","0","0"
"Buffalo","14,741","","0","","1","5","367","23","335","9","3"
"Burnsville","59,015","","2","","33","18","1,935","297","1,563","75","7"
"Cambridge","7,965","","0","","2","5","269","29","234","6","2"
"Cannon Falls","4,049","","0","","1","1","186","24","160","2","3"
"Centennial Lakes","11,262","","1","","1","12","159","31","124","4","1"
"Champlin","23,640","","0","","4","16","479","70","401","8","0"
"Chaska","24,939","","0","","0","13","386","39","340","7","6"
"Cloquet","11,407","","0","","5","15","500","55","425","20","0"
"Cold Spring","3,802","","0","","0","2","68","21","47","0","0"
"Columbia Heights","18,176","","0","","23","30","725","165","515","45","4"
"Coon Rapids","61,844","","1","","30","65","2,628","251","2,307","70","7"
"Corcoran","5,629","","0","","0","6","66","20","43","3","0"
"Cottage Grove","33,969","","0","","9","20","645","74","545","26","2"
"Crookston","7,744","","0","","0","11","29","11","15","3","0"
"Crosby","2,237","","0","","0","4","78","11","67","0","0"
"Crystal","21,600","","0","","22","20","808","158","602","48","4"
"Dawson","1,339","","0","","0","0","18","4","14","0","0"
"Dayton","4,635","","0","","0","2","42","13","22","7","0"
"Deephaven-Woodland","4,235","","0","","0","0","24","8","16","0","1"
"Detroit Lakes","8,209","","0","","1","7","355","19","331","5","0"
"Dilworth","3,757","","0","","0","2","96","5","90","1","0"
"Duluth","84,071","","3","","122","201","4,253","632","3,431","190","34"
"Eagan","64,014","","1","","16","22","1,582","218","1,323","41","10"
"Eagle Lake","2,340","","0","","0","2","23","9","13","1","0"
"East Grand Forks","7,839","","0","","3","6","244","39","191","14","0"
"Eden Prairie","61,893","","0","","10","34","1,166","165","977","24","3"
"Edina","45,414","","0","","14","10","933","139","778","16","3"
"Elk River","24,061","","0","","4","11","656","71","565","20","1"
"Elmore","648","","0","","0","3","7","2","5","0","0"
"Ely","3,447","","0","","0","0","72","5","56","11","0"
"Eveleth","3,553","","0","","0","8","113","23","84","6","1"
"Fairmont","10,148","","0","","2","8","288","29","254","5","0"
"Falcon Heights","5,648","","0","","1","0","88","26","60","2","0"
"Faribault","22,129","","0","","16","52","698","154","518","26","8"
"Farmington","19,945","","0","","5","5","246","39","202","5","2"
"Fergus Falls","13,631","","0","","0","23","417","77","331","9","6"
"Floodwood","494","","0","","0","1","21","1","20","0","0"
"Forest Lake","17,727","","0","","1","6","518","63","431","24","1"
"Gilbert","1,745","","0","","1","1","31","7","23","1","0"
"Glencoe","5,560","","0","","0","4","134","17","114","3","1"
"Glenwood","2,518","","0","","0","0","26","3","22","1","0"
"Golden Valley","20,345","","0","","14","17","623","138","441","44","9"
"Goodview","3,577","","0","","0","3","67","18","46","3","0"
"Granite Falls","2,885","","0","","0","3","31","4","26","1","0"
"Hallock","1,003","","0","","0","0","0","0","0","0","0"
"Hastings","22,600","","0","","2","11","607","84","504","19","0"
"Hermantown","9,518","","0","","1","2","275","25","238","12","0"
"Hibbing","16,115","","0","","2","15","344","37","289","18","1"
"Hilltop","674","","0","","1","6","90","19","66","5","1"
"Hokah","556","","0","","0","0","19","9","10","0","1"
"Hopkins","16,915","","1","","16","18","433","107","279","47","6"
"Houston","949","","0","","0","2","31","20","10","1","0"
"Hoyt Lakes","1,943","","0","","0","0","0","0","0","0","0"
"Hutchinson","13,995","","0","","0","16","415","47","358","10","3"
"Inver Grove Heights","33,800","","0","","13","14","880","129","688","63","14"
"Jackson","3,285","","0","","0","3","80","17","62","1","0"
"Janesville","2,255","","0","","0","1","26","7","19","0","0"
"Jordan","5,642","","0","","0","6","82","4","74","4","0"
"Kasson","5,697","","0","","0","0","35","5","30","0","0"
"Kimball","710","","0","","0","1","8","3","4","1","0"
"Lake City","5,310","","0","","0","2","84","13","69","2","0"
"Lake Crystal","2,619","","0","","0","2","56","10","42","4","1"
"Lakefield","1,603","","0","","0","1","7","1","6","0","0"
"Lakes Area","8,373","","0","","0","6","151","20","126","5","1"
"Lakeville","55,921","","0","","7","10","983","169","788","26","4"
"Lauderdale","2,193","","1","","0","0","63","27","33","3","0"
"Lester Prairie","1,795","","0","","0","4","28","5","22","1","0"
"Le Sueur","4,286","","0","","0","0","87","8","78","1","0"
"Lewiston","1,479","","0","","0","0","1","1","0","0","0"
"Lino Lakes","20,565","","0","","1","11","203","30","165","8","3"
"Litchfield","6,557","","0","","0","2","104","17","83","4","1"
"Little Falls","8,105","","0","","0","2","181","2","171","8","0"
"Long Prairie","2,785","","0","","0","5","83","4","75","4","0"
"Madison","1,542","","0","","0","0","9","0","9","0","0"
"Mankato","36,676","","0","","13","56","1,840","292","1,487","61","5"
"Maple Grove","62,801","","1","","10","22","1,316","172","1,123","21","1"
"Mapleton","1,656","","0","","0","0","19","4","14","1","0"
"Maplewood","36,165","","0","","28","45","2,407","270","1,961","176","9"
"Marshall","12,634","","0","","2","26","395","81","302","12","0"
"Medina","5,209","","0","","0","0","115","20","94","1","0"
"Melrose","3,150","","0","","0","3","29","5","24","0","0"
"Mendota Heights","11,610","","0","","0","7","262","56","201","5","0"
"Milaca","3,052","","0","","0","3","96","3","92","1","0"
"Minneapolis","382,618","4,242","18","413","1,663","2,148","17,859","4,741","11,320","1,798","143"
"Minnetonka","49,968","","1","","10","12","1,086","177","885","24","9"
"Minnetrista","8,588","","0","","0","5","90","12","72","6","0"
"Montevideo","5,203","","0","","0","8","123","17","102","4","0"
"Montgomery","3,323","","0","","0","7","89","12","76","1","0"
"Moorhead","36,429","","0","","5","26","913","115","761","37","1"
"Moose Lake","2,404","","0","","0","1","99","4","95","0","0"
"Mora","3,438","","0","","0","17","113","12","98","3","0"
