"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Aberdeen","6,054","29","0","1","13","15","194","65","126","3","0"
"Amory","7,226","13","0","0","4","9","354","78","267","9","2"
"Batesville1","7,928","24","0","7","10","7","","","391","12","0"
"Bay St. Louis","7,774","14","1","3","6","4","416","84","317","15","0"
"Belzoni","2,407","10","1","2","2","5","23","4","19","0","0"
"Biloxi","45,160","252","5","3","127","117","2,583","1,020","1,427","136","1"
"Booneville","8,763","7","0","0","3","4","247","77","170","0","0"
"Brandon","22,716","12","1","5","3","3","201","69","123","9","0"
"Brookhaven","13,334","19","0","1","12","6","254","69","170","15","0"
"Byhalia","1,313","4","0","0","0","4","39","14","19","6","0"
"Canton","12,476","85","0","9","27","49","517","317","187","13","0"
"Carthage","4,836","5","0","1","1","3","94","59","31","4","0"
"Charleston","1,850","72","1","1","45","25","75","31","44","0","1"
"Clarksdale","17,741","129","4","18","57","50","996","621","334","41","9"
"Cleveland","12,057","50","1","5","19","25","898","150","731","17","3"
"Collins","2,774","10","0","1","5","4","141","26","106","9","0"
"Columbus","23,577","81","1","9","37","34","1,164","276","836","52","4"
"Crystal Springs","5,959","17","0","1","2","14","183","88","85","10","1"
"D'Iberville","7,934","34","0","9","12","13","688","102","570","16","2"
"Drew","2,146","17","0","5","4","8","65","43","19","3","16"
"Edwards","1,286","4","0","2","0","2","5","3","2","0","0"
"Eupora","2,201","7","0","1","0","6","51","25","24","2","1"
"Florence2","3,612","1","0","0","0","1","50","13","34","3","0"
"Flowood","7,182","38","0","4","3","31","499","114","365","20","0"
"Fulton","4,093","6","0","0","2","4","66","28","35","3","0"
"Gautier","16,248","60","0","7","13","40","721","214","467","40","3"
"Gloster","1,021","1","0","1","0","0","5","5","0","0","0"
"Greenville","35,187","65","8","7","45","5","2,036","896","1,045","95","75"
"Greenwood","15,842","124","2","17","32","73","988","409","553","26","0"
"Grenada","14,647","93","3","0","22","68","640","212","408","20","0"
"Gulfport","69,926","149","4","18","91","36","3,687","990","2,547","150","16"
"Hattiesburg","52,716","136","5","19","66","46","2,408","460","1,857","91","4"
"Heidelberg","809","0","0","0","0","0","30","7","22","1","0"
"Hernando","12,913","12","0","2","1","9","314","79","223","12","1"
"Holly Springs","7,997","110","1","1","20","88","360","159","177","24","0"
"Horn Lake","25,238","34","1","0","17","16","737","143","555","39","1"
"Itta Bena","1,844","1","0","0","0","1","137","78","54","5","0"
"Iuka","2,926","5","0","0","2","3","83","34","46","3","0"
"Jackson","172,799","1,515","37","124","958","396","13,182","4,569","6,994","1,619","113"
"Kosciusko","7,371","18","0","1","3","14","173","80","92","1","0"
"Laurel","18,741","134","3","13","82","36","1,011","310","670","31","6"
"Leakesville","1,025","0","0","0","0","0","0","0","0","0","0"
"Leland","4,720","18","0","0","3","15","128","48","78","2","0"
"Long Beach","11,879","6","0","1","3","2","304","52","241","11","0"
"Louisville","6,561","13","0","2","6","5","63","53","10","0","0"
"Lucedale","3,152","17","0","0","5","12","84","17","63","4","0"
"Macon","2,718","22","0","0","2","20","90","17","73","0","0"
"Madison","18,040","13","0","2","1","10","273","13","253","7","0"
"Magnolia","2,090","5","0","0","1","4","33","20","12","1","0"
"McComb","13,726","64","2","1","43","18","793","201","547","45","0"
"Meridian","38,054","250","3","40","107","100","2,269","1,038","1,104","127","20"
"Morton","3,432","9","0","0","4","5","31","5","17","9","2"
"Natchez","16,209","47","2","10","21","14","611","218","370","23","1"
"New Albany","8,234","6","0","1","2","3","108","24","78","6","1"
"Ocean Springs","17,140","21","1","1","8","11","639","239","366","34","1"
"Olive Branch","33,284","90","1","17","29","43","1,046","226","743","77","5"
"Oxford","17,719","12","0","3","4","5","385","83","286","16","0"
"Pascagoula","23,346","74","1","6","45","22","1,429","297","1,033","99","4"
"Pass Christian","3,864","5","0","0","2","3","147","36","105","6","0"
"Pearl","24,592","70","1","7","7","55","771","275","448","48","1"
"Petal","10,659","9","2","0","2","5","71","44","24","3","1"
"Philadelphia","8,046","51","0","5","14","32","329","116","204","9","0"
"Picayune","11,937","47","0","9","18","20","380","138","228","14","4"
"Poplarville","3,054","13","0","0","6","7","54","26","27","1","0"
"Port Gibson","1,650","2","0","0","1","1","9","0","9","0","0"
"Purvis","2,706","0","0","0","0","0","1","0","1","0","0"
"Ridgeland","21,644","35","0","2","15","18","728","57","644","27","0"
"Ripley","5,664","9","0","1","2","6","95","30","60","5","0"
"Roxie","556","0","0","0","0","0","0","0","0","0","0"
"Shaw","2,116","6","0","0","1","5","106","51","53","2","0"
"Southaven","46,093","84","1","8","40","35","2,184","338","1,739","107","2"
"Starkville","24,444","64","0","6","18","40","728","157","558","13","2"
"Summit","1,627","2","0","0","0","2","46","17","29","0","0"
"Tupelo","36,453","87","0","25","25","37","1,864","382","1,404","78","0"
"Vicksburg","24,827","187","3","26","49","109","1,870","480","1,294","96","10"
"Waveland","5,091","10","0","2","2","6","341","45","285","11","0"
"West Point","11,203","30","0","4","10","16","269","62","206","1","0"
"Winona","4,434","9","0","0","3","6","27","10","13","4","0"
"Yazoo City","11,346","62","1","6","25","30","460","238","191","31","0"
