"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Adrian","1,912","5","0","0","0","5","34","5","26","3","0"
"Advance","1,212","1","0","1","0","0","16","3","11","2","0"
"Anderson","2,061","5","0","0","0","5","54","11","35","8","1"
"Appleton City","1,257","1","0","0","0","1","16","8","7","1","0"
"Arbyrd","485","2","0","0","0","2","2","1","1","0","0"
"Archie","1,008","2","0","1","0","1","15","1","11","3","0"
"Arnold","20,676","53","0","4","3","46","916","60","837","19","0"
"Ash Grove","1,540","0","0","0","0","0","20","10","9","1","1"
"Ashland","2,185","5","0","1","1","3","56","9","44","3","0"
"Aurora","7,529","61","0","2","8","51","446","107","311","28","2"
"Auxvasse","999","1","0","0","0","1","28","3","25","0","0"
"Ava","3,164","11","0","0","0","11","82","17","61","4","1"
"Ballwin","29,897","17","0","2","2","13","331","62","262","7","0"
"Bates City","268","2","0","0","0","2","17","7","9","1","0"
"Battlefield","4,521","0","0","0","0","0","77","18","59","0","0"
"Bella Villa","631","1","0","0","0","1","6","0","6","0","0"
"Belle","1,386","3","0","0","0","3","10","0","10","0","0"
"Bellefontaine Neighbors","10,152","65","0","4","20","41","397","147","178","72","7"
"Bellerive","252","2","0","0","0","2","0","0","0","0","0"
"Bellflower","385","1","0","0","0","1","2","0","2","0","0"
"Bel-Nor","1,469","2","0","1","1","0","24","15","9","0","0"
"Bel-Ridge","2,879","62","0","1","11","50","153","68","63","22","1"
"Belton","24,908","52","1","7","12","32","587","92","454","41","5"
"Berkeley","9,316","133","3","9","45","76","477","203","213","61","4"
"Bernie","1,789","5","0","1","0","4","30","4","23","3","0"
"Bethany","3,066","14","0","0","0","14","57","22","32","3","1"
"Beverly Hills","553","0","0","0","0","0","0","0","0","0","0"
"Billings","1,120","4","0","1","0","3","19","0","16","3","0"
"Birch Tree","623","1","0","0","0","1","3","2","1","0","0"
"Birmingham","223","2","0","0","0","2","2","2","0","0","0"
"Bismarck","1,545","0","0","0","0","0","4","1","0","3","2"
"Bloomfield","1,861","5","0","0","0","5","17","1","15","1","1"
"Blue Springs","56,567","119","0","19","32","68","1,739","352","1,223","164","3"
"Bolivar","11,240","114","1","0","8","105","338","74","258","6","4"
"Bonne Terre","7,307","11","0","0","1","10","56","20","23","13","0"
"Boonville","8,841","24","0","1","0","23","251","21","223","7","0"
"Bourbon","1,533","8","0","0","0","8","26","0","25","1","0"
"Bowling Green","5,300","5","0","1","2","2","100","20","79","1","0"
"Branson","7,734","112","0","1","9","102","928","116","797","15","1"
"Branson West","520","0","0","0","0","0","50","0","50","0","0"
"Braymer","948","1","0","0","0","1","10","2","7","1","0"
"Breckenridge Hills","4,444","21","0","4","8","9","204","53","138","13","2"
"Brentwood","7,129","7","0","0","3","4","221","17","201","3","0"
"Bridgeton","14,972","73","0","2","21","50","996","81","836","79","1"
"Brookfield","4,275","8","0","0","0","8","96","27","62","7","1"
"Brunswick","846","1","0","0","0","1","7","6","1","0","0"
"Bucklin","469","0","0","0","0","0","3","2","1","0","0"
"Buckner","2,796","6","0","0","0","6","91","19","70","2","0"
"Buffalo","3,348","8","0","0","1","7","162","35","124","3","3"
"Butler","4,314","6","0","0","0","6","165","18","142","5","0"
"Butterfield Village","422","2","0","1","0","1","2","1","1","0","0"
"Cabool","2,138","1","0","0","0","1","43","23","16","4","1"
"California","4,165","15","0","0","1","14","61","13","46","2","0"
"Calverton Park","1,265","3","0","0","1","2","26","10","15","1","0"
"Camden Point","545","0","0","0","0","0","0","0","0","0","0"
"Camdenton","3,569","6","0","0","1","5","132","15","114","3","0"
"Cameron","9,226","28","0","1","2","25","215","44","165","6","2"
"Campbell","1,832","1","1","0","0","0","53","9","43","1","0"
"Canton","2,459","7","0","1","0","6","57","8","49","0","0"
"Cape Girardeau","37,588","178","2","17","51","108","2,141","363","1,740","38","9"
"Cardwell","716","3","0","1","1","1","2","0","2","0","0"
"Carl Junction","7,588","7","0","2","0","5","164","30","131","3","2"
"Carrollton","3,830","4","0","0","1","3","72","16","54","2","1"
"Carterville","1,985","2","0","0","0","2","10","3","6","1","0"
"Carthage","14,054","49","0","7","4","38","486","95","378","13","2"
"Caruthersville","6,082","63","0","1","5","57","213","93","108","12","2"
"Cassville","3,337","10","0","1","0","9","216","33","175","8","0"
"Center","641","0","0","0","0","0","12","1","11","0","0"
"Centralia","3,658","11","0","2","0","9","117","18","91","8","0"
"Chaffee","2,940","7","0","0","0","7","72","13","59","0","0"
"Charlack","1,336","3","0","0","1","2","43","7","32","4","0"
"Charleston","5,160","35","0","1","7","27","139","31","103","5","0"
"Chesterfield","45,977","27","1","1","6","19","913","86","814","13","4"
"Clarkton","1,228","3","0","0","0","3","21","9","12","0","1"
"Claycomo","1,316","6","0","1","2","3","44","6","31","7","1"
"Clayton","16,105","18","0","0","10","8","296","67","218","11","0"
"Cleveland","689","0","0","0","0","0","5","0","4","1","0"
"Clever","1,720","1","0","0","0","1","7","1","3","3","0"
"Clinton","9,387","28","0","4","4","20","379","85","273","21","0"
"Cole Camp","1,143","6","3","0","0","3","10","1","8","1","0"
"Columbia","102,588","501","3","32","157","309","3,906","692","3,082","132","11"
"Concordia","2,386","1","0","0","0","1","53","8","41","4","0"
"Conway","784","4","0","0","1","3","14","5","9","0","0"
"Cool Valley","996","9","0","0","4","5","74","15","53","6","0"
"Cooter","411","0","0","0","0","0","0","0","0","0","0"
"Cottleville","3,331","3","0","1","1","1","53","2","51","0","0"
"Country Club Hills","1,269","1","0","0","0","1","66","16","42","8","0"
"Country Club Village","2,447","1","0","0","0","1","24","6","17","1","0"
"Crane","1,372","5","0","0","0","5","23","7","15","1","0"
"Creighton","348","0","0","0","0","0","0","0","0","0","0"
"Crestwood","11,358","22","0","1","4","17","399","24","372","3","1"
"Creve Coeur","16,881","13","0","1","7","5","325","36","274","15","1"
"Crocker","995","3","0","0","0","3","40","5","34","1","0"
"Crystal City","4,568","10","0","3","2","5","142","13","121","8","0"
"Cuba","3,592","15","0","1","2","12","159","30","124","5","2"
"Deepwater","488","1","0","0","0","1","15","3","12","0","1"
"Dellwood","4,864","32","0","0","12","20","167","70","71","26","1"
"Delta","543","0","0","0","0","0","0","0","0","0","0"
"Desloge","5,228","15","0","0","5","10","255","15","231","9","1"
"De Soto","6,479","35","0","1","3","31","232","20","199","13","1"
"Des Peres","8,604","12","0","1","9","2","438","19","418","1","0"
"Dexter","7,674","18","0","0","0","18","261","53","200","8","0"
"Diamond","905","0","0","0","0","0","1","0","1","0","0"
"Dixon","1,530","1","1","0","0","0","53","6","47","0","0"
"Doniphan","1,883","6","1","0","0","5","122","14","107","1","0"
"Doolittle","654","2","0","0","0","2","11","6","4","1","0"
"Drexel","1,097","1","0","0","0","1","36","13","22","1","0"
"Duenweg","1,260","1","0","0","0","1","58","4","53","1","0"
"Duquesne","1,758","9","0","0","1","8","59","21","31","7","0"
"East Prairie","3,053","15","0","0","0","15","138","19","114","5","1"
"Edina","1,111","1","0","0","0","1","2","2","0","0","0"
"Edmundson","775","8","0","0","4","4","59","10","43","6","2"
"Eldon","4,996","15","0","3","0","12","170","32","131","7","0"
"El Dorado Springs","3,672","29","0","2","1","26","136","30","99","7","4"
"Ellington","977","6","0","1","0","5","25","6","17","2","0"
"Ellisville","9,224","10","0","1","2","7","152","16","118","18","0"
"Elsberry","2,707","4","0","0","0","4","35","11","24","0","1"
"Eminence","555","0","0","0","0","0","1","0","1","0","0"
"Eureka","9,505","16","0","2","0","14","240","26","204","10","1"
"Everton","303","0","0","0","0","0","4","2","2","0","0"
"Excelsior Springs","12,132","62","0","5","6","51","342","87","238","17","2"
"Exeter","753","0","0","0","0","0","0","0","0","0","0"
"Fair Grove","1,443","1","0","1","0","0","18","7","10","1","0"
"Fair Play","459","0","0","0","0","0","8","2","4","2","0"
"Farber","392","0","0","0","0","0","0","0","0","0","0"
"Farmington","16,351","42","0","7","3","32","586","41","536","9","0"
"Fayette","2,685","1","0","0","0","1","18","8","7","3","0"
"Ferguson","20,814","113","3","3","52","55","1,171","302","702","167","2"
"Ferrelview","576","1","0","1","0","0","9","2","7","0","0"
"Festus","11,417","43","0","4","6","33","234","37","185","12","6"
"Fleming","116","0","0","0","0","0","0","0","0","0","0"
"Flordell Hills","854","11","0","2","2","7","43","18","14","11","0"
"Florissant","50,205","129","1","9","62","57","1,438","297","1,004","137","1"
"Foley","215","0","0","0","0","0","0","0","0","0","0"
"Fordland","771","1","0","0","0","1","3","1","2","0","0"
"Foristell","330","0","0","0","0","0","25","1","23","1","0"
"Forsyth","1,725","2","0","1","0","1","63","16","45","2","1"
"Fredericktown","4,177","32","2","5","0","25","90","16","72","2","1"
"Freeman","607","0","0","0","0","0","0","0","0","0","0"
"Frontenac","3,842","4","0","0","1","3","53","6","43","4","0"
"Fulton","12,771","45","0","2","9","34","466","80","368","18","6"
"Gallatin","1,724","1","0","0","0","1","11","1","9","1","0"
"Garden City","1,669","0","0","0","0","0","28","8","17","3","0"
"Gerald","1,254","2","0","0","0","2","25","6","19","0","0"
"Gideon","945","0","0","0","0","0","1","0","1","0","0"
"Gladstone","28,454","70","3","2","27","38","782","149","549","84","11"
"Glasgow","1,193","3","0","2","0","1","8","2","6","0","0"
"Glendale","5,461","3","0","0","2","1","36","4","32","0","0"
"Glen Echo Park","157","1","0","0","0","1","5","4","1","0","0"
"Goodman","1,262","2","0","0","0","2","10","3","6","1","0"
"Gower","1,435","0","0","0","0","0","25","6","17","2","0"
"Granby","2,243","3","0","0","0","3","21","4","16","1","2"
"Grandview","23,939","181","1","7","60","113","1,120","308","685","127","3"
"Greendale","687","0","0","0","0","0","4","3","1","0","0"
"Greenfield","1,220","1","0","0","0","1","19","5","9","5","0"
"Greenville","430","1","0","0","0","1","11","1","8","2","0"
"Greenwood","4,728","0","0","0","0","0","56","11","43","2","0"
"Hallsville","956","2","0","0","0","2","25","7","16","2","0"
"Hamilton","1,781","5","0","1","0","4","34","4","26","4","2"
"Hannibal","17,396","107","2","14","24","67","1,305","177","1,100","28","3"
"Hardin","550","2","0","0","0","2","6","2","4","0","0"
"Harrisonville","9,837","24","0","0","4","20","383","63","308","12","2"
"Hartville","604","6","0","0","0","6","22","5","17","0","0"
"Hawk Point","590","1","0","0","0","1","9","3","6","0","0"
"Hayti","2,933","10","0","0","4","6","150","25","121","4","0"
"Hazelwood","25,254","91","3","6","28","54","1,129","164","889","76","1"
"Henrietta","429","0","0","0","0","0","2","0","2","0","0"
"Herculaneum1","3,675","8","0","1","0","7","69","13","54","2","1"
"Hermann","2,720","11","0","0","0","11","75","12","62","1","0"
"Higginsville","4,558","7","0","0","0","7","118","20","94","4","1"
"High Hill","210","0","0","0","0","0","2","1","1","0","0"
"Highlandville","915","0","0","0","0","0","3","0","2","1","0"
"Hillsboro","2,111","14","0","2","0","12","108","18","87","3","1"
"Hillsdale","1,401","36","1","1","12","22","56","29","14","13","0"
"Holcomb","668","0","0","0","0","0","0","0","0","0","0"
"Holden","2,546","18","0","1","2","15","89","19","66","4","0"
"Hollister","4,054","53","0","3","2","48","144","31","113","0","0"
"Holt","477","1","0","0","0","1","2","1","1","0","0"
"Holts Summit","3,833","15","0","3","2","10","90","18","71","1","0"
"Hornersville","653","1","1","0","0","0","0","0","0","0","0"
"Houston","2,043","0","0","0","0","0","68","15","51","2","1"
"Humansville","1,025","4","0","1","0","3","9","1","5","3","0"
"Huntsville","1,645","0","0","0","0","0","4","0","3","1","0"
"Hurley","150","0","0","0","0","0","0","0","0","0","0"
"Iberia","682","6","0","2","0","4","4","3","0","1","0"
"Independence","122,174","749","3","51","167","528","7,165","1,328","5,134","703","29"
"Iron Mountain Lake","700","1","0","0","0","1","10","5","5","0","0"
"Ironton","1,310","0","0","0","0","0","28","7","18","3","0"
"Jackson","13,956","22","0","3","1","18","405","68","323","14","0"
"Jasper","1,073","0","0","0","0","0","13","4","9","0","1"
"Jefferson City","40,829","237","2","5","41","189","1,409","218","1,157","34","31"
"Jennings","14,536","220","3","8","51","158","1,090","340","575","175","4"
"Jonesburg","729","3","0","1","0","2","28","12","14","2","0"
"Kansas City","484,684","6,303","100","276","1,970","3,957","26,695","7,231","15,937","3,527","297"
"Kearney","9,018","9","0","2","0","7","130","17","110","3","1"
"Kennett","10,649","43","0","7","8","28","555","129","410","16","1"
"Kimberling City","2,466","3","0","0","0","3","51","12","37","2","0"
"Kimmswick","111","0","0","0","0","0","0","0","0","0","0"
"King City","879","0","0","0","0","0","2","1","1","0","0"
"Kirksville","17,376","56","0","1","4","51","524","63","450","11","3"
"Kirkwood","26,698","32","0","0","11","21","780","95","657","28","14"
"Knob Noster","3,349","6","0","0","0","6","127","36","90","1","0"
"Ladue","8,169","10","0","1","1","8","109","11","96","2","0"
"La Grange","918","3","2","0","0","1","0","0","0","0","0"
"Lake Lafayette","369","6","0","0","0","6","8","4","3","1","1"
"Lake Lotawana","1,963","0","0","0","0","0","27","5","19","3","0"
"Lake Ozark","2,093","7","0","0","0","7","68","7","60","1","0"
"Lakeshire","1,276","3","0","0","1","2","13","10","1","2","0"
"Lake St. Louis","14,686","8","0","1","0","7","310","33","269","8","3"
"Lake Tapawingo","780","1","0","0","0","1","14","2","11","1","1"
"Lake Waukomis","897","0","0","0","0","0","2","0","1","1","0"
"Lake Winnebago","1,168","0","0","0","0","0","6","0","4","2","0"
"Lamar","4,478","17","0","9","0","8","118","15","102","1","1"
"La Monte","1,101","1","0","0","0","1","19","4","15","0","5"
"Lanagan","432","0","0","0","0","0","3","1","2","0","1"
"La Plata","1,470","0","0","0","0","0","4","2","2","0","0"
"Lathrop","2,357","5","0","0","1","4","24","11","13","0","1"
"Laurie","740","2","0","0","0","2","57","8","49","0","0"
"Lawson","2,340","7","0","0","0","7","71","27","41","3","1"
"Leadington","420","0","0","0","0","0","3","1","1","1","0"
"Lebanon","14,574","62","1","6","3","52","758","98","638","22","3"
"Lee's Summit","85,792","106","1","16","34","55","2,179","378","1,665","136","8"
"Leeton","626","0","0","0","0","0","14","2","12","0","0"
"Lexington","4,528","12","0","2","1","9","134","27","102","5","0"
"Liberal","773","1","0","0","0","1","11","6","5","0","0"
"Liberty","31,073","38","0","6","3","29","542","87","413","42","7"
"Licking","3,023","3","0","0","0","3","55","9","46","0","1"
"Lincoln","1,087","2","0","1","0","1","21","4","15","2","0"
"Linn","1,434","0","0","0","0","0","21","6","13","2","0"
"Linn Creek","312","0","0","0","0","0","6","4","1","1","0"
"Lockwood","910","1","0","0","0","1","4","1","3","0","0"
"Lone Jack","977","1","0","0","0","1","15","4","10","1","0"
"Louisiana","3,759","12","0","0","0","12","23","4","18","1","0"
"Lowry City","723","7","0","0","0","7","13","7","6","0","0"
"Macon","5,484","14","0","1","0","13","171","27","140","4","1"
"Malden","4,448","14","0","0","0","14","66","25","36","5","1"
"Manchester","18,504","12","1","1","3","7","333","36","277","20","0"
"Mansfield","1,363","0","0","0","0","0","29","8","20","1","0"
"Maplewood","8,563","34","0","2","14","18","482","63","379","40","2"
"Marble Hill","1,479","9","0","2","0","7","30","8","22","0","0"
"Marceline2","2,280","","0","0","0","","39","12","22","5","0"
"Marionville","2,183","4","1","0","0","3","72","16","52","4","1"
"Marquand","267","0","0","0","0","0","0","0","0","0","0"
"Marshall","12,055","19","0","2","1","16","364","94","264","6","1"
"Marshfield","7,463","7","0","1","3","3","179","29","146","4","0"
"Marthasville","866","0","0","0","0","0","2","0","0","2","0"
"Martinsburg","327","0","0","0","0","0","4","2","1","1","0"
"Maryland Heights","25,815","36","0","2","14","20","740","104","591","45","5"
"Maryville","10,815","26","0","0","0","26","218","35","169","14","0"
"Matthews","526","1","0","0","0","1","10","4","3","3","0"
"Maysville","1,131","1","0","1","0","0","5","0","5","0","0"
"Memphis","1,949","12","0","2","0","10","15","9","6","0","0"
"Mexico","11,050","10","0","3","3","4","245","50","191","4","0"
"Milan","1,754","6","0","1","0","5","27","9","16","2","0"
"Miller","801","2","0","0","0","2","20","6","13","1","1"
"Miner","1,343","6","0","1","0","5","29","0","28","1","0"
"Moberly","14,282","31","0","4","12","15","571","107","445","19","1"
"Moline Acres","2,502","22","0","0","7","15","171","24","130","17","0"
"Monett","9,082","17","1","1","2","13","342","75","253","14","3"
"Monroe City","2,460","19","0","2","0","17","63","10","51","2","0"
"Montgomery City","2,490","1","0","0","1","0","44","11","31","2","0"
"Morehouse","910","1","0","1","0","0","5","4","1","0","2"
"Moscow Mills","2,553","5","0","1","0","4","59","19","36","4","1"
"Mound City","1,062","1","0","0","0","1","15","2","8","5","0"
"Mountain Grove","4,694","21","0","2","2","17","109","35","64","10","0"
"Mountain View2","2,623","","0","0","3","","123","19","97","7","0"
"Mount Vernon","4,666","15","0","0","0","15","183","19","152","12","2"
"Napoleon","195","0","0","0","0","0","1","0","1","0","0"
"Naylor","595","0","0","0","0","0","0","0","0","0","0"
"Neosho","11,398","22","0","3","5","14","527","58","457","12","6"
"Nevada","8,299","44","2","3","4","35","568","73","474","21","3"
"New Bloomfield","750","1","0","0","0","1","8","3","5","0","0"
"Newburg","465","0","0","0","0","0","26","8","18","0","0"
"New Florence","750","0","0","0","0","0","23","10","12","1","0"
"New Franklin","1,108","0","0","0","0","0","9","4","4","1","0"
"New Haven","2,045","6","0","0","0","6","35","13","21","1","0"
"New London","1,010","2","0","0","1","1","23","6","17","0","1"
"New Madrid","2,980","0","0","0","0","0","38","3","35","0","0"
"New Melle","281","1","0","0","0","1","0","0","0","0","0"
"Niangua","499","1","0","0","0","1","1","0","0","1","0"
"Nixa","19,782","24","0","6","2","16","287","60","219","8","5"
"Noel","1,624","13","1","0","0","12","38","9","24","5","0"
"Normandy","4,866","40","0","0","12","28","147","48","58","41","0"
"North Kansas City","5,876","21","0","1","11","9","286","41","209","36","0"
"Northmoor","399","5","0","0","0","5","17","3","8","6","0"
"Northwoods","4,276","21","0","1","7","13","148","43","67","38","1"
"Norwood","581","1","0","0","0","1","0","0","0","0","0"
"Oakland","1,557","1","0","0","0","1","15","5","10","0","0"
"Oakview Village","397","4","0","0","0","4","10","0","9","1","0"
"Odessa","4,725","4","1","1","0","2","100","28","69","3","0"
"O'Fallon","80,528","65","1","3","11","50","1,323","144","1,154","25","5"
"Old Monroe","313","0","0","0","0","0","1","0","1","0","0"
"Olivette","7,449","11","1","1","2","7","184","46","133","5","2"
"Oran","1,247","3","0","0","0","3","18","1","17","0","0"
"Orrick","815","1","0","0","0","1","33","6","26","1","0"
"Osage Beach","4,845","29","0","1","2","26","265","19","241","5","0"
"Osceola","780","1","0","0","0","1","12","5","7","0","0"
"Overland","15,507","53","0","4","15","34","650","99","517","34","0"
"Owensville","2,583","10","0","0","0","10","112","15","94","3","1"
"Ozark","19,259","28","0","0","7","21","512","71","427","14","2"
"Pacific","7,345","30","1","4","3","22","207","30","170","7","0"
"Pagedale","3,379","34","1","3","13","17","172","38","108","26","1"
"Palmyra","3,410","2","0","0","0","2","45","6","39","0","3"
"Parkville","5,417","5","0","0","0","5","182","13","164","5","0"
"Parma","731","6","0","0","0","6","38","31","7","0","0"
"Pasadena Park","454","1","0","0","0","1","2","2","0","0","0"
"Peculiar","4,928","5","0","3","0","2","108","35","68","5","1"
"Perryville","8,222","15","0","4","1","10","246","43","198","5","2"
"Pevely","6,098","7","0","0","0","7","146","20","121","5","0"
"Piedmont","1,905","1","0","0","0","1","78","19","57","2","0"
"Pierce City","1,473","0","0","0","0","0","46","10","32","4","0"
"Pilot Grove","746","0","0","0","0","0","20","2","17","1","0"
"Pine Lawn","3,964","59","0","5","23","31","163","69","60","34","1"
"Pineville","865","0","0","0","0","0","0","0","0","0","0"
"Platte City","4,920","5","0","0","2","3","95","12","76","7","1"
"Platte Woods","455","1","0","0","0","1","6","2","2","2","0"
"Plattsburg","2,424","2","0","1","0","1","47","8","34","5","0"
"Pleasant Hill","7,374","5","0","1","1","3","134","18","102","14","0"
"Pleasant Hope","604","0","0","0","0","0","18","0","18","0","0"
"Pleasant Valley","3,548","5","0","0","0","5","52","11","35","6","1"
"Polo","603","0","0","0","0","0","5","1","4","0","0"
"Poplar Bluff","17,109","129","0","8","34","87","1,277","271","980","26","6"
"Potosi","2,702","9","0","0","1","8","122","16","104","2","0"
"Purdy","1,164","3","0","1","0","2","13","3","10","0","0"
"Puxico","1,138","8","0","1","0","7","11","6","3","2","1"
"Queen City","608","0","0","0","0","0","1","1","0","0","0"
"Qulin","480","0","0","0","0","0","2","0","2","0","0"
"Randolph","51","1","0","0","1","0","7","3","3","1","0"
"Raymore","18,620","14","0","4","4","6","492","42","434","16","4"
"Raytown","27,966","96","6","5","57","28","1,138","379","637","122","5"
"Reeds Spring","786","0","0","0","0","0","10","1","8","1","0"
"Republic","14,380","54","0","6","2","46","395","67","319","9","1"
"Rich Hill","1,497","0","0","0","0","0","34","9","24","1","1"
"Richland","1,778","7","0","0","0","7","70","11","59","0","0"
"Richmond","5,865","10","0","1","0","9","184","22","159","3","2"
"Richmond Heights","9,040","21","1","5","1","14","737","44","654","39","1"
"Riverside","2,987","11","0","4","3","4","204","21","173","10","0"
"Riverview","2,895","45","0","0","11","34","150","52","69","29","2"
"Rockaway Beach","597","0","0","0","0","0","15","7","8","0","1"
"Rock Hill","4,561","11","0","0","7","4","70","9","55","6","0"
"Rock Port","1,284","0","0","0","0","0","10","2","8","0","0"
"Rogersville","3,278","4","0","1","0","3","96","18","72","6","0"
"Rolla","18,669","66","0","2","11","53","842","137","665","40","2"
"Salem","4,873","14","0","1","0","13","205","17","187","1","1"
"Salisbury","1,541","1","0","1","0","0","27","8","18","1","0"
"Sarcoxie","1,379","2","0","0","0","2","4","2","2","0","0"
"Savannah","5,107","2","0","1","0","1","91","22","63","6","2"
"Scott City","4,533","8","0","3","0","5","64","2","59","3","1"
"Sedalia","21,065","173","1","6","24","142","1,390","283","1,056","51","7"
"Seligman","950","0","0","0","0","0","0","0","0","0","0"
"Senath","1,579","7","0","0","0","7","11","1","10","0","0"
"Seneca","2,282","1","0","0","1","0","67","17","47","3","0"
"Seymour","2,101","10","0","1","0","9","44","11","31","2","0"
"Shelbina","1,778","4","0","1","0","3","19","8","11","0","0"
"Shrewsbury","6,192","8","0","0","5","3","107","12","82","13","2"
"Sikeston","17,063","292","3","10","37","242","870","184","644","42","6"
"Silex","249","0","0","0","0","0","0","0","0","0","0"
"Slater","1,881","2","0","0","0","2","45","4","38","3","0"
"Smithville","8,416","12","0","0","1","11","90","22","64","4","0"
"Southwest City","930","6","0","0","1","5","24","3","21","0","0"
"Sparta","1,204","5","0","1","0","4","18","5","13","0","0"
"Springfield","156,659","1,197","6","112","299","780","14,012","2,314","10,859","839","80"
"St. Ann","12,678","72","0","1","15","56","473","68","360","45","0"
"St. Charles","64,807","159","0","9","31","119","2,085","270","1,739","76","6"
"St. Clair","4,475","34","0","2","2","30","332","37","279","16","3"
"Steele3","2,076","","0","1","3","","134","41","89","4","1"
"Steelville","1,500","2","0","1","1","0","54","18","32","4","0"
"Ste. Genevieve","4,407","2","0","0","0","2","66","9","55","2","1"
"Stewartsville","740","0","0","0","0","0","4","0","4","0","0"
"St. James","4,045","3","0","0","1","2","250","32","213","5","0"
"St. John","6,330","34","1","0","6","27","198","41","140","17","3"
"St. Joseph","76,436","441","3","12","109","317","3,794","970","2,639","185","20"
"St. Louis","355,208","7,353","143","250","2,721","4,239","29,595","6,834","17,799","4,962","256"
"St. Marys","380","1","0","0","0","1","4","0","4","0","0"
"Stover","1,051","5","0","1","0","4","52","18","33","1","0"
"Strafford","2,218","1","0","0","0","1","121","18","99","4","0"
"Strasburg","136","0","0","0","0","0","1","1","0","0","0"
"St. Robert","3,525","45","0","4","10","31","331","50","269","12","1"
"Sugar Creek","3,498","23","0","1","2","20","146","35","98","13","0"
"Sullivan","6,769","10","0","1","1","8","278","41","228","9","0"
"Summersville","555","0","0","0","0","0","4","2","0","2","0"
"Sunset Hills","8,181","24","0","3","2","19","200","36","149","15","1"
"Sweet Springs","1,505","6","0","0","0","6","50","7","42","1","0"
"Tarkio","1,793","1","0","0","0","1","31","4","27","0","0"
"Thayer","2,145","8","0","0","0","8","34","8","25","1","2"
"Theodosia","250","0","0","0","0","0","6","6","0","0","0"
"Tipton","3,284","2","0","1","0","1","23","4","13","6","0"
"Town and Country","10,692","7","0","0","3","4","158","14","144","0","1"
"Tracy","209","0","0","0","0","0","3","0","3","0","0"
"Trenton","6,030","9","0","0","1","8","196","54","132","10","1"
"Trimble","478","0","0","0","0","0","2","0","2","0","0"
"Troy","13,093","17","0","0","0","17","306","31","265","10","0"
"Truesdale","701","5","0","0","1","4","24","5","19","0","2"
"Union1","9,932","19","1","1","1","16","500","38","452","10","1"
