"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Baker","1,629","2","0","0","0","2","10","2","8","0","0"
"Belgrade","8,485","24","0","6","1","17","151","13","129","9","1"
"Billings","105,427","259","2","28","71","158","4,597","752","3,592","253","13"
"Boulder","1,458","3","0","0","0","3","7","1","5","1","0"
"Bozeman","40,910","59","1","13","6","39","1,245","141","1,029","75","14"
"Bridger","723","0","0","0","0","0","10","3","7","0","0"
"Colstrip","2,345","8","2","0","0","6","41","5","33","3","0"
"Columbia Falls","5,441","22","0","1","3","18","238","8","216","14","2"
"Columbus","1,982","1","0","0","0","1","23","3","20","0","1"
"Conrad","2,477","8","0","1","0","7","29","0","28","1","0"
"Cut Bank","3,106","22","0","4","0","18","103","5","90","8","3"
"Dillon","4,186","7","0","0","0","7","94","9","81","4","0"
"East Helena","2,173","3","0","1","0","2","24","9","13","2","0"
"Ennis","1,081","2","0","1","0","1","4","3","1","0","0"
"Eureka","1,013","4","0","0","0","4","22","5","17","0","0"
"Fort Benton","1,445","4","1","0","0","3","30","1","27","2","0"
"Glasgow","2,888","6","1","0","0","5","62","9","47","6","1"
"Glendive","4,555","6","0","3","1","2","163","18","135","10","0"
"Great Falls","59,499","183","6","14","40","123","2,419","252","2,064","103","14"
"Hamilton","4,951","15","0","4","0","11","182","18","157","7","2"
"Havre","9,572","78","0","9","3","66","433","40","362","31","5"
"Helena","29,718","92","1","17","11","63","874","117","707","50","10"
"Hot Springs","568","0","0","0","0","0","17","5","12","0","0"
"Joliet","631","0","0","0","0","0","7","1","5","1","0"
"Kalispell","21,986","73","1","7","6","59","1,132","107","980","45","1"
"Laurel","6,645","17","0","2","0","15","204","20","179","5","0"
"Lewistown","5,915","13","0","2","0","11","82","9","69","4","0"
"Libby","2,925","8","0","0","1","7","49","2","47","0","0"
"Livingston","7,550","22","0","2","1","19","131","17","108","6","0"
"Manhattan","1,649","0","0","0","0","0","19","1","18","0","0"
"Miles City","8,062","12","0","2","0","10","285","16","260","9","2"
"Missoula","69,479","193","1","28","30","134","2,102","277","1,729","96","9"
"Plains","1,257","1","0","0","0","1","16","2","14","0","0"
"Polson","5,356","12","0","3","0","9","247","18","219","10","1"
"Poplar","861","6","0","0","0","6","4","1","3","0","0"
"Red Lodge","2,481","7","0","0","0","7","88","12","76","0","0"
"Ronan City","2,030","14","1","1","0","12","79","10","66","3","1"
"Sidney","4,759","12","0","4","0","8","93","6","76","11","0"
"Stevensville","2,036","11","0","2","0","9","59","7","48","4","0"
"St. Ignatius","816","3","0","0","0","3","20","4","15","1","0"
"Thompson Falls","1,435","6","0","2","0","4","32","8","21","3","1"
"Three Forks","1,951","3","0","0","0","3","26","1","23","2","1"
"Troy","987","2","0","1","0","1","23","4","19","0","0"
"West Yellowstone","1,554","1","0","0","0","1","2","0","1","1","0"
"Whitefish","8,625","11","0","1","1","9","305","24","275","6","1"
"Wolf Point","2,492","20","0","0","0","20","124","29","84","11","0"
