"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Alexandria","1,561","2","0","1","0","1","30","15","15","0","0"
"Alstead","2,115","1","0","1","0","0","19","8","10","1","0"
"Alton","5,148","1","0","0","1","0","73","28","36","9","3"
"Amherst","11,914","11","0","0","1","10","197","26","169","2","0"
"Antrim","2,640","1","0","1","0","0","54","9","43","2","0"
"Ashland","2,102","2","0","1","1","0","118","6","107","5","0"
"Auburn","5,216","3","0","0","1","2","44","12","32","0","5"
"Barnstead","4,678","13","0","7","1","5","66","25","37","4","1"
"Barrington","8,580","4","0","0","1","3","125","23","98","4","0"
"Bartlett","2,934","2","0","1","0","1","59","23","35","1","0"
"Bedford","21,438","20","0","3","6","11","392","60","322","10","3"
"Belmont","7,181","5","0","1","1","3","183","28","146","9","0"
"Bennington","1,470","2","0","1","0","1","36","2","31","3","0"
"Berlin","9,474","16","0","5","1","10","134","31","95","8","11"
"Bethlehem","2,490","1","0","0","0","1","75","20","52","3","1"
"Boscawen","3,984","4","0","0","0","4","48","9","37","2","0"
"Bow","8,186","3","0","0","1","2","109","16","86","7","0"
"Bradford","1,545","0","0","0","0","0","17","6","9","2","0"
"Brentwood","4,057","3","0","0","0","3","56","8","40","8","1"
"Bristol","3,133","5","0","1","1","3","74","14","58","2","0"
"Campton","3,039","5","0","0","2","3","71","17","50","4","2"
"Candia","4,205","5","0","0","0","5","58","15","42","1","0"
"Canterbury","2,334","0","0","0","0","0","16","3","12","1","0"
"Carroll","750","0","0","0","0","0","67","24","41","2","0"
"Center Harbor","1,118","0","0","0","0","0","28","5","23","0","0"
"Charlestown","4,849","2","0","1","0","1","39","15","22","2","0"
"Chester","4,831","3","0","0","0","3","54","24","26","4","3"
"Claremont","12,940","46","0","9","9","28","466","60","392","14","3"
"Colebrook","2,344","4","0","2","0","2","60","9","49","2","0"
"Concord","42,427","95","0","12","33","50","1,279","158","1,100","21","8"
"Conway","9,240","24","0","5","4","15","424","64","348","12","8"
"Dalton","880","2","0","0","1","1","19","11","7","1","0"
"Danville","4,375","2","0","1","0","1","57","18","36","3","0"
"Deerfield","4,261","1","0","1","0","0","46","7","37","2","0"
"Deering","2,066","6","0","0","0","6","31","9","19","3","1"
"Derry","34,189","59","1","5","11","42","739","140","550","49","21"
"Dover","28,794","21","0","5","9","7","540","45","482","13","2"
"Dublin","1,598","0","0","0","0","0","24","5","17","2","0"
"Dunbarton","2,684","0","0","0","0","0","26","12","13","1","0"
"Durham","13,782","14","0","2","1","11","114","24","88","2","0"
"Enfield","4,872","6","0","2","0","4","43","9","34","0","0"
"Epping","6,341","7","0","3","1","3","153","21","122","10","0"
"Epsom","4,643","5","0","0","0","5","53","10","40","3","0"
"Exeter","14,838","8","0","5","0","3","153","21","125","7","1"
"Farmington","6,821","10","0","5","0","5","127","36","81","10","4"
"Fitzwilliam","2,315","1","0","0","0","1","31","10","15","6","0"
"Franconia","1,059","0","0","0","0","0","20","5","14","1","0"
"Freedom","1,448","0","0","0","0","0","23","6","17","0","0"
"Fremont","4,204","3","0","0","0","3","47","4","39","4","3"
"Gilford","7,526","10","0","3","3","4","240","29","201","10","1"
"Gilmanton","3,565","0","0","0","0","0","42","18","24","0","1"
"Goffstown","17,634","10","0","0","3","7","302","42","253","7","2"
"Gorham","2,787","0","0","0","0","0","37","7","28","2","0"
"Grantham","2,558","1","0","0","0","1","23","1","22","0","0"
"Greenland","3,444","1","0","0","1","0","42","5","37","0","1"
"Hampstead","9,026","3","0","1","1","1","131","26","101","4","0"
"Hampton","15,412","22","0","7","6","9","432","69","341","22","1"
"Hancock","1,807","0","0","0","0","0","18","7","11","0","0"
"Hanover","11,093","7","0","4","1","2","202","16","184","2","3"
"Haverhill","4,694","15","0","3","0","12","141","34","101","6","0"
"Henniker","5,125","3","0","1","0","2","129","22","105","2","1"
"Hill","1,124","0","0","0","0","0","0","0","0","0","0"
"Hillsborough","5,618","6","0","2","0","4","160","22","132","6","3"
"Hinsdale","4,178","8","0","2","1","5","122","25","96","1","0"
"Hooksett","14,027","10","0","2","3","5","371","52","312","7","4"
"Hopkinton","5,616","1","0","0","0","1","35","11","24","0","0"
"Hudson","24,978","41","0","7","5","29","403","63","316","24","3"
"Jaffrey","5,686","4","0","0","0","4","74","20","53","1","1"
"Keene","22,376","49","0","12","17","20","814","96","684","34","6"
"Kingston","6,250","5","0","0","0","5","59","14","39","6","2"
"Laconia","17,127","63","0","14","14","35","703","110","562","31","3"
"Lancaster","3,246","5","0","2","0","3","137","31","100","6","0"
"Lebanon","12,832","28","0","11","2","15","448","31","410","7","2"
"Lee","4,495","3","0","0","1","2","41","4","36","1","0"
"Lincoln","1,358","7","0","4","1","2","93","5","88","0","0"
"Lisbon","1,668","1","0","0","0","1","21","5","16","0","0"
"Litchfield","8,884","4","0","3","0","1","110","18","88","4","0"
"Littleton","6,221","10","0","3","3","4","163","46","104","13","0"
"Londonderry","25,205","22","1","2","3","16","353","65","266","22","3"
"Loudon","5,168","5","0","4","0","1","130","19","106","5","0"
"Madison","2,339","5","0","1","0","4","47","19","27","1","0"
"Manchester","108,671","537","2","71","171","293","3,714","760","2,791","163","42"
"Marlborough","2,077","3","0","3","0","0","39","5","32","2","0"
"Meredith","6,700","2","0","0","1","1","169","19","146","4","0"
"Merrimack","26,594","2","1","0","1","0","287","40","239","8","2"
"Middleton","1,872","1","0","0","0","1","10","3","7","0","1"
"Milford","15,133","30","0","1","4","25","267","35","225","7","4"
"Milton","4,655","13","0","3","1","9","119","38","75","6","3"
"Mont Vernon","2,404","2","1","0","0","1","13","4","9","0","1"
"Moultonborough","5,041","4","0","0","0","4","67","17","48","2","2"
"Nashua","86,554","176","1","25","38","112","2,443","379","1,962","102","14"
"New Boston","5,186","1","0","0","0","1","37","12","21","4","0"
"Newbury","2,134","0","0","0","0","0","29","6","22","1","0"
"New Durham","2,590","6","0","1","0","5","36","10","21","5","1"
"Newfields","1,635","0","0","0","0","0","22","3","18","1","0"
"New Hampton","2,280","2","0","0","0","2","56","13","32","11","1"
"Newington","805","0","0","0","0","0","254","2","249","3","1"
"New Ipswich","5,430","2","0","1","0","1","62","13","46","3","4"
"New London","4,509","0","0","0","0","0","38","6","31","1","0"
"Newmarket","9,602","10","0","4","0","6","56","8","45","3","0"
"Newport","6,550","9","0","6","0","3","263","57","189","17","0"
"Newton","4,594","2","0","2","0","0","41","9","28","4","0"
"Northfield","5,187","5","0","2","0","3","115","32","80","3","1"
"North Hampton","4,536","2","0","0","0","2","83","27","53","3","0"
"Northumberland","2,302","6","0","1","0","5","47","12","30","5","0"
"Northwood","4,192","6","0","2","0","4","112","43","68","1","1"
"Nottingham","4,628","1","0","0","0","1","42","7","33","2","0"
"Orford","1,054","1","0","0","0","1","4","2","2","0","0"
"Ossipee","4,733","6","0","1","1","4","115","41","69","5","1"
"Pelham","12,770","8","0","1","3","4","191","49","133","9","3"
"Pembroke","7,379","13","0","3","2","8","124","17","104","3","0"
"Peterborough","6,218","5","1","0","1","3","119","26","90","3","1"
"Pittsfield","4,409","12","0","3","1","8","65","12","52","1","0"
"Plaistow","7,607","5","0","1","1","3","182","12","160","10","1"
"Plymouth","6,444","17","0","3","2","12","266","33","223","10","10"
"Portsmouth","20,401","39","0","5","12","22","642","77","549","16","1"
"Raymond","10,296","15","0","8","1","6","182","24","152","6","1"
"Rindge","6,669","6","0","2","0","4","118","16","99","3","4"
"Rochester","30,889","65","0","11","15","39","944","123","790","31","5"
"Rollinsford","2,642","3","0","1","0","2","27","9","18","0","0"
"Rye","5,140","5","0","0","0","5","67","3","63","1","0"
"Sandown","5,948","4","0","0","0","4","64","20","41","3","1"
"Sandwich","1,319","0","0","0","0","0","31","5","26","0","2"
"Seabrook","8,551","11","0","0","1","10","394","55","322","17","0"
