"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Alamogordo","35,823","132","4","21","8","99","995","171","798","26","5"
"Albuquerque","530,636","4,082","56","326","1,103","2,597","29,140","6,376","19,365","3,399","98"
"Angel Fire","974","2","0","0","0","2","38","31","7","0","0"
"Aztec","6,977","33","0","2","6","25","235","55","164","16","6"
"Bayard","2,386","7","0","0","1","6","14","3","11","0","0"
"Belen","7,342","64","1","3","8","52","571","187","329","55","4"
"Bloomfield","7,292","67","0","11","4","52","228","46","167","15","0"
"Bosque Farms","4,073","2","0","0","0","2","40","16","18","6","0"
"Carlsbad","25,638","154","2","25","13","114","1,315","370","900","45","5"
"Carrizozo","1,048","6","0","0","0","6","18","9","9","0","1"
"Clovis","32,332","277","2","25","33","217","2,109","736","1,309","64","38"
"Corrales","7,848","6","0","0","1","5","84","40","44","0","0"
"Cuba","1,498","17","0","0","0","17","25","9","13","3","0"
"Edgewood","2,858","11","0","1","1","9","56","14","38","4","0"
"Espanola","9,690","255","3","3","17","232","837","290","505","42","5"
"Estancia","1,571","1","0","0","0","1","64","23","38","3","0"
"Eunice","2,798","12","0","1","2","9","54","25","26","3","2"
"Farmington","43,131","536","2","85","33","416","1,709","359","1,236","114","12"
"Gallup","19,916","379","2","34","46","297","1,304","206","982","116","5"
"Grants1","8,877","","0","5","8","","251","123","97","31","2"
"Hobbs","30,710","179","5","16","20","138","1,692","397","1,235","60","1"
"Jal","2,052","0","0","0","0","0","20","10","9","1","0"
"Las Cruces","94,024","464","4","23","96","341","4,591","964","3,387","240","9"
"Las Vegas","13,737","155","3","11","20","121","510","204","276","30","5"
"Logan","992","4","0","0","0","4","44","21","22","1","0"
"Lordsburg","2,765","1","0","1","0","0","3","2","0","1","0"
"Lovington","10,040","46","1","8","5","32","394","208","174","12","0"
"Milan","2,577","20","0","1","0","19","79","29","46","4","0"
"Moriarty","1,962","10","0","3","1","6","97","36","52","9","0"
"Portales","12,343","101","1","5","3","92","301","114","178","9","1"
"Raton","6,381","56","0","2","3","51","150","63","84","3","2"
"Red River","519","2","0","0","0","2","20","6","9","5","0"
"Rio Rancho","83,417","233","1","24","30","178","1,774","430","1,209","135","11"
"Ruidoso","9,233","16","0","8","1","7","286","107","170","9","0"
"Ruidoso Downs","2,638","1","0","0","0","1","122","39","76","7","1"
"Santa Clara","1,847","0","0","0","0","0","18","9","9","0","2"
"Santa Fe","72,845","309","13","15","88","193","4,273","2,217","1,854","202","9"
"Santa Rosa","2,630","40","0","1","0","39","54","20","32","2","0"
"Silver City","10,310","88","0","7","4","77","596","179","391","26","7"
"Socorro2","9,004","","1","4","3","","394","104","279","11","1"
"Sunland Park","14,574","14","0","3","0","11","278","79","180","19","0"
"Taos","5,646","45","0","5","5","35","380","104","257","19","0"
"Taos Ski Valley","58","0","0","0","0","0","17","8","9","0","0"
"Tatum","764","0","0","0","0","0","70","4","66","0","0"
"Texico","979","0","0","0","0","0","10","4","6","0","0"
"Truth or Consequences","6,732","54","1","4","1","48","228","59","159","10","0"
"Tucumcari","5,198","74","1","3","4","66","346","147","191","8","0"
"Tularosa","3,018","8","1","0","1","6","69","21","47","1","0"
