"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Adams Village","1,665","0","0","0","0","0","17","2","15","0","0"
"Addison Town and Village","2,498","6","0","1","0","5","17","1","14","2","0"
"Akron Village","2,955","4","0","0","0","4","41","4","37","0","0"
"Albany","93,445","1,007","9","49","327","622","4,264","876","3,149","239","9"
"Albion Village","5,505","29","0","2","5","22","420","96","306","18","2"
"Alexandria Bay Village","1,118","0","0","0","0","0","23","6","17","0","0"
"Alfred Village","4,943","1","0","0","0","1","41","8","30","3","0"
"Allegany Village","1,747","3","0","0","1","2","20","1","19","0","0"
"Altamont Village","1,695","0","0","0","0","0","13","1","11","1","0"
"Amherst Town","110,399","129","1","7","46","75","2,130","238","1,844","48","2"
"Amity Town and Belmont Village","2,158","5","0","0","0","5","1","1","0","0","0"
"Amityville Village","9,974","19","0","0","7","12","189","24","154","11","0"
"Amsterdam","17,448","95","0","0","0","95","167","51","113","3","1"
"Arcade Village","1,874","0","0","0","0","0","56","14","42","0","0"
"Ardsley Village","4,910","1","0","0","1","0","36","9","26","1","0"
"Asharoken Village","664","0","0","0","0","0","1","1","0","0","0"
"Attica Village","2,393","2","0","2","0","0","15","0","15","0","0"
"Auburn","26,991","127","1","15","24","87","929","214","698","17","4"
"Avon Village","2,904","1","0","0","0","1","33","3","28","2","0"
"Bainbridge Village","1,318","0","0","0","0","0","13","4","8","1","0"
"Baldwinsville Village","7,266","8","0","0","1","7","172","30","138","4","0"
"Ballston Spa Village","5,453","4","0","0","0","4","133","22","103","8","1"
"Batavia","15,092","37","0","7","7","23","550","85","456","9","3"
"Bath Village","5,409","9","0","1","2","6","140","25","114","1","0"
"Beacon","14,545","74","0","0","17","57","304","83","199","22","4"
"Bedford Town","18,627","5","0","0","2","3","115","20","94","1","0"
"Bethlehem Town","33,286","30","0","2","6","22","541","81","451","9","1"
"Binghamton","44,455","215","14","11","56","134","2,074","286","1,744","44","4"
"Bolivar Village","1,107","1","0","0","0","1","4","0","4","0","0"
"Bolton Town","2,158","2","0","0","0","2","16","3","13","0","0"
"Boonville Village","2,032","0","0","0","0","0","17","2","15","0","0"
"Brant Town","1,814","1","0","0","0","1","23","5","18","0","0"
"Brewster","2,106","7","0","0","0","7","16","6","7","3","0"
"Briarcliff Manor Village","8,018","0","0","0","0","0","28","1","27","0","0"
"Brighton Town","34,275","42","0","3","12","27","1,205","173","1,001","31","1"
"Brockport Village","8,370","20","2","3","3","12","169","50","113","6","1"
"Bronxville Village","6,513","1","0","0","1","0","69","10","55","4","0"
"Buffalo","268,655","3,920","60","141","1,636","2,083","14,481","3,954","8,947","1,580","101"
"Caledonia Village","2,124","2","0","0","0","2","6","2","4","0","0"
"Cambridge Village","1,808","4","0","1","0","3","47","12","33","2","0"
"Camden Village","2,244","4","0","0","0","4","75","13","60","2","0"
"Camillus Town and Village","23,316","10","0","0","3","7","305","42","257","6","5"
"Canandaigua","11,145","34","0","6","5","23","292","30","255","7","0"
"Canisteo Village","2,209","6","0","0","0","6","46","9","34","3","0"
"Canton Village2","6,090","3","0","0","2","1","","1","","1","0"
"Cape Vincent Village","785","0","0","0","0","0","17","2","15","0","0"
"Carmel Town","34,492","17","0","0","2","15","289","46","229","14","1"
"Carroll Town","3,442","2","0","0","0","2","10","3","7","0","0"
"Carthage Village","3,748","2","0","0","0","2","67","18","48","1","0"
"Catskill Village","4,193","18","0","2","1","15","171","13","157","1","0"
"Cattaraugus Village","975","0","0","0","0","0","2","2","0","0","0"
"Cayuga Heights Village","3,663","3","1","0","1","1","19","3","15","1","0"
"Cazenovia Village","2,948","2","0","1","0","1","35","1","34","0","0"
"Central Square Village","1,725","0","0","0","0","0","26","4","22","0","0"
"Centre Island Village","445","0","0","0","0","0","0","0","0","0","0"
"Chatham Village","1,674","16","0","1","1","14","74","24","48","2","0"
"Cheektowaga Town","77,772","210","0","15","81","114","2,570","334","2,134","102","10"
"Chester Town","10,047","3","0","0","0","3","19","3","16","0","1"
"Chester Village","3,584","5","0","1","1","3","153","4","148","1","1"
"Chittenango Village","4,888","4","0","0","1","3","99","10","89","0","0"
"Cicero Town","28,354","18","0","0","5","13","561","68","478","15","3"
"Clarkstown Town","78,899","92","1","3","25","63","1,898","136","1,710","52","5"
"Clayton Village","1,879","1","0","0","0","1","12","1","11","0","0"
"Clifton Springs Village","2,132","1","0","1","0","0","22","1","21","0","0"
"Clyde Village","2,082","5","0","0","1","4","57","19","38","0","0"
"Cobleskill Village","4,601","2","0","0","1","1","223","30","192","1","0"
"Coeymans Town","7,993","31","1","1","2","27","67","20","45","2","1"
"Cohoes","14,973","51","0","4","12","35","337","93","226","18","1"
"Colchester Town","2,030","0","0","0","0","0","7","5","2","0","0"
"Colonie Town","78,003","61","0","1","29","31","2,284","205","2,037","42","13"
"Cooperstown Village","1,884","1","0","1","0","0","43","7","36","0","0"
"Copake Town","3,254","0","0","0","0","0","16","3","13","0","0"
"Corning","10,222","58","0","6","5","47","356","69","284","3","5"
"Cornwall Town","9,815","0","0","0","0","0","70","8","62","0","1"
"Cortland","18,404","82","0","8","12","62","367","108","242","17","6"
"Coxsackie Village","2,745","4","0","0","0","4","50","14","34","2","0"
"Crawford Town","9,581","2","0","0","1","1","92","7","83","2","0"
"Cuba Town","3,316","2","0","0","0","2","58","13","43","2","0"
"Deerpark Town2","8,501","2","0","0","1","1","","13","","2","0"
"Delhi Village","2,846","1","0","0","1","0","43","9","34","0","1"
"Depew Village","15,173","25","0","4","7","14","377","53","319","5","3"
"Deposit Village","1,581","3","0","0","1","2","24","10","11","3","0"
"Dewitt Town","21,451","25","0","1","11","13","588","73","497","18","2"
"Dobbs Ferry Village","11,187","5","0","0","2","3","176","26","144","6","3"
"Dolgeville Village","2,001","1","0","0","0","1","45","10","35","0","0"
"Dryden Village","1,819","7","0","0","0","7","99","12","87","0","1"
"Dunkirk","11,978","27","0","4","11","12","346","79","261","6","1"
"Durham Town","2,685","0","0","0","0","0","3","1","2","0","0"
"East Aurora-Aurora Town","13,451","4","0","0","0","4","155","26","121","8","0"
"Eastchester Town","18,698","10","0","0","3","7","224","19","200","5","0"
"East Fishkill Town","29,193","182","1","1","2","178","246","20","214","12","0"
"East Greenbush Town","17,066","35","0","1","8","26","405","35","355","15","0"
"East Hampton Town","19,964","28","0","1","2","25","411","74","327","10","2"
"East Hampton Village","1,400","9","0","0","1","8","107","11","94","2",""
"East Rochester Village","6,229","13","0","1","4","8","131","27","97","7","1"
"East Syracuse Village","2,950","3","0","0","0","3","174","23","144","7","2"
"Eden Town","7,700","2","0","0","0","2","47","7","36","4","0"
"Ellenville Village","3,889","26","0","0","2","24","111","25","85","1","3"
"Ellicott Town","5,219","5","0","1","1","3","199","30","164","5","0"
"Ellicottville","1,910","0","0","0","0","0","126","5","121","0","0"
"Elmira","29,090","93","4","3","25","61","1,053","212","823","18","3"
"Elmira Heights Village","3,869","0","0","0","0","0","95","20","73","2","0"
"Elmira Town","5,833","0","0","0","0","0","14","4","10","0","0"
"Elmsford Village","4,765","7","0","1","1","5","71","19","43","9","0"
"Endicott Village","12,346","53","1","5","10","37","490","93","392","5","2"
"Evans Town","16,756","20","0","1","3","16","312","47","246","19","3"
"Fairport Village","5,444","4","0","0","2","2","61","18","42","1","0"
"Fallsburg Town","12,385","22","0","3","2","17","232","93","136","3","0"
"Floral Park Village","15,832","13","0","0","10","3","72","13","51","8","1"
"Florida Village","2,831","4","0","0","0","4","24","3","20","1","0"
"Fort Edward Village","3,013","4","0","0","0","4","12","5","6","1","0"
"Frankfort Town","4,829","2","0","0","0","2","29","13","15","1","0"
"Frankfort Village","2,343","1","0","0","0","1","10","0","10","0","0"
"Franklinville Village","1,688","0","0","0","0","0","26","3","23","0","0"
"Fredonia Village","11,107","11","0","0","2","9","368","28","336","4","0"
"Freeport Village","43,890","196","5","4","115","72","1,048","129","794","125","2"
"Fulton City","11,151","17","0","2","3","12","511","75","426","10","2"
"Garden City Village","22,342","13","1","0","6","6","366","25","335","6","0"
"Gates Town","28,590","66","0","12","18","36","1,094","106","939","49","3"
"Geddes Town","10,367","3","0","0","2","1","198","28","159","11","0"
"Geneseo Village","7,715","2","0","0","1","1","121","9","110","2","1"
"Geneva","13,177","43","2","1","20","20","329","69","256","4","1"
"Germantown Town","1,964","0","0","0","0","0","0","0","0","0","0"
"Glen Cove","26,920","31","0","0","14","17","257","38","207","12","3"
"Glen Park Village","500","1","0","0","0","1","3","0","3","0","0"
"Glens Falls","13,828","19","0","0","5","14","425","35","383","7","3"
"Glenville Town","21,971","5","0","3","0","2","322","37","277","8","0"
"Gloversville","14,948","71","1","11","9","50","603","100","484","19","2"
"Goshen Town","8,491","3","0","0","0","3","86","16","66","4","0"
"Goshen Village","5,573","8","0","0","1","7","84","13","70","1","0"
"Gowanda Village","2,578","6","0","0","0","6","72","12","60","0","1"
"Granville Village","2,530","3","0","2","0","1","51","14","37","0","0"
"Great Neck Estates Village","2,770","1","0","0","1","0","4","0","4","0","0"
"Greece Town","93,274","98","1","13","41","43","2,612","345","2,190","77","2"
"Greene Village","1,640","0","0","0","0","0","0","0","0","0","0"
"Green Island Village","2,565","8","0","0","1","7","101","13","88","0","1"
"Greenport Town","4,145","0","0","0","0","0","93","8","83","2","0"
"Greenwich Village","1,819","0","0","0","0","0","29","5","22","2","0"
"Greenwood Lake Village","3,417","4","0","0","0","4","37","6","28","3","0"
"Groton Village","2,394","4","0","0","2","2","40","9","31","0","0"
"Guilderland Town","33,161","19","0","3","8","8","717","48","658","11","2"
"Hamburg Town","44,012","39","0","2","9","28","1,019","152","838","29","3"
"Hamburg Village","9,327","9","0","0","2","7","199","39","155","5","0"
"Hamilton Village","3,818","1","0","0","1","0","33","9","24","0","0"
"Hancock Village","1,078","6","0","0","0","6","12","8","4","0","0"
"Harriman Village","2,247","0","0","0","0","0","16","5","11","0","0"
"Harrison Town","26,953","12","0","0","1","11","289","51","219","19","0"
"Hastings-on-Hudson Village","7,939","16","0","0","2","14","140","17","120","3","4"
"Haverstraw Town","37,449","67","0","4","32","31","510","89","407","14","6"
"Hempstead Village","53,996","482","6","9","254","213","1,074","199","646","229","10"
"Herkimer Village","6,915","78","0","9","7","62","455","45","409","1","0"
"Highland Falls Village","3,706","5","0","0","2","3","22","5","17","0","0"
"Highlands Town","9,170","0","0","0","0","0","6","2","3","1","0"
"Holley Village","1,674","1","0","1","0","0","49","5","43","1","0"
"Homer Village","3,232","0","0","0","0","0","65","6","59","0","0"
"Hornell","8,454","11","0","2","1","8","153","15","134","4","0"
"Horseheads Village","6,221","13","0","1","1","11","141","22","111","8","0"
"Hudson","6,864","36","0","4","3","29","208","41","165","2","0"
"Hudson Falls Village","6,615","3","0","0","0","3","89","10","76","3","0"
"Hunter Town","2,690","3","0","0","0","3","9","3","6","0","0"
"Huntington Bay Village","1,515","0","0","0","0","0","5","2","2","1","0"
"Hyde Park Town","20,207","13","0","0","4","9","270","42","222","6","0"
"Ilion Village","7,953","26","0","2","5","19","193","21","171","1","2"
"Independence Town","1,034","0","0","0","0","0","10","1","7","2","0"
"Inlet Town","376","0","0","0","0","0","15","4","11","0","0"
"Irondequoit Town","49,755","67","0","6","24","37","1,526","213","1,258","55","1"
"Irvington Village","6,669","1","0","0","0","1","27","6","21","0","0"
"Ithaca","29,862","67","0","2","26","39","1,185","140","1,021","24","1"
"Jamestown","29,204","152","1","20","26","105","1,100","266","814","20","10"
"Johnson City Village","14,646","62","1","7","11","43","882","82","789","11","2"
"Johnstown","8,421","7","0","1","1","5","225","22","197","6","0"
"Kenmore Village","14,856","30","0","2","14","14","297","54","229","14","1"
"Kensington Village","1,203","0","0","0","0","0","0","0","0","0","0"
"Kent Town","14,190","4","0","1","1","2","88","21","66","1","0"
"Kings Point Village","5,430","0","0","0","0","0","16","3","12","1","0"
"Kingston","22,333","97","0","2","69","26","662","122","510","30","7"
"Kirkland Town","8,344","1","0","0","0","1","104","18","83","3","0"
"Lackawanna","17,435","89","0","1","18","70","463","104","344","15","0"
"Lake Placid Village","2,763","1","0","1","0","0","67","14","50","3","0"
"Lake Success Village","2,898","1","0","0","0","1","44","5","37","2","0"
"Lakewood-Busti","7,355","0","0","0","0","0","242","8","229","5","0"
"Lancaster Town","23,502","27","0","0","7","20","592","94","484","14","4"
"Larchmont Village","6,575","1","0","0","0","1","135","17","115","3","0"
"Le Roy Village","4,109","4","0","0","2","2","62","5","53","4","0"
"Lewisboro Town","12,530","0","0","0","0","0","77","8","69","0","0"
"Lewiston Town and Village","16,737","2","0","0","0","2","165","20","137","8","0"
"Liberty Village","3,844","7","0","2","0","5","175","41","129","5","0"
"Little Falls","4,833","38","0","0","5","33","168","31","135","2","8"
"Liverpool Village","2,326","4","0","0","1","3","49","6","43","0","0"
"Lloyd Harbor Village","3,748","0","0","0","0","0","19","0","18","1","0"
"Lloyd Town","10,808","10","0","2","3","5","143","19","117","7","0"
"Lockport","20,461","58","1","1","22","34","779","170","565","44","5"
"Long Beach","35,722","26","0","2","6","18","232","21","207","4","0"
"Lowville Village","3,133","4","0","2","0","2","107","12","89","6","0"
"Lynbrook Village","19,844","22","0","3","10","9","175","18","144","13","0"
"Lyons Village","3,391","21","0","1","5","15","143","31","107","5","1"
"Macedon Town and Village","8,845","2","0","1","0","1","89","14","74","1","0"
"Malone Village","5,764","8","0","0","0","8","198","26","172","0","0"
"Malverne Village","8,873","2","0","0","1","1","46","9","34","3","0"
"Mamaroneck Town","11,538","1","0","0","1","0","155","21","126","8","0"
"Mamaroneck Village","18,404","17","0","0","6","11","212","37","160","15","0"
