"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Aberdeen","5,936","24","0","2","9","13","378","88","268","22","1"
"Ahoskie","4,232","42","2","4","13","23","322","114","199","9","3"
"Albemarle","15,471","99","4","6","26","63","1,022","253","691","78","8"
"Andrews","1,700","10","0","3","2","5","49","11","36","2","0"
"Angier","4,467","22","0","0","2","20","186","72","101","13","0"
"Apex","34,766","50","0","3","7","40","398","87","293","18","3"
"Archdale","9,358","17","0","0","9","8","311","86","199","26","4"
"Asheboro","24,891","90","0","13","43","34","1,608","372","1,163","73","1"
"Asheville","74,923","415","2","24","178","211","3,701","821","2,576","304","25"
"Atlantic Beach","1,817","24","1","2","0","21","193","54","132","7","1"
"Aulander","835","1","0","0","0","1","17","9","7","1","0"
"Ayden","5,041","22","0","1","9","12","253","71","180","2","0"
"Bailey","685","2","0","0","0","2","23","7","14","2","0"
"Banner Elk","905","1","1","0","0","0","25","12","12","1","0"
"Beaufort","4,236","13","0","3","3","7","196","44","147","5","0"
"Beech Mountain","341","0","0","0","0","0","36","9","25","2","0"
"Belhaven","2,043","13","0","0","3","10","64","19","44","1","0"
"Belmont","9,433","34","0","1","6","27","442","53","371","18","4"
"Benson","3,554","36","0","1","14","21","228","91","113","24","1"
"Bethel","1,741","8","0","0","2","6","50","1","46","3","1"
"Beulaville","1,147","3","0","1","1","1","39","6","31","2","0"
"Biltmore Forest","1,573","1","0","0","0","1","21","4","17","0","0"
"Biscoe","1,671","5","1","0","3","1","153","11","136","6","0"
"Black Mountain","7,915","11","0","1","5","5","170","84","79","7","0"
"Bladenboro","1,668","5","0","0","2","3","132","29","99","4","1"
"Blowing Rock","1,497","0","0","0","0","0","74","22","51","1","0"
"Boiling Spring Lakes","4,920","7","0","1","0","6","83","24","53","6","1"
"Boiling Springs","3,883","6","0","0","0","6","72","14","56","2","0"
"Boone","13,995","32","0","4","6","22","553","93","441","19","1"
"Brevard","6,708","25","1","3","1","20","208","65","136","7","2"
"Broadway","1,167","9","0","0","6","3","35","10","23","2","1"
"Bryson City","1,370","33","0","2","0","31","126","1","118","7","1"
"Bunn","415","4","0","0","2","2","28","6","22","0","0"
"Burgaw","4,377","11","0","0","1","10","114","30","80","4","1"
"Burlington","51,440","401","1","26","115","259","3,364","794","2,425","145","9"
"Burnsville","1,639","12","0","1","0","11","91","15","75","1","0"
"Candor","839","1","0","0","1","0","20","6","14","0","0"
"Canton","3,852","17","0","0","1","16","221","57","151","13","2"
"Cape Carteret","1,407","2","0","0","0","2","31","8","19","4","1"
"Carolina Beach","5,955","22","0","0","4","18","374","70","289","15","1"
"Carrboro","18,213","64","0","3","18","43","731","229","480","22","4"
"Carthage","2,039","3","0","0","3","0","72","20","45","7","1"
"Cary","133,757","132","0","12","48","72","2,005","469","1,454","82","10"
"Catawba","817","1","0","0","0","1","16","2","14","0","0"
"Chadbourn","2,053","17","1","0","7","9","213","87","116","10","4"
"Chapel Hill","53,069","130","0","14","48","68","1,727","427","1,225","75","1"
"Charlotte-Mecklenburg","777,708","5,625","58","303","2,346","2,918","38,533","9,817","25,379","3,337","249"
"Cherryville","5,651","26","0","0","2","24","255","54","195","6","2"
"China Grove","3,755","13","0","1","7","5","104","20","82","2","0"
"Claremont","1,153","6","0","1","1","4","68","19","45","4","0"
"Clayton","16,952","40","0","1","16","23","371","101","257","13","8"
"Cleveland","841","3","0","0","0","3","45","19","24","2","0"
"Clinton","8,896","67","1","4","23","39","474","138","315","21","1"
"Coats","2,166","9","1","1","1","6","85","29","51","5","1"
"Columbus","973","8","0","1","3","4","58","14","42","2","0"
"Concord","67,478","190","6","16","69","99","3,270","527","2,517","226","6"
"Conover","7,348","19","0","1","5","13","486","86","378","22","0"
"Cornelius1","26,027","47","2","4","14","27","","109","","29","2"
"Cramerton","3,162","8","0","0","0","8","89","29","57","3","0"
"Creedmoor","3,859","13","0","1","1","11","121","27","93","1","0"
"Dallas","3,813","29","0","2","3","24","161","44","109","8","1"
"Davidson","10,716","14","0","1","2","11","134","27","97","10","0"
"Dobson","1,457","3","0","0","0","3","61","17","43","1","0"
"Duck","497","4","0","1","0","3","116","48","66","2","0"
"Dunn","10,115","90","1","4","23","62","753","162","537","54","4"
"Durham","227,492","1,591","21","63","710","797","11,763","3,643","7,366","754","32"
"East Spencer","1,795","9","0","0","5","4","43","15","21","7","0"
"Eden","15,426","88","1","5","27","55","721","205","482","34","1"
"Edenton","4,964","37","0","0","12","25","172","53","110","9","0"
"Elizabeth City","20,363","129","0","9","34","86","787","196","562","29","2"
"Elkin","4,104","24","0","4","0","20","246","47","189","10","1"
"Elon","7,092","9","0","4","1","4","111","35","74","2","2"
"Emerald Isle","3,659","10","0","1","0","9","241","106","133","2","1"
"Enfield","2,337","46","2","2","7","35","147","73","70","4","0"
"Erwin","4,866","17","0","0","2","15","176","40","129","7","3"
"Fairmont2","2,734","23","1","1","12","9","","54","","7","0"
"Farmville","4,637","35","0","1","8","26","219","68","138","13","0"
"Fayetteville","173,995","1,268","21","94","491","662","13,506","4,289","8,455","762","40"
"Fletcher","4,770","7","0","0","2","5","141","31","108","2","1"
"Forest City","7,117","35","0","4","10","21","576","127","435","14","5"
"Franklin","3,982","15","0","1","0","14","185","55","123","7","1"
"Franklinton","2,013","12","0","0","4","8","77","18","56","3","0"
"Fuquay-Varina","18,457","70","1","3","15","51","598","147","419","32","0"
"Garner","28,268","62","0","1","33","28","1,088","204","842","42","3"
"Garysburg","1,121","8","0","0","1","7","34","19","15","0","0"
"Gastonia","73,060","600","5","30","220","345","4,581","1,059","3,187","335","39"
"Gibsonville","4,757","9","0","0","3","6","124","45","73","6","3"
"Goldsboro","37,421","323","8","9","92","214","2,657","730","1,789","138","3"
"Graham","14,684","86","0","6","22","58","670","213","437","20","1"
"Granite Falls","4,606","8","1","0","5","2","252","37","206","9","0"
"Granite Quarry","2,278","5","0","0","1","4","82","30","45","7","0"
"Greensboro","253,191","1,940","24","76","908","932","15,303","4,789","9,668","846","108"
"Grifton","2,238","9","2","1","1","5","61","7","51","3","0"
"Hamlet","5,764","46","0","2","21","23","472","202","252","18","6"
"Henderson","15,795","177","2","1","79","95","1,533","515","965","53","9"
"Hendersonville","12,077","64","0","6","13","45","733","95","580","58","2"
"Hertford","2,198","12","1","1","2","8","112","40","67","5","0"
"Hickory","41,718","338","5","14","118","201","2,833","670","2,020","143","21"
"Highlands","955","6","0","2","0","4","47","13","34","0","0"
"High Point","103,675","678","3","33","273","369","5,326","1,463","3,619","244","32"
"Hillsborough","5,669","33","0","5","14","14","434","117","302","15","1"
"Holden Beach","857","0","0","0","0","0","68","24","43","1","0"
"Holly Ridge","917","10","0","1","0","9","57","20","36","1","0"
"Holly Springs","22,639","13","0","0","2","11","342","67","270","5","1"
"Hudson","3,042","6","0","0","2","4","119","23","89","7","0"
"Huntersville","46,695","68","0","4","19","45","1,000","156","806","38","6"
"Jacksonville","77,508","241","8","38","50","145","2,598","618","1,869","111","5"
"Jefferson","1,344","1","0","0","0","1","40","11","26","3","0"
"Jonesville","2,271","10","0","3","0","7","128","27","97","4","0"
"Kannapolis","43,166","135","5","12","48","70","1,160","360","709","91","10"
"Kenansville","1,186","1","0","0","0","1","29","5","23","1","1"
"Kernersville","22,822","92","0","7","19","66","1,184","216","919","49","2"
"Kill Devil Hills","6,726","54","0","1","6","47","566","146","407","13","1"
"King","7,011","16","0","2","2","12","204","49","146","9","1"
"Kings Mountain","11,275","35","0","2","17","16","394","96","292","6","3"
"Kinston","22,203","264","0","11","60","193","1,560","486","999","75","6"
"Knightdale","8,419","14","0","3","5","6","406","67","324","15","1"
"Lake Lure","1,010","0","0","0","0","0","47","20","26","1","0"
"Lake Royale","0","1","0","0","0","1","84","35","43","6","0"
"Landis","3,133","6","0","1","3","2","71","18","50","3","0"
"Laurel Park","2,178","0","0","0","0","0","17","3","14","0","0"
"Laurinburg","15,506","120","5","8","34","73","1,026","354","626","46","9"
"Leland","5,216","21","0","2","5","14","256","94","157","5","0"
"Lenoir","17,869","70","2","2","22","44","907","225","626","56","4"
"Lexington","20,450","110","0","2","40","68","787","235","508","44","3"
"Liberty","2,739","6","0","0","2","4","27","9","18","0","0"
"Lillington","3,327","9","0","1","2","6","135","32","97","6","2"
"Lincolnton","10,944","45","0","0","11","34","655","164","478","13","4"
"Long View","4,967","25","0","3","7","15","310","161","122","27","1"
"Louisburg","3,856","15","0","0","5","10","170","44","114","12","1"
"Lumberton","22,111","382","8","8","151","215","2,940","770","2,002","168","11"
"Madison","2,255","68","0","0","1","67","184","40","144","0","0"
"Maggie Valley","814","3","0","0","1","2","111","12","97","2","0"
"Maiden","3,523","6","0","1","3","2","122","49","68","5","0"
"Manteo","1,331","2","0","0","0","2","84","9","74","1","0"
"Marion","5,168","32","0","1","8","23","455","131","300","24","8"
"Marshville","3,317","14","1","1","4","8","96","29","60","7","0"
"Matthews","27,359","61","0","1","31","29","1,044","147","835","62","6"
"Maxton","2,699","56","1","0","23","32","153","79","70","4","1"
"Mayodan","2,595","22","0","0","1","21","157","16","138","3","0"
"Maysville","955","2","0","0","1","1","11","4","6","1","0"
"McAdenville","669","2","0","0","1","1","20","7","11","2","0"
"Middlesex","860","1","0","0","0","1","27","7","18","2","0"
"Mint Hill","20,740","43","0","4","19","20","495","309","154","32","6"
"Mocksville","4,686","25","0","1","7","17","264","54","199","11","3"
"Mooresville","22,247","99","1","8","35","55","1,414","246","1,111","57","8"
"Morehead City","9,715","50","0","3","8","39","606","105","492","9","2"
"Morganton","17,169","47","0","3","13","31","533","135","378","20","2"
"Morrisville","15,207","4","0","0","3","1","376","63","299","14","2"
"Mount Airy","9,487","59","5","3","11","40","542","114","392","36","2"
"Mount Gilead","1,396","8","0","0","2","6","51","12","37","2","0"
"Mount Holly","10,130","45","0","5","8","32","336","100","211","25","0"
"Mount Olive","4,371","34","3","0","8","23","301","71","223","7","0"
"Murfreesboro","2,372","8","1","0","2","5","100","10","86","4","0"
"Murphy","1,558","19","0","0","0","19","145","13","130","2","0"
"Nags Head","3,051","9","0","1","1","7","357","163","191","3","1"
"Newland","650","0","0","0","0","0","18","5","13","0","0"
"Newport","4,419","7","0","0","1","6","89","39","48","2","0"
"Newton","13,449","29","0","1","17","11","616","196","383","37","1"
"North Topsail Beach","969","1","0","1","0","0","11","7","3","1","0"
