"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Beulah","2,834","6","0","4","0","2","44","6","37","1","0"
"Bismarck","60,923","157","2","17","12","126","1,583","204","1,277","102","4"
"Cando","989","0","0","0","0","0","10","1","9","0","0"
"Carrington","2,052","0","0","0","0","0","4","0","3","1","0"
"Cavalier","1,301","0","0","0","0","0","30","10","17","3","0"
"Devils Lake","6,654","29","0","1","0","28","296","39","243","14","1"
"Dickinson","16,043","30","2","0","2","26","301","34","252","15","0"
"Elgin","532","0","0","0","0","0","3","0","2","1","0"
"Ellendale","1,446","1","0","0","0","1","15","11","4","0","1"
"Emerado","473","2","0","0","0","2","4","1","3","0","0"
"Fargo","93,830","303","2","54","34","213","3,187","639","2,302","246","19"
"Fessenden","488","0","0","0","0","0","0","0","0","0","0"
"Grafton","3,924","4","0","2","1","1","114","24","82","8","0"
"Grand Forks","51,553","141","0","29","27","85","1,515","261","1,185","69","2"
"Harvey","1,583","4","0","2","0","2","34","4","29","1","0"
"Hillsboro","1,459","0","0","0","0","0","5","1","3","1","0"
"Jamestown","14,535","19","0","7","1","11","303","53","226","24","2"
"Larimore","1,300","3","0","0","0","3","20","7","13","0","0"
"Lincoln","2,875","2","0","0","0","2","22","7","11","4","0"
"Lisbon","2,170","2","0","0","1","1","34","20","12","2","0"
"Mandan","18,244","45","0","16","1","28","368","47","288","33","1"
"Mayville","1,751","0","0","0","0","0","8","3","3","2","0"
"Minot","35,293","108","0","13","5","90","643","102","489","52","10"
"Northwood","924","0","0","0","0","0","14","4","9","1","0"
"Oakes","1,740","1","0","0","0","1","4","0","3","1","0"
"Rolla","1,420","0","0","0","0","0","36","8","28","0","0"
"Rugby","2,538","5","0","2","1","2","42","8","31","3","0"
"Steele","639","2","0","1","0","1","5","1","3","1","0"
"St. John","354","0","0","0","0","0","2","1","1","0","0"
"Thompson","954","0","0","0","0","0","4","2","2","0","0"
"Valley City","6,172","4","0","1","0","3","56","14","38","4","0"
"Wahpeton","7,484","11","0","2","0","9","163","16","142","5","0"
"Watford City","1,382","0","0","0","0","0","2","1","1","0","0"
"West Fargo","24,862","63","0","12","5","46","548","180","339","29","5"
"Williston","12,662","36","0","15","4","17","330","36","268","26","3"
