"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Aberdeen","1,499","4","0","1","2","1","106","30","71","5","0"
"Ada","6,109","1","0","1","0","0","73","29","44","0","0"
"Akron","206,497","1,916","20","189","727","980","10,485","3,759","5,763","963","107"
"Alliance","22,402","75","1","19","26","29","869","194","649","26","16"
"Amberley Village","3,573","5","0","1","2","2","33","9","22","2","0"
"Amelia","3,648","0","0","0","0","0","100","16","84","0","0"
"Amherst","11,718","9","1","2","4","2","226","36","183","7","1"
"Arcanum","1,953","0","0","0","0","0","22","2","20","0","0"
"Archbold","4,450","7","0","2","0","5","94","17","76","1","0"
"Ashland","21,916","14","0","3","4","7","521","72","439","10","0"
"Ashville","3,300","4","0","0","2","2","103","14","86","3","0"
"Athens","22,173","33","0","2","4","27","458","76","374","8","3"
"Aurora","14,651","3","0","1","1","1","223","21","191","11","0"
"Austintown","34,821","17","0","0","16","1","1,420","253","1,107","60","0"
"Bainbridge Township","11,175","11","1","0","0","10","233","21","212","0","1"
"Barberton","26,436","70","1","14","26","29","1,217","230","947","40","21"
"Barnesville","4,024","2","0","2","0","0","9","2","7","0","0"
"Batavia","1,757","3","0","2","1","0","94","15","78","1","1"
"Bath Township, Summit County","10,247","3","0","1","2","0","179","35","141","3","0"
"Bay Village","14,454","4","0","1","0","3","14","4","10","0","0"
"Beavercreek","40,119","38","0","11","11","16","1,109","101","980","28","4"
"Beaver Township","6,045","0","0","0","0","0","186","69","113","4","0"
"Bedford","12,836","28","0","1","14","13","569","54","444","71","1"
"Bedford Heights","10,393","20","1","1","14","4","245","58","134","53","0"
"Bellaire","4,528","8","1","1","0","6","82","20","60","2","0"
"Bellbrook","7,000","3","0","1","1","1","65","11","54","0","0"
"Bellefontaine","12,622","39","1","6","8","24","720","76","636","8","0"
"Bellville","1,694","3","0","0","1","2","77","7","70","0","0"
"Belpre","6,515","15","0","4","3","8","118","24","89","5","0"
"Berea","17,883","17","0","1","4","12","363","50","306","7","2"
"Bethesda","1,350","0","0","0","0","0","10","7","2","1","0"
"Bexley","12,435","21","1","3","11","6","396","106","278","12","0"
"Blanchester","4,306","2","0","0","2","0","67","11","56","0","1"
"Blue Ash","12,812","13","0","4","8","1","322","37","279","6","1"
"Bluffton","3,949","5","0","1","0","4","52","18","31","3","0"
"Boardman","38,827","48","0","4","35","9","1,779","256","1,452","71","11"
"Bowling Green","29,536","41","0","1","9","31","735","99","621","15","0"
"Brecksville","12,792","9","3","3","2","1","55","14","41","0","0"
"Bridgeport","2,031","6","0","3","0","3","20","3","17","0","0"
"Broadview Heights","17,422","11","0","0","0","11","60","24","35","1","0"
"Brookfield Township","9,360","15","0","0","3","12","301","88","194","19","2"
"Brooklyn","10,290","35","1","1","17","16","503","60","398","45","3"
"Brooklyn Heights","1,443","1","0","0","0","1","32","8","22","2","0"
"Brook Park","18,987","20","0","5","4","11","176","31","139","6","0"
"Brookville","5,430","9","0","1","2","6","88","22","63","3","0"
"Brunswick Hills Township","7,486","3","0","0","0","3","64","14","49","1","0"
"Buckeye Lake","3,041","27","0","3","1","23","119","18","97","4","0"
"Butler Township","8,101","18","0","0","7","11","296","20","261","15","0"
"Cadiz","3,281","5","0","3","0","2","115","48","64","3","3"
"Cambridge","11,156","70","0","2","15","53","520","193","294","33","1"
"Campbell","8,333","23","0","4","12","7","276","158","97","21","0"
"Canal Fulton","5,016","2","0","0","0","2","117","20","97","0","1"
"Canfield","6,805","3","0","0","0","3","89","9","78","2","0"
"Canton","78,085","683","13","67","324","279","4,241","1,369","2,627","245","41"
"Cardington","2,008","1","0","0","0","1","32","15","16","1","0"
"Carrollton","3,209","14","0","1","0","13","3","2","0","1","0"
"Celina","10,242","20","0","8","4","8","427","46","372","9","11"
"Centerville","22,891","15","0","1","5","9","420","54","354","12","8"
"Champion Township","9,145","9","0","1","1","7","169","33","128","8","1"
"Chardon","5,213","10","0","0","0","10","70","7","63","0","0"
"Cheviot","8,322","10","0","1","5","4","260","49","201","10","2"
"Chillicothe","22,312","271","0","5","46","220","2,206","407","1,762","37","12"
"Cincinnati","333,568","3,976","55","235","2,272","1,414","20,357","6,287","12,513","1,557","224"
"Circleville","13,701","39","0","6","22","11","1,067","202","841","24","2"
"Clayton","12,858","13","0","3","4","6","204","47","141","16","1"
"Clay Township, Ottawa County","2,722","1","0","1","0","0","32","13","17","2","0"
"Clearcreek Township","12,850","2","0","0","0","2","106","29","76","1","0"
"Cleveland","429,238","5,990","86","373","3,555","1,976","24,128","9,226","10,871","4,031","401"
"Cleveland Heights","45,320","84","3","2","70","9","646","118","418","110","0"
"Cleves","2,678","1","0","1","0","0","63","16","45","2","4"
"Clinton Township","4,019","38","0","3","20","15","393","77","292","24","0"
"Clyde","6,120","5","0","0","2","3","220","41","164","15","0"
"Coitsville Township","1,619","6","0","0","0","6","59","28","27","4","0"
"Columbus","759,391","5,340","83","574","3,395","1,288","48,813","14,583","30,044","4,186","432"
"Conneaut","12,342","29","1","3","6","19","326","81","228","17","1"
"Cortland","6,319","2","0","0","2","0","84","22","62","0","3"
"Covington","2,623","1","0","0","0","1","38","10","28","0","0"
"Creston","2,109","1","0","0","0","1","85","5","78","2","0"
"Cridersville","1,696","2","0","0","1","1","17","3","14","0","0"
"Cross Creek Township","5,469","1","0","0","0","1","21","9","12","0","0"
"Cuyahoga Falls","51,281","76","0","17","20","39","1,432","235","1,145","52","5"
"Danville","1,070","0","0","0","0","0","18","6","12","0","0"
"Dayton","152,965","1,542","39","91","770","642","8,949","3,244","4,932","773","173"
"Deer Park","5,725","11","0","1","5","5","131","21","105","5","1"
"Defiance","16,006","19","0","11","4","4","630","60","563","7","3"
"Delaware","34,734","82","0","26","19","37","869","173","667","29","9"
"Delhi Township","31,419","31","1","6","11","13","503","97","392","14","4"
"Delphos","6,704","4","0","1","0","3","195","54","135","6","1"
"Delta","2,897","0","0","0","0","0","116","26","88","2","0"
"Dover","12,487","5","0","1","3","1","111","25","80","6","0"
"Dublin","39,390","14","0","2","7","5","809","124","661","24","5"
"Eastlake","19,443","11","1","0","6","4","440","23","404","13","0"
