"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Achille1","537","2","0","0","0","2","9","5","3","1","0"
"Ada","16,807","140","0","12","6","122","825","233","544","48","3"
"Allen1","998","0","0","0","0","0","13","2","9","2","0"
"Altus","18,664","45","2","5","14","24","639","221","410","8","9"
"Alva1","4,805","4","0","1","0","3","115","19","89","7","0"
"Anadarko","6,289","20","1","1","1","17","286","72","201","13","4"
"Antlers1","2,478","12","0","1","0","11","68","16","48","4","0"
"Apache1","1,528","4","0","0","0","4","22","4","15","3","0"
"Ardmore","24,933","326","0","14","26","286","1,495","351","1,080","64","4"
"Arkoma1","2,175","3","0","0","0","3","21","5","13","3","0"
"Atoka1","3,115","5","0","2","0","3","102","33","61","8","0"
"Bartlesville","36,045","114","1","13","13","87","1,238","224","963","51","8"
"Beaver","1,352","4","0","2","0","2","13","7","6","0","0"
"Beggs1","1,354","5","0","1","1","3","39","18","16","5","0"
"Bethany","19,667","71","1","12","21","37","669","204","415","50","1"
"Bixby","21,681","21","0","2","3","16","360","108","224","28","3"
"Blackwell1","7,092","24","0","6","1","17","147","31","99","17","1"
"Blanchard","6,825","11","0","4","0","7","120","33","71","16","0"
"Boise City1","1,158","0","0","0","0","0","12","3","8","1","0"
"Boley1","1,083","0","0","0","0","0","2","0","1","1","0"
"Bristow","4,395","26","0","1","3","22","147","36","98","13","0"
"Broken Arrow","94,415","180","2","29","37","112","2,017","423","1,486","108","15"
"Broken Bow","4,136","41","0","6","3","32","306","119","167","20","3"
"Caddo1","994","3","0","0","0","3","4","0","0","4","0"
"Calera","1,841","18","2","1","1","14","40","17","21","2","0"
"Calumet1","532","3","0","1","1","1","13","2","10","1","0"
"Caney1","214","0","0","0","0","0","6","1","5","0","0"
"Carnegie","1,534","9","0","0","0","9","22","16","5","1","0"
"Catoosa2","6,748","","0","7","2","","188","56","113","19","3"
"Chandler1","2,820","5","0","0","0","5","85","13","70","2","0"
"Checotah1","3,468","8","0","2","3","3","124","8","107","9","1"
"Chelsea1","2,237","7","0","0","1","6","12","3","7","2","0"
"Cherokee1","1,418","0","0","0","0","0","13","8","5","0","1"
"Chickasha","17,195","87","0","12","10","65","968","254","651","63","6"
"Choctaw","11,579","5","0","0","1","4","172","62","102","8","0"
"Chouteau1","2,021","5","0","0","0","5","67","10","54","3","1"
"Claremore","17,635","26","0","9","0","17","588","132","424","32","3"
"Clayton1","728","2","0","0","0","2","14","8","4","2","0"
"Cleveland1","3,123","11","0","0","0","11","81","21","57","3","2"
"Clinton","8,761","50","1","14","6","29","197","55","137","5","1"
"Coalgate1","1,861","0","0","0","0","0","6","1","3","2","1"
"Colbert","1,129","1","0","1","0","0","30","16","14","0","0"
"Collinsville","5,150","10","0","2","1","7","73","22","49","2","0"
"Comanche1","1,519","8","0","2","0","6","56","26","27","3","2"
"Cordell","2,936","22","0","1","0","21","45","2","43","0","0"
"Coweta1","9,282","19","0","3","0","16","177","28","135","14","2"
"Crescent","1,415","6","0","0","0","6","17","3","12","2","0"
"Cushing1","8,818","15","3","2","0","10","215","26","180","9","1"
"Davenport1","873","0","0","0","0","0","7","2","5","0","0"
"Davis","2,640","2","0","0","0","2","80","33","45","2","1"
