"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Albany","48,933","69","0","10","35","24","1,860","155","1,629","76","16"
"Amity","1,466","0","0","0","0","0","25","7","17","1","1"
"Ashland","21,611","18","0","6","3","9","548","61","474","13","4"
"Astoria","9,859","27","1","7","6","13","536","100","415","21","5"
"Aumsville","3,673","6","0","2","0","4","47","8","37","2","1"
"Aurora","1,053","1","0","0","0","1","13","1","11","1","1"
"Baker City","9,367","3","0","0","0","3","123","25","91","7","2"
"Bandon","3,299","1","0","0","1","0","113","21","88","4","0"
"Banks","1,643","2","0","0","0","2","18","5","13","0","1"
"Beaverton","93,221","189","2","23","47","117","1,592","226","1,230","136","23"
"Bend","80,550","150","0","14","19","117","2,036","316","1,642","78","16"
"Black Butte","0","0","0","0","0","0","3","0","3","0","0"
"Boardman","2,919","9","0","0","0","9","73","16","54","3","0"
"Burns","2,622","2","0","0","0","2","81","23","54","4","1"
"Canby","15,982","19","0","5","4","10","423","42","366","15","2"
"Cannon Beach","1,741","3","0","0","1","2","44","12","32","0","2"
"Carlton","1,699","0","0","0","0","0","29","6","23","0","0"
"Central Point","16,971","5","0","2","2","1","295","41","246","8","1"
"Clatskanie","1,650","2","0","1","0","1","46","10","35","1","0"
"Coburg","1,080","1","0","0","1","0","22","6","14","2","1"
"Columbia City","2,013","1","0","1","0","0","10","1","8","1","0"
"Condon","659","1","0","0","0","1","1","0","0","1","0"
"Coos Bay","15,703","37","0","7","6","24","660","107","509","44","6"
"Coquille","4,110","0","0","0","0","0","54","19","34","1","0"
"Cornelius","11,676","15","1","0","1","13","259","63","180","16","2"
"Corvallis","51,302","66","1","10","19","36","1,706","249","1,396","61","8"
"Cottage Grove","9,200","13","0","1","7","5","587","83","469","35","10"
"Creswell","5,243","27","1","2","2","22","189","66","115","8","1"
"Dallas","16,317","29","0","8","2","19","295","43","235","17","5"
"Eagle Point","8,787","2","0","1","0","1","161","12","146","3","3"
"Enterprise","1,691","0","0","0","0","0","24","4","20","0","0"
"Estacada","2,580","7","0","2","1","4","74","26","45","3","0"
"Eugene","151,383","470","1","73","201","195","8,627","1,868","5,871","888","70"
"Fairview","10,080","15","0","3","5","7","325","47","244","34","1"
"Florence","8,867","5","0","1","0","4","303","49","239","15","0"
"Forest Grove","21,333","37","2","1","12","22","717","112","588","17","3"
"Gaston","805","0","0","0","0","0","7","1","6","0","0"
"Gearhart","1,202","0","0","0","0","0","8","4","4","0","0"
"Gervais","2,453","7","0","0","1","6","85","14","49","22","0"
"Gladstone","12,152","38","0","6","2","30","333","63","244","26","8"
"Gold Beach","1,815","2","0","0","0","2","28","5","20","3","0"
"Gresham","102,463","382","0","37","153","192","3,988","572","2,747","669","25"
"Hermiston","15,544","50","0","3","11","36","655","108","500","47","2"
"Hillsboro","96,563","147","4","31","60","52","1,886","235","1,527","124","13"
"Hines","1,384","0","0","0","0","0","22","4","18","0","0"
"Hood River","6,967","2","0","0","0","2","179","24","145","10","0"
"Hubbard","2,850","0","0","0","0","0","38","4","32","2","0"
"Independence","9,822","25","0","4","1","20","212","28","178","6","7"
"Jacksonville","2,177","0","0","0","0","0","35","10","25","0","0"
"John Day","1,482","1","0","0","0","1","32","7","24","1","0"
"Junction City","5,657","4","0","1","2","1","73","10","63","0","0"
"Keizer","36,275","63","1","7","5","50","736","94","585","57","5"
"King City","2,989","3","0","2","1","0","54","7","45","2","0"
"Klamath Falls","20,358","95","1","15","23","56","715","134","542","39","6"
"La Grande","12,697","17","0","3","0","14","396","72","312","12","4"
"Lake Oswego","37,100","23","0","3","6","14","491","75","407","9","15"
"Lakeview","2,423","9","0","0","0","9","47","12","34","1","0"
"Lebanon","15,665","30","0","3","5","22","562","91","453","18","4"
"Lincoln City","8,121","34","0","6","6","22","359","81","263","15","1"
"Madras","6,093","21","1","2","8","10","310","52","233","25","1"
"Malin","616","0","0","0","0","0","2","2","0","0","0"
"Manzanita","624","0","0","0","0","0","8","1","7","0","0"
"McMinnville","31,730","59","1","13","17","28","818","125","663","30","5"
"Medford","74,042","227","2","30","24","171","2,961","324","2,539","98","47"
"Milton-Freewater","6,415","14","1","1","1","11","184","51","120","13","1"
"Milwaukie","20,732","28","0","7","5","16","466","69","356","41","2"
"Molalla","7,451","9","0","2","1","6","221","27","178","16","1"
"Monmouth","9,836","15","0","0","0","15","209","49","155","5","1"
"Mount Angel","3,511","5","0","0","1","4","51","7","39","5","0"
"Myrtle Creek","3,489","2","0","1","0","1","65","3","59","3","1"
"Newberg-Dundee","26,669","18","0","7","1","10","453","41","396","16","2"
"Newport","9,993","35","0","7","4","24","437","62","351","24","3"
"North Bend","9,648","3","0","0","2","1","392","65","307","20","3"
"North Plains","1,930","0","0","0","0","0","8","2","6","0","0"
"Oakridge","3,195","2","0","2","0","0","96","27","61","8","0"
"Ontario1","10,986","47","2","7","9","29","624","86","527","11","2"
"Oregon City","31,976","46","0","10","18","18","829","93","679","57","1"
"Pendleton","16,378","51","1","8","12","30","629","116","477","36","2"
"Philomath","4,558","6","0","1","1","4","113","35","75","3","2"
"Phoenix","4,429","5","0","0","0","5","72","9","61","2","0"
"Pilot Rock","1,512","2","0","0","1","1","19","2","15","2","0"
"Portland","560,908","3,105","19","252","1,037","1,797","26,495","3,696","19,624","3,175","269"
"Prineville","10,293","30","1","2","0","27","337","55","275","7","7"
"Rainier","1,820","4","0","0","0","4","40","9","24","7","2"
"Redmond","25,856","73","0","16","8","49","1,107","175","883","49","16"
"Reedsport","4,195","0","0","0","0","0","96","23","71","2","1"
"Rockaway Beach","1,378","2","0","0","0","2","45","26","17","2","0"
"Rogue River","1,942","3","0","2","1","0","51","12","38","1","3"
"Roseburg","20,741","36","0","14","13","9","733","84","609","40","7"
"Salem","155,329","576","5","71","121","379","6,213","967","4,617","629","35"
"Sandy","9,282","20","0","3","10","7","250","24","211","15","1"
"Scappoose","6,543","4","0","2","0","2","90","14","71","5","3"
"Seaside","6,300","22","0","0","11","11","560","93","451","16","5"
"Shady Cove","2,647","0","0","0","0","0","20","6","12","2","1"
"Sherwood","18,111","11","0","2","4","5","223","27","195","1","1"
"Silverton","9,895","13","0","4","3","6","134","20","103","11","1"
"Springfield","57,653","238","1","10","44","183","2,828","497","2,026","305","26"
"Stayton","7,375","12","0","1","2","9","325","64","245","16","7"
"St. Helens","12,804","10","1","4","0","5","289","37","234","18","5"
"Sunriver","0","2","0","0","0","2","66","10","52","4","0"
"Sutherlin","7,154","12","0","3","0","9","145","25","108","12","3"
"Sweet Home","9,039","6","0","1","2","3","310","44","257","9","2"
"Talent","6,287","4","0","3","0","1","138","18","118","2","2"
"The Dalles","11,874","14","0","3","3","8","610","151","431","28","0"
"Tigard","49,422","63","0","12","37","14","1,684","173","1,454","57","8"
"Tillamook","4,414","6","2","1","0","3","227","36","186","5","2"
"Toledo","3,278","4","1","0","1","2","94","11","80","3","2"
"Troutdale","15,630","17","0","3","9","5","463","62","368","33","3"
"Tualatin","26,903","58","1","17","17","23","873","69","762","42","0"
"Turner","1,784","8","0","1","0","7","49","10","37","2","1"
"Umatilla","6,443","12","0","1","0","11","69","8","51","10","1"
"Veneta","4,489","41","0","4","2","35","212","58","132","22","5"
"Vernonia","2,280","0","0","0","0","0","33","13","19","1","1"
"Warrenton","4,489","0","0","0","0","0","136","24","105","7","6"
"West Linn","25,568","12","0","3","3","6","271","23","237","11","3"
"Weston","690","1","0","0","0","1","20","4","14","2","0"
"Wilsonville","19,666","14","0","2","6","6","587","55","489","43","5"
"Winston","5,622","6","0","1","1","4","110","26","77","7","15"
"Woodburn","23,103","59","0","6","24","29","997","139","702","156","6"
"Yamhill","928","1","0","1","0","0","13","2","11","0","0"
