"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Barrington","16,353","2","0","0","0","2","214","38","172","4","0"
"Bristol","22,510","15","0","3","3","9","367","60","298","9","2"
"Burrillville","16,590","16","0","3","0","13","151","45","100","6","1"
"Central Falls","18,696","102","0","9","30","63","435","129","232","74","6"
"Charlestown","8,067","7","0","0","1","6","142","31","109","2","1"
"Coventry","34,837","27","0","6","3","18","591","112","445","34","10"
"Cranston","80,223","120","2","20","37","61","2,077","415","1,466","196","15"
"Cumberland","34,546","22","1","3","5","13","451","68","361","22","5"
"East Greenwich","13,357","10","0","3","3","4","147","23","118","6","1"
"East Providence","48,557","67","0","7","21","39","749","134","550","65","16"
"Foster","4,537","4","0","0","0","4","33","20","12","1","0"
"Glocester","10,583","4","0","2","1","1","60","11","48","1","1"
"Hopkinton","7,988","5","0","1","1","3","109","40","56","13","1"
"Jamestown","5,467","3","0","2","0","1","101","13","84","4","1"
"Johnston","28,617","34","0","6","5","23","608","121","442","45","4"
"Lincoln","22,156","21","0","2","7","12","451","66","356","29","3"
"Little Compton","3,513","2","0","0","0","2","58","15","43","0","0"
"Middletown","16,009","8","0","2","1","5","368","52","296","20","1"
"Narragansett","16,476","16","0","4","2","10","342","80","253","9","2"
"Newport","23,260","121","0","10","28","83","1,004","205","760","39","13"
"New Shoreham","1,036","0","0","0","0","0","54","13","36","5","0"
"North Kingstown","26,615","31","1","5","4","21","458","90","348","20","5"
"North Providence","32,794","51","0","11","14","26","548","128","368","52","5"
"North Smithfield","11,640","7","0","2","4","1","115","24","80","11","0"
"Pawtucket","71,787","297","1","25","115","156","2,279","604","1,458","217","27"
"Portsmouth","16,913","14","0","5","3","6","299","42","238","19","3"
"Providence","171,664","1,182","23","50","395","714","7,990","1,825","5,088","1,077","43"
"Richmond","7,657","2","0","0","0","2","104","29","70","5","0"
"Scituate","10,894","1","0","0","0","1","77","18","57","2","0"
"Smithfield","21,289","14","0","3","2","9","290","29","248","13","3"
"South Kingstown","29,270","11","0","3","1","7","323","69","241","13","4"
"Tiverton","14,944","14","0","2","2","10","306","80","200","26","1"
"Warren","10,990","19","0","3","2","14","194","40","147","7","3"
"Warwick","84,488","121","0","26","38","57","2,725","361","2,242","122","18"
"Westerly","23,466","27","0","8","2","17","481","86","389","6","3"
"West Greenwich","6,540","3","0","0","1","2","106","24","80","2","3"
"West Warwick","29,282","65","0","17","19","29","594","131","426","37","5"
"Woonsocket","43,366","149","2","27","31","89","1,368","350","908","110","21"
