"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Abbeville","5,514","92","0","0","4","88","192","38","149","5","1"
"Aiken","29,829","128","1","8","45","74","1,216","212","953","51","0"
"Allendale","3,617","79","0","1","10","68","181","94","80","7","0"
"Anderson","27,144","205","1","8","57","139","1,879","408","1,361","110","8"
"Andrews","2,968","29","0","2","9","18","188","39","140","9","0"
"Aynor","642","14","0","0","0","14","27","6","21","0","0"
"Bamberg","3,401","27","0","1","3","23","199","60","132","7","2"
"Barnwell","4,766","49","0","3","9","37","297","109","182","6","2"
"Batesburg-Leesville","5,584","31","1","1","2","27","284","73","189","22","0"
"Beaufort","11,663","124","1","10","28","85","695","150","524","21","0"
"Belton","4,691","14","0","1","4","9","153","24","119","10","1"
"Bennettsville","8,956","123","1","7","19","96","499","118","367","14","3"
"Bishopville","3,880","27","0","2","3","22","203","63","135","5","5"
"Blacksburg","1,905","17","1","1","2","13","121","35","81","5","0"
"Blackville","2,823","35","1","0","2","32","99","30","63","6","0"
"Bluffton","12,557","46","0","0","13","33","393","60","311","22","4"
"Burnettown","2,669","7","0","0","3","4","39","11","26","2","0"
"Calhoun Falls","2,170","11","0","1","1","9","57","14","42","1","1"
"Camden","7,072","83","2","4","14","63","460","128","307","25","0"
"Cayce","12,700","119","1","3","15","100","763","189","518","56","3"
"Central","4,154","19","0","2","5","12","227","31","179","17","2"
"Chapin","718","2","0","0","0","2","36","5","30","1","0"
"Charleston","113,681","595","9","31","218","337","3,991","566","3,152","273","11"
"Cheraw","5,411","54","0","3","13","38","386","67","303","16","1"
"Chesnee","1,084","16","0","1","3","12","59","14","40","5","0"
"Chester","5,999","161","0","5","31","125","310","78","213","19","1"
"Chesterfield","1,313","6","0","0","3","3","46","13","32","1","0"
"Clemson","13,147","33","1","0","7","25","339","67","221","51","0"
"Clinton","8,865","66","1","5","5","55","475","102","347","26","2"
"Clio","715","1","0","0","0","1","34","17","13","4","0"
"Clover","5,032","140","0","1","4","135","187","38","144","5","1"
"Columbia","127,884","1,338","13","68","379","878","7,689","1,678","5,321","690","11"
"Conway","16,295","192","0","2","42","148","1,112","278","775","59","3"
"Cottageville","674","5","1","0","3","1","23","6","16","1","1"
"Coward","679","8","1","1","0","6","21","10","10","1","0"
"Cowpens","2,428","18","0","0","2","16","140","40","93","7","0"
"Darlington","6,645","103","0","4","15","84","582","125","440","17","0"
"Denmark","2,972","32","0","5","4","23","105","34","64","7","3"
"Dillon","6,350","197","0","8","34","155","850","250","567","33","2"
"Due West","1,274","0","0","0","0","0","21","11","10","0","0"
"Duncan","3,141","17","0","3","3","11","116","23","83","10","0"
"Edgefield","4,415","13","0","3","3","7","63","13","46","4","0"
"Edisto Beach","726","0","0","0","0","0","38","4","32","2","0"
"Elgin","1,294","7","0","1","0","6","67","5","58","4","0"
"Fairfax","3,154","25","1","0","3","21","89","32","52","5","1"
"Florence","31,642","370","5","14","92","259","3,071","549","2,378","144","5"
"Folly Beach","2,445","22","0","3","4","15","225","40","174","11","1"
"Forest Acres","9,859","101","0","3","26","72","574","123","426","25","3"
"Fort Lawn","804","9","1","1","1","6","37","11","26","0","0"
"Fort Mill","10,316","106","0","3","5","98","266","39","216","11","2"
"Fountain Inn","7,944","32","0","1","4","27","141","26","105","10","0"
"Gaffney","13,223","125","4","12","31","78","339","89","223","27","2"
"Georgetown","8,450","106","1","8","22","75","657","102","522","33","0"
"Goose Creek","38,770","110","0","8","36","66","865","170","654","41","13"
"Great Falls","2,027","42","0","2","5","35","102","38","57","7","2"
"Greenville","60,355","638","1","28","160","449","3,674","622","2,790","262","9"
"Greenwood","22,551","325","1","15","57","252","1,796","460","1,279","57","5"
"Hampton","2,745","21","0","1","4","16","143","35","104","4","1"
"Hanahan","16,460","72","0","8","22","42","510","90","382","38","2"
