"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Aberdeen","24,441","45","1","21","1","22","545","108","412","25","1"
"Armour","642","0","0","0","0","0","0","0","0","0","0"
"Avon","511","0","0","0","0","0","0","0","0","0","0"
"Belle Fourche","5,001","4","0","2","0","2","30","5","20","5","0"
"Bonesteel","251","0","0","0","0","0","0","0","0","0","0"
"Box Elder","3,601","8","0","0","1","7","58","9","45","4","0"
"Brandon","9,195","0","0","0","0","0","22","0","22","0","0"
"Brookings","19,986","3","0","0","0","3","41","3","31","7","0"
"Burke","561","0","0","0","0","0","0","0","0","0","0"
"Canton","3,680","4","0","1","0","3","42","12","27","3","0"
"Centerville","837","0","0","0","0","0","3","1","2","0","0"
"Chamberlain","2,255","2","0","0","1","1","17","3","11","3","0"
"Colman","546","0","0","0","0","0","2","1","0","1","0"
"Corsica","563","0","0","0","0","0","2","0","1","1","0"
"Deadwood","1,273","4","0","1","0","3","40","2","37","1","0"
"Delmont","210","0","0","0","0","0","0","0","0","0","0"
"Eagle Butte","927","0","0","0","0","0","7","2","5","0","0"
"Estelline","665","0","0","0","0","0","5","1","4","0","0"
"Eureka","921","0","0","0","0","0","0","0","0","0","0"
"Faith","436","0","0","0","0","0","1","0","1","0","0"
"Flandreau","2,206","4","0","0","0","4","24","7","16","1","0"
"Freeman","1,181","0","0","0","0","0","0","0","0","0","0"
"Gettysburg","1,031","0","0","0","0","0","3","0","2","1","0"
"Hermosa","354","0","0","0","0","0","0","0","0","0","0"
"Hot Springs","4,015","5","0","0","0","5","35","9","24","2","0"
"Hoven","384","0","0","0","0","0","0","0","0","0","0"
"Irene","401","0","0","0","0","0","0","0","0","0","0"
"Jefferson","600","0","0","0","0","0","2","1","1","0","0"
"Kadoka","628","0","0","0","0","0","2","1","0","1","0"
"Kimball","687","0","0","0","0","0","3","3","0","0","0"
"Lead","2,878","2","0","0","0","2","25","4","20","1","0"
"Lemmon","1,164","0","0","0","0","0","9","3","5","1","0"
"Lennox","2,453","0","0","0","0","0","15","3","11","1","0"
"Leola","383","0","0","0","0","0","0","0","0","0","0"
"Madison","6,478","9","0","3","2","4","102","14","85","3","0"
"Martin","986","1","0","1","0","0","5","2","3","0","0"
"McIntosh","204","0","0","0","0","0","0","0","0","0","0"
"Menno","648","0","0","0","0","0","0","0","0","0","0"
"Miller","1,321","0","0","0","0","0","10","1","9","0","0"
"Mitchell","14,769","38","0","9","0","29","424","59","351","14","2"
"Mobridge","3,113","10","0","1","1","8","80","7","70","3","0"
"North Sioux City","2,547","0","0","0","0","0","29","1","26","2","0"
"Parkston","1,467","0","0","0","0","0","6","2","4","0","0"
"Pierre","13,901","27","0","12","2","13","509","77","404","28","1"
"Rapid City","66,170","307","2","97","41","167","2,829","433","2,264","132","21"
"Rosholt","427","0","0","0","0","0","0","0","0","0","0"
"Scotland","780","0","0","0","0","0","0","0","0","0","0"
"Selby","638","1","0","0","0","1","0","0","0","0","0"
"Sioux Falls","158,672","454","1","133","47","273","4,609","748","3,584","277","24"
"Sisseton","2,437","16","0","3","1","12","47","10","35","2","0"
"Spearfish","10,171","20","0","11","0","9","293","52","231","10","0"
"Springfield","1,479","0","0","0","0","0","0","0","0","0","1"
"Sturgis","5,899","3","0","0","0","3","196","22","168","6","0"
"Summerset","442","1","0","1","0","0","16","0","16","0","0"
"Tea","4,073","5","0","2","0","3","100","19","79","2","0"
"Tripp","623","0","0","0","0","0","2","1","1","0","0"
"Tyndall","1,088","0","0","0","0","0","0","0","0","0","0"
"Vermillion","10,523","2","0","0","0","2","152","9","143","0","1"
"Viborg","768","0","0","0","0","0","4","4","0","0","3"
"Wagner","1,538","1","0","0","0","1","5","3","2","0","0"
"Watertown","20,515","48","1","16","4","27","512","74","408","30","3"
"Whitewood","850","3","0","1","0","2","1","1","0","0","0"
"Wilmot","511","0","0","0","0","0","0","0","0","0","0"
"Winner","2,705","5","0","0","0","5","13","3","8","2","0"
"Yankton","13,831","11","0","4","0","7","358","41","309","8","1"
