"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Adamsville","2,138","3","0","1","0","2","38","9","26","3","1"
"Alcoa","8,681","81","1","2","13","65","520","69","427","24","1"
"Alexandria","879","3","0","0","0","3","22","10","11","1","0"
"Algood","3,430","8","0","4","0","4","140","12","126","2","0"
"Ardmore","1,172","9","0","0","3","6","25","9","16","0","0"
"Ashland City","4,695","32","0","1","2","29","253","45","196","12","0"
"Athens","14,388","231","2","14","25","190","1,118","249","814","55","5"
"Atoka","7,900","13","0","0","2","11","138","17","116","5","1"
"Baileyton","491","2","0","0","2","0","13","2","11","0","0"
"Baneberry","488","0","0","0","0","0","1","1","0","0","0"
"Bartlett","47,881","130","2","5","23","100","971","159","773","39","2"
"Baxter","1,422","6","0","0","0","6","48","18","26","4","0"
"Bean Station","3,072","14","0","1","5","8","209","56","138","15","1"
"Belle Meade","3,513","1","0","0","1","0","29","7","22","0","0"
"Bells","2,247","15","1","0","2","12","55","27","26","2","3"
"Benton","1,189","3","0","0","0","3","47","4","40","3","0"
"Berry Hill","822","6","0","0","3","3","90","6","80","4","0"
"Bethel Springs","777","2","0","0","1","1","20","8","11","1","0"
"Big Sandy","508","5","1","0","0","4","10","3","6","1","0"
"Blaine","1,770","3","0","0","2","1","23","11","12","0","3"
"Bluff City","1,664","7","0","0","0","7","29","6","20","3","0"
"Bolivar","5,627","61","0","3","6","52","286","77","198","11","1"
"Bradford","1,063","4","0","0","0","4","15","1","13","1","1"
"Brentwood","37,479","21","0","0","5","16","490","81","398","11","4"
"Brighton","2,736","6","0","0","1","5","37","9","24","4","0"
"Bristol","25,859","104","0","15","13","76","1,215","188","960","67","5"
"Brownsville","10,267","182","2","11","16","153","640","236","378","26","3"
"Bruceton","1,439","7","0","0","0","7","23","7","13","3","0"
"Burns","1,401","1","0","1","0","0","9","3","4","2","0"
"Calhoun","526","1","0","0","1","0","4","2","2","0","0"
"Camden","3,640","4","0","0","0","4","166","31","132","3","0"
"Carthage","2,234","13","0","0","1","12","81","21","57","3","1"
"Caryville","2,400","25","0","0","3","22","73","17","48","8","2"
"Celina","1,332","4","0","0","0","4","21","9","11","1","0"
"Centerville","3,994","9","0","2","0","7","116","33","78","5","1"
"Chapel Hill","1,363","4","0","0","1","3","17","5","11","1","0"
"Charleston","668","3","0","0","0","3","12","8","3","1","0"
"Chattanooga","172,536","1,792","17","53","535","1,187","12,849","2,987","8,949","913","13"
"Church Hill","6,864","7","0","0","3","4","167","58","106","3","0"
"Clarksburg","369","0","0","0","0","0","2","0","2","0","0"
"Clarksville","121,661","805","16","55","105","629","4,551","1,569","2,767","215","29"
"Cleveland","40,024","391","3","13","43","332","2,111","422","1,615","74","3"
"Clifton","2,694","5","0","0","0","5","19","4","14","1","0"
"Clinton","9,646","43","0","0","8","35","476","108","343","25","0"
"Collegedale","8,106","5","0","1","1","3","159","27","128","4","0"
"Collierville","39,973","82","0","2","5","75","724","91","614","19","2"
"Collinwood","1,011","2","0","0","0","2","5","3","2","0","0"
"Columbia","34,529","382","3","17","70","292","1,651","393","1,210","48","7"
"Cookeville","29,609","152","1","17","40","94","1,678","389","1,239","50","3"
"Coopertown","3,428","3","0","0","0","3","32","13","15","4","1"
"Copperhill","435","3","0","0","0","3","6","0","5","1","0"
"Cornersville","965","1","0","0","0","1","3","1","2","0","0"
"Covington","9,339","82","1","0","15","66","464","118","332","14","1"
"Cowan","1,710","6","0","0","0","6","41","7","33","1","0"
"Cross Plains","1,671","1","0","0","0","1","21","7","12","2","0"
"Crossville","11,908","110","1","4","15","90","1,178","222","894","62","0"
"Crump","1,463","4","0","0","0","4","79","22","55","2","0"
"Cumberland City","328","2","0","0","0","2","14","8","6","0","0"
"Cumberland Gap","208","0","0","0","0","0","5","2","3","0","0"
"Dandridge","2,760","9","0","0","1","8","77","16","56","5","2"
"Dayton","6,799","22","1","0","3","18","298","54","232","12","0"
"Decatur","1,485","0","0","0","0","0","58","15","38","5","0"
"Decherd","2,112","6","0","0","0","6","49","21","28","0","1"
"Dickson","14,095","90","0","9","15","66","830","96","675","59","6"
"Dover","1,633","4","0","1","0","3","25","3","19","3","0"
"Dresden","2,816","11","0","1","2","8","116","15","101","0","0"
"Dunlap","5,521","42","0","4","3","35","165","42","109","14","1"
"Dyer","2,415","5","0","0","0","5","27","11","16","0","0"
"Dyersburg","17,088","179","2","16","37","124","1,402","370","970","62","3"
"East Ridge","19,546","191","0","6","27","158","1,255","294","894","67","6"
"Elizabethton","13,944","58","0","7","11","40","732","120","589","23","3"
"Elkton","593","0","0","0","0","0","7","0","7","0","0"
"Englewood","1,768","4","0","0","0","4","27","9","17","1","0"
"Erin","1,458","13","0","0","0","13","31","11","20","0","0"
"Erwin","5,798","6","0","0","1","5","76","15","54","7","2"
"Estill Springs","2,263","1","0","0","0","1","31","11","20","0","0"
"Ethridge","555","3","0","0","0","3","11","2","8","1","0"
"Etowah","3,787","27","0","1","1","25","102","23","77","2","0"
"Fairview","8,094","12","0","3","1","8","109","34","63","12","0"
"Fayetteville","7,184","41","1","1","3","36","352","51","284","17","1"
"Franklin","60,074","110","2","9","12","87","1,059","181","839","39","2"
"Friendship","592","2","0","0","1","1","10","1","7","2","0"
"Gadsden","531","1","0","0","0","1","3","0","3","0","0"
"Gainesboro","841","2","0","0","1","1","30","9","20","1","0"
"Gallatin","30,102","129","0","11","22","96","601","80","506","15","3"
"Gallaway","694","4","0","1","0","3","29","7","18","4","0"
"Gates","846","3","1","0","0","2","24","8","14","2","0"
"Gatlinburg","5,862","35","1","2","5","27","434","147","277","10","0"
"Germantown","41,419","27","1","1","10","15","425","73","341","11","5"
"Gibson","400","1","0","1","0","0","12","2","10","0","0"
"Gleason","1,395","6","0","1","0","5","33","8","23","2","0"
"Goodlettsville","17,481","82","0","5","18","59","1,123","155","933","35","1"
"Gordonsville","1,319","5","0","0","0","5","40","3","35","2","0"
"Grand Junction","304","5","0","0","2","3","15","2","13","0","0"
"Graysville","1,430","11","0","0","0","11","20","1","17","2","0"
"Greenbrier","6,752","21","0","1","1","19","111","29","75","7","2"
"Greeneville","15,446","65","1","7","26","31","815","131","646","38","1"
"Greenfield","2,022","2","0","0","1","1","27","8","18","1","0"
"Halls","2,178","9","0","0","2","7","38","6","31","1","0"
"Harriman","6,646","46","0","2","11","33","310","79","215","16","4"
"Henderson","6,483","49","0","1","4","44","216","44","164","8","0"
"Hendersonville","48,513","144","0","8","20","116","1,250","205","984","61","5"
"Henning","1,270","10","0","0","1","9","28","12","16","0","0"
"Henry","549","0","0","0","0","0","6","2","4","0","0"
"Hohenwald","3,803","19","0","0","0","19","115","24","84","7","4"
"Hollow Rock","930","0","0","0","0","0","6","2","3","1","0"
"Hornbeak","414","0","0","0","0","0","3","0","3","0","0"
"Humboldt","9,126","96","1","1","18","76","476","117","347","12","10"
"Huntingdon","4,101","23","1","0","1","21","120","17","99","4","0"
"Huntland","861","0","0","0","0","0","10","2","8","0","0"
"Jacksboro","2,127","8","0","0","1","7","352","18","328","6","0"
"Jackson","63,530","606","14","24","184","384","4,413","1,123","2,994","296","14"
"Jamestown","1,927","8","0","0","0","8","143","22","120","1","0"
"Jasper","3,113","8","0","0","0","8","101","9","83","9","0"
"Jefferson City","8,188","26","0","3","7","16","404","77","308","19","1"
"Jellico","2,532","15","0","0","1","14","118","20","96","2","0"
"Johnson City","62,689","278","7","15","62","194","2,656","515","2,036","105","10"
"Jonesborough","5,351","12","0","1","0","11","104","24","78","2","0"
"Kenton","1,289","0","0","0","0","0","21","10","11","0","0"
"Kimball","1,411","1","0","0","0","1","56","4","50","2","0"
"Kingsport","44,402","400","4","25","56","315","2,896","474","2,328","94","18"
"Kingston","5,641","5","1","0","1","3","79","20","56","3","0"
"Kingston Springs","2,972","1","0","0","0","1","37","4","33","0","0"
"Knoxville","185,850","1,966","22","147","660","1,137","11,821","2,589","8,553","679","72"
"Lafayette","4,482","8","0","0","1","7","109","20","86","3","0"
"La Follette","8,218","97","0","3","12","82","686","193","461","32","5"
"La Grange","143","0","0","0","0","0","1","0","0","1","0"
"Lakewood","2,624","17","0","0","1","16","91","28","59","4","0"
"La Vergne","31,620","133","0","11","16","106","818","260","502","56","3"
"Lawrenceburg","10,779","130","1","7","5","117","643","120","488","35","3"
"Lebanon","25,161","171","0","11","35","125","1,103","188","859","56","1"
"Lenoir City","8,147","108","0","3","10","95","394","110","258","26","3"
"Lewisburg","11,048","71","0","4","8","59","299","70","217","12","0"
"Lexington","7,908","69","0","2","7","60","437","79","340","18","1"
"Livingston","3,574","20","0","0","0","20","113","38","72","3","0"
"Lookout Mountain","1,853","0","0","0","0","0","12","6","6","0","0"
"Loretto","1,710","12","0","0","1","11","27","3","24","0","0"
"Loudon","4,959","9","1","0","0","8","104","12","90","2","0"
"Lynnville","337","0","0","0","0","0","0","0","0","0","0"
"Madisonville","4,800","31","0","0","4","27","253","45","192","16","2"
"Manchester","10,188","103","0","2","5","96","567","82","462","23","0"
"Martin","10,172","42","0","3","5","34","393","68","317","8","1"
"Maryville","27,641","51","0","0","12","39","730","130","571","29","3"
"Mason","1,248","14","0","0","0","14","35","15","17","3","1"
"Maury City","689","0","0","0","0","0","9","3","5","1","0"
"Maynardville","1,923","13","0","1","1","11","140","22","105","13","0"
