"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Abernathy","2,721","7","0","1","1","5","22","8","13","1","0"
"Abilene","116,557","658","7","114","137","400","4,830","1,301","3,267","262","30"
"Addison","15,063","90","1","7","35","47","1,019","142","742","135","2"
"Alamo","16,810","133","1","15","24","93","1,444","264","1,057","123","5"
"Alamo Heights","7,378","7","0","0","1","6","269","40","222","7","1"
"Alice","19,886","186","0","7","13","166","1,406","436","913","57","21"
"Allen","86,901","78","2","14","15","47","1,535","273","1,198","64","0"
"Alpine","6,322","16","0","5","1","10","90","31","56","3","0"
"Alto","1,175","5","0","1","0","4","46","21","24","1","0"
"Alton","11,945","34","0","0","10","24","416","148","206","62","2"
"Alvarado","4,290","6","0","1","3","2","154","38","104","12","0"
"Alvin","23,013","53","2","5","14","32","692","153","492","47","4"
"Amarillo","188,767","1,580","10","99","352","1,119","11,039","2,561","7,768","710","76"
"Andrews","10,209","79","1","10","0","68","350","93","243","14","3"
"Angleton","18,665","104","0","21","8","75","577","153","401","23","3"
"Anna","1,906","7","0","5","1","1","114","39","67","8","1"
"Anson","2,252","3","0","0","1","2","32","5","26","1","0"
"Anthony","4,401","20","0","0","4","16","197","10","180","7","0"
"Aransas Pass","8,885","30","0","6","10","14","611","166","418","27","1"
"Arcola","1,251","10","0","1","4","5","38","8","22","8","0"
"Argyle","3,681","1","0","0","0","1","24","5","15","4","0"
"Arlington","379,104","2,330","12","152","672","1,494","20,516","4,891","14,186","1,439","49"
"Arp","969","3","0","0","1","2","9","1","8","0","0"
"Athens","12,402","74","0","13","25","36","529","148","352","29","1"
"Atlanta","5,444","38","0","3","4","31","238","64","164","10","0"
"Austin","768,970","4,024","22","265","1,415","2,322","48,026","8,753","37,054","2,219","96"
"Azle","11,555","35","0","5","5","25","452","89","345","18","9"
"Baird","1,677","4","0","2","0","2","14","2","12","0","0"
"Balch Springs","20,052","155","0","21","44","90","1,686","254","1,296","136","0"
"Balcones Heights","2,981","39","0","1","12","26","453","42","385","26","1"
"Ballinger","3,672","5","0","1","0","4","81","20","58","3","1"
"Bangs","1,561","4","0","1","0","3","11","4","7","0","0"
"Bastrop","8,792","18","0","3","5","10","431","42","377","12","2"
"Bay City","17,811","65","1","10","28","26","902","217","680","5","4"
"Bayou Vista","1,691","0","0","0","0","0","6","2","4","0","1"
"Baytown","70,764","330","2","34","114","180","4,001","831","2,889","281","32"
"Beaumont","110,237","1,002","5","73","332","592","6,331","1,665","4,385","281","35"
"Bedford","49,375","190","0","13","36","141","1,769","392","1,271","106","5"
"Bee Cave","2,996","15","0","1","6","8","182","19","159","4","1"
"Beeville","12,642","77","0","16","8","53","426","102","314","10","0"
"Bellaire","18,492","33","0","0","22","11","365","72","277","16","1"
"Bellmead","9,610","141","0","16","16","109","1,105","91","982","32","3"
"Bellville","4,486","11","0","2","0","9","102","15","83","4","0"
"Belton","18,130","35","0","0","9","26","726","154","564","8","3"
"Benbrook","23,280","33","1","3","12","17","488","127","337","24","5"
"Bertram","1,444","5","0","2","1","2","14","3","9","2","2"
"Beverly Hills","2,040","6","0","0","0","6","46","22","23","1","0"
"Big Sandy","1,368","2","0","0","1","1","17","5","12","0","0"
"Big Spring","24,181","182","2","22","40","118","1,725","349","1,317","59","24"
"Bishop","3,122","3","0","0","0","3","108","30","75","3","0"
"Blanco","1,562","7","0","0","1","6","52","17","33","2","1"
"Bloomburg","359","0","0","0","0","0","0","0","0","0","0"
