"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"American Fork/Cedar Hills","38,183","34","0","8","10","16","1,174","162","969","43","1"
"Big Water","403","4","0","0","0","4","0","0","0","0","0"
"Blanding","3,280","14","0","0","0","14","60","13","46","1","0"
"Bountiful","44,591","56","0","15","10","31","1,147","156","954","37","2"
"Brian Head","127","0","0","0","0","0","30","6","24","0","0"
"Brigham City","18,750","47","0","14","5","28","496","81","400","15","0"
"Cedar City","29,568","41","1","18","7","15","746","105","610","31","2"
"Centerville","15,763","10","0","0","1","9","387","41","328","18","0"
"Clearfield","27,913","49","0","10","8","31","860","112","713","35","7"
"Clinton","20,745","19","0","7","4","8","335","47","272","16","1"
"Cottonwood Heights","35,258","54","1","5","15","33","1,134","227","837","70","3"
"Draper","44,537","46","1","10","4","31","970","231","670","69","7"
"Enoch","5,263","3","0","0","0","3","46","20","25","1","0"
"Farmington","17,788","3","0","3","0","0","166","29","127","10","0"
"Grantsville","9,402","6","0","1","0","5","116","24","80","12","1"
"Harrisville","6,367","18","0","2","12","4","313","27","277","9","0"
"Heber","10,068","2","0","1","1","0","75","11","61","3","0"
"Helper","1,852","1","0","0","0","1","24","3","18","3","2"
"Hildale","1,967","3","0","0","0","3","4","2","2","0","0"
"Hurricane","13,961","28","0","5","0","23","307","62","223","22","1"
"Ivins","8,294","4","0","2","0","2","54","15","37","2","1"
"Kanab","3,786","9","0","1","0","8","133","23","107","3","1"
"Kaysville","26,363","18","0","8","3","7","426","73","331","22","0"
"La Verkin","4,602","5","0","1","0","4","51","15","32","4","0"
"Layton","65,947","115","0","21","23","71","1,953","240","1,647","66","4"
"Leeds","774","0","0","0","0","0","3","0","2","1","0"
"Lehi","51,307","26","0","11","0","15","871","169","648","54","2"
"Lindon","10,666","10","0","2","3","5","306","39","252","15","1"
"Logan","49,105","45","0","11","1","33","770","137","602","31","5"
"Lone Peak","27,542","12","0","5","1","6","343","100","230","13","4"
"Mapleton","8,183","1","0","0","0","1","92","10","80","2","0"
"Midvale","28,099","103","0","14","22","67","1,640","361","1,070","209","5"
"Moab","5,130","14","0","1","1","12","261","34","218","9","0"
"Monticello","2,015","2","0","1","0","1","21","8","13","0","1"
"Mount Pleasant","2,811","4","0","1","0","3","80","23","44","13","0"
"Murray","46,026","187","0","29","53","105","3,669","552","2,766","351","6"
"Naples","1,735","1","0","0","0","1","50","8","38","4","0"
"Nephi","5,459","6","0","1","0","5","151","44","97","10","2"
"North Ogden","17,897","8","1","4","1","2","267","46","216","5","0"
"North Park","12,739","13","0","10","0","3","274","37","226","11","3"
"North Salt Lake","14,026","5","0","2","0","3","350","114","194","42","0"
"Ogden","83,016","391","4","31","107","249","4,040","771","2,955","314","23"
"Orem","93,785","50","1","14","22","13","2,520","220","2,184","116","1"
"Park City","7,998","21","0","0","5","16","512","52","447","13","0"
"Parowan","2,615","3","0","1","0","2","14","4","9","1","0"
"Payson","17,890","15","0","4","3","8","577","90","465","22","0"
"Perry","4,080","0","0","0","0","0","63","6","54","3","0"
"Pleasant Grove","35,016","19","1","7","2","9","571","107","438","26","1"
"Pleasant View","7,183","2","0","2","0","0","103","13","86","4","0"
"Price","7,957","12","0","3","1","8","380","60","308","12","0"
"Provo","119,472","167","1","35","32","99","2,919","407","2,367","145","14"
"Richfield","7,220","3","0","2","0","1","262","42","211","9","0"
"Riverdale","8,135","23","0","3","8","12","560","27","516","17","2"
"Roosevelt","5,088","7","0","2","0","5","202","45","154","3","1"
"Roy","35,761","29","2","11","7","9","975","181","766","28","6"
"Salem","6,635","4","0","3","0","1","75","11","60","4","0"
"Salina","2,403","3","0","0","0","3","119","29","87","3","0"
"Salt Lake City","180,724","1,276","3","100","411","762","14,503","2,173","10,888","1,442","55"
"Sandy","97,031","167","2","22","23","120","3,456","565","2,685","206","13"
"Santaquin/Genola","9,990","3","0","0","0","3","125","30","88","7","0"
"Saratoga Springs","21,450","2","0","1","0","1","224","54","164","6","0"
"Smithfield","9,770","6","0","0","0","6","143","41","97","5","0"
"South Jordan","54,042","39","1","6","8","24","1,184","224","896","64","2"
"South Ogden","15,989","38","0","4","6","28","384","76","294","14","4"
"South Salt Lake","21,448","197","1","44","55","97","1,813","295","1,247","271","7"
"Spanish Fork","32,882","8","0","4","2","2","651","109","517","25","0"
"Springville","29,395","41","1","5","7","28","839","113","695","31","2"
"St. George","75,391","92","0","13","13","66","1,540","322","1,143","75","12"
"Stockton","588","0","0","0","0","0","2","0","2","0","0"
"Sunset","4,892","4","0","1","1","2","130","26","100","4","0"
"Syracuse","24,168","18","0","4","0","14","312","50","258","4","5"
"Taylorsville City","58,472","190","1","25","51","113","3,220","491","2,429","300","17"
"Tooele","30,851","76","0","19","10","47","1,085","223","810","52","10"
"Tremonton","6,891","4","0","3","1","0","174","35","135","4","0"
"Vernal","8,769","14","0","4","0","10","382","44","318","20","2"
"Washington","19,183","33","0","3","5","25","367","66","285","16","1"
"Wellington","1,553","1","0","0","0","1","29","12","15","2","0"
"West Bountiful","5,402","2","0","1","0","1","210","18","181","11","0"
"West Jordan","107,113","165","4","24","36","101","3,617","532","2,807","278","16"
"West Valley","124,472","564","4","87","155","318","6,263","1,068","4,377","818","15"
"Woods Cross","8,946","12","0","4","3","5","233","36","177","20","1"
