"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Barre","8,790","7","0","1","0","6","230","34","196","0","1"
"Barre Town","8,049","0","0","0","0","0","137","30","102","5","0"
"Bennington","15,026","45","0","5","5","35","477","77","377","23","1"
"Berlin","2,818","1","0","0","0","1","40","2","38","0","0"
"Brandon","3,860","3","0","0","1","2","56","15","41","0","0"
"Brattleboro","11,438","35","1","3","6","25","574","152","408","14","1"
"Bristol","3,736","0","0","0","0","0","0","0","0","0","0"
"Burlington","38,794","118","0","12","14","92","1,760","235","1,493","32","2"
"Castleton","4,647","1","0","0","0","1","23","10","12","1","0"
"Chester","2,995","1","0","0","0","1","55","20","34","1","0"
"Colchester","17,274","19","0","1","5","13","554","103","436","15","2"
"Dover","1,434","0","0","0","0","0","126","13","112","1","0"
"Essex","19,759","16","1","6","1","8","393","74","310","9","2"
"Fair Haven","2,923","2","0","0","0","2","100","21","75","4","0"
"Hardwick","3,209","6","0","0","0","6","100","39","60","1","0"
"Hartford","10,730","5","0","0","0","5","175","42","127","6","0"
"Hinesburg","4,660","0","0","0","0","0","80","11","66","3","0"
"Ludlow","2,659","1","0","0","1","0","74","17","57","0","0"
"Manchester","4,279","2","0","0","1","1","97","13","81","3","0"
"Middlebury","8,281","13","0","5","2","6","263","19","243","1","1"
"Milton","10,853","7","0","1","2","4","278","52","223","3","3"
"Montpelier","7,731","13","0","2","1","10","352","40","307","5","0"
"Morristown","5,606","6","0","0","1","5","123","17","102","4","0"
"Mount Tabor","197","0","0","0","0","0","0","0","0","0","0"
"Newport","5,163","5","0","1","2","2","157","35","121","1","0"
"Northfield","5,735","8","0","3","2","3","101","28","71","2","0"
"Norwich","3,519","2","0","0","0","2","20","8","12","0","0"
"Randolph","5,057","6","0","0","0","6","31","6","25","0","0"
"Richmond","4,167","5","0","1","0","4","21","10","9","2","0"
"Royalton","2,421","0","0","0","0","0","0","0","0","0","0"
"Rutland","16,688","74","0","6","23","45","916","156","734","26","6"
"Rutland Town","4,076","0","0","0","0","0","0","0","0","0","0"
"Shelburne","7,161","3","0","0","0","3","78","25","49","4","0"
"South Burlington","17,893","28","0","7","1","20","612","59","541","12","1"
"Springfield","8,551","31","0","2","3","26","212","56","149","7","5"
"St. Albans","7,207","29","0","3","3","23","441","68","369","4","4"
"St. Johnsbury","7,404","6","0","2","2","2","121","43","77","1","1"
"Stowe","4,984","1","0","0","0","1","174","19","153","2","1"
"Swanton","6,451","3","0","0","1","2","90","15","73","2","0"
"Vergennes","2,658","2","0","1","0","1","17","2","15","0","0"
"Waterbury","5,399","7","0","0","1","6","59","9","50","0","0"
"Weathersfield","2,836","0","0","0","0","0","25","10","14","1","0"
"Williston","8,515","11","0","0","2","9","317","23","290","4","0"
"Wilmington","2,351","2","0","0","0","2","43","9","33","1","0"
"Windsor","3,585","8","0","0","0","8","56","17","37","2","1"
"Winhall","796","0","0","0","0","0","74","8","65","1","0"
"Winooski","6,401","20","0","1","4","15","346","74","265","7","4"
"Woodstock","3,122","1","0","0","1","0","31","7","21","3","0"
