"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Abingdon","8,034","14","0","2","1","11","299","28","262","9","0"
"Alexandria","146,145","287","5","12","141","129","3,296","347","2,613","336","3"
"Altavista","3,362","12","0","1","2","9","103","22","75","6","1"
"Amherst","2,216","1","0","0","1","0","25","5","20","0","0"
"Appalachia","1,729","1","0","1","0","0","66","8","55","3","1"
"Ashland","7,152","29","0","0","10","19","273","21","234","18","0"
"Bedford","6,335","20","0","4","5","11","206","26","170","10","0"
"Berryville","3,187","4","1","0","0","3","80","9","71","0","0"
"Big Stone Gap","5,652","9","0","1","1","7","176","19","150","7","0"
"Blacksburg","42,047","50","0","15","11","24","700","165","507","28","2"
"Blackstone","3,568","14","0","0","5","9","135","21","107","7","1"
"Bluefield","5,122","7","0","1","2","4","246","27","214","5","1"
"Bowling Green","1,031","0","0","0","0","0","0","0","0","0","0"
"Boykins","599","0","0","0","0","0","5","2","3","0","0"
"Bridgewater","5,458","2","0","0","0","2","26","9","15","2","0"
"Bristol","17,502","54","0","5","11","38","627","108","492","27","5"
"Broadway","3,335","1","0","0","0","1","10","1","6","3","0"
"Brookneal","1,248","2","0","1","0","1","13","2","10","1","0"
"Buena Vista","6,509","9","0","0","2","7","102","1","99","2","2"
"Burkeville","470","2","0","0","1","1","13","2","10","1","0"
"Cape Charles","1,510","0","0","0","0","0","13","3","10","0","0"
"Cedar Bluff","1,039","1","0","1","0","0","11","3","7","1","0"
"Charlottesville","41,798","247","0","35","88","124","2,070","184","1,763","123","9"
"Chase City","2,307","5","0","0","1","4","66","8","56","2","1"
"Chatham","1,543","0","0","0","0","0","12","0","12","0","0"
"Chesapeake","223,261","831","12","42","229","548","7,731","1,317","5,985","429","30"
"Chilhowie","1,737","0","0","0","0","0","25","6","17","2","0"
"Chincoteague","4,293","3","0","0","0","3","85","18","55","12","0"
"Christiansburg","19,775","35","2","9","7","17","722","107","600","15","5"
"Clarksville","1,251","4","0","0","3","1","25","0","25","0","0"
"Clifton Forge","3,895","8","0","1","1","6","88","21","66","1","1"
"Clintwood","1,517","3","0","0","0","3","35","9","25","1","0"
"Coeburn","1,974","4","0","1","1","2","63","11","50","2","1"
"Colonial Beach","3,859","4","0","1","1","2","71","16","51","4","0"
"Colonial Heights","17,932","48","0","2","22","24","842","65","743","34","7"
"Covington","6,124","20","1","6","2","11","173","30","137","6","8"
"Crewe","2,274","6","0","1","4","1","64","10","51","3","0"
"Culpeper","14,562","70","0","6","16","48","460","35","415","10","1"
"Damascus","1,081","3","0","2","0","1","25","1","24","0","0"
"Danville","44,442","174","8","7","80","79","2,308","515","1,724","69","13"
"Dayton","1,354","0","0","0","0","0","21","3","18","0","0"
"Dublin","2,180","3","0","0","2","1","75","22","51","2","0"
"Dumfries","4,792","23","0","2","15","6","170","35","115","20","0"
"Edinburg","903","1","0","1","0","0","8","3","5","0","0"
"Elkton","2,625","0","0","0","0","0","33","4","28","1","0"
"Emporia","5,662","43","0","5","10","28","337","62","260","15","2"
"Exmore","1,341","3","0","0","1","2","44","8","34","2","0"
"Fairfax City","24,194","27","0","1","15","11","621","35","564","22","6"
"Falls Church","11,301","16","0","3","6","7","315","18","279","18","5"
"Farmville","7,462","16","4","1","1","10","173","15","155","3","0"
"Franklin","8,980","31","1","2","14","14","355","64","280","11","6"
"Fredericksburg","23,326","114","2","6","22","84","1,094","93","975","26","4"
"Fries","546","0","0","0","0","0","0","0","0","0","0"
"Front Royal","14,731","33","0","7","11","15","600","56","520","24","0"
"Galax","6,828","28","1","0","4","23","301","37","258","6","2"
"Gate City","2,037","3","0","1","0","2","37","7","27","3","0"
"Glade Spring","1,538","1","0","0","1","0","1","0","1","0","0"
"Glasgow","1,003","0","0","0","0","0","4","0","4","0","0"
"Glen Lyn","164","0","0","0","0","0","2","1","0","1","1"
"Gordonsville","1,720","2","0","0","0","2","21","3","17","1","0"
"Gretna","1,185","3","0","0","0","3","22","7","14","1","0"
"Grottoes","2,192","1","0","0","0","1","31","2","29","0","0"
"Grundy","947","0","0","0","0","0","5","1","4","0","0"
"Halifax","1,280","1","1","0","0","0","31","6","22","3","1"
"Hampton","145,932","454","11","27","195","221","5,226","835","4,001","390","31"
"Harrisonburg","44,597","134","0","10","27","97","1,236","187","996","53","5"
"Haymarket","1,268","1","0","0","0","1","24","2","22","0","0"
"Haysi","308","0","0","0","0","0","3","1","2","0","0"
"Herndon","22,078","48","1","9","15","23","395","27","344","24","0"
"Hillsville","2,630","9","0","1","2","6","89","38","49","2","0"
"Honaker","1,438","1","0","0","0","1","22","2","20","0","0"
"Hopewell","23,324","207","4","13","70","120","833","263","501","69","11"
"Hurt","1,208","0","0","0","0","0","14","3","11","0","0"
"Jonesville","964","0","0","0","0","0","28","3","25","0","1"
"Kenbridge","1,273","7","0","1","0","6","5","2","2","1","0"
"Kilmarnock","1,287","2","0","1","0","1","26","9","15","2","0"
"La Crosse","586","0","0","0","0","0","19","4","5","10","0"
"Lawrenceville","1,342","1","0","0","1","0","51","35","16","0","1"
"Lebanon","3,186","6","0","0","2","4","104","7","94","3","0"
"Leesburg","41,092","62","2","8","19","33","732","44","664","24","4"
"Lexington","7,049","1","0","0","0","1","60","6","51","3","2"
"Louisa","1,583","1","0","1","0","0","22","3","17","2","0"
"Luray","4,840","3","0","0","2","1","140","16","115","9","1"
"Lynchburg","73,735","339","0","21","80","238","2,218","372","1,735","111","14"
