"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson1"
"Aberdeen","16,000","68","0","6","28","34","1,010","198","734","78","5"
"Airway Heights","5,384","12","0","0","2","10","132","35","83","14","0"
"Algona","2,763","12","0","3","0","9","24","3","16","5","0"
"Anacortes","17,063","22","0","1","7","14","459","109","328","22","2"
"Arlington","17,413","31","1","3","15","12","608","94","429","85","0"
"Asotin","1,133","17","0","0","1","16","15","6","8","1","0"
"Auburn","56,934","274","4","13","92","165","3,321","590","2,362","369","18"
"Bainbridge Island","22,061","31","0","4","4","23","302","80","210","12","2"
"Battle Ground","17,865","62","1","24","7","30","484","59","392","33","3"
"Bellevue","125,054","162","2","25","61","74","3,950","621","3,150","179","16"
"Bellingham","80,243","171","2","37","48","84","4,341","651","3,547","143","17"
"Bingen","681","2","0","0","0","2","41","22","13","6","0"
"Black Diamond","4,007","10","0","1","0","9","56","15","35","6","0"
"Blaine","5,128","6","0","2","2","2","177","29","144","4","2"
"Bonney Lake","17,461","26","0","4","8","14","394","71","297","26","0"
"Bothell","32,517","33","0","3","17","13","884","169","649","66","6"
"Bremerton","35,888","250","0","46","46","158","1,696","362","1,222","112","22"
"Brewster","2,076","8","0","2","1","5","115","36","69","10","1"
"Brier","6,340","3","0","1","0","2","86","22","62","2","4"
"Buckley","5,514","7","0","0","1","6","126","33","89","4","3"
"Burien","31,263","167","2","13","62","90","1,536","352","957","227","13"
"Burlington","8,920","12","0","4","4","4","1,157","118","988","51","10"
"Camas","18,618","14","0","7","3","4","348","61","274","13","4"
"Carnation","1,806","0","0","0","0","0","29","2","25","2","1"
"Castle Rock","2,120","6","0","0","0","6","78","13","60","5","1"
"Centralia","15,811","82","0","17","14","51","767","151","550","66","15"
"Chehalis","7,397","11","0","3","2","6","570","65","474","31","2"
"Cheney","10,572","24","0","6","4","14","311","57","242","12","1"
"Chewelah","2,313","7","0","1","1","5","81","30","48","3","0"
"Clarkston","7,194","20","0","2","5","13","346","55","271","20","0"
"Cle Elum","3,514","3","0","1","0","2","150","32","106","12","0"
"Clyde Hill","2,708","4","0","0","0","4","31","3","23","5","0"
"Colfax","2,744","0","0","0","0","0","11","1","9","1","2"
"College Place","9,106","2","0","1","0","1","247","48","195","4","0"
"Colville","4,919","3","0","0","1","2","157","18","136","3","0"
"Connell","3,214","1","0","0","0","1","24","2","22","0","0"
"Cosmopolis","1,669","1","0","1","0","0","31","10","16","5","0"
"Coulee Dam","1,051","3","0","1","1","1","33","15","16","2","0"
