"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Barboursville","3,428","3","0","0","1","2","482","39","437","6","1"
"Beckley","16,777","188","2","18","38","130","1,356","243","1,056","57","4"
"Benwood","1,416","0","0","0","0","0","10","0","10","0","0"
"Bluefield","11,056","56","2","6","10","38","302","120","167","15","2"
"Bridgeport","7,982","13","0","0","4","9","308","35","269","4","2"
"Buckhannon","5,476","5","1","2","0","2","74","24","42","8","2"
"Chapmanville","1,108","2","0","0","0","2","54","5","48","1","1"
"Charleston","49,976","535","5","18","128","384","2,625","636","1,813","176","16"
"Charles Town","5,005","8","0","0","1","7","111","23","80","8","0"
"Clarksburg","16,409","107","0","12","17","78","875","127","718","30","14"
"Clearview","544","0","0","0","0","0","0","0","0","0","0"
"Dunbar","7,614","19","0","1","6","12","199","52","127","20","5"
"Elkins","6,972","24","0","1","3","20","244","54","181","9","3"
"Fairmont","18,997","65","2","21","14","28","537","181","332","24","9"
"Follansbee","2,829","5","0","0","0","5","26","8","18","0","1"
"Glen Dale","1,380","0","0","0","0","0","52","9","42","1","1"
"Glenville","1,447","0","0","0","0","0","20","3","15","2","2"
"Granville","816","14","0","0","0","14","75","6","69","0","1"
"Harpers Ferry/Bolivar","1,369","2","0","0","1","1","11","1","9","1","0"
"Hurricane","6,435","15","0","5","3","7","195","15","170","10","1"
"Kenova","3,245","9","0","1","4","4","198","48","146","4","0"
"Keyser","5,217","9","0","2","4","3","159","48","108","3","0"
"Lewisburg","3,524","1","0","0","0","1","84","3","81","0","0"
"Logan","1,488","20","0","0","7","13","287","24","258","5","2"
"Martinsburg","17,275","81","0","4","25","52","1,177","127","1,009","41","6"
"Matoaka","304","0","0","0","0","0","0","0","0","0","0"
"Montgomery","1,920","2","0","0","2","0","48","11","35","2","0"
"Moorefield","2,444","6","1","1","0","4","86","14","68","4","1"
"Morgantown","29,989","130","1","10","23","96","818","196","604","18","5"
"Moundsville","9,019","17","0","1","2","14","282","65","209","8","6"
"Nitro","6,770","14","1","1","3","9","235","40","184","11","0"
"Nutter Fort","1,628","10","0","0","2","8","56","8","44","4","1"
"Oceana","1,397","9","0","1","1","7","62","6","54","2","0"
"Paden City","2,572","0","0","0","0","0","2","0","2","0","0"
"Point Pleasant","4,432","18","0","1","5","12","175","38","127","10","0"
"Princeton","6,248","48","1","2","11","34","429","84","324","21","2"
"Ranson","4,838","3","0","2","0","1","146","23","114","9","4"
"Ravenswood","3,925","7","0","0","0","7","44","16","24","4","0"
"Ripley","3,239","4","0","0","2","2","80","8","70","2","0"
"Ronceverte","1,598","4","0","0","0","4","16","3","13","0","0"
"Salem","2,046","6","0","0","0","6","27","8","19","0","1"
"Shinnston","2,238","6","0","0","1","5","19","2","16","1","0"
"South Charleston","12,326","69","4","2","13","50","490","78","387","25","6"
"Spencer","2,136","7","0","0","0","7","65","10","52","3","0"
"St. Albans","10,938","33","1","0","6","26","452","92","334","26","3"
"Summersville","3,305","7","0","0","0","7","227","11","210","6","0"
"Wardensville","259","0","0","0","0","0","0","0","0","0","0"
"Weirton","18,577","23","0","2","6","15","239","25","207","7","0"
"Wellsburg","2,561","6","0","0","2","4","44","14","27","3","1"
"West Logan","386","0","0","0","0","0","0","0","0","0","0"
"Weston","4,261","0","0","0","0","0","18","0","16","2","0"
"West Union","774","0","0","0","0","0","4","1","3","0","0"
"Wheeling","28,660","143","1","22","36","84","1,006","200","752","54","4"
"White Sulphur Springs","2,275","3","0","0","0","3","0","0","0","0","0"
"Williamson","3,018","10","0","1","1","8","49","22","23","4","0"
