"City","Population","Violent
crime","Murder and 
nonnegligent
manslaughter","Forcible
rape","Robbery","Aggravated
assault","Property
crime","Burglary","Larceny-
theft","Motor
vehicle
theft","Arson"
"Afton","1,866","3","0","0","0","3","30","7","23","0","0"
"Alpine","845","2","0","0","0","2","12","5","7","0","0"
"Basin","1,243","1","0","0","0","1","13","2","11","0","0"
"Buffalo","4,945","12","0","0","0","12","96","20","66","10","0"
"Casper","54,550","107","0","20","12","75","2,504","411","1,970","123","11"
"Cheyenne","57,317","125","4","28","28","65","2,365","226","2,028","111","11"
"Cody","9,358","23","0","6","0","17","240","32","201","7","3"
"Diamondville","657","0","0","0","0","0","7","0","7","0","0"
"Douglas","6,049","11","0","0","0","11","175","18","151","6","2"
"Evanston","11,823","11","0","3","0","8","329","29","281","19","0"
"Evansville","2,408","17","0","0","2","15","67","15","48","4","0"
"Gillette","27,709","33","0","6","3","24","871","120","710","41","12"
"Glenrock","2,443","9","0","4","0","5","44","8","34","2","0"
"Green River","12,194","82","0","1","5","76","308","49","253","6","0"
"Greybull","1,732","11","0","1","0","10","14","7","6","1","0"
"Guernsey","1,065","0","0","0","0","0","7","3","4","0","0"
"Hanna","866","1","0","0","0","1","1","0","1","0","0"
"Jackson","9,937","35","0","6","3","26","310","40","258","12","5"
"Kemmerer","2,449","6","0","0","0","6","35","5","30","0","0"
"Lander","7,304","7","0","2","0","5","228","22","204","2","0"
"Laramie","27,730","26","0","6","1","19","670","109","522","39","1"
"Lovell","2,268","4","0","1","0","3","67","11","54","2","0"
"Lusk","1,485","7","0","0","0","7","11","4","7","0","0"
"Mills","3,177","23","0","2","2","19","123","32","78","13","0"
"Moorcroft","900","3","0","1","0","2","20","5","13","2","0"
"Newcastle","3,406","5","0","1","0","4","142","17","117","8","0"
"Pine Bluffs","1,155","7","0","0","0","7","15","5","8","2","0"
"Powell","5,540","23","0","8","2","13","195","23","168","4","1"
"Rawlins","8,716","23","0","1","2","20","310","36","254","20","1"
"Riverton","10,123","31","1","2","2","26","540","45","474","21","1"
"Rock Springs","20,391","96","0","9","6","81","758","78","644","36","1"
"Saratoga","1,763","3","0","0","0","3","21","9","9","3","0"
"Sheridan","17,350","43","1","3","1","38","488","107","356","25","2"
"Sundance","1,264","0","0","0","0","0","14","5","9","0","0"
"Thermopolis","2,951","10","0","0","0","10","38","6","30","2","0"
"Torrington","5,486","11","0","2","0","9","138","29","102","7","0"
"Wheatland","3,273","4","0","0","0","4","114","26","85","3","0"
"Worland","4,926","2","0","0","0","2","28","0","27","1","0"
