"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Anchorage","290,334","2,432","13","264","454","1,701","10,214","1,223","8,178","813","86"
"Bethel","6,667","63","2","14","6","41","149","44","73","32","7"
"Bristol Bay Borough","856","1","0","0","0","1","52","9","23","20","0"
"Cordova","2,231","5","0","0","0","5","6","0","5","1","0"
"Craig","1,184","11","0","0","0","11","14","3","10","1","0"
"Dillingham","2,496","55","0","31","0","24","69","5","56","8","0"
"Fairbanks1","35,989","284","0","70","33","181","1,367","149","1,117","101","4"
"Haines","2,412","7","0","0","0","7","21","3","17","1","0"
"Homer","6,158","40","0","1","5","34","265","40","219","6","1"
"Houston1","2,412","18","0","2","0","16","53","18","27","8","0"
"Juneau1","30,966","133","1","20","23","89","1,523","181","1,279","63","6"
"Kenai","8,094","30","0","7","3","20","279","37","226","16","0"
"Ketchikan","7,479","29","0","8","3","18","405","31","350","24","1"
"Kodiak1","6,387","80","0","8","5","67","209","22","168","19","6"
"Kotzebue","3,173","27","0","10","4","13","103","22","52","29","3"
"Nome","3,688","17","0","8","0","9","79","14","55","10","2"
"North Pole","2,318","10","0","2","1","7","97","12","78","7","1"
"North Slope Borough","6,728","69","0","10","0","59","109","36","51","22","1"
"Palmer","8,964","34","0","3","3","28","207","25","170","12","4"
"Petersburg","2,797","12","0","0","0","12","74","11","62","1","1"
"Seward","3,224","3","0","0","0","3","102","10","91","1","0"
"Sitka","8,783","33","0","3","2","28","222","19","182","21","1"
"Skagway","930","2","0","0","0","2","27","5","21","1","0"
"Soldotna","4,621","20","0","0","2","18","249","26","217","6","0"
"St. Paul","431","6","0","0","0","6","1","0","1","0","0"
"Unalaska","3,539","9","0","2","0","7","87","16","57","14","0"
"Valdez","3,786","20","0","2","0","18","119","14","99","6","2"
"Wasilla2","11,471","","0","0","8","","326","32","263","31","3"
"Wrangell","2,130","0","0","0","0","0","43","7","36","0","0"
