"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Alma","5,318","9","0","1","3","5","273","85","183","5","0"
"Arkadelphia","11,213","50","1","10","5","34","387","168","206","13","2"
"Atkins","2,992","0","0","0","0","0","51","18","28","5","0"
"Bald Knob","3,456","9","0","2","1","6","131","43","82","6","1"
"Barling","4,587","20","0","0","0","20","51","7","37","7","0"
"Beebe","7,173","56","0","6","2","48","302","114","177","11","1"
"Bella Vista","26,745","18","0","2","0","16","155","74","77","4","0"
"Benton","30,692","145","1","8","32","104","1,359","260","1,036","63","3"
"Bentonville","39,161","63","0","15","4","44","705","142","537","26","4"
"Berryville","5,391","12","0","0","2","10","222","61","157","4","1"
"Blytheville","15,787","175","10","14","35","116","1,192","454","664","74","8"
"Booneville","4,024","21","0","2","0","19","136","51","82","3","2"
"Bradford","973","0","0","0","0","0","22","9","11","2","2"
"Bryant","16,740","9","0","4","5","0","742","191","520","31","1"
"Bull Shoals","2,138","1","0","1","0","0","31","10","21","0","0"
"Cabot","24,900","72","0","12","8","52","1,048","493","535","20","1"
"Camden","11,163","83","2","4","23","54","580","170","393","17","5"
"Carlisle","2,470","4","0","0","0","4","37","15","21","1","0"
"Cave City","2,028","2","0","0","0","2","29","4","25","0","1"
"Cave Springs","1,892","0","0","0","0","0","20","9","11","0","0"
"Centerton","9,788","18","0","4","0","14","100","53","46","1","0"
"Charleston","2,999","1","0","0","0","1","11","3","7","1","0"
"Cherokee Village","4,710","4","0","1","0","3","121","29","89","3","3"
"Clarksville","8,843","28","0","5","1","22","404","66","328","10","0"
"Clinton","2,609","2","0","0","0","2","57","7","45","5","0"
"Conway","61,425","257","4","21","49","183","2,603","444","2,068","91","9"
"Crossett","5,349","26","1","0","4","21","265","98","161","6","1"
"Danville","2,529","5","0","2","0","3","7","4","3","0","0"
"Dardanelle","4,548","26","0","2","0","24","225","108","108","9","3"
"Decatur","2,143","4","0","1","0","3","34","23","11","0","0"
"De Queen","6,251","29","0","6","4","19","179","63","105","11","1"
"De Witt","3,175","13","0","1","4","8","146","57","84","5","1"
"Dumas","4,496","18","0","2","0","16","115","25","84","6","1"
"Earle","2,732","14","0","1","6","7","137","59","78","0","1"
"El Dorado","19,441","157","1","3","39","114","1,123","526","559","38","2"
"Eureka Springs","2,402","7","3","1","0","3","128","41","85","2","0"
"Fairfield Bay","2,460","2","0","0","0","2","31","17","13","1","0"
"Farmington","4,795","12","0","2","1","9","126","35","89","2","1"
"Fayetteville","79,237","328","1","55","37","235","2,746","465","2,168","113","9"
"Flippin","1,357","2","0","0","0","2","33","13","20","0","0"
"Fordyce","4,087","25","0","1","2","22","111","40","63","8","0"
"Forrest City","13,052","101","2","5","31","63","1,188","236","921","31","4"
"Fort Smith","86,096","667","6","74","124","463","4,815","1,073","3,530","212","14"
"Gassville","2,210","2","0","0","0","2","29","8","21","0","0"
"Gentry","3,200","6","0","3","1","2","19","6","13","0","1"
"Glenwood","1,986","10","0","2","1","7","36","21","15","0","0"
"Gosnell","3,541","21","0","1","1","19","91","45","44","2","0"
"Gravette","2,756","5","0","1","0","4","29","17","12","0","0"
"Greenbrier","4,746","0","0","0","0","0","1","0","1","0","0"
"Green Forest","3,106","8","0","2","0","6","90","61","26","3","0"
"Greenland","1,278","3","0","0","0","3","17","7","10","0","0"
"Greenwood","8,937","20","0","2","1","17","115","48","64","3","1"
"Gurdon","2,251","14","0","1","2","11","60","24","34","2","0"
"Hamburg","2,644","28","0","0","3","25","40","15","25","0","1"
"Hampton","1,392","3","0","1","1","1","20","8","11","1","0"
"Hardy","799","1","0","0","0","1","65","15","46","4","0"
"Harrison","13,285","86","0","12","3","71","576","180","378","18","1"
"Hazen","1,441","3","0","0","1","2","24","9","15","0","0"
"Heber Springs","7,392","15","0","4","0","11","334","104","224","6","0"
"Helena-West Helena","11,502","93","0","6","20","67","739","422","294","23","7"
"Highland","1,099","0","0","0","0","0","9","2","7","0","0"
"Hope","10,368","106","0","4","8","94","649","194","427","28","2"
"Horseshoe Bend","2,226","3","0","3","0","0","18","7","11","0","0"
"Hot Springs","40,081","402","7","22","72","301","3,124","793","2,161","170","4"
"Jacksonville","31,833","190","1","27","30","132","1,333","364","903","66","5"
"Jonesboro","67,382","295","2","22","56","215","2,901","1,213","1,619","69","9"
"Judsonia","2,207","3","0","0","0","3","38","18","18","2","0"
"Kensett","1,874","3","0","0","0","3","25","7","13","5","1"
"Lakeview","849","0","0","0","0","0","9","2","7","0","0"
"Lake Village","2,301","62","0","1","1","60","74","31","42","1","0"
"Lepanto","2,001","1","0","0","0","1","30","13","17","0","0"
"Little Flock","3,328","4","0","4","0","0","6","0","5","1","0"
"Little Rock","192,922","2,938","25","149","859","1,905","14,796","4,241","9,440","1,115","100"
"Lonoke","4,721","35","0","2","2","31","188","42","145","1","1"
"Lowell","7,660","10","0","3","0","7","135","49","77","9","0"
"Luxora","1,210","4","0","0","1","3","9","5","4","0","0"
"Magnolia","10,882","37","0","5","7","25","427","229","182","16","2"
"Marianna","4,079","32","0","0","3","29","174","70","104","0","4"
"Marion","12,769","60","0","3","13","44","409","155","235","19","1"
"Marked Tree","2,601","1","0","0","1","0","68","4","64","0","1"
"Marmaduke","1,177","1","0","0","0","1","35","4","31","0","0"
"Maumelle","17,331","19","0","1","1","17","307","190","106","11","0"
"McCrory","1,509","0","0","0","0","0","18","14","4","0","0"
"McGehee","3,821","95","1","4","1","89","175","70","94","11","1"
"Mena","5,605","13","0","2","1","10","288","105","178","5","1"
"Mineral Springs","1,287","11","0","1","1","9","22","15","7","0","0"
"Monette","1,255","0","0","0","0","0","16","7","9","0","0"
"Monticello","9,207","54","0","7","8","39","360","125","220","15","0"
"Morrilton","6,571","24","0","4","2","18","444","62","369","13","1"
"Mountain Home","12,642","3","0","0","0","3","406","31","368","7","1"
"Mountain View","3,121","11","0","1","0","10","57","15","41","1","0"
"Murfreesboro","1,625","2","0","1","0","1","15","4","11","0","0"
"Nashville","4,855","12","0","5","0","7","250","66","182","2","0"
"Newport","7,303","72","1","9","5","57","458","124","320","14","0"
"North Little Rock","60,129","562","6","14","184","358","5,088","1,136","3,618","334","21"
"Ola","1,272","2","0","0","0","2","7","6","1","0","0"
"Osceola","7,807","144","0","11","10","123","383","110","255","18","5"
"Ozark","3,532","20","0","3","0","17","119","25","90","4","1"
"Paragould","25,350","86","0","15","8","63","1,754","526","1,164","64","5"
"Paris","3,553","17","0","1","2","14","115","51","60","4","2"
"Pea Ridge","5,098","8","0","2","0","6","35","17","17","1","0"
"Piggott","3,372","11","0","0","3","8","93","65","27","1","0"
"Pine Bluff","49,971","687","7","40","165","475","3,748","1,371","2,074","303","38"
"Plainview","799","1","0","0","0","1","15","6","9","0","0"
"Plummerville","867","5","0","2","1","2","7","0","6","1","1"
"Pocahontas","6,631","2","0","0","0","2","80","7","68","5","0"
"Pottsville","2,941","12","0","1","0","11","39","22","16","1","0"
"Prairie Grove","3,986","11","0","0","1","10","112","42","69","1","0"
"Prescott","4,406","18","0","1","3","14","139","38","96","5","1"
"Quitman","742","1","0","0","0","1","13","2","11","0","0"
"Redfield","1,191","1","0","0","0","1","19","9","10","0","0"
"Rogers1","61,417","219","2","50","11","156","","","1,629","44","7"
"Rose Bud","460","1","0","0","0","1","10","1","7","2","0"
"Russellville","27,992","97","0","13","15","69","1,242","273","887","82","11"
"Salem","1,591","1","0","0","0","1","28","6","22","0","0"
"Searcy","23,791","74","0","4","16","54","1,216","413","771","32","5"
"Sheridan","4,670","19","1","4","0","14","125","30","92","3","2"
"Sherwood","29,370","130","1","6","6","117","965","205","708","52","6"
"Siloam Springs","15,337","31","0","5","0","26","323","100","205","18","4"
"Springdale","71,047","325","0","68","18","239","2,129","373","1,631","125","7"
"Stamps","1,835","6","0","0","1","5","48","24","24","0","0"
"Stuttgart","8,750","47","3","2","8","34","480","166","298","16","3"
"Texarkana","30,488","298","0","19","51","228","1,935","425","1,389","121","3"
"Trumann","6,766","31","0","3","3","25","452","121","325","6","1"
"Van Buren","23,072","74","0","9","8","57","654","167","479","8","1"
"Vilonia","3,753","10","0","2","1","7","63","18","43","2","0"
"Waldron","3,523","9","0","1","0","8","172","84","83","5","1"
"Ward","4,311","20","0","4","0","16","128","38","88","2","0"
"Warren","6,015","26","0","5","2","19","135","90","36","9","0"
"West Fork","2,365","7","0","1","0","6","40","21","17","2","0"
"West Memphis","27,196","685","6","26","124","529","2,271","1,049","1,075","147","17"
"White Hall","5,216","6","0","1","1","4","89","4","80","5","0"
"Wynne","8,317","29","0","5","9","15","297","125","167","5","1"
