"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Alachua","9,757","42","0","3","12","27","278","76","193","9","0"
"Altamonte Springs","39,774","165","0","11","45","109","1,364","283","1,005","76","5"
"Altha","514","1","0","0","0","1","11","2","9","0","0"
"Apalachicola","2,192","0","0","0","0","0","12","2","9","1","0"
"Apopka","40,095","244","2","9","106","127","1,411","406","929","76","4"
"Arcadia","6,926","96","0","7","21","68","247","86","147","14","3"
"Astatula","1,908","2","0","0","0","2","8","4","4","0","0"
"Atlantic Beach","13,139","72","0","5","18","49","416","98","298","20","0"
"Atlantis","2,088","11","0","0","3","8","8","7","0","1","0"
"Auburndale","14,204","64","1","2","18","43","797","199","575","23","0"
"Aventura","30,874","55","1","0","22","32","2,216","117","2,054","45","0"
"Avon Park","8,850","56","0","2","15","39","337","85","243","9","3"
"Bal Harbour Village","3,230","1","0","0","0","1","84","4","76","4","0"
"Bartow","17,072","112","3","6","34","69","1,050","247","767","36","1"
"Bay Harbor Islands","5,126","1","0","1","0","0","64","28","30","6","0"
"Belleair","4,052","1","0","0","0","1","51","10","39","2","0"
"Belleair Beach","1,572","4","0","1","0","3","29","6","22","1","0"
"Belleair Bluffs","2,141","3","0","0","2","1","43","10","32","1","0"
"Belle Glade","16,992","353","4","11","71","267","1,229","400","769","60","7"
"Belle Isle","6,603","12","0","0","2","10","149","60","72","17","0"
"Belleview","4,538","21","0","7","6","8","235","85","145","5","0"
"Biscayne Park","3,054","4","0","0","0","4","104","63","36","5","0"
"Blountstown","2,475","6","0","0","0","6","32","3","27","2","0"
"Boca Raton","86,707","176","1","13","49","113","2,507","459","1,940","108","1"
"Bonifay","2,696","4","0","1","0","3","29","6","22","1","1"
"Bowling Green","2,986","8","1","1","0","6","71","28","42","1","0"
"Boynton Beach","70,574","585","4","6","143","432","3,195","727","2,361","107","5"
"Bradenton","54,337","383","0","28","114","241","2,064","530","1,435","99","14"
"Bradenton Beach","1,585","2","0","0","1","1","33","6","26","1","0"
"Brooksville","8,333","69","0","3","11","55","317","61","243","13","0"
"Bunnell","3,096","48","0","1","6","41","157","27","97","33","0"
"Bushnell","2,279","9","0","0","3","6","93","20","71","2","0"
"Cape Coral","160,432","276","3","23","64","186","3,787","1,083","2,595","109","9"
"Carrabelle","1,222","5","0","0","1","4","25","11","9","5","0"
"Casselberry","24,802","213","0","16","45","152","869","191","645","33","1"
"Cedar Key","970","0","0","0","0","0","21","5","15","1","0"
"Center Hill","1,117","4","0","1","0","3","6","3","3","0","0"
"Chattahoochee","3,661","39","0","0","3","36","44","14","28","2","0"
"Chiefland","2,193","4","0","0","0","4","276","115","120","41","0"
"Chipley","3,780","26","0","1","0","25","84","25","53","6","0"
"Clearwater","105,647","775","5","35","245","490","4,338","777","3,360","201","12"
"Clermont","13,802","93","1","12","27","53","932","194","697","41","4"
"Clewiston","7,168","48","0","1","11","36","239","61","164","14","1"
"Cocoa","16,469","442","2","20","75","345","1,431","474","892","65","4"
"Cocoa Beach","11,790","95","0","8","14","73","890","81","786","23","2"
"Coconut Creek","51,184","89","0","7","29","53","1,433","283","1,038","112","0"
"Cooper City","29,679","50","0","5","10","35","624","156","452","16","7"
"Coral Gables","44,559","93","2","3","35","53","1,953","376","1,512","65","1"
"Coral Springs","127,113","261","1","8","78","174","2,884","517","2,192","175","4"
"Crescent City","1,779","15","0","0","6","9","108","47","56","5","0"
"Crestview","20,424","87","1","8","16","62","644","155","460","29","3"
"Cross City","1,776","3","0","0","3","0","30","5","24","1","0"
"Crystal River","3,497","33","0","1","5","27","227","32","191","4","0"
"Cutler Bay","30,221","207","0","5","64","138","1,862","297","1,464","101","0"
"Dade City","7,268","51","0","3","8","40","300","109","183","8","2"
"Dania","28,533","227","0","14","76","137","1,477","366","984","127","3"
"Davenport","3,002","6","0","3","3","0","50","23","18","9","0"
"Davie","92,661","367","3","21","92","251","3,643","799","2,586","258","17"
"Daytona Beach","63,736","811","3","31","229","548","4,635","1,083","3,089","463","16"
"Daytona Beach Shores","5,137","31","0","4","2","25","228","100","110","18","0"
"Deerfield Beach","75,195","429","1","24","156","248","2,509","581","1,752","176","5"
"De Funiak Springs","5,122","72","0","5","1","66","193","69","118","6","1"
"Deland","27,926","153","0","4","36","113","1,366","359","948","59","9"
"Delray Beach","65,087","590","3","22","198","367","3,340","724","2,423","193","7"
"Doral","32,645","88","0","3","24","61","2,737","319","2,257","161","0"
"Dunedin","35,854","108","0","15","19","74","1,160","208","915","37","6"
"Dunnellon","1,941","6","0","0","1","5","30","20","10","0","0"
"Eatonville","2,359","30","1","1","2","26","122","39","72","11","0"
"Edgewater","21,456","50","0","3","10","37","633","199","399","35","4"
"Edgewood","2,116","3","0","0","2","1","90","29","56","5","0"
"El Portal","2,393","7","0","0","3","4","84","21","41","22","0"
"Eustis","19,455","41","1","5","12","23","642","138","476","28","2"
"Fellsmere","5,194","13","0","0","5","8","94","26","52","16","0"
"Fernandina Beach","11,721","43","0","2","15","26","351","73","274","4","1"
"Flagler Beach","5,467","8","0","0","1","7","141","40","94","7","0"
"Florida City","10,883","305","0","0","95","210","1,213","244","917","52","0"
"Fort Lauderdale","186,170","1,356","7","73","627","649","9,914","2,841","6,437","636","44"
"Fort Myers","66,053","698","7","29","152","510","2,699","628","1,877","194","7"
"Fort Pierce","42,797","482","9","27","142","304","2,396","689","1,615","92","15"
"Fort Walton Beach","18,432","98","1","11","17","69","929","186","681","62","1"
"Fruitland Park","4,914","18","0","1","1","16","113","28","76","9","0"
"Gainesville","116,880","906","4","86","199","617","5,404","1,213","3,859","332","22"
"Golden Beach","909","1","0","0","0","1","29","6","20","3","0"
"Graceville","2,411","2","0","0","1","1","80","23","54","3","0"
"Greenacres City","33,244","179","2","15","60","102","1,057","342","651","64","2"
"Green Cove Springs","6,731","70","0","9","11","50","239","48","174","17","0"
"Gretna","1,749","20","0","0","1","19","29","17","11","1","0"
"Groveland","8,353","21","0","1","0","20","163","35","111","17","0"
"Gulf Breeze","6,704","5","0","1","1","3","82","13","66","3","0"
"Gulfport","12,212","41","0","2","15","24","466","103","330","33","6"
"Gulf Stream","744","1","0","0","0","1","12","4","8","0","0"
"Haines City","19,411","127","0","5","40","82","832","239","560","33","2"
"Hallandale","39,359","346","0","7","108","231","1,786","478","1,183","125","2"
"Hampton","460","2","0","0","0","2","5","3","1","1","0"
"Havana","1,668","6","0","0","2","4","71","27","43","1","0"
"Hialeah","217,995","951","12","40","256","643","7,858","1,098","5,693","1,067","14"
"Hialeah Gardens","20,554","52","0","3","17","32","989","119","792","78","4"
"Highland Beach","4,016","3","0","1","0","2","39","7","31","1","0"
"High Springs","4,775","23","0","2","2","19","133","37","91","5","2"
"Hillsboro Beach","2,279","3","0","0","2","1","38","6","31","1","0"
"Holly Hill","13,204","123","0","6","34","83","670","163","416","91","1"
"Hollywood","142,793","596","7","40","237","312","7,265","1,833","4,797","635","8"
"Holmes Beach","5,130","5","0","0","2","3","149","53","95","1","0"
"Homestead","63,761","857","3","25","298","531","3,012","896","1,983","133","11"
"Howey-in-the-Hills","1,270","0","0","0","0","0","13","5","7","1","0"
"Hypoluxo","2,606","2","0","0","1","1","49","8","41","0","0"
"Indialantic","2,905","4","0","1","0","3","88","21","67","0","0"
"Indian Creek Village","40","0","0","0","0","0","0","0","0","0","0"
"Indian Harbour Beach","8,253","9","0","0","3","6","167","34","125","8","2"
"Indian River Shores","3,449","0","0","0","0","0","19","7","12","0","0"
"Indian Rocks Beach","5,108","22","0","6","1","15","107","22","81","4","0"
"Indian Shores","4,213","2","0","1","0","1","64","13","49","2","0"
"Inglis","1,630","8","0","1","0","7","72","23","48","1","0"
"Interlachen","1,497","12","0","0","3","9","89","27","56","6","0"
"Jacksonville","822,414","5,469","80","316","1,693","3,380","37,424","9,588","25,863","1,973","99"
"Jacksonville Beach","22,140","201","0","9","39","153","1,127","128","949","50","3"
"Jasper","2,063","15","0","0","3","12","61","31","30","0","0"
"Jennings","861","8","0","0","2","6","25","10","13","2","0"
"Juno Beach","3,369","3","0","0","1","2","89","13","70","6","0"
"Jupiter","51,785","122","2","10","37","73","1,068","203","818","47","1"
"Jupiter Inlet Colony","392","0","0","0","0","0","4","1","3","0","0"
"Jupiter Island","684","0","0","0","0","0","5","3","2","0","0"
"Kenneth City","4,257","33","0","2","5","26","203","31","161","11","0"
"Key Biscayne","10,097","2","0","0","0","2","191","8","170","13","0"
"Key Colony Beach","760","1","0","0","0","1","23","5","17","1","0"
"Key West","22,167","186","1","21","63","101","1,709","363","1,224","122","2"
"Kissimmee","64,122","599","1","19","122","457","3,218","856","2,192","170","17"
"Lady Lake","15,487","50","0","7","2","41","341","61","250","30","1"
"Lake Alfred","4,652","14","0","0","2","12","99","26","69","4","0"
"Lake City","12,850","188","3","6","27","152","777","175","581","21","2"
"Lake Clarke Shores","3,341","9","0","0","1","8","76","19","50","7","0"
"Lake Hamilton","1,494","5","0","0","3","2","53","14","32","7","1"
"Lake Helen","2,767","6","0","1","0","5","64","18","43","3","0"
"Lakeland","94,569","459","12","20","140","287","5,099","1,104","3,754","241","6"
"Lake Mary","15,641","24","0","1","1","22","326","67","251","8","0"
"Lake Park","8,727","73","0","1","25","47","624","116","478","30","0"
"Lake Placid","1,996","10","0","0","4","6","97","28","67","2","0"
"Lake Wales","14,593","52","0","0","15","37","861","161","684","16","0"
"Lake Worth","35,977","449","3","12","202","232","1,677","507","1,051","119","7"
"Lantana","10,229","75","0","12","31","32","465","102","348","15","1"
"Largo","73,019","506","3","39","131","333","3,347","527","2,668","152","14"
"Lauderdale-by-the-Sea","5,874","16","0","1","6","9","177","48","120","9","0"
"Lauderdale Lakes","32,139","329","5","10","90","224","1,602","532","975","95","6"
"Lauderhill","67,442","538","2","33","205","298","2,582","1,021","1,368","193","10"
"Lawtey","698","0","0","0","0","0","8","5","3","0","0"
"Leesburg","22,949","198","1","14","58","125","1,095","207","856","32","2"
"Lighthouse Point","11,232","14","0","0","5","9","339","54","273","12","1"
"Live Oak","7,232","73","0","3","18","52","344","150","182","12","0"
"Longboat Key","7,223","1","0","0","0","1","119","24","94","1","0"
"Longwood","13,443","75","1","2","15","57","544","170","364","10","0"
"Lynn Haven","15,678","58","0","1","9","48","592","67","512","13","1"
"Madeira Beach","4,292","34","0","4","6","24","268","56","208","4","4"
"Madison","2,992","40","0","2","4","34","218","72","142","4","0"
"Maitland","15,489","35","0","1","12","22","456","136","293","27","0"
"Manalapan","345","1","0","1","0","0","16","3","13","0","0"
"Mangonia Park","1,240","65","0","4","22","39","241","72","145","24","1"
"Marco Island","15,820","18","0","3","1","14","161","21","135","5","0"
"Margate","54,478","151","1","3","44","103","1,141","337","725","79","4"
"Marianna","6,170","78","2","12","14","50","288","57","215","16","1"
"Mascotte","6,042","18","0","2","0","16","80","23","52","5","0"
"Medley","1,077","16","1","0","3","12","339","30","263","46","0"
"Melbourne","77,861","685","7","28","144","506","3,672","771","2,769","132","13"
