"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson2"
"Addison","36,581","67","0","16","17","34","827","109","662","56","12"
"Albany","917","0","0","0","0","0","24","14","9","1","0"
"Aledo","3,466","11","0","0","0","11","91","23","63","5","0"
"Algonquin","30,848","79","0","2","2","75","529","50","476","3","2"
"Alton","28,841","174","4","16","27","127","1,265","292","913","60","12"
"Antioch","14,266","5","0","1","0","4","296","26","264","6","1"
"Arcola","2,685","3","0","0","0","3","11","4","7","0","0"
"Arlington Heights","72,061","41","0","5","12","24","1,154","153","978","23","4"
"Arthur","2,084","0","0","0","0","0","43","10","31","2","0"
"Ashland","1,299","0","0","0","0","0","6","0","5","1","1"
"Ashton","1,143","0","0","0","0","0","18","5","13","0","0"
"Atwood","1,194","1","0","0","0","1","10","4","6","0","0"
"Aurora","174,255","634","4","64","113","453","3,767","820","2,809","138","31"
"Aviston","1,754","0","0","0","0","0","3","0","3","0","0"
"Bannockburn","1,919","0","0","0","0","0","28","6","22","0","0"
"Barrington","10,240","0","0","0","0","0","127","15","107","5","0"
"Barrington Hills","4,373","2","0","0","1","1","46","4","42","0","5"
"Bartlett","42,962","21","0","4","3","14","373","34","328","11","10"
"Bartonville","6,142","27","0","0","2","25","216","36","173","7","1"
"Batavia","27,759","40","0","3","3","34","509","56","447","6","8"
"Beckemeyer","1,049","0","0","0","0","0","8","6","2","0","0"
"Beecher","3,159","2","0","1","0","1","41","5","36","0","1"
"Belgium","453","0","0","0","0","0","0","0","0","0","0"
"Bellwood","18,500","73","2","0","22","49","369","87","228","54","3"
"Belvidere","26,712","67","0","21","7","39","515","88","408","19","6"
"Benton","6,836","46","0","0","1","45","330","77","244","9","0"
"Berkeley","4,800","16","0","4","3","9","104","15","88","1","0"
"Berwyn","48,737","205","1","15","74","115","1,257","397","753","107","11"
"Bethalto","9,896","10","0","3","0","7","28","7","20","1","0"
"Blandinsville","679","0","0","0","0","0","5","3","2","0","0"
"Bloomingdale","21,638","11","1","3","3","4","849","42","802","5","1"
"Bloomington","74,304","385","1","43","75","266","1,960","493","1,414","53","11"
"Blue Mound","996","4","0","0","0","4","17","10","7","0","0"
"Bourbonnais","19,340","24","0","8","0","16","333","49","276","8","0"
"Bradley","15,131","47","1","7","6","33","798","66","724","8","2"
"Braidwood","6,886","8","0","0","0","8","121","17","101","3","0"
"Bridgeview","14,816","36","0","6","7","23","459","58","368","33","1"
"Broadview","7,432","36","0","0","26","10","362","79","261","22","1"
"Brooklyn","611","34","0","4","10","20","60","21","21","18","10"
"Buda","553","0","0","0","0","0","1","0","1","0","0"
"Buffalo Grove","42,361","8","0","3","4","1","392","46","341","5","2"
"Bull Valley","1,129","0","0","0","0","0","8","3","5","0","0"
"Bunker Hill","1,706","15","0","0","0","15","27","10","17","0","0"
"Burbank","27,135","67","0","4","17","46","611","87","488","36","0"
"Burr Ridge","11,359","1","0","0","0","1","156","26","129","1","0"
"Byron","3,903","5","1","2","0","2","70","3","64","3","0"
"Cahokia","14,826","58","1","3","27","27","864","253","611","0","4"
"Cairo","2,909","93","0","8","5","80","212","84","118","10","2"
"Calumet City","36,004","247","4","31","160","52","2,694","688","1,688","318","4"
"Cambridge","2,054","0","0","0","0","0","10","3","7","0","0"
"Campton Hills","9,739","2","0","0","0","2","63","12","50","1","0"
"Canton","14,269","47","1","16","2","28","368","71","291","6","4"
"Carbondale","25,959","244","1","33","47","163","1,155","302","821","32","14"
"Carlinville","5,837","14","0","0","3","11","173","23","148","2","1"
"Carlyle","3,292","8","0","1","1","6","90","1","82","7","0"
"Carol Stream","39,577","44","0","7","9","28","577","75","476","26","13"
"Carpentersville","38,387","43","1","1","13","28","579","113","463","3","4"
"Carrier Mills","1,796","14","0","0","1","13","30","11","19","0","0"
"Carrollton","2,395","7","0","0","0","7","37","4","32","1","0"
"Carthage","2,404","4","0","0","0","4","53","9","44","0","0"
"Caseyville","4,159","17","0","4","11","2","102","24","73","5","2"
"Catlin","2,063","1","0","0","1","0","11","1","10","0","0"
"Central City","1,285","0","0","0","0","0","33","6","23","4","0"
"Centralia","13,237","101","0","13","13","75","805","212","569","24","1"
"Cerro Gordo","1,321","9","0","0","0","9","15","3","12","0","0"
"Charleston","21,538","60","0","15","2","43","329","116","204","9","2"
"Chatham","10,950","14","0","2","0","12","134","25","104","5","1"
"Chester","7,677","29","0","7","1","21","103","31","62","10","0"
"Chicago3","2,833,649","","432","","14,213","13,757","120,045","26,203","74,764","19,078",""
"Clarendon Hills","8,581","0","0","0","0","0","76","15","60","1","0"
"Clayton","814","0","0","0","0","0","7","1","6","0","0"
"Coal City","5,817","6","0","1","0","5","158","19","139","0","0"
"Coal Valley","4,026","1","0","0","0","1","50","5","45","0","0"
"Cobden","1,071","1","0","0","0","1","7","0","7","0","0"
"Colfax","1,003","0","0","0","0","0","14","5","9","0","0"
"Collinsville","25,851","55","1","4","12","38","729","98","606","25","2"
"Colona","5,150","23","0","11","1","11","82","23","58","1","0"
"Columbia","9,520","6","0","1","0","5","136","20","111","5","2"
"Cortland","4,501","5","0","0","0","5","54","3","51","0","2"
"Country Club Hills","16,472","64","0","10","23","31","572","150","406","16","6"
"Countryside","5,698","6","0","2","3","1","211","9","193","9","0"
"Crestwood","10,845","15","0","1","7","7","478","55","370","53","0"
"Crete","9,154","10","0","0","1","9","184","39","137","8","4"
"Crystal Lake","42,137","54","1","3","3","47","827","97","717","13","9"
"Danville","31,942","348","1","35","86","226","2,178","826","1,295","57","9"
"Darien","22,097","12","3","0","6","3","277","40","221","16","2"
"Decatur","74,857","468","4","20","136","308","3,121","1,514","1,481","126","27"
"Deerfield","19,543","8","0","2","1","5","172","14","158","0","0"
"Deer Park","3,339","0","0","0","0","0","47","7","39","1","0"
"De Kalb","45,959","162","2","28","25","107","1,246","205","1,021","20","15"
"Delavan","1,738","4","0","0","0","4","37","10","25","2","0"
"De Pue","1,707","2","0","1","0","1","36","4","32","0","0"
"De Soto","1,517","4","0","0","0","4","19","8","11","0","0"
"Des Plaines","56,188","57","0","10","7","40","729","141","551","37","4"
"Divernon","1,112","1","0","0","0","1","29","6","23","0","0"
"Dixon","14,696","31","0","16","2","13","503","60","437","6","0"
"Downers Grove","48,574","41","0","2","13","26","946","127","801","18","16"
"Du Quoin","6,222","10","0","0","2","8","117","19","94","4","1"
"Durand","1,070","3","0","0","0","3","18","1","17","0","0"
"Dwight","4,223","3","0","0","1","2","30","8","20","2","0"
"East Alton","6,450","15","1","3","2","9","328","48","264","16","0"
"East Dubuque","1,870","13","0","0","0","13","32","4","25","3","0"
"East Hazel Crest","1,503","1","0","0","1","0","78","31","43","4","0"
"East Moline","20,589","74","1","13","8","52","563","174","357","32","4"
"Easton","338","0","0","0","0","0","1","0","0","1","0"
"East Peoria","22,638","118","0","32","9","77","754","175","542","37","7"
"East St. Louis","28,188","1,642","21","74","276","1,271","2,516","1,091","781","644","58"
"Edinburg","1,085","1","0","0","0","1","9","4","4","1","0"
"Edwardsville","24,437","20","0","2","1","17","432","42","380","10","1"
"Effingham","12,442","25","1","9","2","13","360","53","300","7","3"
"Elgin","107,731","355","4","86","99","166","2,186","425","1,653","108","7"
"Elizabeth","633","0","0","0","0","0","13","9","3","1","0"
"Elk Grove Village","32,620","38","0","10","6","22","752","97","595","60","2"
"Elmhurst","46,160","22","0","5","7","10","655","85","545","25","0"
"Elmwood","1,862","6","0","0","0","6","25","8","17","0","0"
"Elmwood Park","23,536","29","1","1","10","17","376","85","263","28","1"
"El Paso","2,853","3","0","3","0","0","20","5","15","0","1"
"Energy","1,197","2","0","0","0","2","18","6","12","0","0"
"Eureka","5,421","10","0","2","0","8","94","17","76","1","0"
"Evanston","77,418","213","6","8","73","126","2,101","429","1,606","66","14"
"Evergreen Park","18,888","33","0","7","18","8","689","48","620","21","0"
"Fairfield","4,996","11","0","4","0","7","93","25","67","1","1"
"Fairmont City","2,216","1","0","1","0","0","65","17","44","4","0"
"Fairmount","617","0","0","0","0","0","1","0","1","0","0"
"Fairview","472","0","0","0","0","0","1","1","0","0","0"
"Fairview Heights","16,712","37","0","3","6","28","954","60","864","30","9"
"Fithian","538","0","0","0","0","0","0","0","0","0","0"
"Flora","4,595","4","0","0","0","4","137","6","126","5","0"
"Flossmoor","9,152","7","0","0","3","4","177","50","125","2","0"
"Forest Park","14,926","34","0","0","21","13","713","89","582","42","2"
"Forest View","700","1","0","0","0","1","33","2","18","13","0"
"Fox Lake","11,125","28","0","6","4","18","300","46","245","9","2"
"Fox River Grove","5,168","5","1","0","0","4","87","15","71","1","1"
"Frankfort","19,115","15","0","2","2","11","303","17","279","7","1"
"Franklin Grove","988","3","0","2","0","1","17","4","13","0","0"
"Freeport","24,277","49","0","5","15","29","880","238","633","9","6"
"Fulton","3,775","6","0","1","0","5","54","14","37","3","0"
"Geneseo","6,322","7","0","0","0","7","104","15","88","1","0"
"Geneva","24,648","9","0","0","0","9","313","25","285","3","1"
"Genoa","5,190","5","0","4","0","1","43","3","36","4","0"
"Georgetown","3,356","8","0","2","0","6","72","28","42","2","0"
"Germantown","1,126","0","0","0","0","0","1","0","1","0","0"
"Gibson City","3,221","7","0","0","0","7","61","21","39","1","0"
"Gifford","998","1","0","0","1","0","3","0","3","0","0"
"Gilberts","7,297","6","1","2","0","3","49","11","37","1","0"
"Gillespie","3,088","13","0","1","0","12","67","14","50","3","1"
"Gilman","1,649","1","0","0","0","1","5","2","3","0","0"
"Girard","2,120","8","0","0","0","8","18","8","9","1","0"
"Glasford","1,029","2","0","0","0","2","3","1","2","0","0"
"Glendale Heights","31,532","39","0","9","12","18","582","60","505","17","4"
"Glen Ellyn","26,950","10","0","2","1","7","389","58","325","6","5"
"Glenwood","8,310","19","0","2","9","8","204","84","77","43","0"
"Grafton","678","1","0","0","0","1","25","7","17","1","0"
"Grand Tower","564","0","0","0","0","0","9","3","6","0","3"
"Grandview","1,381","10","0","0","0","10","34","17","15","2","0"
"Granite City","30,254","158","0","31","22","105","777","281","490","6","13"
"Grantfork","345","0","0","0","0","0","2","1","0","1","0"
"Grant Park","1,717","5","0","0","2","3","12","2","10","0","0"
"Granville","1,320","0","0","0","0","0","3","1","2","0","0"
"Grayslake","21,790","24","0","4","2","18","469","61","399","9","4"
"Grayville","1,554","15","0","0","1","14","24","4","18","2","1"
"Greenville","7,233","2","0","0","0","2","126","22","103","1","0"
"Gurnee","30,415","28","0","5","5","18","1,365","79","1,263","23","0"
"Hampshire","6,006","2","0","0","1","1","64","18","45","1","0"
"Hanover","768","24","0","0","0","24","20","3","17","0","0"
"Hanover Park","36,166","49","0","10","15","24","536","81","436","19","0"
"Harvard","10,063","4","0","1","1","2","89","16","72","1","0"
"Harvey","27,461","401","12","20","239","130","1,766","755","753","258","9"
"Harwood Heights","7,896","1","0","0","0","1","157","34","115","8","0"
"Hawthorn Woods","8,205","1","0","0","0","1","34","0","29","5","0"
"Hazel Crest","13,771","40","2","7","24","7","529","167","315","47","2"
