"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Adel","4,462","12","0","2","0","10","76","28","44","4","1"
"Albia","3,541","4","0","1","0","3","69","13","55","1","0"
"Algona","5,229","10","1","1","0","8","36","7","26","3","2"
"Altoona","15,012","21","1","5","1","14","426","84","327","15","0"
"Ames","57,817","177","1","24","10","142","1,556","289","1,217","50","3"
"Anamosa","5,825","6","0","1","1","4","121","58","61","2","1"
"Ankeny","44,995","47","1","12","8","26","704","105","578","21","4"
"Atlantic","6,742","8","0","2","0","6","153","27","125","1","1"
"Audubon","2,115","0","0","0","0","0","36","17","19","0","0"
"Bettendorf","33,690","25","0","1","4","20","479","79","385","15","1"
"Boone","12,565","37","0","3","0","34","298","99","191","8","2"
"Burlington","25,650","164","1","16","19","128","1,002","255","711","36","5"
"Camanche","4,315","7","0","0","0","7","60","16","40","4","0"
"Carlisle","3,776","0","0","0","0","0","24","7","17","0","0"
"Carroll","9,953","6","0","1","0","5","145","22","111","12","0"
"Cedar Falls","39,350","71","1","10","3","57","684","113","552","19","3"
"Cedar Rapids","129,605","379","1","33","123","222","4,966","1,026","3,701","239","11"
"Centerville","5,367","24","0","3","0","21","190","43","133","14","7"
"Chariton","4,366","12","0","1","0","11","100","29","63","8","3"
"Charles City","7,373","9","0","0","0","9","134","22","110","2","0"
"Cherokee","4,654","47","0","3","1","43","88","34","50","4","1"
"Clarinda","5,316","19","0","3","0","16","168","31","127","10","0"
"Clarion","2,669","1","0","0","0","1","32","4","24","4","2"
"Clinton","26,591","148","1","13","20","114","1,166","246","875","45","13"
"Clive","15,894","33","0","3","3","27","282","47","219","16","7"
"Coralville","19,419","26","0","5","9","12","471","55","402","14","1"
"Council Bluffs","61,181","636","1","60","77","498","3,646","801","2,412","433","31"
"Cresco","3,714","3","0","0","1","2","101","41","56","4","3"
"Creston","7,627","18","0","0","1","17","193","41","138","14","1"
"Davenport","102,628","865","2","59","209","595","4,894","1,148","3,521","225","24"
"Decorah","7,800","5","0","1","0","4","60","7","47","6","0"
"Denison","7,241","7","0","1","0","6","77","15","59","3","0"
"Des Moines","202,564","1,072","6","105","224","737","9,795","2,248","6,808","739","43"
"De Witt","5,313","8","0","1","0","7","84","21","57","6","0"
"Dubuque","57,744","333","0","18","36","279","1,771","463","1,257","51","24"
"Dyersville","4,236","3","0","2","0","1","46","6","39","1","0"
"Eldora","2,706","12","0","3","0","9","36","13","19","4","0"
"Eldridge","5,078","3","0","0","1","2","67","8","55","4","1"
"Emmetsburg","3,581","3","0","0","0","3","11","0","10","1","0"
"Estherville","6,211","15","0","0","0","15","77","22","55","0","0"
"Evansdale","5,177","7","0","3","0","4","134","45","79","10","1"
"Fairfield","9,251","15","0","2","2","11","263","80","175","8","4"
"Forest City","3,961","14","0","0","0","14","32","15","15","2","1"
"Fort Dodge","25,204","79","0","3","23","53","1,270","380","835","55","17"
"Fort Madison","10,901","63","0","17","1","45","357","88","244","25","1"
"Glenwood","5,737","17","0","0","0","17","120","54","61","5","1"
"Grinnell","9,147","20","0","3","1","16","172","26","144","2","1"
"Hampton","4,187","1","0","0","0","1","23","1","22","0","0"
"Hawarden","2,380","4","0","0","0","4","19","8","10","1","0"
"Hiawatha","6,779","3","1","1","1","0","135","25","107","3","2"
"Humboldt","4,205","1","0","0","0","1","21","9","10","2","0"
"Independence","6,133","4","0","0","0","4","83","18","61","4","2"
"Indianola","14,785","26","1","7","2","16","290","53","216","21","2"
"Iowa City","70,411","183","0","32","31","120","1,533","283","1,176","74","8"
"Iowa Falls","4,911","1","0","0","0","1","126","15","106","5","1"
"Jefferson","4,109","4","0","0","0","4","54","17","35","2","0"
"Johnston","17,024","19","0","1","3","15","193","28","154","11","0"
"Keokuk","10,413","117","0","6","2","109","502","89","384","29","0"
"Le Mars","9,199","17","0","5","0","12","261","39","204","18","2"
"Lisbon","2,048","0","0","0","0","0","42","5","37","0","0"
"Manchester","4,880","20","0","3","0","17","73","15","55","3","1"
"Maquoketa","5,823","22","0","4","1","17","239","100","129","10","1"
"Marion","34,562","53","0","10","5","38","581","132","418","31","7"
"Marshalltown","26,041","107","0","1","3","103","1,061","293","718","50","4"
"Mason City","27,344","47","0","11","1","35","1,058","203","807","48","6"
"Monticello","3,742","2","0","0","0","2","35","8","23","4","1"
"Mount Pleasant","8,751","40","0","4","0","36","247","71","169","7","1"
"Mount Vernon","4,263","8","0","2","0","6","52","4","46","2","0"
"Muscatine1","22,866","114","1","19","4","90","","163","","20","6"
"Nevada","6,806","55","0","6","0","49","174","26","142","6","3"
"New Hampton","3,401","2","0","0","0","2","28","5","21","2","1"
"Newton","14,909","19","1","0","0","18","473","70","385","18","0"
"North Liberty","13,609","21","0","3","0","18","94","24","67","3","1"
"Norwalk","9,331","7","0","1","0","6","104","15","85","4","0"
"Oelwein","5,985","27","0","4","0","23","155","38","104","13","0"
"Ogden","1,945","5","0","0","0","5","21","6","15","0","1"
"Orange City","5,889","6","0","2","0","4","70","21","43","6","0"
"Osage","3,461","3","0","0","0","3","33","7","25","1","0"
"Osceola","4,814","3","0","1","0","2","101","15","82","4","1"
"Oskaloosa","10,990","38","0","9","1","28","219","45","166","8","2"
"Ottumwa","24,501","101","2","13","12","74","913","202","677","34","19"
"Pella","10,332","31","0","1","0","30","126","23","95","8","3"
"Perry","9,568","36","0","1","1","34","124","19","101","4","1"
"Pleasant Hill","8,922","12","0","1","0","11","165","73","77","15","3"
"Prairie City","1,446","3","0","0","0","3","16","10","5","1","0"
"Red Oak","5,623","13","0","0","0","13","152","46","99","7","1"
"Sac City","2,073","1","0","0","0","1","29","9","20","0","0"
"Sergeant Bluff","4,142","9","0","0","0","9","66","8","57","1","2"
"Sheldon","4,866","5","0","0","2","3","65","20","42","3","0"
"Shenandoah","4,814","2","0","1","0","1","76","6","65","5","1"
"Sioux City","83,494","285","0","22","32","231","3,103","618","2,333","152","16"
"Spirit Lake","4,672","3","0","0","1","2","125","16","108","1","0"
"St. Ansgar","1,036","0","0","0","0","0","3","0","3","0","0"
"State Center","1,348","1","0","0","0","1","14","3","11","0","0"
"Storm Lake","9,582","45","0","1","2","42","276","87","181","8","8"
"Story City","3,438","1","0","0","0","1","45","21","23","1","0"
"Tipton","3,028","5","0","0","0","5","42","9","32","1","0"
"Urbandale","40,124","58","0","12","4","42","718","122","576","20","3"
"Vinton","5,144","10","0","3","0","7","67","11","54","2","1"
"Washington","7,280","38","1","1","0","36","92","24","60","8","0"
"Waterloo","67,203","435","3","33","70","329","2,558","812","1,635","111","33"
"Waukee","14,091","15","0","2","0","13","207","61","142","4","0"
"Webster City","7,664","32","0","4","0","28","263","71","181","11","2"
"West Burlington","3,383","6","0","1","4","1","120","27","88","5","0"
"West Des Moines","58,600","109","0","22","11","76","1,736","173","1,516","47","26"
"West Liberty","3,725","2","0","0","0","2","59","26","31","2","0"
"West Union","2,405","1","0","0","0","1","19","5","13","1","1"
"Williamsburg","2,865","4","0","0","1","3","34","12","21","1","0"
"Wilton","2,867","8","0","1","0","7","39","14","23","2","0"
"Windsor Heights","4,657","13","0","3","4","6","182","16","160","6","0"
"Winterset","4,883","6","0","1","0","5","174","85","86","3","0"
