"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Ashland","1,457","1","0","0","0","1","16","13","3","0","0"
"Auburn","22,953","41","0","9","19","13","895","134","742","19","6"
"Augusta","18,514","57","0","13","12","32","1,208","222","965","21","12"
"Baileyville","1,524","2","0","1","0","1","42","10","29","3","0"
"Bangor","31,587","52","3","4","30","15","1,730","198","1,485","47","9"
"Bar Harbor","5,243","1","0","1","0","0","55","5","49","1","2"
"Bath","8,879","8","0","4","3","1","251","25","220","6","0"
"Belfast","6,748","12","0","7","2","3","254","39","206","9","3"
"Berwick","7,707","9","0","3","0","6","146","34","108","4","2"
"Biddeford","21,511","66","0","17","18","31","1,029","157","850","22","16"
"Boothbay Harbor","2,252","4","0","2","0","2","96","11","84","1","0"
"Brewer","9,097","7","0","2","0","5","314","37","273","4","1"
"Bridgton","5,608","5","0","3","0","2","107","16","90","1","0"
"Brownville","1,288","0","0","0","0","0","53","17","36","0","0"
"Brunswick","22,171","16","0","6","6","4","422","55","355","12","3"
"Bucksport","4,951","13","0","1","0","12","116","32","81","3","1"
"Buxton","8,179","7","0","2","3","2","97","22","67","8","0"
"Calais","3,145","43","0","2","1","40","192","45","146","1","6"
"Camden","5,279","1","0","1","0","0","85","12","71","2","0"
"Cape Elizabeth","8,825","1","0","0","0","1","119","14","104","1","1"
"Caribou","8,063","7","0","0","1","6","182","32","149","1","1"
"Carrabassett Valley","474","1","0","1","0","0","55","1","53","1","0"
"Clinton","3,328","11","0","4","1","6","62","29","31","2","0"
"Cumberland","7,744","3","0","1","0","2","36","14","22","0","0"
"Damariscotta","1,905","7","0","3","0","4","57","12","45","0","0"
"Dexter","3,687","3","0","1","0","2","109","35","72","2","1"
"Dixfield","2,532","2","0","1","0","1","46","8","38","0","0"
"Dover-Foxcroft","4,165","5","0","1","0","4","145","34","105","6","0"
"East Millinocket","3,177","1","0","1","0","0","41","6","33","2","0"
"Eastport","1,509","0","0","0","0","0","10","3","7","0","0"
"Eliot","6,358","2","0","2","0","0","24","9","15","0","0"
"Ellsworth","7,243","15","0","1","4","10","263","36","219","8","0"
"Fairfield","6,695","5","0","2","1","2","245","45","192","8","3"
"Falmouth","10,921","3","0","0","2","1","146","26","116","4","1"
"Farmington","7,602","10","0","7","1","2","224","19","203","2","1"
"Fort Fairfield","3,443","7","0","0","0","7","31","4","25","2","0"
"Fort Kent","4,212","5","0","0","0","5","24","4","20","0","0"
"Freeport","8,392","2","0","1","1","0","181","31","149","1","0"
"Fryeburg","3,313","7","0","1","0","6","69","25","43","1","0"
"Gardiner","6,103","11","0","6","1","4","193","46","144","3","2"
"Gorham","15,940","15","0","4","5","6","174","63","98","13","2"
"Gouldsboro","2,011","0","0","0","0","0","15","9","6","0","1"
"Greenville","1,721","6","0","0","0","6","39","14","25","0","1"
"Hallowell","2,434","1","1","0","0","0","66","13","51","2","1"
"Hampden","7,052","0","0","0","0","0","122","13","106","3","0"
"Holden","3,048","1","0","0","1","0","50","15","35","0","0"
"Houlton","6,105","7","0","1","0","6","145","19","126","0","0"
"Jay","4,739","4","0","3","0","1","76","19","55","2","1"
"Kennebunk","11,577","4","0","3","0","1","141","38","102","1","1"
"Kennebunkport","4,031","0","0","0","0","0","52","4","47","1","0"
"Kittery","10,632","6","0","4","2","0","183","35","144","4","2"
"Lewiston","35,153","93","2","16","42","33","1,056","179","862","15","16"
"Limestone","2,252","3","0","0","0","3","59","17","39","3","1"
"Lincoln","5,318","5","0","2","0","3","217","67","144","6","1"
"Lincolnville","2,205","2","0","0","0","2","41","13","28","0","1"
"Lisbon","9,355","6","0","2","1","3","107","24","80","3","0"
"Livermore Falls","3,134","5","0","4","0","1","82","23","56","3","1"
"Machias","2,124","9","0","3","0","6","39","9","30","0","0"
"Madawaska","4,319","0","0","0","0","0","40","13","25","2","0"
"Madison","4,578","2","0","1","0","1","186","38","145","3","2"
"Mechanic Falls","3,254","1","0","1","0","0","27","5","22","0","1"
"Mexico","2,828","2","0","0","1","1","108","25","83","0","0"
"Milbridge","1,289","0","0","0","0","0","8","1","7","0","0"
"Millinocket","4,891","3","0","0","0","3","102","22","76","4","0"
"Milo","2,313","1","0","1","0","0","94","31","60","3","1"
"Monmouth","3,959","2","0","2","0","0","66","18","48","0","0"
"Mount Desert","2,188","0","0","0","0","0","44","19","25","0","0"
"Newport","3,151","4","0","1","2","1","163","37","121","5","0"
"North Berwick","4,921","3","0","0","1","2","57","25","30","2","1"
"Norway","4,755","5","0","2","1","2","127","31","93","3","1"
"Oakland","6,236","3","0","1","0","2","154","22","130","2","0"
"Ogunquit","1,264","0","0","0","0","0","37","4","33","0","0"
"Old Orchard Beach","9,494","27","0","5","6","16","317","64","238","15","0"
"Old Town","7,731","3","0","0","1","2","303","34","265","4","0"
"Orono","10,290","2","0","0","1","1","165","19","144","2","2"
"Oxford","3,935","2","0","0","1","1","103","16","85","2","2"
"Paris","4,942","6","0","3","2","1","82","15","65","2","0"
"Phippsburg","2,185","0","0","0","0","0","13","3","8","2","0"
"Pittsfield","4,186","4","0","2","0","2","90","14","72","4","0"
"Portland","63,166","242","6","33","129","74","2,921","599","2,246","76","7"
"Presque Isle","9,050","12","0","2","5","5","424","60","361","3","3"
"Rangeley","1,183","1","0","0","0","1","15","4","11","0","1"
"Richmond","3,457","1","0","0","0","1","43","19","20","4","0"
"Rockland","7,458","5","1","1","0","3","408","45","357","6","5"
"Rockport","3,563","0","0","0","0","0","34","9","25","0","0"
"Rumford","6,236","10","0","9","0","1","171","41","125","5","1"
"Sabattus","4,744","3","0","2","0","1","88","26","58","4","0"
"Saco","18,417","21","0","1","6","14","570","110","439","21","2"
"Sanford","21,216","42","0","15","7","20","831","158","635","38","3"
"Scarborough","19,549","10","0","4","2","4","485","73","403","9","1"
"Searsport","2,588","3","0","1","0","2","61","18","42","1","0"
"Skowhegan","8,611","15","0","6","4","5","349","58","282","9","1"
"South Berwick","7,221","1","0","1","0","0","70","13","57","0","5"
"South Portland","24,144","49","0","2","11","36","902","92","788","22","1"
"Southwest Harbor","1,962","1","0","0","0","1","43","6","36","1","0"
"Swan's Island","302","0","0","0","0","0","0","0","0","0","0"
"Thomaston","3,652","0","0","0","0","0","56","10","45","1","0"
"Topsham","9,953","2","0","1","0","1","122","20","94","8","2"
"Van Buren","2,464","1","0","0","0","1","13","4","8","1","0"
"Veazie","1,910","2","0","1","1","0","17","2","13","2","0"
"Waldoboro","5,007","7","0","0","2","5","80","20","55","5","0"
"Washburn","1,572","0","0","0","0","0","43","9","33","1","0"
"Waterville","16,076","30","0","11","11","8","664","84","566","14","2"
"Wells","10,005","1","0","0","1","0","143","31","108","4","0"
"Westbrook","16,762","39","0","12","15","12","657","95","541","21","9"
"Wilton","4,167","8","0","7","0","1","81","18","61","2","1"
"Windham","17,187","18","1","5","2","10","411","90","306","15","1"
"Winslow","7,825","6","0","4","0","2","168","58","104","6","1"
"Winter Harbor","969","0","0","0","0","0","7","3","4","0","0"
"Winthrop","6,419","2","0","2","0","0","128","29","97","2","1"
"Wiscasset","3,798","2","0","0","2","0","77","9","68","0","0"
"Yarmouth","8,157","5","0","2","2","1","91","12","76","3","4"
"York","14,201","3","0","2","0","1","239","48","186","5","1"
