"Criminal Justice Information Services Division","Feedback |
Contact Us |
Data Quality Guidelines |
UCR Home"
"City","Population","Violentcrime","Murder andnonnegligentmanslaughter","Forciblerape","Robbery","Aggravatedassault","Propertycrime","Burglary","Larceny-theft","Motorvehicletheft","Arson"
"Albany","2,239","","0","","0","4","26","7","17","2","0"
"Albert Lea","17,304","","0","","5","25","410","66","321","23","1"
"Alexandria","12,003","","0","","2","10","363","66","288","9","3"
"Annandale","3,212","","0","","0","2","125","10","114","1","0"
"Anoka","17,323","","0","","21","21","748","98","627","23","0"
"Appleton","2,971","","0","","0","7","49","13","34","2","0"
"Apple Valley","50,579","","0","","17","28","1,511","172","1,308","31","4"
"Arden Hills","9,860","","0","","0","1","151","18","122","11","0"
"Aurora","1,745","","0","","0","0","0","0","0","0","0"
"Austin","22,929","","0","","11","51","763","144","577","42","1"
"Avon","1,342","","0","","0","0","3","1","2","0","0"
"Babbitt","1,579","","0","","0","0","0","0","0","0","0"
"Baxter","8,748","","0","","0","5","297","9","285","3","0"
"Bayport","3,335","","0","","0","2","37","6","30","1","0"
"Becker","4,387","","0","","0","4","28","6","19","3","0"
"Belgrade","720","","0","","0","0","0","0","0","0","0"
"Belle Plaine","7,244","","0","","0","4","160","30","126","4","1"
"Bemidji","13,911","","0","","7","57","982","82","872","28","3"
"Benson","2,930","","0","","0","2","61","23","35","3","0"
"Big Lake","10,240","","0","","0","16","188","22","160","6","1"
"Blackduck","790","","0","","0","2","43","6","36","1","0"
"Blaine","57,561","","0","","11","35","1,953","203","1,708","42","6"
"Bloomington","82,715","","0","","46","45","3,175","226","2,860","89","15"
"Blue Earth","3,183","","0","","0","3","42","7","34","1","0"
"Brainerd","13,779","","0","","1","34","558","77","464","17","2"
"Breckenridge","3,151","","0","","0","1","49","5","41","3","0"
"Brooklyn Center","27,378","","1","","59","59","1,363","185","1,056","122","5"
"Browns Valley","579","","0","","0","0","0","0","0","0","0"
"Brownton","777","","0","","0","1","4","1","3","0","0"
"Buffalo","14,881","","0","","1","11","383","34","336","13","2"
"Burnsville","59,028","","0","","0","0","0","0","0","0","0"
"Cambridge","7,986","","0","","0","9","264","21","233","10","0"
"Cannon Falls","4,050","","0","","0","3","200","14","180","6","1"
"Centennial Lakes","11,423","","0","","1","6","136","12","119","5","0"
"Champlin","24,139","","0","","4","12","510","50","450","10","1"
"Chaska","25,424","","0","","0","12","398","49","337","12","2"
"Chisholm","4,559","","1","","0","9","177","22","150","5","0"
"Cloquet","11,486","","0","","3","17","454","78","367","9","1"
"Cold Spring","5,108","","0","","0","3","66","5","60","1","1"
"Coon Rapids","62,419","","0","","38","65","2,709","186","2,467","56","11"
"Corcoran","5,749","","0","","0","4","38","6","32","0","0"
"Cottage Grove","34,276","","0","","5","10","566","94","460","12","12"
"Crookston","7,829","","0","","1","10","68","15","53","0","2"
"Crosby","2,245","","0","","0","1","23","2","19","2","0"
"Crystal","21,753","","0","","19","24","715","116","574","25","2"
"Dawson","1,323","","0","","0","0","18","6","12","0","0"
"Dayton","4,650","","0","","0","1","39","14","20","5","0"
"Deephaven-Woodland","4,339","","0","","0","1","17","4","13","0","0"
"Detroit Lakes","8,329","","0","","1","9","419","25","380","14","0"
"Dilworth","3,787","","0","","0","3","103","2","99","2","0"
"Duluth2","84,249","","1","","90","165","","605","3,301","","9"
"Eagan","64,239","","2","","13","18","1,625","176","1,396","53","13"
"Eagle Lake","2,416","","0","","0","1","14","6","7","1","0"
"East Grand Forks","7,878","","0","","0","11","235","33","197","5","0"
"Eden Prairie","63,159","","1","","5","21","1,020","135","866","19","6"
"Edina","46,503","","0","","5","12","899","124","756","19","0"
"Elk River","24,025","","0","","2","10","607","52","536","19","6"
"Elmore","642","","0","","0","0","12","6","5","1","0"
"Ely","3,459","","0","","0","1","76","9","64","3","0"
"Eveleth","3,559","","0","","4","10","119","29","84","6","0"
"Fairmont","10,029","","0","","2","6","279","36","243","0","1"
"Falcon Heights","5,661","","0","","2","2","107","15","85","7","0"
"Faribault","22,272","","0","","12","60","830","171","626","33","8"
"Farmington","20,229","","0","","1","10","177","24","145","8","1"
"Fergus Falls","13,531","","0","","2","19","350","35","309","6","2"
"Floodwood","499","","0","","0","6","29","3","25","1","0"
"Forest Lake","18,030","","0","","3","6","533","55","439","39","0"
"Fridley","25,857","","0","","19","50","1,329","142","1,114","73","0"
"Gilbert","1,748","","0","","0","0","0","0","0","0","0"
"Glencoe","5,517","","0","","0","0","113","18","92","3","0"
"Glenwood","2,467","","0","","0","1","8","1","6","1","0"
"Golden Valley","20,527","","1","","7","12","466","89","348","29","3"
"Goodview","3,737","","0","","0","4","91","24","58","9","1"
"Grand Rapids","9,457","","0","","0","21","359","32","321","6","0"
"Granite Falls","2,857","","0","","0","7","26","4","21","1","0"
"Hallock","981","","0","","0","0","0","0","0","0","0"
"Hastings","22,688","","0","","4","16","525","60","439","26","2"
"Hermantown","9,755","","0","","1","6","294","33","250","11","1"
"Hibbing","16,157","","0","","0","15","242","18","219","5","0"
"Hilltop","680","","0","","3","5","69","6","60","3","0"
"Hokah","553","","0","","0","1","16","5","11","0","0"
"Hopkins","17,020","","0","","11","9","495","100","374","21","4"
"Houston","943","","0","","0","2","16","3","13","0","0"
"Hoyt Lakes","1,953","","0","","0","0","0","0","0","0","0"
"Hutchinson","13,901","","0","","1","14","376","25","345","6","3"
"International Falls","5,763","","0","","1","10","204","45","146","13","0"
"Jackson","3,302","","0","","0","5","67","12","53","2","1"
"Janesville","2,259","","0","","0","0","25","3","22","0","0"
"Kasson","5,703","","0","","0","3","59","10","48","1","0"
"Kimball","718","","0","","0","3","4","0","4","0","0"
"La Crescent","4,897","","0","","0","1","89","5","82","2","0"
"Lake City","5,313","","0","","1","2","159","11","142","6","0"
"Lake Crystal","2,635","","0","","0","3","49","9","39","1","3"
"Lakefield","1,614","","1","","0","0","39","19","20","0","0"
"Lakes Area","8,654","","0","","0","11","222","32","183","7","0"
"Lakeville","57,470","","0","","6","9","830","140","671","19","7"
"Lauderdale","2,241","","0","","1","3","32","8","21","3","0"
"Lester Prairie","1,769","","0","","0","2","9","4","5","0","0"
"Lewiston","1,461","","0","","0","0","2","1","0","1","0"
"Lino Lakes","20,953","","0","","0","7","193","26","162","5","0"
"Litchfield","6,554","","0","","0","6","130","27","99","4","2"
"Little Canada","9,644","","0","","4","14","295","47","206","42","0"
"Little Falls","8,049","","0","","0","3","140","8","127","5","0"
"Long Prairie","2,757","","0","","0","0","66","5","60","1","0"
"Madison","1,527","","0","","0","3","17","4","12","1","0"
"Mankato","36,921","","1","","14","59","1,527","248","1,231","48","8"
"Maple Grove","64,861","","0","","9","25","1,241","132","1,087","22","2"
"Mapleton","1,672","","0","","0","0","29","4","25","0","0"
"Maplewood","36,907","","0","","25","43","2,317","269","1,884","164","11"
"Medina","5,297","","0","","0","1","102","6","94","2","0"
"Melrose","3,261","","0","","0","0","30","9","21","0","0"
"Mendota Heights","11,697","","0","","1","10","221","36","179","6","0"
"Milaca","3,015","","0","","0","1","29","7","21","1","0"
"Minneapolis","385,704","4,064","37","438","1,596","1,993","18,299","4,787","11,609","1,903","116"
"Minnetonka","50,753","","1","","7","13","983","184","772","27","2"
"Minnetrista","8,796","","0","","0","4","82","10","70","2","0"
"Montevideo","5,148","","0","","0","6","125","26","98","1","0"
"Montgomery","3,305","","0","","0","8","57","14","41","2","0"
"Moorhead","37,274","","2","","8","29","938","135","777","26","5"
"Moose Lake","2,576","","0","","0","4","80","4","75","1","1"
"Morris","5,074","","0","","0","2","114","12","98","4","0"
"Mound","9,654","","0","","1","2","167","19","141","7","3"
"Mounds View","12,000","","0","","3","19","378","48","307","23","4"
"Mountain Iron","2,925","","0","","0","0","0","0","0","0","0"
"Mountain Lake","1,878","","0","","0","0","0","0","0","0","0"
"New Brighton","21,689","","0","","12","10","581","79","462","40","6"
"New Hope","20,644","","0","","17","16","677","93","559","25","3"
"Newport","3,495","","0","","2","5","134","21","103","10","1"
"New Prague","7,065","","0","","1","7","142","13","128","1","0"
"New Richland","1,148","","0","","0","1","0","0","0","0","0"
"New Ulm","12,843","","0","","1","6","232","69","156","7","0"
"North Branch","10,732","","0","","1","5","332","33","291","8","0"
"Northfield","19,918","","0","","1","9","404","75","319","10","4"
"North Mankato","12,748","","1","","4","5","232","22","207","3","1"
"North Oaks","4,883","","0","","0","1","46","9","37","0","0"
"North St. Paul","11,433","","0","","2","2","288","43","226","19","0"
"Oakdale","27,358","","0","","15","28","1,121","168","896","57","16"
"Oak Park Heights","4,839","","0","","0","2","201","7","186","8","0"
"Orono","12,294","","0","","0","5","111","17","92","2","0"
"Ortonville","1,911","","0","","0","1","15","0","14","1","0"
"Osakis","1,566","","0","","0","1","28","3","25","0","1"
"Osseo","2,597","","0","","1","0","3","0","2","1","0"
"Owatonna","25,210","","0","","4","28","482","76","386","20","3"
"Park Rapids","3,654","","0","","0","5","248","22","213","13","1"
"Paynesville","2,290","","0","","0","1","106","20","84","2","0"
"Plymouth","73,579","","0","","15","30","1,226","232","970","24","6"
"Princeton","4,839","","0","","0","2","146","10","131","5","0"
"Prior Lake","26,241","","0","","2","20","427","91","325","11","3"
"Proctor","2,840","","0","","1","3","107","11","88","8","0"
"Red Wing","15,641","","0","","2","16","472","102","357","13","2"
"Redwood Falls","5,050","","0","","0","17","166","29","132","5","0"
"Richfield","33,188","","0","","34","36","873","144","677","52","12"
"Robbinsdale","13,822","","0","","17","24","427","104","308","15","1"
"Rochester","105,027","","1","","58","123","2,429","399","1,925","105","24"
"Rogers","8,288","","0","","1","6","55","5","50","0","0"
"Roseau","2,752","","0","","0","0","26","3","23","0","0"
"Rosemount","22,870","","1","","5","6","316","48","262","6","4"
"Roseville","33,176","","1","","15","24","1,482","144","1,232","106","5"
"Sauk Centre","4,073","","0","","0","3","81","12","66","3","2"
"Sauk Rapids","12,130","","0","","0","3","75","17","54","4","0"
"Savage","29,151","","0","","4","26","686","114","548","24","7"
"Shakopee","36,290","","2","","7","60","1,028","105","891","32","1"
"Shoreview","25,419","","0","","3","4","299","33","251","15","3"
"Silver Bay","1,804","","0","","0","0","1","0","1","0","0"
"Silver Lake","794","","0","","0","3","13","4","7","2","0"
"Slayton","1,809","","0","","0","0","16","3","12","1","0"
"Sleepy Eye","3,363","","0","","0","1","0","0","0","0","0"
"South Lake Minnetonka","12,329","","0","","0","13","156","32","117","7","1"
"Springfield","2,103","","0","","0","0","0","0","0","0","0"
"Spring Grove","1,233","","0","","0","0","0","0","0","0","0"
"Spring Lake Park","6,577","","0","","6","10","366","41","301","24","0"
"St. Anthony","8,484","","0","","3","2","298","49","233","16","2"
"Staples","2,984","","0","","0","1","122","20","98","4","0"
"St. Charles","3,566","","0","","0","3","20","4","14","2","0"
"St. Cloud","67,942","","3","","43","134","2,542","347","2,102","93","18"
"St. Francis","7,644","","0","","0","4","134","16","113","5","1"
"Stillwater","18,208","","0","","0","12","603","92","496","15","4"
"St. James","4,271","","0","","0","3","77","5","70","2","1"
"St. Louis Park","45,690","","2","","27","21","1,473","188","1,227","58","6"
"St. Paul","281,166","2,112","16","183","665","1,248","11,756","2,883","6,820","2,053","131"
